Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
State,Alabama,AL,NA,NA,1.4665998747301234
State,Arkansas,AR,NA,NA,2.8322292320090092
State,Arizona,AZ,NA,NA,3.008500904294409
State,California,CA,NA,NA,0.13240510002110462
State,Colorado,CO,NA,NA,2.3630540857799476
State,Connecticut,CT,NA,NA,0.431365029514863
State,District of Columbia,DC,NA,NA,-0.5955651304692333
State,Delaware,DE,NA,NA,0.6345146356100839
State,Florida,FL,NA,NA,2.0683141823583995
State,Georgia,GA,NA,NA,4.724163988018959
State,Hawaii,HI,NA,NA,-0.4192492128349823
State,Iowa,IA,NA,NA,1.562969987769236
State,Idaho,ID,NA,NA,9.70444781266937
State,Illinois,IL,NA,NA,1.8535491266860715
State,Indiana,IN,NA,NA,4.966220055794834
State,Kansas,KS,NA,NA,2.8020378799783474
State,Kentucky,KY,NA,NA,2.3569541802402005
State,Louisiana,LA,NA,NA,-0.9096793028948502
State,Massachusetts,MA,NA,NA,1.2496012530382128
State,Maryland,MD,NA,NA,0.8402623633543493
State,Maine,ME,NA,NA,2.5928412601734063
State,Michigan,MI,NA,NA,3.654461863875169
State,Minnesota,MN,NA,NA,2.555916037464856
State,Missouri,MO,NA,NA,3.1045232881928175
State,Mississippi,MS,NA,NA,3.325046547528676
State,Montana,MT,NA,NA,2.890919178366813
State,North Carolina,NC,NA,NA,3.8049261469623286
State,North Dakota,ND,NA,NA,0.7924679502849363
State,Nebraska,NE,NA,NA,2.8560428281144024
State,New Hampshire,NH,NA,NA,2.328338615985981
State,New Jersey,NJ,NA,NA,1.8442629065526184
State,New Mexico,NM,NA,NA,3.0197076913333953
State,Nevada,NV,NA,NA,3.6863856626261127
State,New York,NY,NA,NA,4.551256833788564
State,Ohio,OH,NA,NA,2.4927274069532768
State,Oklahoma,OK,NA,NA,1.6518028804543672
State,Oregon,OR,NA,NA,1.7319893128797892
State,Pennsylvania,PA,NA,NA,1.0945133673983864
State,Rhode Island,RI,NA,NA,0.9894615571978571
State,South Carolina,SC,NA,NA,2.7082358147704655
State,South Dakota,SD,NA,NA,2.1733602026523746
State,Tennessee,TN,NA,NA,3.2247497730161223
State,Texas,TX,NA,NA,3.486580262959027
State,Utah,UT,NA,NA,6.530109653324501
State,Virginia,VA,NA,NA,1.477993996040028
State,Vermont,VT,NA,NA,0.8072866314519311
State,Washington,WA,NA,NA,2.2065122999563425
State,Wisconsin,WI,NA,NA,2.9695418597177836
State,West Virginia,WV,NA,NA,-0.7067254381435295
State,Wyoming,WY,NA,NA,2.043742952020011
County,Ada County,ID,Ada County,NA,9.954235281479896
County,Bay County,FL,Bay County,NA,1.766815953681955
County,Bay County,MI,Bay County,NA,-0.11192620699084221
County,Bee County,TX,Bee County,NA,3.8627866624795892
County,Elk County,KS,Elk County,NA,-0.5957544882835619
County,Gem County,ID,Gem County,NA,6.05849591609342
County,Jay County,IN,Jay County,NA,-8.887543970758871
County,Kay County,OK,Kay County,NA,1.2439996510966944
County,Lee County,AL,Lee County,NA,6.308695020939692
County,Lee County,FL,Lee County,NA,-0.7800072145683679
County,Lee County,MS,Lee County,NA,2.585176036909931
County,Lee County,NC,Lee County,NA,3.8505000129003486
County,Lee County,TX,Lee County,NA,1.8878921994250009
County,Ashe County,NC,Ashe County,NA,3.3416449979249974
County,Bell County,TX,Bell County,NA,2.1074714158085373
County,Bibb County,GA,Bibb County,NA,1.6307272685243346
