"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4"
274772,"Northeast Dallas","Neighborhood","TX",1,"Dallas-Fort Worth-Arlington",394514,3.21,2.86,2.86,3.21,2.5,1.07,1.79,4.64,7.5,6.07,2.5,1.43,1.79,3.21,4.29,5.36,6.79,7.5,6.07,4.64,3.93,4.29,6.07,6.79,6.07,5,5,6.07,5.71,4.64,3.93,3.21,2.5,2.86,4.29,6.07,6.43,6.43,6.07,6.79,8.21,8.93,7.86,6.43,4.64,4.64,5,5,5.71,5.71,6.43,7.14,6.43,5.71,5.71,5.71,5.36,5.71,5.36,5.71,5.36,5,4.64,5.36,5.36,5.36,4.64,3.57,2.86,2.86,2.86,3.21,3.21,4.64,5,6.07,5.36,5.36,4.29,3.93,3.93,5,5,5,4.29,5,5.71,5.36,5.71,4.64,4.29,3.93,3.93,3.57,3.21,4.29,5.36,4.29,3.93,3.57,4.29,3.93
112345,"Maryvale","Neighborhood","AZ",2,"Phoenix-Mesa-Scottsdale",394976,9.33,9.33,9.33,9.33,10,9.67,9.67,9.33,10,10,10,10,9.67,10,10,9.67,10,10,9.67,9.67,9.33,9.33,9.67,10,10,9.67,9,9,9.67,10,10,9.67,9.67,8,8.33,8,8.67,9,8.67,9.67,9.33,8.67,8,8,7.67,8.33,9.67,9.67,9.67,9.67,9.33,10,9.67,9.67,9.67,9.67,10,10,9.67,9.33,9.33,9.33,8.67,9.33,9.67,10,9.33,9.33,8.67,8.67,7.67,6,5.67,6.67,9,9,8,7,6.67,6,7,8,7.67,7.67,7,6.67,7,7,7.33,7.67,8.33,7.67,7.67,8.33,8.67,9,9.33,9,9.33,10,10,9.33
192689,"Paradise","Neighborhood","NV",3,"Las Vegas-Henderson-Paradise",394775,4.68,4.68,4.89,6.38,6.38,6.6,6.38,7.23,7.66,7.66,6.6,4.68,4.89,5.74,6.6,7.02,7.23,7.66,6.81,6.17,5.53,5.53,6.38,7.45,7.66,7.02,5.32,4.68,4.68,5.53,5.74,5.11,4.26,3.62,4.68,5.11,5.11,5.74,6.6,7.02,8.72,8.09,5.96,4.68,5.53,5.96,5.11,5.53,7.23,7.66,9.15,8.94,8.94,8.51,7.23,6.38,6.17,7.45,6.81,6.17,5.53,7.66,8.72,9.36,9.15,8.51,7.02,5.32,5.53,4.89,6.17,7.45,7.23,6.81,7.02,7.02,7.02,6.6,5.74,6.38,6.6,7.02,6.6,7.02,6.6,7.23,7.87,7.87,7.45,6.38,5.53,5.53,5.53,7.02,7.66,7.66,7.23,7.66,8.3,8.94,9.36,9.15
270958,"Upper West Side","Neighborhood","NY",4,"New York-Newark-Jersey City",394913,3.9,3.7,4.7,5.9,6.9,7.6,7.6,7,7.1,5.8,5.1,5.1,6,5,2.6,1.2,0.7,1.1,1.3,0.9,0.8,0.8,1.7,2.8,2.8,2.9,3.6,4.8,6.3,6.6,6.6,6.8,5.9,5.9,5.3,5.2,5.9,6.2,7.1,7.5,7.6,7.6,7.8,7.1,6,5.7,5.3,5.1,5.7,6.1,5.8,5.3,5.1,5.3,5.4,4.7,4.7,4.7,4.6,4.7,5.7,6.2,6,5.7,5.5,5.4,5,3.7,2.6,1.3,1.4,2.3,4,4.6,5.8,6.7,6.9,6.2,5.4,4.9,4.2,3.8,3.1,3.4,4.1,5.1,5,5.8,5.7,5.3,6.1,5.6,5.8,5.3,3.9,3.6,3.4,3.5,2.9,3.3,3.7,4.7
118208,"South Los Angeles","Neighborhood","CA",5,"Los Angeles-Long Beach-Anaheim",753899,2.67,2.79,3.72,5.35,6.28,5.23,3.49,2.44,1.86,1.74,1.63,1.74,2.09,2.44,2.91,2.79,2.79,3.02,3.02,2.56,1.4,0.7,0.47,0.47,0.58,0.47,1.05,1.51,1.4,1.05,0.58,0.35,0.23,0.23,0.35,0.58,0.58,0.47,0.47,0.47,0.7,0.81,0.81,0.58,0.35,0.47,0.58,0.47,0.93,1.05,1.4,1.4,1.74,1.28,0.7,0.58,0.47,0.58,0.7,0.58,0.47,0.58,1.05,1.63,1.16,0.81,0.58,0.7,1.4,1.74,2.21,1.74,2.67,2.33,2.56,2.44,3.37,3.02,2.79,2.09,1.63,1.51,1.51,1.74,1.4,1.51,1.28,1.74,1.86,1.86,1.51,1.4,1.51,1.4,1.28,1.63,1.51,1.74,1.63,3.14,4.42,4.3
270957,"Upper East Side","Neighborhood","NY",6,"New York-Newark-Jersey City",394913,5,4.6,4.6,5.3,5.6,6.2,6.6,5.4,4.6,3.8,3.8,3.5,3.7,2.6,2.1,1.4,1,0.9,1.2,1.5,2,2.3,2.8,2.7,3,3.6,4.1,3.9,4.3,4.8,5.8,5.1,4.7,4,3.2,2.9,4.3,5,6.2,6.9,6.4,5.7,5,4.1,2.5,3.1,3.5,4.8,5,4.8,5,5.4,5.8,5.6,4.7,3.6,3.1,2.9,2.5,2.7,3.2,4,4.6,5,5,5.7,4.6,4,3.1,2.2,2.6,3,4.3,4.5,3.9,3.5,3.9,4.3,6.3,6.2,5.1,2.9,2,1.5,1.8,2.2,3,3.9,4,4.2,5.2,4.9,5.1,3.7,2.1,1.6,1.4,1.2,1.4,1.6,3,3.8
192820,"Sunrise Manor","Neighborhood","NV",7,"Las Vegas-Henderson-Paradise",394775,5.32,6.6,7.66,8.51,8.3,7.87,5.74,5.96,5.53,5.53,6.17,6.17,5.11,6.38,6.81,8.09,7.66,8.3,8.09,8.09,7.66,7.45,7.66,6.6,7.02,5.96,5.96,6.17,6.6,6.38,4.47,2.13,0.85,1.06,1.28,2.34,2.34,2.77,3.62,4.26,4.89,2.98,2.34,1.49,1.49,1.49,1.91,2.13,2.98,4.04,4.04,4.68,7.02,7.23,7.02,6.81,6.6,6.17,6.17,4.68,5.96,6.81,6.38,6.17,4.47,4.26,3.62,4.68,5.74,6.6,5.96,5.96,5.11,5.11,4.68,4.47,4.68,4.26,4.47,4.04,3.83,4.68,4.47,5.11,5.96,6.38,6.81,6.6,6.81,6.6,6.17,7.23,7.66,8.72,8.94,8.94,7.66,6.6,7.66,8.3,8.94,8.09
192796,"Spring Valley","Neighborhood","NV",8,"Las Vegas-Henderson-Paradise",394775,6.17,5.53,7.02,8.09,8.09,7.02,5.96,6.17,6.38,5.32,4.47,4.26,4.26,6.17,6.38,7.87,7.87,8.51,7.45,5.96,4.26,3.62,4.04,4.68,5.96,6.38,6.38,5.74,5.11,4.26,2.77,3.62,3.62,4.04,5.32,4.89,4.26,4.04,4.04,3.83,4.26,3.19,3.19,3.4,3.83,5.74,5.74,6.6,5.96,5.53,6.17,8.3,7.45,6.38,5.74,4.89,5.32,7.02,8.3,7.66,7.23,5.74,5.96,6.38,6.17,5.11,4.89,4.26,3.83,3.83,4.04,5.32,5.53,5.96,6.17,7.66,8.51,8.09,6.38,5.53,5.53,5.32,5.53,5.32,5.53,5.32,5.53,7.66,8.3,8.3,6.38,4.89,5.11,5.74,6.38,6.38,6.38,5.53,6.6,7.87,7.66,5.74
268496,"Southeast Los Angeles","Neighborhood","CA",9,"Los Angeles-Long Beach-Anaheim",753899,3.72,3.95,2.67,2.56,2.09,3.02,4.3,4.07,2.79,1.98,1.74,2.09,2.44,3.37,5.47,5.12,3.37,2.33,2.44,1.98,1.28,0.81,0.93,1.16,0.93,0.93,0.58,0.7,0.93,0.7,0.23,0.23,0.35,0.35,0.23,0.23,0.47,0.7,0.93,0.93,1.05,1.16,1.16,0.7,0.47,0.23,0.23,0.35,1.16,1.4,1.63,1.05,0.35,0.23,0.23,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.81,1.4,1.05,0.7,0.35,0.35,0.35,0.58,1.51,2.09,2.09,1.4,1.16,0.81,1.05,1.74,1.63,1.63,1.74,1.4,1.28,0.93,1.16,0.93,0.93,1.4,1.63,1.51,0.81,0.93,1.05,1.63,1.98,2.79,2.56,1.98,2.09,2.91,2.91,2.56
194430,"East New York","Neighborhood","NY",10,"New York-Newark-Jersey City",394913,3.7,2.4,3.8,5.1,6.7,5.3,3.1,1.2,2,3.3,5.7,5.8,3.8,3.2,3,3.1,2.9,2.9,3,3.8,4.5,4.1,3.9,3.5,3.5,3.5,3.4,3.4,3.5,4,4.6,4.8,4.8,6.3,7.4,8.3,7.9,6.7,6.5,6.5,6.8,7.1,5.9,3,1.9,2.3,4.4,3.6,2.6,2.4,3.3,4.6,4.6,4,4.4,5.1,4.8,3.7,3.1,2.4,3,4.5,6.8,8,6.8,5.8,4.7,4.5,6,6.7,7.6,6.3,3.9,2.8,4,6.2,6.1,5.1,4.4,3.6,2.9,2.6,1.6,2.2,1.1,2.6,2.8,4,4.1,3.5,1.8,1.2,1.5,2.4,4.9,4.6,3.5,2.8,3.4,4.5,4.4,3.7
