"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4"
3101,"Los Angeles County","County","CA",1,"Los Angeles-Long Beach-Anaheim",753899,1.96,1.86,1.67,1.37,1.18,0.98,0.88,0.69,0.59,0.49,0.29,0.39,0.1,0.2,0.78,1.08,1.27,1.47,1.57,1.76,2.06,2.16,2.25,2.35,2.45,2.65,3.24,4.41,5.69,7.16,7.75,8.43,8.53,8.63,8.33,8.14,7.94,7.84,7.65,7.45,7.25,7.06,6.57,4.9,3.92,3.33,3.04,2.84,2.94,3.14,3.53,3.63,3.43,3.73,4.02,4.61,5.29,5.59,5.78,5.98,6.18,5.49,4.71,4.31,4.22,4.12,4.51,4.8,5.2,5.1,5.39,5.88,6.08,6.27,6.37,6.67,6.76,6.96,7.35,8.04,8.73,8.92,9.12,9.22,9.31,9.41,9.61,9.71,9.8,10,9.9,9.51,9.02,8.82,8.24,7.55,6.86,6.47,5,3.82,2.75,2.55
139,"Cook County","County","IL",2,"Chicago-Naperville-Elgin",394463,1.96,1.57,1.27,0.69,0.98,0.88,1.18,0.59,0.78,0.49,0.39,0.29,0.1,0.2,1.08,1.37,1.76,1.86,1.47,1.67,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.94,3.92,4.51,3.73,3.63,4.61,5.29,6.08,6.47,6.67,6.96,6.76,6.27,5.1,5,5.88,6.18,5.59,4.71,3.82,3.53,3.33,3.14,3.04,3.24,3.43,4.12,4.22,4.41,4.02,4.31,4.8,4.9,5.2,5.39,5.98,5.49,5.78,5.69,6.37,6.57,6.86,7.45,7.35,7.16,7.06,7.25,7.55,7.75,7.94,8.14,8.53,8.43,8.63,8.73,9.02,9.31,9.51,9.41,9.71,9.8,10,9.9,9.61,9.22,9.12,8.92,8.82,8.33,8.24,8.04,7.84,7.65
1090,"Harris County","County","TX",3,"Houston-The Woodlands-Sugar Land",394692,1.57,1.37,0.78,0.59,0.39,0.29,0.1,0.2,0.49,0.69,1.18,0.88,0.98,1.08,1.27,1.47,1.76,1.67,1.86,1.96,2.06,2.35,2.45,2.25,2.16,2.55,2.65,2.75,2.84,3.04,3.92,5.78,6.18,6.67,6.86,7.65,8.04,8.24,8.43,8.63,9.02,9.22,9.41,8.92,8.53,8.33,8.73,8.82,9.31,9.61,9.51,9.71,9.9,10,9.8,9.12,8.14,7.84,7.06,7.35,7.75,7.94,7.25,6.08,3.53,3.24,3.73,4.12,4.31,3.63,4.02,4.51,5.1,5.88,6.47,6.37,5.69,5.39,4.8,4.41,4.22,5,5.98,5.2,3.33,2.94,3.14,4.71,6.57,7.16,7.55,7.45,6.96,6.76,6.27,5.59,5.29,5.49,4.9,4.61,3.82,3.43
2402,"Maricopa County","County","AZ",4,"Phoenix-Mesa-Scottsdale",394976,0.1,0.2,0.29,0.39,0.49,0.59,0.69,0.78,0.88,0.98,1.47,1.76,2.06,2.35,2.75,3.33,4.31,4.8,5.29,5.59,5.88,6.18,7.06,7.45,7.55,7.35,6.67,6.37,6.76,7.25,7.75,8.04,8.24,8.14,7.65,6.47,5.1,4.41,3.63,2.84,2.55,2.25,1.96,1.67,1.37,1.18,1.08,1.27,1.57,1.86,2.16,2.45,2.65,3.04,4.12,4.71,5.49,6.08,6.96,6.86,6.27,5.69,5,4.51,4.02,3.82,3.53,3.92,3.43,3.14,2.94,3.24,3.73,4.22,4.61,4.9,5.2,5.39,5.78,5.98,6.57,7.16,7.84,7.94,8.33,8.43,8.53,8.82,9.02,9.41,9.71,10,9.9,9.8,9.61,9.51,9.31,9.22,9.12,8.92,8.73,8.63
2841,"San Diego County","County","CA",5,"San Diego-Carlsbad",395056,1.86,1.67,1.27,1.08,0.78,0.59,0.39,0.2,0.1,0.29,0.49,0.69,1.18,1.57,1.76,1.37,0.98,0.88,1.47,1.96,2.06,2.16,2.25,2.35,2.45,2.55,3.33,4.22,5.2,7.16,7.75,8.14,7.84,7.65,7.45,7.25,6.76,6.67,6.37,5.39,5.1,4.9,4.71,4.41,4.02,3.24,2.84,2.65,2.75,2.94,3.73,3.63,3.53,3.43,3.82,4.31,4.8,5.59,6.18,6.27,5.98,5.49,6.08,5.88,5.78,5.69,6.47,6.86,7.06,6.96,7.35,7.94,8.33,8.43,8.04,8.24,8.63,8.73,9.31,9.51,9.22,9.02,8.92,9.12,9.41,9.61,9.71,9.9,10,9.8,8.82,8.53,7.55,6.57,5.29,5,4.61,4.51,4.12,3.92,3.14,3.04
1286,"Orange County","County","CA",6,"Los Angeles-Long Beach-Anaheim",753899,1.67,1.57,1.47,1.27,0.88,0.39,0.1,0.2,0.29,0.49,0.59,0.69,0.78,0.98,1.08,1.18,1.37,1.76,1.86,1.96,2.06,2.16,2.35,3.24,3.92,4.51,6.47,7.45,8.92,9.8,10,9.9,9.31,9.02,8.43,8.14,7.94,7.65,7.25,6.96,5.78,4.12,3.73,3.63,3.14,2.94,2.65,2.45,2.55,2.84,3.43,3.04,3.33,3.53,4.02,5.1,6.08,6.27,6.67,6.76,6.86,6.37,5.2,4.31,4.41,5,5.98,5.88,5.29,4.71,4.9,5.59,5.69,5.49,5.39,6.57,7.16,7.35,7.75,7.84,8.04,8.33,8.53,8.63,8.82,9.12,9.22,9.51,9.61,9.71,9.41,8.73,8.24,7.55,7.06,6.18,4.8,4.61,4.22,3.82,2.75,2.25
581,"Kings County","County","NY",7,"New York-Newark-Jersey City",394913,2.35,2.84,2.75,2.94,2.55,2.06,1.67,0.69,0.2,0.1,0.59,1.27,1.08,0.39,0.29,0.49,1.57,2.65,2.45,1.47,0.98,1.18,1.86,2.16,3.04,2.25,1.76,0.88,0.78,1.37,1.96,3.14,4.12,4.71,3.82,3.43,3.63,4.9,6.67,8.63,9.22,9.41,9.51,9.31,8.82,8.43,8.14,8.73,9.02,9.71,9.8,10,9.9,9.61,9.12,8.04,7.45,7.16,7.75,7.35,6.76,6.47,7.25,7.65,7.55,7.06,6.57,7.84,8.33,8.24,6.96,6.27,5.49,5.59,6.18,6.08,5.69,5,4.41,3.73,3.92,4.31,5.29,5.98,6.37,5.78,5.2,4.51,4.22,4.8,5.88,7.94,8.92,8.53,6.86,5.39,5.1,4.61,4.02,3.53,3.33,3.24
2964,"Miami-Dade County","County","FL",8,"Miami-Fort Lauderdale-West Palm Beach",394856,9.12,8.63,7.75,6.86,5.59,4.02,0.78,0.49,0.29,0.1,0.2,0.39,0.59,3.53,6.47,7.84,8.43,8.33,8.24,8.04,8.53,8.73,8.92,9.22,9.61,9.9,10,9.8,9.41,9.02,8.14,7.65,7.25,6.96,7.35,7.55,7.45,6.76,6.08,5.1,4.8,4.31,3.92,1.96,1.47,1.08,1.27,1.67,1.57,1.18,0.98,1.76,2.65,4.9,6.67,8.82,9.51,9.71,9.31,7.94,4.51,2.84,3.33,2.45,2.06,3.73,5.98,6.57,6.18,4.61,3.82,3.63,2.55,2.16,1.86,3.04,3.43,3.24,2.25,2.35,2.94,4.12,5,4.71,2.75,0.88,0.69,1.37,3.14,5.78,7.06,7.16,6.27,5.39,5.29,5.49,5.88,6.37,5.69,5.2,4.41,4.22
978,"Dallas County","County","TX",9,"Dallas-Fort Worth-Arlington",394514,1.57,1.47,1.27,1.18,0.88,0.39,0.1,0.2,0.29,0.49,0.59,0.69,0.78,0.98,1.08,1.37,1.67,1.76,1.86,1.96,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.94,3.04,3.14,3.24,3.33,3.43,3.53,3.73,4.12,4.22,4.02,3.92,4.31,4.61,4.8,4.9,5.1,5.29,5.59,5.78,5.39,5.69,5.98,7.06,8.14,8.63,8.73,9.12,9.51,9.02,8.53,8.24,7.75,6.96,6.37,6.08,6.27,6.47,6.57,6.67,6.76,7.16,7.45,7.35,7.55,7.84,7.94,8.82,9.31,9.9,10,9.71,9.61,8.92,8.33,8.43,9.22,9.8,9.41,8.04,7.65,7.25,6.86,6.18,5.88,5.49,5.2,5,4.71,4.51,4.41,3.82,3.63
1347,"Queens County","County","NY",10,"New York-Newark-Jersey City",394913,10,9.9,9.31,6.08,3.24,2.65,2.45,2.16,1.37,0.88,1.08,1.27,1.76,1.96,2.35,2.55,2.75,2.25,1.86,1.47,1.57,1.18,0.78,0.59,0.39,0.49,0.1,0.29,0.2,0.69,0.98,1.67,2.06,2.84,3.04,3.73,4.8,5.2,6.96,7.75,8.33,6.86,5.78,4.41,3.63,2.94,3.43,4.12,4.31,4.71,5.29,7.45,9.22,9.02,7.55,6.57,7.25,8.53,8.24,6.67,6.27,6.18,5.98,5.1,5,5.88,8.82,9.51,9.8,9.71,9.61,9.41,8.92,8.14,7.06,7.35,7.84,8.04,7.16,5.59,4.61,4.02,4.22,5.39,7.65,8.63,7.94,6.37,5.49,5.69,6.76,8.43,9.12,8.73,6.47,4.9,4.51,3.92,3.82,3.53,3.33,3.14
