"RegionID","RegionName","RegionType","StateName","SizeRank","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4"
102001,"United States","Country",NA,1,1.47,1.37,1.18,1.08,0.98,0.69,0.39,0.2,0.1,0.29,0.49,0.59,0.78,0.88,1.27,1.57,1.67,1.76,1.86,1.96,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.94,3.24,4.22,4.31,4.41,4.61,4.9,5.39,5.69,5.49,5.29,4.71,4.12,3.14,3.04,3.63,3.92,3.82,3.73,3.43,3.33,3.53,4.02,4.51,4.8,5.1,6.27,6.08,6.47,5.98,5.88,6.18,6.37,6.57,5.59,5.2,5,5.78,6.67,6.76,6.86,6.96,7.06,7.16,7.35,7.25,7.45,7.55,7.65,7.75,7.84,7.94,8.14,8.33,8.53,8.73,9.02,9.22,9.41,9.61,9.8,10,9.9,9.71,9.51,9.31,9.12,8.92,8.82,8.63,8.43,8.24,8.04
394913,"New York, NY","Msa","NY",1,2.75,2.65,2.55,2.35,2.06,1.86,1.57,1.37,0.98,0.78,0.59,0.49,0.39,0.2,0.1,0.29,0.69,0.88,1.18,1.08,1.27,1.47,1.67,1.76,1.96,2.16,2.25,2.45,2.84,2.94,3.04,3.14,3.24,3.33,3.43,3.53,3.63,4.12,5.2,6.76,6.96,6.57,5.88,5.1,5,5.49,6.18,6.27,6.37,6.08,5.98,5.59,5.69,5.78,5.29,4.9,4.71,4.51,4.61,4.41,4.22,3.82,3.73,4.02,3.92,4.31,4.8,5.39,6.47,6.86,6.67,7.06,7.16,7.25,7.35,7.45,7.55,7.65,7.75,7.84,7.94,8.04,8.14,8.24,8.33,8.43,8.53,8.63,8.73,8.82,8.92,9.41,10,9.8,9.71,9.31,9.12,9.02,9.22,9.51,9.61,9.9
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA",2,1.96,1.76,1.57,1.27,1.08,0.88,0.49,0.39,0.2,0.1,0.29,0.69,0.59,0.78,0.98,1.18,1.37,1.47,1.67,1.86,2.06,2.16,2.25,2.35,2.55,3.24,4.12,6.18,7.35,8.14,8.82,9.12,8.92,8.73,8.43,8.04,7.94,7.75,7.55,7.25,6.96,6.37,5.1,3.92,3.33,3.14,2.94,2.75,2.84,3.04,3.53,3.63,3.43,3.73,4.02,4.9,5.39,5.49,6.27,6.47,6.57,5.59,4.61,4.31,4.22,4.41,4.71,5,5.2,4.8,5.29,5.78,5.98,5.88,6.08,6.76,6.86,7.06,7.45,7.84,8.33,8.63,9.02,9.22,9.41,9.51,9.61,9.71,9.9,10,9.8,9.31,8.53,8.24,7.65,7.16,6.67,5.69,4.51,3.82,2.65,2.45
394463,"Chicago, IL","Msa","IL",3,1.47,1.37,1.18,1.08,0.98,0.78,0.69,0.29,0.1,0.2,0.49,0.59,0.39,0.88,1.27,1.57,1.67,1.86,1.76,1.96,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,3.92,4.61,5.1,4.9,4.71,5.29,5.78,6.37,6.57,6.86,6.96,6.67,6.27,5.88,5.59,5.98,6.08,5.69,5.2,4.41,4.12,3.82,3.73,3.43,3.14,2.94,3.33,3.24,3.53,3.04,3.63,4.02,4.22,4.31,4.51,5,4.8,5.39,5.49,6.18,6.47,6.76,7.06,7.16,7.25,7.35,7.45,7.55,7.65,7.75,7.84,8.04,8.24,8.33,8.53,8.73,9.02,9.31,9.51,9.61,9.8,9.9,10,9.71,9.41,9.22,9.12,8.92,8.82,8.63,8.43,8.14,7.94
394514,"Dallas-Fort Worth, TX","Msa","TX",4,1.27,1.08,0.98,0.78,0.59,0.39,0.1,0.2,0.29,0.49,0.69,0.88,1.18,1.37,1.47,1.57,1.67,1.76,1.86,1.96,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.94,3.04,3.14,3.24,3.43,3.63,3.82,3.92,4.12,4.22,4.41,4.51,4.61,4.8,4.9,5.1,5.29,5.39,5.59,5.78,5.88,6.18,7.06,8.43,9.41,9.71,9.8,9.9,10,9.51,9.31,8.63,8.24,7.35,6.86,6.47,6.37,6.76,6.27,6.57,6.67,7.25,7.45,7.65,7.75,8.14,8.73,9.61,9.12,8.82,9.22,8.92,9.02,8.53,8.04,7.84,8.33,7.94,7.55,7.16,6.96,6.08,5.98,5.69,5.49,5.2,5,4.71,4.31,4.02,3.73,3.53,3.33
394974,"Philadelphia, PA","Msa","PA",5,2.16,1.96,1.76,1.57,1.37,1.18,0.98,0.78,0.29,0.59,0.69,0.39,0.2,0.1,0.49,0.88,1.08,1.27,1.47,1.67,1.86,2.06,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.94,3.04,3.14,3.24,3.63,4.31,4.9,5.78,6.18,6.47,6.67,6.57,6.27,5.98,5.88,5.49,5.39,5.2,5,4.51,4.22,3.82,3.33,3.43,3.53,3.92,3.73,4.02,4.12,4.41,4.61,4.8,4.71,5.1,5.29,5.69,5.59,6.08,6.37,6.76,6.86,6.96,7.06,7.16,7.25,7.35,7.45,7.55,7.65,7.75,7.84,7.94,8.04,8.14,8.24,8.33,8.43,8.53,8.63,8.73,8.82,8.92,9.02,9.12,9.22,9.51,9.8,10,9.71,9.61,9.9,9.41,9.31
394692,"Houston, TX","Msa","TX",6,1.57,1.47,1.27,1.08,0.59,0.39,0.1,0.2,0.29,0.49,0.69,0.88,0.78,0.98,1.18,1.37,1.67,1.76,1.86,1.96,2.06,2.25,2.45,2.16,2.35,2.55,2.65,2.75,2.84,2.94,3.33,4.9,5.69,6.47,6.76,7.25,7.84,8.14,8.33,8.43,8.63,9.12,9.22,8.92,8.73,8.53,8.82,9.02,9.41,9.51,9.61,9.71,9.9,10,9.8,9.31,8.24,8.04,7.35,7.65,7.75,7.94,7.06,6.27,4.71,3.63,3.73,4.22,4.41,4.12,4.31,5,5.49,6.18,6.57,6.37,5.88,5.2,4.61,3.92,3.82,4.8,5.78,5.29,3.53,3.14,3.24,4.02,6.08,6.86,7.16,7.55,7.45,6.96,6.67,5.98,5.39,5.59,5.1,4.51,3.43,3.04
395209,"Washington, DC","Msa","DC",7,1.57,2.16,2.75,2.45,1.86,1.27,0.69,0.39,0.59,0.88,1.18,1.08,0.49,0.2,0.1,0.29,0.78,0.98,1.37,1.76,2.25,2.65,2.94,3.33,4.41,4.8,4.9,5.2,6.08,6.86,7.45,7.94,7.75,7.55,7.65,8.04,8.24,8.43,8.33,7.84,7.25,7.16,6.47,6.27,5.88,5.39,5.1,4.61,4.51,4.02,3.73,3.53,3.63,3.82,3.14,3.24,3.43,4.22,4.12,3.92,3.04,2.84,2.55,2.35,1.96,1.47,1.67,2.06,4.31,4.71,5,5.29,5.49,5.59,5.69,5.78,5.98,6.18,6.37,6.57,6.67,6.76,6.96,7.06,7.35,8.14,8.82,9.12,9.41,9.9,9.8,9.51,8.63,8.53,8.73,8.92,9.02,9.22,9.31,9.61,9.71,10
394856,"Miami-Fort Lauderdale, FL","Msa","FL",8,6.08,4.22,3.43,2.45,1.47,0.69,0.49,0.39,0.2,0.1,0.29,0.59,0.78,1.08,1.57,2.25,5.29,5.98,6.18,5.2,4.41,5,5.39,6.57,7.75,9.8,10,9.71,9.02,8.43,8.63,8.53,8.24,7.94,8.14,8.33,9.31,9.12,8.92,7.84,7.45,6.47,4.31,3.14,2.06,1.86,1.76,1.67,1.37,1.18,0.88,0.98,1.27,1.96,3.33,7.35,9.41,9.9,8.73,6.67,3.92,3.73,3.82,2.75,2.35,3.04,4.51,5.69,6.37,5.49,5.1,4.9,3.63,2.94,2.16,2.55,3.24,4.02,4.71,4.8,4.61,5.78,7.25,7.06,5.59,2.65,2.84,5.88,7.65,9.22,9.61,9.51,8.82,8.04,7.55,6.96,6.86,7.16,6.76,6.27,4.12,3.53
394347,"Atlanta, GA","Msa","GA",9,1.08,0.98,0.78,0.59,0.49,0.29,0.1,0.2,0.39,0.69,0.88,1.18,1.27,1.37,1.47,1.57,1.67,1.76,1.86,1.96,2.06,2.16,2.25,2.35,2.45,2.55,2.65,2.75,2.84,4.51,5.29,5.98,5.39,5.59,5.69,5.49,6.08,6.27,6.67,6.37,5.1,4.22,3.92,3.53,3.63,3.73,3.82,3.33,3.24,4.02,4.31,4.61,4.9,5.78,6.47,6.57,6.18,5.2,4.8,5,4.71,4.12,3.43,2.94,3.04,3.14,4.41,5.88,7.16,7.25,7.06,6.76,6.86,6.96,7.35,7.45,7.55,7.65,7.75,7.84,7.94,8.04,8.14,8.24,8.33,8.53,8.82,9.02,9.41,9.8,10,9.9,9.71,9.61,9.51,9.31,9.22,9.12,8.92,8.73,8.63,8.43
