"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,223888,219900,219000,219000,219000,219000,219000,220000,223000,219000,210000,209000,208000,194000,199000,199000,199000,199000,199000,198888,195000,193000,189000,189000,187900,189000,186000,185000,185000,185000,185000,185000,182550,180000,185000,185000,185000,185000,184999,185000,184000,179999,180000,180000,185000,185000,183000,185000,187700,188000,188500,189000,189000,189000,189000,190000,194000,190000,189000,189900,195000,190000,195000,195000,195900,199000,199000,199000,199000,199000,199999,199999,199000,199000,199000,199000,2e+05,209000,209000,210000,210000,210000,215000,214900,210000,210000,214999,219000,219700,225000,227273,227273,229000,234757,235000,239000,239000,240768.5,245000,248888,249000,249999,250000,249998,249999,250000,252000,259000,265000,269000,269000,270000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,229000,224900,220000,225000,230000,230000,230000,235000,230000,229900,230000,230000,229950,224900,229000,229500,229000,229000,225000,223800,220000,219945,218000,217000,215000,215000,215000,215000,219900,219000,220000,219900,219900,225000,227475,230000,239900,240000,244900,249000,259000,269900,274950,279500,282450,289000,289900,292828,295000,295250,284999,3e+05,310000,310000,315000,319900,319000,319000,319000,317500,319900,319900,322500,325000,329000,329900,335000,335000,339000,339000,329900,345000,344900,343000,349000,350000,359000,360000,369000,369250,369900,374000,375000,377000,380000,380000,385000,385000,395000,399000,399900,399000,399999,4e+05,409900,409000,416250,424900,425000,425000,429000,434949.5,435000,439000,440000,439500,439000,439999,439888,445000,447700,440000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,79000,79500,79900,79900,79900,79900,79000,79850,79900,79000,79000,76500,75000,74900,74900,74900,74900,75000,74900,74900,74000,72500,70000,71375,70000,70000,70000,69900,70000,70000,71016.5,72500,70000,70000,70000,70000,71500,72000,72900,69900,69900,72000,75000,76700,75000,75000,76000,75000,75000,76000,75000,75000,75000,79000,79000,79900,79900,78400,79000,79500,80000,80000,80000,80000,82900,85900,89000,88000,89900,89900,89900,89900,90000,93000,96900,96666,99000,99970,105000,105000,104999,105900,110000,107523,105000,107000,110000,114500,115000,117106,117997.5,118000,119000,117500,117900,118000,118700,115000,119420,120000,125000,123000,124500,125000,125000,125000,125000,127000,128000,129900,132000,132999
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,85000,89900,89900,90200,89900,84900,84000,85000,87000,84000,85000,82000,79000,74900,76950,75900,75900,75000,75000,74900,73900,69500,69000,68900,65000,64900,64900,64900,64200,63000,64000,63900,64900,64900,64900,63900,64900,64900,62900,63000,64900,64900,64900,64000,65000,67000,65000,65000,64900,65000,67000,68000,69900,69900,70000,70000,74500,72200,74500,74900,74900,74900,74100,74500,75000,77900,79000,79000,79900,79000,78400,80000,79900,80000,84000,85000,88888,89900,90000,89900,89900,88000,89000,89800,89000,89000,90000,95000,98700,99900,99900,99900,99886.5,99000,98900,99000,99000,99900,105000,109900,112000,114900,114935,115000,114821,114900,112949.5,110000,114900,119000,119900,122570
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,75000,75000,77000,77000,75500,77500,77000,75000,75000,75000,75000,75000,74900,72500,74500,74700,73000,72500,72250,72250,72500,72700,70000,69999,69900,70000,70000,70000,72500,72000,70000,69900,69900,69900,69900,70000,69900,69900,72000,70750,71000,70000,72000,71400,70000,72000,73900,74499.5,75000,75000,75000,75000,75000,75000,75000,76000,75000,75000,75000,75000,77500,79900,79900,79000,79000,77900,79900,84900,83000,82250,80000,82250,82500,84999,85000,84900,85000,85000,86450,87900,89900,92000,95000,99000,95500,98000,99000,99900,99999,1e+05,101694.5,105000,106350,109900,108900,110850,110000,109000,110000,111250,110000,110000,115000,119000,119000,115900,115000,119000,119900,120000,122000,122500
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,84900,83500,85000,85000,84900,85000,86900,85000,87900,87900,89000,85500,84900,80000,85000,84900,85000,85000,84999,80000,80000,79900,79900,79500,79900,79000,79900,79000,78000,79000,79900,76500,75000,75000,74900,74900,74900,74900,75000,74900,75000,77500,75000,77400,79000,78000,75000,75000,74900,75000,75000,77000,75000,75000,78000,78000,79000,79900,79900,79900,79000,79000,79000,78699.5,79897,79900,79900,79750,79822.5,77837.5,76250,75000,75000,74990,75000,75000,79900,80000,79900,79900,79900,78900,75000,78150,79900,80000,85000,89000,89987.5,89900,89900,89900,90000,91189,89900,89900,89900,89999,89999,93000,95700,98700,99900,99900,1e+05,1e+05,1e+05,1e+05,105000,1e+05,105000,109900
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,71400,72900,73800,74000,72900,70000,69900,69995,69000,65900,65900,65000,64000,60000,60000,60000,60000,60000,59900,59900,59000,59000,59900,59000,59900,60000,62500,63000,63800,65000,66900,70000,69900,74900,74000,76900,79900,80000,84900,85000,90000,90000,92000,94900,98900,99900,1e+05,102000,105000,108139,109900,110000,110000,114899.5,114900,112500,110000,112000,114750,114900,114900,115000,114900,115000,119900,120000,115000,122290,125000,125500,127500,129999,132000,133250,132000,134900,136000,138500,142000,143950,145000,145000,146575,147900,149000,150000,153000,154000,154950,157000,156900,158900,159725,160000,161700,162500,162000,164900,164250,165000,169000,169950,170000,174900,174900,175000,179000,178900,179000,179900,184900,184900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,70000,69900,70000,70000,69900,69900,69900,70000,69894,69500,69000,69000,69900,64900,65000,65520,65000,65000,63900,64000,63000,62000,60000,60000,59900,60000,60000,60000,63900,64000,65000,64000,63400,65000,63500,69900,69900,70000,71999,73000,75000,77000,78000,84000,84000,85000,85900,89900,89900,89900,89900,89999,90000,91200,90000,94900,94900,94900,94900,96000,99000,1e+05,1e+05,1e+05,105000,103000,105000,105000,109900,109900,110000,110200,111900,115000,115000,115000,115000,119900,119999,120000,121999,125000,125900,125000,127500,129900,132900,135000,135000,139900,140000,142000,145500,145000,148000,149000,150000,150000,154900,151900,155000,156888,159900,160000,165000,165000,169670,169999,174999,174990,175000,174999.5
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,190000,195000,199900,2e+05,208000,205000,205000,209000,209000,209900,210876,210000,205000,199900,199900,199999,199900,199000,199000,195000,195000,190000,190000,189000,189000,189000,189900,190000,195000,190000,191625,195000,189000,195000,195000,2e+05,209500,215000,215950,225000,225900,239000,249000,249945,259900,264000,265000,271450,275000,275000,280000,289000,279900,285000,289900,292950,290000,289000,285938,289000,295000,290000,294000,295900,299000,288000,317000,317000,315000,315000,310000,315000,318000,320000,324700,324500,329000,330000,340000,345000,345000,349000,349000,349900,355000,360000,359000,355000,360000,365000,367000,369000,369900,376500,380000,380000,379900,385000,382000,389500,395000,395000,396000,395000,399000,399000,399000,399000,395990,399000,399000,399000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,68500,68999.5,69900,69900,69000,69500,69000,68847.5,69000,69900,70000,69500,68900,67500,65500,65000,65800,67500,66499,68500,69500,65000,63900,60500,60225,62000,63000,64000,64900,64900,64900,63500,61900,64900,65000,65000,65000,65000,66500,69000,69000,67900,65000,65000,67949.5,69900,68400,67500,65250,64900,65000,69000,69900,67900,60800,68982.5,68000,65000,62500,61400,65000,65000,69000,69999.5,73000,72000,72500,76978.5,79900,80000,81180,85000,80000,80000,85000,89900,89925,91000,95500,94900,95000,95000,99250,1e+05,100500,1e+05,109900,110000,118000,119900,119900,122900,120755,122900,125000,125000,125000,127500,129900,135000,135000,135000,138000,135000,139900,139000,140000,140069,142500,144900,145000,149900
