"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,749000,739000,725000,725000,740000,740000,739000,732500,739000,749000,749000,755000,750000,739999.5,759000,775000,775000,770000,769000,760000,760000,775000,780000,785000,795000,798000,795000,825000,838000,849000,839000,825000,849000,849000,849000,859000,875000,850000,890000,880000,879000,895000,875000,875000,883750,895000,949000,940000,949000,899000,899999,940000,999000,1095000,1052000,1050000,1080000,1175000,1199000,1200000,1250000,1250000,1250000,1250000,1249000,1199000,1198000,1189999.5,1225000,1250000,1250000,1250000,1350000,1350000,1290000,1342000,1275000,1250000,1219362.5,1199000,1199000,1200000,1225000,1250000,1250000,1284037.5,1285944,1290000,1299000,1298000,1289000,1270000,1290000,1299000,1300000,1300000,1299000,1299000,1275000,1269900,1275000,1250000,1225000,1199000,1200000,1202087,1225000,1240000,1230000,1208500,1240000,1250000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,975000,971500,989000,979000,982000,979000,950000,950000,949000,939000,945000,929990,9e+05,935000,925000,899000,919000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899974.5,9e+05,925000,949500,959000,958500,951800,989000,982850,950000,990000,995900,999000,1e+06,1096000,1099000,1100000,1100000,1125000,1149000,1150000,1179000,1185752,1195000,1175000,1195000,1199000,1197000,1185000,1150000,1184500,1189000,1199000,1199000,1199000,1248500,1249000,1276500,1295000,1295000,1285366,1298694,1299000,1298000,1299000,1322000,1375000,1375000,1350000,1349000,1381781,1390000,1389000,1395000,1395000,1400000,1449000,1475000,1495000,1479000,1495000,1474995,1495000,1499000,1499000,1499000,1500000,1549000,1589000,1599000,1649000,1600000,1600000,1599000,1599000,1599000,1599000,1599000,1599000,1599000,1599700,1600000,1649500,1649950,1600000,1595000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,369500,364500,357000,355000,359900,359900,350000,350000,349900,349000,348990,345000,339000,342000,345000,348000,349000,349000,349000,349556,347700,349000,345000,349000,345900,349900,350000,349900,349500,349889,349000,349000,349900,350000,355000,359000,365000,369000,374000,379500,379900,385000,385000,389000,399000,399000,399900,399900,419000,425000,419000,421900,425000,429900,439000,439900,449000,449000,449990,450000,458000,459900,459000,464000,459900,459000,450000,449924,449925,450000,450000,464900,459900,465000,461858,467000,464900,459900,457990,455000,459000,455000,456000,450000,450000,455000,459000,459900,459900,450000,450000,450000,450000,450000,450000,449900,449900,449900,450000,455000,450000,450000,450000,449900,450000,455000,455031,450000,450000,459000,464715,465000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,429000,425000,420500,419000,419000,423000,419900,424500,409000,414900,414510,408950,4e+05,409000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399635,399900,399900,4e+05,399900,399900,399000,399000,399900,4e+05,4e+05,399900,4e+05,409800,410000,419700,424000,420770,425000,424900,439900,439900,435000,442500,449000,439900,439000,439000,430000,434900,435000,434999,439900,439949.5,445000,449000,449900,449000,445000,440000,449000,449900,449900,449900,459000,459000,469000,475000,475000,479000,475000,475000,475500,490900,495000,498000,499900,509900,525000,539250,547890,535000,519900,515000,525000,525000,524900,505000,519000,520000,529000,547780,550000,549900,539900,545000,539000,530000,529000,525000,529000,525000,529900,535000,539900,539900,535000,525000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,279900,279900,281991.5,280000,279900,284500,286000,279500,270990,272000,272495,273384,269133,270000,269116,270500,272500,269500,274850,275000,274900,275000,274900,275000,275000,275000,279900,279900,280000,287640,285000,285000,289000,289500,289990,289999.5,289900,292700,295990,295787,294990,290500,291669,294900,298499.5,299000,299990,304000,300516,301150,297894.5,300995,301990,299950,299730,299900,3e+05,304990,309900,316918,316990,314945,304768,309990,308000,309000,306254,299999,309997.5,303069.5,305990,310529.5,316990,329900,329900,339000,337101,329900,329900,330000,335700,336990,338338,339900,339990,342000,344900,345000,343835,342990,343900,342000,339999,338907.5,335000,331574,334900,333995,339000,339999,339900,339900,339900,343995.5,341945,342900,341449.5,344990,342000,344000,343790,349000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,425000,429900,429900,420000,424900,425000,419000,409900,404900,409900,399900,399000,399900,399900,399900,399900,399900,395750,395000,399000,395000,389900,389900,389900,389900,389900,389900,399000,395000,389000,389949.5,395000,399000,398900,399000,399900,399900,399900,409000,399899.5,399900,399000,398000,399000,399000,398500,399900,399900,401000,404900,409000,410000,4e+05,4e+05,399450,399900,409000,407900,407900,407900,4e+05,407900,409000,407900,419900,415000,419900,420000,420000,419900,420000,425000,425000,425000,425000,429000,429900,425000,425000,429900,449000,445000,449900,449900,439900,435000,439900,443000,450000,449900,450000,454900,452860,450000,450000,450000,450000,450000,450000,450000,449900,450000,459900,459000,459000,464000,459900,465000,475000,475000,475000,479000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,350000,350000,350000,349900,349900,343009,340000,335000,335000,329900,330900,329000,329000,329900,329900,329900,325000,322000,324900,319900,319995,320000,324900,324900,329900,339000,342700,341150,349000,350000,350000,350000,359000,363900,368245,374994.5,374900,375000,378750,389000,395000,389900,399000,397900,399000,399000,399000,399900,399900,4e+05,409000,404245,399900,399900,399900,4e+05,409000,409950,415000,419000,419000,419900,424900,425000,424900,424900,424996.5,425000,425000,429900,430990,434990,439000,439000,439000,439900,445000,445000,449900,449000,449500,449999,450000,450000,456948,459900,465000,459900,459000,459000,450000,450000,459700,459900,459450,464900,469000,473730,479000,479000,479000,477000,475000,485000,489000,489000,495000,495000,499000,509900,504990,511495
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,325000,320000,314900,305037,299999,299900,299900,294400,289000,280000,279000,275000,274900,275000,274990,266495,259900,259900,259900,255000,259900,259900,254999,254994.5,254900,259000,260000,265075,269900,270000,269900,274900,275000,280000,283844.5,289000,289000,290000,295000,299500,299000,299900,3e+05,308694,315000,324900,325000,330000,330000,335000,339999,348000,349999,350000,350000,359000,359000,359000,359925,364974,364250,360000,369000,375000,369999,369990,369950,370000,374999,369990,375000,376950,375368,380000,379999,389000,389000,389500,388939,389000,390427.5,392995,399000,399900,399999,407250,404945,406000,415000,422250,425000,430000,430000,443899.5,445000,449000,449900,456445,453880,457970,459900,459000,465990,469903.5,469000,469900,477888.5,478000,475000,475000,475000,479000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,849900,825000,799900,799000,809750,820000,799000,799000,799000,795000,792037.5,775000,765000,757762.5,750000,764950,756500,749894,745500,740000,745000,730000,739900,749000,749894,755000,769000,779949.5,798000,799000,799000,799000,799000,799000,799000,847000,849000,849900,849000,855000,885000,895000,895000,899000,924888,899900,917000,935000,939900,939700,927000,937000,929000,920000,925000,944888,949000,929000,949900,950000,949900,993600,995000,999000,995000,972945,979000,985000,995500,1043495,1e+06,1049000,1072500,1095000,1099000,1070000,1055000,1069000,1075000,1075000,1075000,1074900,1095000,1150000,1145000,1150000,1125000,1150000,1125000,1175000,1195000,1195000,1199000,1199250,1199000,1206495,1200000,1222900,1249000,1229000,1269000,1249998.5,1200000,1229000,1249000,1249000,1248888,1250000,1250000,1250000,1249000,1250000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,399000,395000,389900,388928,385000,379900,379000,375000,375000,370000,371495,369500,375000,375000,375000,379000,379000,379000,378990,375000,369900,374900,374700,375000,379000,380000,389000,395000,394750,395000,395000,395000,399000,399000,399000,399900,399900,4e+05,414950,414450,419000,419000,419000,420000,425000,425000,425000,428000,425000,425000,425000,435000,438000,449000,450000,450000,450000,449900,449900,459900,465000,474900,475000,479900,475000,480000,481500,479900,481500,489900,493000,489900,499000,5e+05,515000,520000,525000,524900,524000,515000,525000,530000,529850,535000,530000,542500,549000,557214.5,550000,549900,548800,545000,540000,539000,535000,548000,549000,549900,549900,550000,559000,549900,549000,549000,549000,549900,543894,541249,549900,550000,569000,566250
