"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,2252.5,2388,2300,2350,2500,2550,2499,2450,2200,2200,2400,2500,2500,2350,2300,2400,2300,2350,2432,2400,2400,2465.5,2495,2500,2500,2500,2505,2550,2595,2600,2600,2600,2595,2650,2612,2650,2698,2700,2640,2650,2700,2700,2650,2613,2600,2600,2600,2600,2650,2640,2300,2250,2295,2250,2270,2200,2200,2250,2295,2350,2375,2300,2250,2300,2300,2250,2200,2200,2200,2200,2200,2294,2300,2350,2349,2345,2400,2495,2400,2200,2250,2300,2300,2350,2388.5,2395,2395,2400,2400,2350,2300,2297,2295,2300,2308,2400,2400,2400,2400,2400,2400,2300,2300,2295,2300,2300,2325,2400
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,1262.5,1267.5,1352.5,1300,1338,1350,1350,1350,1375,1350,1300,1289,1250,1250,1200,1275,1350,1399,1395,1420,1400,1395,1395,1450,1518,1525,1440,1450,1575,1588,1552,1550,1550,1475,1450,1495,1500,1365.5,1525,1495,1480,1450,1495,1580.5,1595,1650,1695,1700,1750,1725,1769,1750,1795,1795,1750,1795,1800.5,1800,1800,1840,1849,1850,1840,1990,1999,2020,2020,2006.5,1995,1958,1945,1995,1913.5,1939,1850,1963,2012,2097.5,2071,2075,2098,2150,2100,2115,2118.5,2095,2095,2074,2100,2100,1995,2113,2225,2270,2336,2338.5,2368.5,2350,2350,2350,2335,2350,2395
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1224,1120,1072,1105,1210,1214,1235,1200,1229,1245,1184.5,1199,1190,1200,1200,1225,1230,1227,1229,1225,1240,1242,1359,1355,1374,1295,1325,1300,1295,1282,1239,1195,1230,1169,1109,1150,1200,1230,1240,1250,1250,1220,1211,1229,1240,1250,1270,1282,1282,1308,1315,1315,1300,1300,1293,1293.5,1279,1271,1277,1265,1250,1250,1264,1269.5
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,1352.5,1352,1394.5,1225,1275,1250,1280,1299,1375,1343,1300,1325,1329,1345,1380,1395,1340,1280,1250,1325,1395,1400,1400,1465,1500,1477,1500,1500,1600,1500,1550,1582,1600,1590,1595,1570,1545,1588.5,1644,1620,1549,1510,1498,1495,1544,1637,1523,1672,1700,1650,1495,1600,1658,1504,1501.5,1515,1500,1476,1490,1645,1724,1802,1723,1679.5,1737,1595,1545.5,1531,1503,1486,1495,1495,1495,1550,1550,1525,1500,1495,1495,1495,1495,1495,1510,1595,1610,1630,1595,1595,1594,1595,1595,1595,1595,1600,1607,1600,1595,1625,1632,1657,1675,1690,1640
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,652.5,595,595,595,595,600,639.5,647,650,639,670,675,686,715,735,695,685,680,679,730,725,708,715,695,711,713,734,750,730,731,729,750,761,775,775,790,799,800,800,800,775,795,785.5,787,780,775,780,789,785,790.5,779,771.5,775,775,783,795,795,800,850,850,825,820,850,825,800,820,804,820,834,790,808,780,810,835,840,850,909,900,886,885,899,900,893,900,899,956.5,938,929,947,961,950,965,950,945,958.5,945,952,983,985,981
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,1195,1250,1291,1291.5,1275,1250,1250,1200,1170,1099,1025,1050,995,990,977.5,975,1100,1155,1250,1200,1238,1200,1189,1108,1150,1109,1075,1050,1200,1150,1150,1222.5,1100,1147.5,1100,1215,1200,1250,1250,1050,1075,1050,1100,1297.5,1295,1263,1250,1195,1200,1150,1125,1100,1125,1200,1290,1250,1250,1195,1220,1185,1175,1250,1200,1220,1200,1275,1299,1350,1299,1299,1300,1275,1330,1297.5,1347.5,1295,1350,1375,1395,1425,1395,1395,1400,1397,1350,1370,1370.5,1361.5,1365,1480,1495,1495,1475,1495,1492.5,1499.5,1512.5,1567.5,1550,1550,1550,1550,1527
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,585,585,571,550,619.5,629,648,650,595,597,599,625,646,625,620,595,595,640,665,650,650,665,675,690,700,701,695,680,670,669,669.5,666,665,655,660,655,660,650,644,650,700,699,690,700,677,695,682.5,700,699,700,685,700,700,721,749,740,743,750,750,755,775,780,825,891,875,862.5,898.5,854.5,850,950,850,870,874,858,833,825,900,975,1145,1175,1095,1080,995,970,967,950,948,940,941.5,960,972,990,980,994,1001.5,1020,1015,1045,1040,1025,1033,1058.5,1055,1115
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,630,627.5,624,650,650,650,750,862.5,797,700,700,700,650,625,649.5,615,635,649,605,600,630,625,625,645,650,650,625,625,625,645,650,685,700,700,675,652.5,650,672,700,689,675,675,695,700,700,725,725,750,750,759.5,782,775,797.5,795.5,782.5,789.5,800,815,818,795,784,824,879,860,847,878,856,850,880,825,875,850,844,845,859.5,850,915,920,940,910,905,920,935,895,885,875,850,850,900,935,950,960,985.5,1010,1027.5,1008,1025,1000,1003,1007,1009.5,1005,1014
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,1350,1295,1297.5,1250,1250,1350,1400,1462.5,1450,1300,1300,1350,1320,1361,1295,1295,1332.5,1300,1300,1350,1330,1345,1350,1345,1350,1355,1350,1345,1339.5,1300,1350,1375,1325,1250,1395,1450,1395,1380,1450,1624,1600,1595,1650,1601.5,1650,1679,1645,1690,1710,1650,1695,1697,1705,1735,1785,1800,1773,1749,1750,1750,1750,1764.5,1754,1700,1700,1850,1725,1810,1695,1710,1670,1750,1792,1800,1840,1871.5,1854,1892,1853,1870,1856,1825,1799,1827,1880,1875,2005,2045,2066.5,2036,2020,1997.5,2000,2040,2034,2015,2010.5,1995,1977
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,1009,990,968,995,973,880,892,833,790,899,870,865,945,875,991,1017,976.5,970,1049,1025,1050,1085,1150,1060,1083,1083,1027,1096,1100,1050,1095,1112,1150,1159,1180,1144,1136,1164,1150,1179,1147,1115,1124.5,1150,1199,1200,1160,1129.5,1119,1155,1150,1165,1199,1200,1229,1200,1195,1195,1206,1255,1276,1254,1247,1267,1269.5,1240,1310,1275,1250,1215,1300,1295,1310,1306,1311,1320,1325,1350,1330,1310,1349,1325,1325,1372,1345,1334,1350,1364,1370,1371,1355,1375,1359,1345,1360,1398,1376,1375
"Austin","TX","Austin-Round Rock","Travis County",11,,,,,,,,,,,,,925,897.5,879,950,900,860,830,845,872,922.5,895,915,939.5,945,930,950,929,895,871,930,920,915,885.5,860,880,859,875,874,876,895,900,924,948,995,997,999,975,1050,1104,1010,1000,1035,1032,1045,1036,1075,1015,1015,1048.5,1025,1066,1020.5,1020,1045,1066,1085,1090,1083,1090,1091,1094,1109,1100,1076,1095,1065,1075,1075,1040,1013,990,1064,1095,1095,1120,1150,1119,1105,1100,1099,1089,1099,1130,1130,1168,1185,1200,1206,1206.5,1203,1211,1220,1228,1229,1226,1275,1325,1278,1318
