"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,2800,2725,2775,2800,2800,2900,2995,2995,2995,2700,2595,2400,2600,2575,2600,2695,2750,2750,2800,2800,2900,2895,2950,2900,2950,2900,2900,2945,2850,2700,2800,2895,3000,3150,3155,3199,3195,3195,3195,3199,3200,3100,3100,3100,3100,3085,3095,3150,3100,3150,3159.5,3200,3200,3200,3200,3200,3200,3155,3175,3150,3100,3100,3100,3100,3000,3050,3100,3000,3000,3000,3000,3050,3199,3195,3200,3200,3200,3200,3195,3195,3150,3100,3100,3100,3050,3000,3000,3100,3100,3100,3100,3025,3000,3000,3000,3000,3000,3000,3100
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699,2600,2650,2650,2695,2650,2750,2895,2850,2850,2895,2895,2900,2950,2875,2950,2950,2950,2972.5,2950,2800,2850,2900,2850,3150,2800,2999,2850,2900,2975,3000,3000,3000,3000,3100,3195,3000,3000,3000,3050,3100,3095,3095,3150,3200,3195,3100,3100,3095,3125,3200,3017.5,3095,3000,3050,3100
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,1350,1303,1285,1317,1303,1300,1300,1300,1300,1290,1300,1300,1300,1300,1300,1300,1300,1303,1300,1400,1390,1372.5,1352.5,1350,1357,1350,1375,1400,1400,1400,1400,1400,1400,1375,1350,1350,1346,1300,1319.5,1363.5,1300,1300,1300,1300,1300,1300,1295,1295,1300,1295,1295,1300,1300,1300,1300,1304.5,1325,1350,1350,1350,1325,1300,1300,1319.5,1300,1300,1300,1300
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1500,1500,1500,1500,1550,1500,1500,1600,1650,1650,1800,1650,1650,1600,1650,1650,1650,1650,1674,1700,1700,1675,1675,1679,1700,1700,1695,1650,1700,1695,1700,1702,1747,1700,1665,1660,1700,1663,1650,1641.5,1650,1650,1650,1695,1775,1750,1775,1785,1795,1795,1800,1800,1810,1850,1850,1850,1850,1800,1832,1800,1811,1845,1800,1800,1809.5,1813.5,1825,1800,1799,1800,1800,1800,1850,1850,1850,1800,1849.5,1800,1825,1800,1800,1800,1795,1800,1800,1800,1850,1850,1900,1900,1900,1858,1829,1800,1800,1800,1800,1850,1850,1875,1900,1900,1950,1900,1850,1850,1825,1850,1800,1850,1850
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.5,1110,1105.5,1025,1050,1067.5,1100,1100,1100,995,1000,950,995,995,975,955,1025,960,1027.5,1050,1050,1027.5,1050,1100,1132.5,1200,1200,1150,1150,1100,1100,1150,1130,1142.5,1095,1100,1100,1100,1150,1150,1150.5,1150,1150,1200,1200,1200
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,1800,1800,1647.5,1672.5,1900,1900,1950,1850,1895,1850,1675,1650,1650,1600,1645,1700,1650,1750,1750,1750,1700,1700,1700,1550,1650,1550,1592.5,1637.5,1600,1585,1600,1595,1575,1600,1492.5,1450,1500,1500,1500,1500,1400,1350,1395,1450,1650,1600,1600,1600,1600,1595,1600,1650,1650,1650,1650,1700,1700,1700,1575,1650,1700,1725,1700,1700,1692.5,1695,1750,1700,1750,1725,1675,1700,1700,1700,1775,1750,1700,1700,1700,1700,1600,1650,1699,1625,1700,1750,1775,1800,1750,1750,1750,1750,1700,1695,1700,1710,1737.5,1750,1795,1780,1750,1750,1750,1700,1750,1700,1700,1712.5,1750,1800,1800
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,895,800,799.5,835,795,835,950,937.5,950,950,925,899,875,895,900,900,895,900,900,895,850,850,850,850,850,800,800,825,850,800,850,850,850,875,850,850,877,895,875,865.5,850,845,850,900,895,900,900,900,925,950,975,950.5,950,975,950,950,950,960,975,985,975,1000,1034.5,1050,1000,1063,1050,1000,1005,1000,1050,1095,1079,1050,996,1000,1000,1000,975,999,1000,975,1063,1077,1100,1100,1100,1125,1146,1150,1150,1150,1145,1150,1195,1175,1179.5,1182,1200,1200,1200,1200,1200,1200,1200,1200,1200,1195,1225,1235
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,899,895,895,895,895,900,940,900,800,795,800,800,800,850,850,800,815,825,825,800,800,825,800,800,800,795,795,795,795,775,797,795,800,800,825,800,850,850,825,825,900,900,850,825,825,825,850,850,850,850,850,850,850,860,895,900,900,900,925,900,925,950,947.5,935,925,925,900,900,900,900,900,907,910,907,925,999,925,950,950,1100,1200,1100,1195,1200,1250,1250,1100,1075,1050,1060,1050,1040,1045,1049,1050,1095,1100,1125,1137.5,1150,1150,1150,1150,1185,1150,1150,1150,1187,1195,1200
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,1950,1895,1950,1900,1850,1812.5,1850,1895,1895,1895,1850,1800,1800,1825,1750,1695,1750,1750,1700,1795,1800,1800,1800,1795,1790,1795,1795,1795,1800,1795,1700,1995,1999,1950,1995,2050,2000,1995,1992.5,1995,2050,2050,2100,2150,2150,2150,2100,2100,2100,2100,2000,2000,2050,2050,2100,2150,2195,2197,2195,2195,2195,2195,2100,2100,2195,2200,2100,2200,2100,2012.5,2100,2150,2200,2225,2295,2337.5,2395,2395,2375,2300,2300,2300,2300,2300,2300,2350,2395,2400,2400,2400,2495,2450,2400,2400,2400,2400,2400,2395,2400
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246,1300,1358.5,1369,1275,1250,1250,1250,1276,1295,1336,1300,1267.5,1295,1300,1250,1300,1336,1350,1350,1356,1338,1400,1369,1356,1385,1400,1395,1395,1395,1400,1395,1369,1356,1325,1395,1312.5,1378,1397,1395,1407.5,1425,1473,1480,1450,1450,1450,1450,1450,1407.5,1434,1450,1422,1450,1473,1500,1500,1500,1510,1500,1500,1500,1500,1500,1500,1500,1499,1545
