"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,2600,2600,2695,2650,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2798,2800,2800,2840,2895,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2895,2895,2550,2525,2550,2566,2525,2500,2500,2595,2600,2650,2695,2650,2600,2650,2650,2600,2600,2595,2566,2566,2550,2600,2600,2625,2634,2650,2695,2725,2650,2500,2550,2508,2500,2550,2599,2600,2620,2683,2600,2595,2500,2500,2500,2500,2500,2550,2600,2650,2695,2680,2631,2590.5,2515,2500,2500,2550,2585,2620
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,1500,1500,1535,1500,1550,1500,1550,1597,1495,1449,1400,1482.5,1500,1500,1550,1550,1530,1450,1395,1450,1512.5,1425,1400,1400,1475,1450,1446.5,1495,1500,1495,1450,1425,1495,1492.5,1400,1499,1475,1450,1465,1495,1585,1550,1695,1600,1600,1650,1650,1695,1695,1700,1750,1750,1695,1757.5,1795,1795,1725,1750,1850,1850,2050,2125,2200,2195,2285,2000,2195,1875,1900,1900,1825,1850,1995,2100,2099,2105,2095,2095,2095,2095,2000,2100,2095,2050,1995,2000,2000,2000,2099,2150,2150,2150,2100,2150,2150,2100,2195,2100,2195,2195
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,1275,1314.5,1375,1400,1250,1200,1200,1195,1235,1299.5,1250,1200,1102,1144,1100,1195,1200,1161,1225,1200,1200,1195,1179.5,1175,1195,1150,1180,1174,1100,1095,1095,1075,1095,1150,1130,1150,1111.5,1100,1100,1095,1075,1050,1077,1100,1100,1100,1100,1100,1050,1060.5,1080,1095,1099.5,1100,1100,1095,1095,1050
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1215,1312.5,1355,1212,1297.5,1263,1343.5,1400,1400,1363.5,1322,1333,1350,1401,1425,1490,1435,1400,1400,1400,1400,1425,1335,1295,1315,1425,1504.5,1527,1514.5,1520,1450,1495,1478,1500,1500,1575,1510,1550,1604,1600,1600,1625,1600,1563,1600,1650,1600,1545,1545,1550,1506,1564,1698,1621,1650,1675,1700,1572,1630,1800,1600,1645,1700,1700,1725,1650,1885,2044,2149,1950,1799,1895,1600,1505,1550,1567,1500,1515,1495,1467,1500,1500,1495,1500,1500,1500,1500,1505.5,1542.5,1565,1595,1630,1650,1660,1630,1647,1650,1685,1700,1730,1750,1725,1760,1695,1695,1650,1700,1650,1736,1655
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,950,995,899,950,925,905,902.5,995,1019,1000,995,975,985,1000,999,1006,1075,1079,975,995,940,925,925,950,925,950,950,950,950,950,950
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1200,1300,1295,1175,1160,1195,1200,1295,1295,1250,1250,1200,1250,1320,1350,1350,1320,1350,1395,1395,1400,1400,1350,1400,1400,1450,1380,1395,1425,1432.5,1495,1450,1397.5,1300,1250,1250,1237.5,1295,1295,1300,1300,1350,1395,1400,1400,1400,1375,1350,1300,1350,1300,1300,1295,1375,1400,1395,1395,1395,1365,1350,1390,1400,1400,1399,1350,1350,1350
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,550,550,550,550,550,550,550,550,550,595,575,575,675,725,750,700,775,690,625,625,635,625,625,625,650,650,610,625,600,600,625,650,680,699,650,650,675,675,675,675,625,650,650,675,650,650,625,600,650,635,650,699,695,702.5,700,712.5,695,687.5,650,695,680,685,730,730,725,712.5,725,725,700,745,700,677.5,775,795,795,800,795,825,850,850,847,850,850,850,850,850,850,875,850,895,895,899.5,895,900,899,875,900,895,895,925
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,795,850,850,900,1050,975,850,855,850,875,800,799,795,850,950,950,912.5,925,962.5,930,900,925,995,950,1025,997.5,945,1000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,,,1300,1250,1312.5,1299,1272.5,1295,1297,1275,1345,1365,1317.5,1300,1300,1275,1225,1250,1200,1187.5,1199.5,1250,1275,1299.5,1300,1300,1300,1300,1297.5,1399,1385,1300,1320,1400,1450,1395,1395,1445,1595,1495,1495,1495,1450,1395,1395,1395,1400,1450,1395,1395,1399.5,1450,1550,1550,1595,1500,1549.5,1595,1637.5,1662.5,1695,1595,1650,1595,1550,1550,1595,1595,1525,1500,1625,1695,1650,1650,1695,1650,1700,1700,1725,1795,1700,1700,1750,1750,1750,1800,1850,1895,1850,1895,1895,1895,1825,1850,1875,1825,1795,1795
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1129,1200,1150,1295,1212.5,1303,1425,1426,1420,1300,1275,1275,1232.5,1200,1138,1141,1100,1095,1147.5,1195,1175,1157.5,1299.5,1400,1400,1331,1250,1195,1240,1200,1200,1150,1275,1299,1341.5,1390,1350,1384,1388,1515,1392.5,1350,1350,1350,1239,1200,1195,1080,1097,1095,1100,1095,1095,1178.5,1095,1050,1150,1197.5,1195,1200
