"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,2200,2400,2500,2462.5,2595,2500,2395,2550,2600,2500,2595,2299.5,2200,2450,2500,2550,2500,2646,2695,2695,2600,2500,2495,2495,2550,2550,2600,2650,2700,2700,2750,2780,2795,2795,2775,2700,2795,2782,2800,2850,2895,2800,2826.5,2885,2899,2800,2800,2750,2795,2795,2800,2800,2900,2500,2500,2500,2500,2500,2450,2475,2500,2500,2550,2595,2550,2500,2575,2550,2500,2500,2495,2450,2495,2500,2500,2550,2599,2600,2600,2600,2658,2600,2400,2495,2500,2500,2500,2575,2599,2600,2600,2566,2500,2499,2475,2450,2450,2495,2500,2599,2600,2600,2600,2567,2500,2500,2475,2475,2495,2500,2566
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,1762.5,1750,1945,2000,2100,2100,2200,1950,1925,1897,1975,1795,1795,1797,1850,1927.5,1995,1990,1950,1850,1650,1500,1500,1595,1650,1650,1650,1695,1650,1675,1695,1705.5,1695,1700,1632,1645,1730,1750,1750,1755,1735,1725,1700,1795,1799,1650,1800,1795,1750,1750,1795,1868.5,1890,1975,1995,1999.5,2025,2040,2095,2100,2100,2128,2120,2165,2195,2195,2192,2200,2200,2195,2192,2299,2320,2350,2350,2349.5,2300,2275,2250,2325,2200,2245,2183,2265,2395,2400,2395,2395,2390,2400,2400,2395,2395,2350,2350,2350,2388,2385,2350,2390,2450,2500,2550,2550,2555,2565,2550,2565,2549,2550,2595
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,1185,1172,1200,1255,1235,1320,1285,1375,1382,1380,1265,1408,1250,1194,1234,1373,1365.5,1385,1340,1371,1383.5,1345,1349,1335,1375,1385,1424,1425,1415,1401,1405,1419,1400,1500,1484,1500,1475,1485,1469,1471,1450,1409,1355,1379,1336,1300,1315,1340,1370,1355,1379,1375,1350,1343,1363,1360,1375,1404,1405,1400,1425,1440,1450,1435,1431,1418,1421,1402,1397,1399,1385,1367,1372,1385,1380
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1645,1350,1315,1329.5,1317.5,1362.5,1300,1295,1395,1500,1545,1550,1400,1409,1400,1456,1475,1485,1450,1456,1466,1450,1400,1425,1436,1400,1395,1400,1425,1462,1485,1500,1530,1550,1500,1515,1500,1610,1550,1575,1600,1633,1625,1625,1615,1595,1600,1645,1600,1565,1560,1567,1600,1650,1700,1624,1706,1708.5,1674,1562,1609.5,1708,1600,1620,1650,1650,1650,1637,1700,1745,1796,1700,1685,1750,1650,1650,1650,1650,1640,1604.5,1600,1595,1600,1595,1600,1600,1600,1645,1650,1655,1659,1675,1692,1680,1675,1650,1650,1675,1700,1705,1725.5,1750,1750,1734,1724,1700,1700,1700,1745,1750,1795,1795
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,921,950.5,910.5,809.5,750,780,799,750,777.5,775,792.5,814.5,875,800,785,799,805,860,866,820.5,799,800,810,853.5,850,830,842,813,800,834,906.5,905,851,860,859,876,891,899,906,945,982.5,975,975,980,959,1000,1000,989,995,975,975,1000,979,999,963,944,950,979,986,989.5,991,975,1019,1021,1004,1013,1063,1040,998,1025,995,1047,1013.5,955,1007,950,1000,1021,1020,1045,1100,1078,1060,1054,1075,1078,1075,1080,1085,1148,1127,1109,1125,1144,1150,1150,1150,1125,1172,1141,1166,1177,1175,1178
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,1401.5,1380,1337.5,1320,1327.5,1335,1395,1400,1400,1350,1300,1300,1200,1200,1200,1200,1300,1350,1390,1350,1347,1350,1300,1275,1270,1277.5,1257,1275,1433.5,1395,1355,1395,1325,1300,1298,1350,1305,1350,1360,1287.5,1295,1295,1300,1400,1400,1400,1375,1320,1350,1395,1325,1350,1390,1400,1450,1440,1410,1400,1400,1385,1395,1404,1384.5,1400,1425,1450,1450,1500,1450,1400,1400,1400,1450,1400,1455,1400,1470,1500,1500,1550,1500,1500,1525,1500,1495,1495,1500,1500,1500,1575,1595,1596,1550,1575,1575,1595,1600,1650,1650,1645.5,1625,1621,1609.5
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,695,750,750,800,775,785,795,849,845,850,799.5,795,795,832.5,849.5,850,825,825,850,777.5,730,725,736,750,760,755.5,750,760,775,780,795,779,777,760,750,759,778,785,789,790,778,785,800,800,775,795,825,825,825,844,850,850,843.5,850,850,850,844,850,875,875,885,900,899,899,899,900,905,900,905,975,975,972.5,1000,985,975,1020,960,969,950,960,949,945,997,1063,1152,1187.5,1136,1134,1113,1089,1066,1059,1045,1050,1060.5,1085,1095,1108,1099,1099.5,1100,1119.5,1100,1142,1141,1123,1150,1170,1180.5,1225
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,800,850,895,895,895,860,895,795,766.5,750,738,780,780,795,800,805,800,800,825,800,790,750,765,750,763,760,750,750,750,750,750,750,750,795,775,758,772,799,799,799,850,890,895,925,925,895,950,995,995,995,995,1000,1000,950,900,900,925,939,990,925,912,925,950,950,950,933,940,900,900,939,970,925,939,967,970,950,1040,1100,1099,1085,1100,1149,1050,1100,1150,1150,1149,1075,1045,1016,1040,1000.5,1000,1000,980,1000,1050,1100,1100,1100,1135,1150,1150,1146,1150,1125,1135,1149,1150,1165,1169
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,2062.5,1900,1995,1695,1700,1700,1795,1795,1777.5,1795,1800,1850,1775,1600,1625,1625,1600,1640,1595,1590,1640,1612,1600,1645,1550,1593.5,1615,1600,1595,1621,1600,1625,1650,1650,1670,1810,1775,1650,1795,1842,1785,1760,1795,1900,1950,1900,1950,1900,1920,1900,1895,1890,1902.5,1900,1900,1900,1935,1955,1995,2000,1995,1980,1955,1960,1960,1980,1995,1975,1995,2080,1995,2020,1950,1900,1950,1985,2000,2032,2080,2105,2100,2135,2135,2129,2125,2100,2097,2100,2155,2134,2210,2252,2295,2294,2295,2284,2295,2300,2295,2295,2295,2245.5,2250
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,1049.5,1052.5,1000,995,1021.5,1000,900,926.5,908.5,930,1027,970,949,1020,975,1100,1149,1100,1059,1119,1100,1130,1200,1290,1200,1215,1215,1166,1216.5,1231,1179,1285,1337,1335,1325,1350,1300,1300,1322,1287,1296,1275,1250,1250,1280,1329,1325,1310,1299,1250.5,1290,1280,1280,1303,1319,1357.5,1325,1290,1320,1338,1375,1395,1372,1355,1375,1350,1324.5,1410,1413.5,1350,1328,1396,1400,1425,1437,1438,1431,1443,1479,1456,1445,1480,1479,1480,1528,1480,1475,1494.5,1490,1495,1500,1490,1504.5,1480,1460,1475,1500,1495,1490
