"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New York","NY","New York-Newark-Jersey City","Queens County",1,1972.5,2275,2495,2200,2300,2200,1900,1950,2100,2000,2350,2100,1900,2000,2000,2045,2050,2100,2200,2195,2145,2100,2095,2095,2100,2100,2150,2195,2195,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2235,2290,2285,2299,2300,2295,2300,2295,2295,2300,2333,2300,2274.5,2295,2300,2300,2300,2325,2330,2350,2400,2395,2400,2395,2400,2400,2400,2375,2350,2350,2350,2350,2350,2329,2350,2350,2350,2316.5,2350,2375,2199,2295,2400,2400,2440,2475,2475,2492,2450,2400,2375,2350,2350,2312,2350,2367,2400,2400,2415,2400,2400,2395,2350,2350,2325,2335,2350,2400,2427
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,896.5,895,945,950,950,925,900,950,995,950,985,959,980,1050,1063,1050,1095,1095,1025,1100,1096.5,1095,950,1052.5,1098,1095,1050,1075,1132.5,1195,1275,1325,1295,1295,1275,1335,1340,1345,1362.5,1390,1375,1425.5,1445,1439,1415,1450,1407,1399.5,1500,1550,1600,1580,1677,1595,1695,1550,1600,1550,1550,1450,1500,1715,1942,1825,1750,1870,1970,1960,1974.5,1930.5,1882,1881,1853,1870,1870,1859,1895,1820,1886,1923,1879,1900,1895,1800,1836.5,1880,1900,1975
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1195,1215,1200,1170,1195,1239,1239,1269.5,1250,1200,1227,1227,1359,1349,1350,1335,1325,1356,1319,1325,1283,1250,1261,1244.5,1242
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1450,1450,1425,1499,1499,1400,1300,1510,1600,1625,1750,1500,1432.5,1350,1355,1375,1350,1300,1305,1350,1315,1290,1295,1271,1225,1225,1280,1299,1290,1339.5,1396,1400,1395,1395,1390,1400,1430,1415,1400,1433,1441.5,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1530.5,1583,1500,1600,1595,1515,1475,1530,1628,1550,1500,1533.5,1550,1523,1500,1550,1550,1550,1525,1525,1564,1515,1500,1499,1450,1450,1450,1450,1500,1504.5,1495,1500,1499.5,1495,1490,1483,1495,1500,1535,1554,1550,1540,1511,1517,1500,1489,1450,1464,1485,1500,1515,1490,1472,1471,1470,1500,1453,1562,1529
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,900,950,935,919,907.5,995,975,975,999,999,1050,1100,1085,1067.5,1095,1095,1030
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1290,1250,1325,1275,1200,1400,1275,1350,1550,1500,1250,1250,1295,1350,1300,1300,1400,1400,1400,1200,1150,1154,1095,1100,1111.5,1100,1170.5,1100,1100,1115,1164.5,1099.5,1100,1149,1100,1100,1250,1200,1195,1075,1052,1150,1200,1200,1100,1100,1100,1100,1139,1137,1200,1200,1250,1200,1200,1250,1250,1164.5,1200,1200,1200,1250,1275,1250,1200,1250,1200,1200,1200,1200,1250,1239.5,1295,1300,1295,1300,1195,1250,1242,1300,1250,1300,1205,1250,1295,1300,1295,1265,1250,1295,1300,1300,1300,1299.5,1315,1300,1381,1375,1350,1350,1325,1350,1350,1375,1419,1420,1400,1395,1375,1395
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1049,1025,1000,1000,1000,995,1000,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1149,1150,1179,1150,1150,1150,1150,1150,1195,1200,1222,1225,1225,1200,1200,1200,1200,1187.5,1200,1240,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1295,1295,1300,1295,1299,1325,1339,1365.5,1350,1395,1380,1385,1365,1385,1395,1395,1395,1400,1450
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.5,1495.5,1537.5,1571,1550,1500,1586.5,1615,1650,1680,1680,1400,1450,1590,1550,1580.5,1595,1450,1495,1617,1395,1503,1395,1442.5,1580,1685,1745,1680,1729,1745,1675,1738,1636.5,1678.5,1654,1624,1662.5,1745,1769,1775,1850,1850,1870,1885,1875,1838.5,1800,1833.5,1850,1844,1799,1764,1799
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,892.5,750,800,800,800,800,850,730,729.5,700,700,699,650,695,750,750,842,850,770,705,725,750,807,850,845.5,795,815,850,789,790,848,857,898.5,950,985,980,975,945,950,963.5,950,1059,1050,1050,997,1060,1100,1050,1059,1025.5,1026,1080,1068.5,1086,1180,1177.5,1050,999,1070,1071,1060,1040,1050,1125,1152.5,1054,1100,1100,1097,1150,1153,1097,1170,1170,1165,1165,1170,1180,1190,1227,1240,1251,1269,1285,1290.5,1300,1262.5,1258,1225,1209.5,1200,1225,1202.5,1225,1240,1230,1225,1230,1250,1235
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1350,1395,1400,1400,1400,1475,1450,1400,1450,1500,1550,1500,1500,1550,1575,1600,1600,1595,1595,1596,1600,1650,1645,1625,1650,1675,1750,1700,1725,1725,1700,1625,1595,1600,1609,1620,1550,1600,1685,1695,1650,1650,1600,1600,1650,1695,1700,1695,1725,1700,1750,1750,1710,1700,1695,1664,1675,1650,1660,1675,1695,1700,1730,1750,1750,1700,1700,1695,1695,1695,1695,1675,1738.5
