"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"New York","NY","New York-Newark-Jersey City","Queens County",0,2342,-0.000426803243704652,0.000854700854700855,0.0222610213880402,1587309
2019-04-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,2957,0,0.00305291723202171,0.031751570132589,734227
2019-04-30,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",2,1455,0.00137646249139711,0.00344827586206897,0.0174825174825175,529455
2019-04-30,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,1684,0.00417412045319022,0.00597371565113501,0.0459627329192547,769847
2019-04-30,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,1312,0.00382555470543229,0.00923076923076923,0.0314465408805031,439308
2019-04-30,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,1260,0.00478468899521531,0.0104250200481155,0.0387469084913438,515659
2019-04-30,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,1392,0.00215982721382289,0.0101596516690856,0.0749034749034749,448669
2019-04-30,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,1387,0.00580130529369108,0.0176082171680117,0.0743609604957397,465074
2019-04-30,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,2686,0.00149142431021626,0.00750187546886722,0.045136186770428,363665
2019-04-30,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,1498,0.00267737617135207,0.00672043010752688,0.030970406056435,294369
2019-04-30,"Austin","TX","Austin-Round Rock","Travis County",10,1808,0.00444444444444444,0.00836586726157278,0.0325528269560251,233895
2019-04-30,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,3468,0.00144383482529599,0.00289184499710815,0.00843268391974411,228674
2019-04-30,"Jacksonville","FL","Jacksonville","Duval County",12,1259,0.00478850758180367,0.0128720836685438,0.0570948782535684,282819
2019-04-30,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",13,1139,0.000878734622144112,0.000878734622144112,0.0335753176043557,276641
2019-04-30,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",14,4396,0.000682904620987935,0.00457038391224863,0.0358152686145146,186993
2019-04-30,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,1409,0.00427655024946543,0.0100358422939068,0.0421597633136095,280218
2019-04-30,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,1480,0.002710027100271,0.00954979536152797,0.0313588850174216,227567
2019-04-30,"Tucson","AZ","Tucson","Pima County",17,1187,0.00253378378378378,0.0119352088661552,0.0430579964850615,180270
2019-04-30,"Columbus","OH","Columbus","Franklin County",18,1204,0.00333333333333333,0.00668896321070234,0.0273037542662116,260006
2019-04-30,"Louisville","KY","Louisville/Jefferson County","Jefferson County",19,1025,0.00293542074363992,-0.00194741966893866,0.0168650793650794,133466
2019-04-30,"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",20,1432,0.0013986013986014,0.00987306064880113,0.070254110612855,91998
2019-04-30,"El Paso","TX","El Paso","El Paso County",21,1007,0.00298804780876494,0.007,0.0182002022244692,174507
2019-04-30,"Detroit","MI","Detroit-Warren-Dearborn","Wayne County",22,797,0.00251572327044025,0.00886075949367089,0.0640854472630174,314256
2019-04-30,"Denver","CO","Denver-Aurora-Lakewood","Denver County",23,2109,0.00094921689606075,0.00047438330170778,0.0262773722627737,209451
2019-04-30,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",24,2519,0.00358565737051793,0.00398565165404544,0.0108346709470305,214655
2019-04-30,"Memphis","TN","Memphis","Shelby County",25,855,0.00352112676056338,0.00944510035419126,0.0227272727272727,209558
2019-04-30,"Boston","MA","Boston-Cambridge-Newton","Suffolk County",26,2639,0.00456794822992006,0.0107238605898123,0.0126630851880276,186584
2019-04-30,"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",27,2595,0.000771307365985345,0.000771307365985345,0.0164512338425382,179526
2019-04-30,"Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",28,1884,0.00426439232409382,0.00802568218298555,0.0150862068965517,207788
2019-04-30,"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",29,1585,0.00316455696202532,0.00762873490146217,0.0232408005164622,199789
2019-04-30,"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",30,1706,0.00352941176470588,0.010065127294257,0.0479115479115479,142034
2019-04-30,"Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",31,1286,0.000778210116731518,0.00155763239875389,0.00233826968043648,223075
2019-04-30,"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",32,1051,0.000952380952380952,0.00478011472275335,0.0144787644787645,157481
2019-04-30,"Fresno","CA","Fresno","Fresno County",33,1349,0.00372023809523809,0.00822122571001495,0.0384911470361817,132737
2019-04-30,"Omaha","NE","Omaha-Council Bluffs","Douglas County",34,1345,0.0022354694485842,0.00824587706146927,0.0354118552732871,324068
2019-04-30,"Albuquerque","NM","Albuquerque","Bernalillo County",35,1240,0.00242522231204527,0.00323624595469256,0.0307564422277639,177294
2019-04-30,"Oklahoma City","OK","Oklahoma City","Oklahoma County",36,1084,0.00649953574744661,0.0140318054256314,0.0313986679352997,196596
2019-04-30,"Raleigh","NC","Raleigh","Wake County",37,1455,0.00344827586206897,0.00831600831600832,0.034850640113798,141135
2019-04-30,"Mesa","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",38,1417,0.0049645390070922,0.0128663330950679,0.0598354525056096,149268
2019-04-30,"Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",39,2068,0.00193798449612403,0.00779727095516569,0.0227497527200791,145169
2019-04-30,"Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",40,1628,0.00493827160493827,0.0124378109452736,0.05851755526658,148938
2019-04-30,"Kansas City","MO","Kansas City","Jackson County",41,1110,0.00452488687782805,0.00817438692098093,0.0220994475138122,165758
2019-04-30,"Colorado Springs","CO","Colorado Springs","El Paso County",42,1551,0.00258564964447317,0.00648929266709929,0.033311125916056,145073
2019-04-30,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",43,2532,0,0.00396510705789056,0.0351594439901881,105161
2019-04-30,"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",44,1582,0.00253485424588086,0.00508259212198221,0.0246113989637306,156792
2019-04-30,"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",45,3075,-0.00064998375040624,0.00424559111691705,0.0392024332544779,103986
2019-04-30,"Tulsa","OK","Tulsa","Tulsa County",46,958,0.00419287211740042,0.00842105263157895,0.0213219616204691,141494
2019-04-30,"Minneapolis","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",47,1677,0.00239091452480574,0.0078125,0.0294659300184162,121857
2019-04-30,"Honolulu","HI","Urban Honolulu","Honolulu County",48,2347,0.00256300726185391,0.00513918629550321,0.0138228941684665,127719
2019-04-30,"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",49,857,0.00116822429906542,0.00351288056206089,0.0142011834319527,121753
