"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,180.392156862745,182.481751824818,183.767228177642,184.952978056426,186.349332901954,186.334516415262,185.953935062397,186.095505617978,186.147048222239,184.962038161161,184.544405997693,183.246073298429,181.761140819964,178.085038883285,180.275350609452,179.343927390681,178.763500437635,178.868713729727,176.116804177264,174.853801169591,173.294610542557,170.557319761331,168.721208874856,167.938113622071,167.701863354037,166.666666666667,167.839506172839,167.99709724238,169.740215924426,169.417897480452,171.440823327616,172.885688915879,172.924901185771,174.835405998537,177.38684582744,180.686406460296,183.345813480465,187.453042824944,191.365979381443,196.142297748249,204.881181759794,210.408124923316,213.414634146341,218.46320232521,220.963104525165,222.363405336722,225.350262697023,226.94917899601,227.629513343799,229.328165374677,227.203647416413,236.692104923593,239.484597366521,242.121445042275,242.96678378311,245.192936559843,243.830207305035,245.722108145106,244.937949052907,243.542435424354,246.710637763721,245.974955277281,248.106497568493,253.480119284294,260.82554517134,261.603598694916,264.409881061299,267.780612244898,268.82889200561,270.313252183481,266.63179916318,272.566057950146,274.717514124294,276.174308840882,280.412587412587,280.495474766068,283.654596449673,286.870499052432,289.974779319042,291.919191919192,292.604501607717,294.540229885057,295.95015576324,295.138888888889,298.420615128845,300.476844643316,306.1875,308.848080133556,312.013422818792,310.596026490066,307.302964569776,312.056028368794,312.670781893004,316.205533596838,319.078947368421,317.774362903803,319.396102799398,325.691699604743,328.170377541142,327.556169650366,330.985915492958,332.822361412192,333.301312079809,333.33275862069,333.588957055215,335.178659370725,335.496735373192,335.15731874145,334.450963956412,336.671807384068,337.673611111111,339.547415544109
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,80.1069518716578,83.6062482957423,85.8516483516484,87.0719264078927,85.0958126330731,80.6281602891772,78.9512905261872,79.6387520525452,80.6995166487648,78.0725236438804,77.9302117706251,75.0288683602771,72.9166666666667,67.65625,72.1687837506136,70.7321428571429,70.5098039215686,70.1956271576525,68.7912087912088,67.8571428571429,68.4018264840183,65.0887573964497,63.2739583333333,62.3624358033749,61.0401268390496,60,59.6992311171416,59.5772696878211,59.1061452513966,59.1720779220779,58.8594540801958,58.0813953488372,58.5802469135802,57.7120822622108,58.2049059650456,58.4699453551913,58.3641746854182,58.206457186049,58.2010582010582,58.009828596916,57.766652004685,57.4837704918033,56.9407008086253,57.0922190091055,58.055152394775,58.585945945946,58.142557679401,57.8034682080925,56.7485672880574,56.3928050559067,57.5539568345324,59.5238095238095,60.6469002695418,62.427398989899,62.5164690382082,62.5,62.9162916291629,62.2710140442019,62.9894948528466,62.9992133071575,63.3801046433672,63.3152173913044,63.7784090909091,64.7058823529412,66.8746244006624,66.9642857142857,67.6213206046142,66.8114682884448,67.4019607843137,67.536231884058,66.875255570346,68.2800345721694,67.7968324912553,67.7077818951826,68.1818181818182,69.8858564527894,71.9284603421462,72.4495080269291,73.2668232055689,72.772509923168,72.0885466794995,71.9895287958115,72.4266002651138,72.2899522358506,71.4609772423025,72.3065798987708,74.71952131638,76.3725490196078,77.7354940779065,80.1282051282051,79.6844556153067,80.00900090009,80.1393728222996,81.246569585949,79.7746082465042,81.0135135135135,79.95,81.6077953714982,87.1313672922252,92.4187725631769,94.9367088607595,96.6160220994475,97.5790842825815,97.6355128828391,96.8990384615385,96.3558067766721,95.56038647343,93.7517045454545,95.8477011494253,96.8523002421308,99.5907951632036,100.445171460349
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,54.8449612403101,55.1297169811321,55.4226475279107,56.1920849420849,55.8325049701789,55.0867518059856,54.2438683017862,54.3075739045912,54.3478260869565,53.9211647727273,53.8415587597368,52.4419965627593,51.4948453608247,50.6594483579853,50.4059259361652,50,50.641940085592,51.186943620178,50.8833922261484,50.4557580121105,50.3694995378294,49.9722067815453,48.7664945496271,49.9464892771293,49.6781581992051,49.0358415582407,48.938651218063,48.5938000236353,48.6503067484663,49.6586330232888,49.9139414802065,49.9001996007984,50.4770465781793,49.8766224842601,49.8721227621483,49.7071456015808,50.5375902490468,51.1597090217868,51.9856742311399,51.5092502434275,51.7875355351117,53.0819245381934,54.6677880571909,55.1254234308211,55,55.0275137568784,55.0161812297735,54.7190398143894,55.1789131311615,55.8823529411765,56.0386320750951,56.2312312312312,57.0714285714286,58.2167832167832,58.9449592905814,59.8398554427143,59.1116182907778,58.4936567964811,59.0695243073706,59.0248962655602,61.2272181599913,61.5991958739222,62.320230105465,62.5771393187112,63.3090699622958,65.2072541966427,65.6455142231948,65.7199471598415,66.6179194309916,67.8580580800454,67.9214891539885,67.971366944498,68.3643841538578,69.4444444444444,71.9230769230769,72.355233256153,73.5445587403043,75.261780104712,76.6710353866317,76.4743686677756,75.9768451519537,77.1767810026385,77.6975931618155,76.5115469069433,76.4525993883792,77.0987654320988,78.8146279949559,79.8421742611998,81.4545454545455,82.2168087697929,82.8402366863905,82.7759197324415,83.0975912291933,82.6526256539755,81.9559228650138,82.3451910408432,82.9900332225914,83.1265508684863,84.0772111892345,85.0737797956867,87.2685978180668,87.0293338263388,88.5608856088561,88.9733761506246,88.5478158205431,88.4684494634853,88.9923329682366,89.041095890411,90.2370203160271,90.8521303258145,93.0600725623294,94.5137046785964
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5354558519091,80.3571428571429,81.3802083333333,82.7814569536424,82.7067669172932,83.3333333333333,84.9357095620284,86.4661654135338,86.9061413673233,87.4125874125874,88.408275261324,88.4882985452245,88.6833436581217,88.4774136547926,89.0550418446298,88.49554317074,89.0471950133571,90.48178613396,90.5871822413176,89.1530460624071,91.2919343326196,94.0764234911754,94.3989930774072,89.4558354061975,95.3389830508475,96.3084554771805,97.9751796211626,99.3788819875776,100.372291312551,101.428571428571,102.337334175616,102.799895474668,104.643557880968,105.488128177367,106.781851662935,108.085471030517,108.695652173913,108.578431372549,110.821382007823,111.256408721847,110.462847159805,112.395632626847,114.107677034041,115.384615384615,115.43663761801,115.792682926829,116.493045008962,117.939168218498,119.586296056884,121.11801242236,121.992992297531,121.951219512195,122.186495176849,122.915379864114,124.27186773988,124.826629680999,126.503164556962,128.832500494756,129.891696750903,130.61797752809,131.761849906403,132.956649379021,133.600534402138,135.176900584795,135.384615384615,136.337123866796,137.468030690537,140.151515151515,140.381914433881
"San Diego County","CA","San Diego-Carlsbad","06","073",5,164.814586162901,170.269250017257,172.80163599182,174.434052290764,175.197195442594,177.337112200806,175.981826784901,176.767676767677,177.309198687414,176.145672584953,176.409185803758,175.734728753405,173.06993853604,171.262019230769,168.115024956401,169.648181276088,171.475366319813,170.153417015342,169.131745079923,165.264423076923,166.666666666667,164.358996539792,162.721893491124,161.406025824964,160.851063829787,161.07224715706,160.531192093885,159.985119047619,160.910518053375,163.204259542973,164.742866659576,165.879076812573,162.526520329531,165.264423076923,165.369649805447,168.549905838041,171.752577319588,174.183588964664,176.3788667608,184.382960035134,189.933523266857,197.368421052632,203.884250531167,210.169491525424,220.472406704617,223.125,221.002210759027,223.665223665224,227.408142999007,232.965606748864,235.679470198675,242.494226327945,244.002789400279,245.602423194031,247.395833333333,251.547987616099,251.633957022965,249.287410926366,249.195979899497,249.339469201988,251.547987616099,252.9374619715,253.086419753086,256.227758007117,262.276785714286,250.16501650165,271.132376395534,274.193548387097,273.703419131771,272.884440400364,268.589743589744,268.478979254636,274.928571428571,280.238262088297,281.366355402972,282.5,286.356702619414,290.068638477923,294.732488362228,296.433878157504,298.949341751845,300.719582461308,298.956884561892,297.155485853454,299.791443757231,300.210084033613,305.50038197097,308.713803100141,311.426066110042,314.802445575346,316.260162601626,317.982456140351,317.639261227492,317.053301599601,318.680504077094,318.91495601173,319.230769230769,320.688943894389,324.710932805093,324.969130787977,334.89932885906,340,338.09166040571,342.086110472688,341.46055234609,336.288775801548,334.349593495935,334.928229665072,333.679874869656,335.555568381199,336.760126256755,338.963048531782
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,218.009478672986,219.636252845742,220,220.254237288136,220.820189274448,220.232532265243,218.272939742577,223.214285714286,220.970537261698,217.175831636117,217.202148027796,215.455556431451,213.847531008345,209.551656920078,210.022831050228,207.692089138073,206.492609600344,206.378986866792,201.192250372578,200.868621064061,200,197.535771065183,195.749440715884,193.370165745856,191.605839416058,192.122958693564,192.24358974359,192.442267319804,193.762781186094,195.563247850877,195.982905982906,197.398627422551,195.808690399766,202.839756592292,202.529644268775,204.166666666667,205.820448710461,210.673306359581,219.935431799839,226.961144777844,240.196078431373,251.136950904393,259.056705072266,268.144281378656,274.20998980632,276.731088936577,277.777777777778,279.348812031835,277.494373593398,275.493421052632,279.088312748043,283.373648741488,286.521739130435,288.740245261984,289.4438138479,294.580077860069,296.65843327553,293.569431500466,295.483870967742,291.811846689895,294.586531831763,293.001711029104,299.542376963631,300.78125,305.00949196364,306.704707560628,307.654747596154,311.35027027027,312.403094951923,308.655904518929,302.715654952077,312.5,312.5,318.536557337155,320.869565217391,326.009316770186,328.983833718245,334.1276849642,335.497835497836,335.576923076923,334.745762711864,336.164189667374,338.322742474916,338.66935483871,338.801711840228,344.234575142079,348.936170212766,351.093664118323,355.603448275862,362.068965517241,362.30550584272,363.56986100951,364.631043256997,365.463891416772,368,366.062790792923,369.565217391304,371.559633027523,377.200335289187,378.21101807471,380.882352941176,385.032088681447,386.206896551724,383.893529185868,385.363443693436,383.71364763859,382.361667408396,381.678625954198,381.903143585387,382.608695652174,383.333333333333,386.211412688031
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.291386414845,129.22945932933,132.185140643239,133.883477633478,137.269938650307,139.299393986481,142.367274370072,143.67816091954,146.034951720386,147.540983606557,149.944444444444,149.235274575187,151.114477842419,153.251942267959,154.467915214866,154.833543690999,158.119658119658,161.842105263158,161.661955858972,161.540636261961,163.266639989329,164.451476793249,164.819944598338,166.093928980527,169.618138046818,171.51631684624,171.503957783641,171.503957783641,173.572228443449,173.64657814096,174.859402460457,175.664635223459
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",8,55.5555555555556,56.0968170893875,56.9526315789474,57.4137931034483,56.970509383378,56.504933719366,56.0363247863248,55.8035714285714,55.6835698648417,55.8859910581222,55.5555555555556,53.4523809523809,52.8729838709677,51.9553072625698,52.0434438928156,51.2842465753425,51.4505702812038,51.0135597863306,50.1568382047634,50.2411575562701,50.2915451895044,49.26026272578,47.9674796747967,47.4288567149276,47.0788043478261,47.4231464737794,47.9094076655052,47.5238095238095,48.2434467925627,49.4019760790432,49.2152468649565,49.0551776266062,48.849252013809,49.378453038674,49.5802804001691,50.0841810487768,50.0272182906913,50.822239624119,51.4596984962691,52.5341130604289,52.9139072847682,53.0390275111964,53.9377289377289,53.6349905873642,54.7445255474453,55.1654964894684,54.6685092191883,54.8727791852329,54.9448890231013,55.462962962963,56.1224489795918,57.2690376198038,59.0017678929022,56.600748262961,55.8766458766459,59.3333333333333,60.0907029478458,60.0760456273764,58.25,57.5600746698956,59.4135802469136,60.1963106805872,60.8550014930423,62.0935187261718,64.1792254091719,65.1274982770503,66.6280417149479,67.6521854051028,68.7134502923977,69.314381270903,69.6864111498258,71.0353423219764,70.2702702702703,70.2702702702703,72.7032566465371,74.2159240229732,76.1450950837809,78.2106792410697,80.0500435024818,80.4597701149425,80.6604330476258,80.4597701149425,81.0876623376623,82.0893584748895,83.6820083682008,84.9443468072642,87.1165644171779,88.5208252656942,92.9054054054054,93.6739659367397,94.187675070028,96.7117988394584,98.1023102310231,98.4225944042806,99.6438746438746,101.626016260163,101.257383966245,102.421987758851,103.373231773667,106.306990881459,108.167770419426,109.261147016249,110.589677526596,110.864282767093,111.296738265712,111.71464650187,112.092391304348,113.616128859348,114.402317765988,115.403267925091,117.885644554223,119.184890656064
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",9,79.7446704997124,81.2780269058296,82.3451910408432,83.1174532789599,83.2777777777778,83.0536912751678,83.0550848402417,82.7844996237773,82.8220858895706,82.5985314760825,82.6278043325905,81.8010075566751,81.2586445366528,76.4839906354112,79.5994877335069,79.5382165605096,79.4701986754967,79.4460249976025,78.740157480315,78.6666666666667,77.7506446038357,77.3358843537415,76.5155974102413,76.6738660907127,76.7123287671233,77.1427982181158,77.1739130434783,77.2368719037509,77.4842044801838,75.7845188284519,77.8225613026736,80.8328230251072,81.2201071500472,82.8402366863905,83.5148874364561,85.4526569741821,87.7723120168658,88.9513108614232,91.49,93.8165609820539,96.3733640762511,97.752808988764,101.23010130246,104.311543810848,107.794361525705,109.620818570473,111.873713109128,112.732152730847,114.886798918048,117.859677018376,120.142949967511,121.166011914642,123.089983022071,125.565610859729,126.071428571429,127.457492559593,130.047383940656,128.431843600707,129.069592235431,129.181750182715,129.776496034607,129.92125984252,130.975114603798,134.568134568135,134.914327209802,136.050939009985,137.857931251971,137.959183673469,138.181818181818,139.863249239018,141.816461684011,143.604727499175,145.234375,145.833333333333,147.191968630492,148.859590565198,149.774998196378,150.415809259466,153.408269817961,154.109589041096,154.583333333333,154.51174289246,155.339838464753,156.578791249537,157.624633431085,157.508629375909,158.940397350993,159.808100390349,161.101508760261,162.501022312541,164.040453673534,165.406427221172,166.128928800513,166.665714285714,167.902687747036,168.123739071957,169.871794871795,171.013289036545,171.22019903762,172.743055555556,174.156340701049,178.72191011236,180.169286577993,182.840616966581,183.673129251701,182.299941717032,182.203389830508,181.817355371901,183.332,183.971774193548,184.738955823293,185.416666666667
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",10,68.159688412853,67.5477239353891,69.2453391209476,69.7490164731538,69.5464925969627,69.3053271622042,69.6547546941248,69.6969696969697,70.0602079912425,69.7258641239571,68.5252771019194,67.8733031674208,67.5439264144553,65.4075871366995,67.0640834575261,66.7332413963507,66.933301376825,67.1936758893281,66.9948134245525,67.2916910816829,66.8896321070234,66.2171734108938,65.4761904761905,65.1127819548872,64.889466840052,65.4962546816479,66.3466967814794,67.3652861811699,68.0786686838124,68.0272108843537,68.9799331103679,71.6427640156454,71.108319374651,72.878013395642,73.6780109344965,74.8626497005988,76.1428571428571,76.7123287671233,79.0359030435575,80.5084745762712,83.7206652996127,87.4769797421731,90.4724409448819,93.1095340517058,94.0631011674177,95.5301954937275,94.8062654575433,95.1139303605563,97.6153846153846,98.0392156862745,100.108225108225,102.444794952681,103.417796110784,105.389572349151,107.168080268225,108.881974910715,109.369774247492,108.811316150954,108.246540312876,108.340283569641,109.32944606414,108.275058275058,109.823399558499,110.967741935484,111.183780248528,112.719298245614,114.200835382134,114.553062000761,115.8030593639,117.058011049724,117.41610738255,118.730808597748,119.376244193762,120.799465649651,122.766826251305,124.786019971469,126.412049488973,129.889186928851,132.251908396947,132.182746036414,132.716049382716,133.184523809524,134.175143459126,135.064636695071,135.486690728626,135.929960512985,137.310195227766,138.970431697221,141.618908099638,143.595634692705,144.977038881129,147.644295302013,149.413115303335,148.841240923953,149.801855915016,148.722692934596,149.607021656401,151.420770724776,153.521974714028,155.442866801893,157.545213190513,158.097312999274,159.609120521173,161.340607950117,162.60162601626,161.447084233261,161.20218579235,161.396574440053,161.98224852071,161.98224852071,163.013698630137,164.429530201342
