"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,430.123414537719,426.490098988449,432.8173374613,431.170587089248,432.36296610705,430.50193050193,424.851915149065,421.321629181648,421.315890727203,417.70151275683,416.871618298082,414.871522944699,412.482065997131,417.010480439971,414.136777972455,408.173017634727,410.893532592049,410.505828840266,409.76341760173,407.451514120449,405.279728977784,402.801128297093,403.214238513493,401.455152253129,400.164708586432,399.616368286445,400.089007565643,403.214574534999,404.5,406.588455713009,408.736276689992,410.612144858829,410.27397260274,414.52442159383,415.96104141303,415.576694411415,425.520833333333,424.890350877193,433.62664990572,446.067277052597,452.018445933606,456.912683600787,457.8073089701,455.113913298556,458.025006379178,460.027100271003,461.416824794434,462.583119045482,471.312993854893,477.477477477477,487.766988446336,489.516182579395,492.481884057971,497.06390328152,492.610837438424,488.895298528988,496.617851523911,501.783590963139,501.802884615385,502.60036958588,499.310111729812,511.250829333791,516.951281552057,533.950617283951,536.854494629984,535.615491009682,535.147993056387,536.502162761838,545.503776164373,552.631578947368,555.186370939897,555.555555555556,564.431078907127,575.352264291017,570.402684563758,571.297815559582,574.640849469082,578.194634938689,575.320608140434,574.134448856217,582.464745554874,590.539541759054,596.8277072586,602.791141793699,612.533790922538,618.320144619289,622.820129546587,627.662094197567,626.71905697446,628.29209896249,627.431736954968,623.966548370137,630.582524271845,639.106145251397,648.367007125449,654.04805068032,663.422131147541,665.894614939201,672.498878420816,669.963513514784,669.358567353053,670.289855072464,673.251884839251,677.437641723356,681.306508644023,686.994554726276,693.384509510544,698.689956331878,704.887218045113,713.431778004833,710.227272727273,698.793073290187
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,257.201646090535,255.933290570879,253.883360024403,252.464549339549,249.81683110547,250,248.516439454691,246.946362187998,242.136803874092,242.391322128164,241.195279866332,239.099859353024,239.052297146378,237.827121332276,232.5,230.692307692308,228.394658801534,226.761704897989,224.867724867725,222.659187604949,220.993117010816,218.15834767642,215.803011719815,216.71826625387,217.182452292169,217.072372008623,214.702603152031,216.337846550613,216.393649458932,216.375689012063,210.373880989995,208.333333333333,208.333333333333,208.271264992531,208.333333333333,207.446732468401,209.627727856226,214.196428571429,218.158727272727,220.508954545894,221.851851851852,223.43594836147,224.128827877508,223.324824505424,227.374844493121,225.732361353885,225.446381205002,227.210127591707,227.6,233.444629938787,236.363636363636,238.429172510519,237.509456023851,238.607446131718,237.259579677771,234.391612109003,235.24201012534,233.928571428571,233.572895277207,231.175693527081,232.278652384147,236.486486486486,239.010989010989,239.619809904952,240.940877304514,242.899850523169,244.234800838574,241.603166323296,242.122273094533,241.310344827586,242.038687603531,242.1875,243.311959148671,249.63383477453,250.142612664005,250.614092205695,252.186846532396,253.078545926647,252.660297239915,250.835702341137,253.60366825859,255.12058720727,256.230529595016,257.402101241643,260.995727471074,263.243812532912,262.742640916015,261.698841698842,262.368815592204,261.662075298439,260.673087831255,256.756486486486,256.834834259281,257.125368731563,258.892857142857,260.3515625,265.501289557166,266.193757984393,273.939550707609,277.006172839506,275.373134328358,274.725274725275,273.943054357204,273.333333333333,273.652694610778,273.32361516035,275,276.754574905367,279.169811320755,281.518972735253,279.451861021338,277.918140474987
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,124.676815960061,124.962828390455,124.398073836276,123.268372857478,123.031496062992,122.050816696915,123.243691243644,122.133333333333,115.706859350418,114.95128608917,114.59786330555,112.864800476474,110.995102779683,111.216381418093,112.146341463415,114.496684749849,115.056818181818,114.729672200937,112.885760693016,112.594444444444,114.608076009501,116.364752840037,114.481222329522,114.743051088268,114.607257694074,114.048648648649,115.841297422531,116.471734892788,116.338406445837,115.521660649819,115.104122524182,115.28765943066,116.705728205704,117.646666666667,116.695795141944,115.896151218401,117.928051896992,116.656572964344,118.08644307983,119.092830188679,119.093959731544,121.487580993521,122.514851485149,124.215044047888,126.518218623482,124.651290499725,130.35941745403,128.642987249545,129.83526841494,131.511997687193,127.877237851662,136.083669354839,134.589502018843,134.804753820034,135.446242898418,135.939431396786,139.883414817601,142.478677710361,142.496392496393,146.188652975983,148.102437519284,151.609553478712,151.991486774095,154.746967795901,152.198898312369,153.306004288883,151.80265654649,151.221403644824,152.296451998328,152.378529636225,153.268743011342,155.626939482014,152.916865742953,162.62482168331,162,162.417267650337,162.269482171148,162,160.825732117139,161.928709966183,160.530821917808,160.024009603842,161.080550098232,159.669103171765,161.812409631988,161.527165932452,161.769039391643,161.139260307307,159.744408455009,158.619210977702,157.852242744063,157.209465498048,160.263475669287,160.142094017094,161.033653846154,160.589872548402,160.389782913434,161.474164133739,162.679573512907,166.015937594963,162.962962962963,162.200956937799,162.958435207824,165.487395144961,166.739171061921,167.197452229299,168.190912880367,166.999835496849,166.253835432822,168.994637483905,169.764150943396,170.695489376524
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,165.336374002281,162.139179273613,160.969546302051,160.094371418942,158.821278224263,156.377858002407,154.135846701493,150.476762376342,148.703403811312,146.193514088251,145.422239947105,144.466118598267,144.314645530864,145.022915250003,143.824027072758,142.125421372264,140.060681442089,137.595258255715,136.329356318529,134.764162715248,135.58636004079,135.810445966178,135.436583811345,136.680841459072,139.199109131403,141.463815198161,144.425187752744,144.527988386184,145.238671155522,145.767027371101,143.834603696857,144.563223847778,147.043694150386,149.857817861311,152.211652705852,153.60824742268,156.288126779725,158.090374386168,160.559123536079,161.290322580645,162.165253084741,160.740986014599,160.146419583619,160.3153393907,163.868613138686,165.016501650165,166.847531199132,168.300565580393,170.781954770274,170.890631317014,168.67201426025,167.70964360587,165.130568356375,164.601769911504,163.467386458986,162.330121491412,162.682379349046,164.991032998565,167.709927702158,169.811617554811,173.363991617482,174.903332719573,174.777807279566,173.716012084592,170.97119462277,171.185147292717,169.692671394799,168.184869012563,170.276497695853,173.856209150327,176.025683623522,178.268630075859,179.880208010381,184.653262207632,184.577522559475,183.743615572887,184.426229508197,182.199144164301,182.183574947337,181.703161148924,183.139534883721,186.894770819884,189.613160665792,191.588785046729,193.019607848834,193.599173980382,192.138364779874,192.20572640509,191.700549485372,190.796857463524,188.145324246419,188.264621648363,191.516239769026,195.003900156006,197.067714631197,199.772933696639,201.996197718631,201.465773178736,202.516207514126,202.339225645325,201.738761337534,200.943671727955,199.971428571429,200.733330288146,202.494212962963,205.524498520224,207.090207090207,207.919512580957,210.084033613445,211.730393098266,210.027624374643,209.809123167418
"San Diego County","CA","San Diego-Carlsbad","06","073",5,369.312302916831,366.860363180964,357.754193769257,355.548620790002,358.257032428305,354.414169072124,350.772471910112,346.496322106078,344.722358758956,339.943342776204,340.306197844072,336.955093955133,334.142653211701,332.528481159447,332.731636808517,327.332244214095,323.288416471376,323.270482207723,321.82562902282,314.939719265387,312.770562770563,305.407395316856,304.008661133664,308.024691358025,308.250633247564,306.033135354798,308.266932270916,311.597578015836,320.828471411902,321.931686012011,324.155193992491,329.472378903935,335.558396393696,332.905982905983,335.95298378622,347.91259836838,347.442084942085,348.069105691057,349.723784056748,359.44344241175,357.453262875745,363.253506382903,369.130434782609,370.15830245874,368.539978214863,366.766228939144,366.008044243338,372.593431483579,369.620253164557,371.03100980652,370.388825607216,374.839356473138,388.103735362466,376.126101952029,366.250678241997,367.197062423501,369.432692307692,370.550847457627,374.06191369606,373.021853805576,373.186882488964,375.475633173051,377.587396653441,371.412439867682,373.823456607838,375.975241030141,376.357056694813,379.384945885045,385.346756152125,384.700055035773,385.071526475868,389.232581229976,392.850686337016,400.540003807947,399.302250814969,398.211965092492,396.305918578002,396.6620401878,395.714285714286,395.720909808947,397.734198393123,399.487604998976,404.628224582701,412.985017287745,414.004272650843,419.170243204578,415.981035602378,422.240932231031,421.553776238909,425.235093329016,428.33277971845,432.96766743649,436.808386721025,437.828371278459,440.048899755501,447.917601358469,451.115834218916,454.771305479022,452.226345083488,451.950523311132,461.175236096537,460.33975387908,459.763587511755,466.542288557214,474.016853932584,470.85212784636,482.219773931819,485.975958786491,487.897783295273,486.721183800623,486.654443862406,479.969153974146
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,370.182555780933,366.876310272537,362.419205909511,362.53173739572,362.467281294004,357.270461300468,355.133287116911,351.40923175876,350.06618705036,346.156320914492,345.121951219512,343.789556717705,342.541436464088,340.913400213742,337.812789620019,334.091277823483,333.028780264961,332.77591349739,332.741792369122,332.410055133405,332.819301260023,333.738601823708,334.314947695227,334.788452207666,335.023400936037,335.08598884248,331.276690864193,331.739872682119,336.841774034936,337.236283425491,339.084601275449,339.19624217119,344.532017038646,346.338465492438,349.119611414693,352.642258266729,361.35277640468,368.22014863291,372.393247269116,379.696202531646,383.378016085791,383.055555555556,386.057798367527,386.760426770126,389.109697933227,388.287852519649,392.955138612566,394.797557506158,394.188984335523,395.369112710939,401.135265700483,403.069926094372,402.308125558506,400.640625,398.52715151858,400,402.104979085144,402.808146409224,403.124628025169,408.310362429811,404.736842105263,411.688029545948,409.193454774312,410.236796973518,410.120425222572,411.219763252702,415.650406504065,421.608925425719,422.275882885602,424.678404599353,426.833602584814,429.270946681175,433.958764910032,436.844696547412,434.722705279408,434.744408194173,434.708875070661,436.468690556764,434.828781847654,435.292517743885,437.775330396476,441.123873873874,446.314846941631,452.21843003413,457.626386404404,452.988077310717,452.988077310717,449.948078920042,452.725592854943,457.217086366087,464.094881558628,466.62981756103,466.527922303156,467.790262172285,474.284110050533,482.444534712895,486.876090750436,485.913369718922,483.443667815744,487.301112556207,488.844444444444,493.328748049009,492.101751770406,492.785793562708,497.022727992986,500.655467720685,505.195725772323,509.977827050998,509.075875486381,505.686302578601,505.705011389522,502.51256281407
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.047619047619,767.276422764228,793.551088777219,778.509653493724,763.031550068587,747.6231633535,777.336687062332,798.310006647311,811.809486373166,792.662226417733,868.935553946416,883.656509695291,865.177031418252,909.740159675952,880.503144654088,884.986159080031,865.186114463571,861.278735632184,886.868686868687,895.003201024328,892.857142857143,900,901.105032524972,916.793313069909,931.142410015649,928.437523984957,952,964.243005397222,942.452830188679,918.267604185349,909.090909090909,913.529411764706,920.04095209703,910.603224932559,907.147545391282,887.040015944707,838.252656434475,863.965537161833,883.64434687157,871.741935483871,860.222495783869,837.166966836418,855.714285714286,860.631247527957,855.714285714286,857.107034117747,869.580518018018,880.981717011129,918.925518925519,931.076572161062
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,294.789381307591,294.117647058824,285.247237698238,282.534246575342,289.21568627451,286.167884997891,284.280936454849,285,288.675134719015,288.683602771363,295.101949025487,293.014533520863,290.728476821192,304.166666666667,284.653465346535,281.954887218045,291.563275434243,288.887777777778,288.417166589755,288.030442462245,293.233863532803,293.643410852713,300.449553253647,304.243394715773,293.350717079531,281.143344709898,293.39597182767,308.604038630378,308.943089430894,304.115853658537,307.203998206645,301.551110993918,301.361296215958,296.704970318121,293.528368794326,299.785867237687,314.347841623785,324.408862409235,325,329.528403001072,321.770570097577,327.354260089686,340.501792114695,323.2238063604,319.855884707766,324.464153732446,331.960855781782,338.01580333626,345.244956772334,351.944025473437,347.181712962963,353.69266843231,351.748797918153,350.751879699248,347.056007659167,351.432880844646,357.621711372754,362.92131450957,378.000032724655,382.852767446948,384.406925724199,385.53333408831,384.615384615385,391.205533596838,385.462555066079,382.710137685987,388.142810350475,392.243495336279,396.9769291965,394.471535489449,396.919924107903,400.534759358289,415,418.773013973911,416.27620376613,415.86402266289,413.440229953977,413.450937155458,411.032827251027,404.335494327391,407.154490460679,411.312865162103,414.68253968254,419.693173616123,421.435830429733,427.038626609442,425.531914893617,425.531914893617,424.211281270648,422.794117647059,419.847328244275,418.324607329843,421.861777746202,420.403926999547,430.658508459946,435.491693000845,431.823500079394,432.276657060519,435.174069627851,432.756324900133,433.366238894373,433.284989122553,434.741521698043,434.075219045342,442.419221209611,444.150344097406,448.669201520913,453.091684434968,455.307262569832,450.951532362583,447.651794888462,445.539906103286
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,149.774774774775,149.535423925668,148.729086229086,148.56192060851,147.829207032652,145.925110132159,146.529562982005,144.153764014949,142.536983642838,139.907371671169,138.989826471282,137.553498027153,137.552410901468,139.650230695102,139.671769909871,141.63372859025,142.59131935472,140.986977381768,139.130434782609,137.38101145677,136.0730466429,138.286334056399,138.817480719794,139.592818486384,140.029688273132,139.853137516689,143.523862226772,145.733766075348,144.344947584031,142.443264123612,139.747065885289,138.819059770217,140.26402640264,140.691596300764,140.978557619904,142.526964560863,144.464584079246,145.169183506835,147.45735692651,151.268357810414,148.406542705145,147.063246351172,148.682703321879,150.877192982456,152.804927458258,153.225806451613,151.954671190378,149.871598794326,150.531286894923,152.971269461028,154.626865671642,158.510320071792,158.156028368794,156.719622155432,157.846891750268,160.172980723566,159.935897435897,162.645958368394,162.020074027344,163.593863357393,166.431924882629,168.080444735121,173.795713180864,175.010442773601,173.500319600381,172.466023867637,172.491039426523,172.473011470807,174.734643235017,174.745417515275,175.862312048888,175.950098319366,176.930968663144,185.324792318846,186.318901069022,192.268806860795,193.414534653182,195.047572578678,195.319216182048,193.319268635724,195.753357170175,196.981251986018,198.412698412698,198.494038903995,201.949860724234,204.397114393679,208.650455268102,209.935131444179,211.912751677852,209.47265625,207.273526575529,206.160213323923,208.788598574822,210.758731433159,212.176701030636,213.28,214.621743129224,217.802570943488,220.656561627443,221.666666666667,219.669256287019,217.996987951807,216.369372533452,215.836336336336,218.73417721519,221.660801174127,221.612595419847,221.052720532712,221.736414740787,223.017621145374,225.69706103994,225.833450938963
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,443.298969072165,444.166666666667,443.567866370246,434.836049284579,440.077147993209,443.277774009767,438.375384615385,439.919893190921,440.026075619296,436.080349333745,437.359865470852,429.778437489517,429.490409016271,432.262569832402,428.81875,432.205882352941,434.626436781609,435.875160875161,434.626436781609,434.646551724138,434.987373737374,441.176470588235,439.225935791988,445.302216973536,442.608695652174,438.333333333333,432.003862150921,428.095238095238,430.52738336714,430.955834945197,431.681681681682,431.818181818182,437.452135493373,437.682087694898,441.888904608637,440.209267563528,450.081833060556,446.470588235294,446.470588235294,446.656557107255,451.013654618474,449.972,461.601307189542,452.34900552581,458.008658008658,456.428571428571,473.684210526316,483.159828536436,489.233114923207,497.938859291986,500,491.12535436953,502.431633407243,512.179487179487,500.836120401338,506.001763735567,523.648648648649,522.485690923957,524.549409571162,525.104463979906,531.481762917933,535.394737893719,536.728989461296,546.125461254613,555.555555555556,552.734375,568.181818181818,580.653027660811,585.166620575221,593.125,593.125,596.945551128818,586.869578055334,590.405904059041,591.739512023872,597.952917093142,605.375595030767,607.799271834013,614.615700408604,618.775735152638,611.111111111111,618.811881188119,615.953947368421,629.62962962963,635.552933843825,642.142857142857,636.992819349962,637.14096749811,652.777777777778,647.051470588235,647.055147058823,648,653.000594177065,657.072368421053,654.595131644312,667.151162790698,677.025895666734,673.809523809524,666.666666666667,662.168121532369,660.714285714286,660.126127090843,653.961136023916,659.885563380282,657.637665285649,656.666666666667,666.665720899471,665.408087809485
