"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,219000,219000,219900,220000,224900,225000,225000,226000,225000,225000,225000,225000,222000,215000,220000,219900,219900,219900,215000,214900,214900,210000,209000,209000,205000,205000,205108,209000,210000,210000,212000,215000,215000,219900,219999,224900,229547.5,232000,237500,240000,250000,260000,265000,269900,270000,275000,275000,279900,279900,280000,279000,289900,295000,299000,299000,299900,299000,299000,299000,299000,3e+05,299990,3e+05,310000,319900,320000,325000,329000,330000,329999,325000,335000,339000,339900,344999,349000,349500,349999,350000,355000,357000,359000,364900,364962.5,365000,368900,369999,375000,379989,380000,380000,385000,387900,389000,395000,390000,399000,399000,399900,399990,4e+05,410000,404750,410000,417593.5,415000,410000,415000,419000,419900,420000,420000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,99900,99936.5,1e+05,104900,99900,99000,99000,99000,99000,94000,94500,89900,88500,80650,85000,84900,84900,84900,80000,79900,79900,75000,75000,74900,70000,70000,70000,69900,69900,69900,69900,69550,69900,69500,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,70000,70000,70000,70000,69900,70000,72000,74900,75000,77000,77900,79000,79900,79000,79500,79200,79900,79900,79900,80000,84900,85000,85000,85000,87000,85000,85000,87900,87000,88500,89500,89900,90000,94400,95000,95000,95000,94900,94900,94900,94900,95000,99000,99900,1e+05,107500,107000,108000,108120,109000,105000,105000,106880,109500,110000,115000,119000,119500,119900,119830,119900,119900,119000,117000,119000,119900,121000,124900
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,81000,82000,82500,83000,82500,82000,80000,80471,81000,80000,80000,79900,78900,77000,77900,77900,78300,78570,78000,77000,76950,76000,74900,75000,74995,74900,74900,74050,74900,74900,74900,74900,74900,73725,74900,74992.5,75000,75000,75000,74900,74900,75000,79000,79900,79500,79500,79900,79500,79500,79900,79823,79000,79900,80000,80000,84500,82303,80000,80000,82000,85000,85000,85000,85000,86920,90000,92500,90000,92500,94900,94900,94900,95000,96990,1e+05,1e+05,104900,107000,110000,110000,109999.5,110000,114000,110000,109900,110000,115000,117000,119900,120000,120000,120000,120000,120000,119995,120000,120000,120000,120000,125000,128995,126900,127000,128135,127000,128900,129900,130000,130000,134000,135900,136878.5
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,79000,79900,79900,79900,79900,76900,76000,77000,75000,74900,74000,72500,70900,68320,69900,69900,69700,69000,65900,65400,65000,65000,65000,65000,65500,67500,69900,69900,69900,70000,72000,75000,75000,79900,78500,80000,85000,85000,89900,90000,95000,95000,99000,99900,105000,105000,109900,109900,110000,113600,115000,117000,118000,119900,119900,119500,118500,119900,119000,119900,119999,119900,119500,120000,124900,125000,118000,125000,129000,129900,131000,135000,135000,135500,135000,139000,139844,139900,145000,145000,145000,149000,149900,149900,149999,154000,155000,154900,155000,158000,158000,159900,159970.5,164000,164900,164000,164900,165000,165000,165000,169000,169950,170000,174900,175000,175000,179995,179900,180000,181642.5,185000,185000
"San Diego County","CA","San Diego-Carlsbad","06","073",5,195000,199000,199900,2e+05,204000,209000,209995,210000,212000,212950,214900,214000,205000,199000,2e+05,204900,208567.5,204900,201900,199777,199000,197248,195000,195000,195000,196500,195000,198000,199000,199000,199000,199900,194900,199000,199500,206688,210000,215000,218000,225000,229000,238000,245000,249900,259900,265000,265000,270000,275000,275000,280000,285000,265000,275000,280000,287950,289000,284900,285000,285000,290000,289000,299000,299000,299900,289900,316300,319900,319000,319900,316990,319000,320000,325000,329000,329000,335000,339000,349000,349000,350000,350000,359000,359000,369000,369900,369000,369000,370000,375000,379900,380000,385000,386500,389900,389000,389750,390000,390000,399000,399000,399000,399694,399900,405000,4e+05,4e+05,4e+05,4e+05,4e+05,401995,399999
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,240000,240000,241024.5,240000,243000,245000,240000,250000,245000,240000,248000,240000,239900,229999,234500,230000,230000,230000,225000,225000,225000,220000,218900,215000,210000,210000,215000,219000,220000,219000,219000,220000,215000,225000,225000,229000,230000,235000,245000,249945,260000,274900,279000,287750,295000,295000,298000,295000,295000,291500,297900,299823.5,299974.5,3e+05,310000,315000,314900,312000,315000,313700,319000,315000,325000,322750,325000,329900,329900,335000,339000,333000,325000,339000,337875,339000,340254.5,349800,350000,355000,359000,359900,362750,365000,369000,368000,367700,370000,375000,384900,390000,395000,395000,398000,399000,399000,399000,399000,4e+05,405995,410000,414900,419000,419000,419000,419000,417000,415000,415000,419900,419000,420000,419900,420000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,220000,220000,213000,210000,215000,219000,215000,219000,210000,210000,199900,2e+05,199694,189000,195000,199000,199000,199000,199000,199000,199000,199000,195000,189250,189000,189000,190000,189000,189000,189000,189000,185000,180000,179500,180000,185000,189000,189000,189000,189994.5,185000,184900,185000,185000,189000,185000,185000,188500,189000,185000,183000,185000,189000,189000,189000,189000,190600,195000,199000,199000,199000,195000,195000,199000,199000,199000,199000,199000,199000,2e+05,209000,207300,209000,2e+05,199000,199000,2e+05,215000,215000,219000,219999,219000,219000,219000,223000,224900,225000,235000,229000,237000,239000,239000,239000,245000,249000,249000,250000,254068,250000,258888,259900,260000,260000,259999,259000,260000,265000,270000,279000,280000,285000,280000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,69900,68000,68000,68000,67000,65000,65000,65800,65000,65000,65000,64000,62000,59900,60000,63305,63000,64900,64500,64000,64000,62900,64000,62600,64474,65000,65000,65000,65000,65000,69000,68900,69900,69900,69900,69900,69900,70000,70000,72900,74900,75000,75000,76500,79900,79900,79900,80000,84900,85000,85000,85000,89000,89900,90000,94900,95000,95000,99000,99000,99900,98900,89500,89900,96640,95000,90000,93500,97903.5,99000,110000,114900,115000,115000,119000,119555,120000,125000,126050,130000,129997,130000,135000,135000,139000,139900,140000,140000,142000,144900,145900,146000,149000,149900,149900,150000,150000,157900,157000,158000,159000,159000,159900,160000,163000,164000,164000,165000,167000,167950,168000,169000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,76900,77900,79000,79000,78500,78900,78900,78400,78500,79500,79900,77000,75000,74960,74900,74725,74900,74500,74000,74000,74331,72300,69999,69900,69900,69900,69900,70000,70000,71100,70000,70000,69999,70000,71000,72000,72100,73000,73679,74900,74995,75000,75000,75000,77900,78000,75000,75000,75000,75000,76000,78900,80000,79500,77500,80000,80000,79650,77500,77000,79900,80000,79900,82500,85000,86100,89900,90000,91500,92500,95000,96000,95000,95000,98000,99000,1e+05,104450,109000,109900,110000,109900,110000,115000,115000,119000,120000,123000,129500,129450,129000,132000,132000,132250,135000,135000,135000,139900,139900,144900,145000,145000,147500,149500,149900,149997,150000,153000,155000,155000,159800,161910
"Queens County","NY","New York-Newark-Jersey City","36","081",10,225000,224945,219000,218000,218000,219000,219000,219500,222990,219500,215000,212650,209000,2e+05,2e+05,199000,199000,199000,199000,195000,195000,190000,189000,189000,189000,189000,189000,189000,188000,185000,185000,185000,187000,185000,189000,188000,188000,188000,185000,188000,188000,188000,188000,188000,189000,189000,189000,189000,190000,190000,190000,192000,190000,190000,190000,195000,195000,190000,190000,190000,198000,196000,199000,199000,199000,209000,208888,209949.5,209000,209000,209999,210000,207900,209000,209000,210000,219000,219000,219000,222000,219000,219000,225000,225000,222000,225000,225000,229000,235000,235000,239000,238000,239000,240500,240000,249000,249000,249999,249800,250000,255000,259000,259000,259000,259000,259945,262000,268000,269000,269988,270000,275000
