"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,973000,950000,949900,939250,945000,939000,925000,919000,899900,899000,899000,899000,895000,899000,896000,875000,884900,875000,879000,875000,860000,859900,868500,875000,865000,878541,879000,889000,889000,898000,899000,899000,899000,929900,929000,929000,950000,949000,965000,988000,999000,1e+06,1048300,1039000,1050000,1060000,1075000,1099000,1099000,1100000,1100000,1145000,1139000,1125000,1100000,1100000,1148000,1149000,1159000,1150000,1150000,1189000,1195000,1200000,1225000,1245000,1232400,1249000,1250000,1250000,1269000,1275000,1299000,1299844,1299000,1295000,1299000,1299000,1299000,1300000,1315000,1350000,1375000,1390000,1399000,1399000,1399000,1399000,1399000,1438000,1449000,1425000,1450000,1495000,1498000,1500000,1569995,1550000,1550000,1539000,1504995,1536999,1523500,1549000,1550000,1549000,1549000,1549974.5,1550000,1572450,1550000,1535000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,429999,429900,425000,425000,422750,425000,425000,420000,408500,414900,410000,4e+05,399900,404900,399000,399000,399000,398000,395000,395000,395000,389900,389000,389900,392000,399000,395000,399000,399000,399000,390000,389900,391700,397000,399000,395000,399000,399900,399900,409000,415000,415200,419000,410000,429000,425000,425000,429900,434900,439000,435000,429900,429000,429900,429000,425450,435000,435000,437000,429999.5,437000,439900,439900,439000,440000,449000,449000,449000,449900,449900,450000,459000,462000,469700,465000,469000,469000,474900,475000,475000,480000,489000,495000,499500,499999,499970,499000,499000,499000,499000,498500,485000,485000,493250,499000,499000,5e+05,509000,499900,5e+05,499999,499900,499500,499000,499000,499000,499900,499000,499900,5e+05,499900,499900
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,345000,340000,339000,337900,339000,339000,335000,329999.5,324900,321945,320000,319000,312715,314945,319000,321990,324000,322412,320000,323950,319000,319894,315000,319900,318000,319900,322000,321968.5,320990,320000,320000,321115,324900,325000,325000,333300,335000,339000,339990,346686,349000,349900,349900,354950,363950,362990,369999,373970,379000,379999,369900,384900,387990,386990,389900,391990,399900,399900,399990,410000,415000,416990,415000,419900,414990,410970,410000,410000,410000,414990,414900,422764,419696,420695,419995,423674,420990,420000,419000,419990,419000,419000,419000,415000,419000,420000,420000,420000,419999.5,417000,415000,414000,416990,415000,415000,419000,415000,419500,419000,424900,424558,423990,421900,420000,425000,425000,425000,424900,420000,425000,425000,428371
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,395000,389900,385000,385000,379900,369900,367375,355000,349900,349000,349000,349000,345250,349000,347990,345900,339900,332918,330000,329000,329900,329900,329900,335000,344000,350000,358705,355000,359900,368500,359900,363300,369000,375000,380950,385000,388500,392900,398900,399900,405000,399900,399999,399900,407000,410000,410000,418900,422181,424900,419000,419000,415000,412900,410000,409000,410000,419000,420000,425000,425000,429500,433200,433450,427700,429900,425900,425925,429200,439000,448000,449000,449900,459000,459000,459000,460000,459000,459900,452900,454900,462900,469900,475000,475000,479000,475000,479000,479000,475990,469900,469000,475000,478997,479999,489000,499000,498950,499900,499900,499000,498000,492111,495900,499000,499500,499900,499999,510000,524775,519000,520000
"San Diego County","CA","San Diego-Carlsbad","06","073",5,850000,845000,815000,8e+05,809999,8e+05,799900,799000,799000,795100,795000,770000,759900,750000,748440,750000,749997,749000,745000,729000,728950,715000,715000,726650,725900,729900,739000,750000,779890,775000,780000,789000,795000,798256.5,799000,848000,840000,845000,846802,849900,869000,879450,899000,899000,897500,895000,895450,899000,899000,899000,895000,895000,9e+05,898000,895000,899000,910000,899000,905000,899949.5,899000,935000,939900,936500,945000,935000,929000,939000,950000,969995,959999.5,975000,995000,998950,1006137.5,999500,999900,999000,998162.5,999000,998000,999000,1039000,1089000,1075000,1085000,1075000,1095000,1079000,1100000,1110000,1099000,1100000,1100000,1100000,1149000,1149000,1179000,1189000,1185000,1199000,1185000,1174900,1195000,1198000,1199000,1195000,1199000,1199900,1199000,1195000,1199000
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,908450,899000,869000,850000,874950,859000,858300,850000,849900,849000,849500,848950,840000,838000,825000,8e+05,799999,799900,799997,799900,799000,799000,799900,799000,799900,8e+05,799900,819000,827950,848844,849000,849000,859000,875000,895000,899000,899000,935000,949900,974950,975000,950000,959250,958944,979000,974900,988000,993750,989000,995000,998900,999000,990100,988000,979900,989000,998000,1013195,1029900,1044997.5,1049945,1079000,1075000,1098000,1098000,1085000,1095000,1099998,1120000,1149000,1150000,1165019.5,1179999.5,1190000,1175000,1174997.5,1188000,1197000,1195000,1195000,1199000,1199999,1236500,1250000,1269995,1250000,1249000,1249000,1250000,1288000,1295000,1298000,1299000,1300000,1325000,1357755,1350000,1350000,1359000,1375000,1350000,1350000,1350000,1375000,1399000,1399900,1425000,1474944,1450000,1401110,1399891.5,1399000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,687000,695000,690000,689999,675000,679000,680000,685000,685000,689000,698000,695000,686000,685000,695000,699000,699000,699000,699000,699000,698800,699000,699000,699000,695000,695000,695000,695000,715000,725000,699500,699000,699000,699500,7e+05,7e+05,710000,712500,750000,780000,799000,799000,765000,775000,795000,799000,799000,799000,799000,799000,799000,815000,829000,849000,849000,849000,855000,899000,899499.5,899000,939500,950000,958000,950000,975000,950000,949650,949000,950000,963500,950000,949000,975000,985000,995000,992550,998200,995000,995000,994000,995000,995000,995000,995000,995000,995000,990000,990000,989000,987500,985000,980000,989000,995000,995000,995000,995000,995000,988000,995000,998000,998000,992550,975000,989000,980000,979000,980000,975000,979000,995450,999000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,499000,499000,490000,479000,475000,469900,465000,468000,459900,459000,456000,450000,450000,459000,449000,450000,465000,465000,460000,455354,459000,470000,468396,475000,479000,475000,475000,485000,495000,485000,480000,515000,528789,469900,460000,450000,480000,480000,480000,490000,479000,485000,499000,475250,479000,480000,494000,499000,499000,499900,497600,499000,499990,499000,499000,499000,5e+05,515000,525000,526900,529900,534638.5,530000,549000,545000,549000,560000,569000,574945,570000,575000,589000,599700,610000,610000,615000,609000,624900,619000,609000,620000,624949.5,625000,630000,634945,650000,650000,650000,650000,650000,649999,649000,650000,650000,660000,664500,665000,669945,675000,680000,680000,685000,683490,680000,695000,695000,699000,699000,708500,699999,699998.5,699000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,379500,379000,375450,374500,375000,369000,367000,359000,349900,349400,349000,343850,342500,349000,349500,350000,354900,350000,349900,349647.5,340000,347000,345000,349000,349000,349950,359900,369900,370000,369000,365500,359900,360800,365000,362413.5,369044,369900,372000,375900,382250,383950,379900,381500,385000,385000,389900,389000,379995,379500,388649,390000,399900,403026.5,402900,414945,416342,419000,424450,419000,429000,429900,437535,445000,450000,447542,449900,443250,443945,444990,449000,450000,450000,459900,469900,475000,483000,479900,484900,489000,475000,485000,489900,487195,489000,485000,490000,499900,509000,509937.5,504799.5,499900,499000,499000,499900,499500,499000,510419.5,515000,524900,529000,529974.5,524990,515000,509974.5,515000,524900,519900,518000,519945,525000,539900,539900
"Queens County","NY","New York-Newark-Jersey City","36","081",10,659000,650000,649999,649000,650000,652888,659000,659000,659000,659000,659000,665000,659000,659000,652000,649000,649000,649000,649000,648444,639000,635000,629000,629000,629000,629000,628000,637000,629000,639000,639000,639000,649000,649000,649000,649000,639000,639000,639000,659000,669000,664000,669000,659000,669000,679999.5,680000,678000,679000,679000,678944,698000,7e+05,704900,718888,728888,730000,719000,725000,719574.5,705000,698944,699000,719000,719000,725000,739000,749000,750000,760000,760000,769000,775000,779000,788000,799000,795000,799000,799000,799000,799000,799000,799000,799000,798000,799000,8e+05,838444,850000,859000,859990,860000,868000,868000,859000,850000,849999,849000,849000,849000,858000,866500,869000,868000,859000,856200,850000,859000,859000,857110,875000,878000
