"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1.68302945301543,1.70126173257424,1.68816748079588,1.70342238227685,1.70915178571429,1.69240815973602,1.72936893203884,1.75477565526433,1.74305592001679,1.78409434532809,1.78837555886736,1.75480390087733,1.70426883243339,1.69217782039749,1.73953655688248,1.73913043478261,1.72556390977444,1.70609526126893,1.69060635755669,1.66872682323857,1.72501014198783,1.69789227166276,1.70588235294118,1.72523961661342,1.71002506265664,1.69230769230769,1.70042643923241,1.68986083499006,1.69386815428171,1.70465559016961,1.70588235294118,1.69761904761905,1.66858457997698,1.6585712826075,1.67834618079888,1.69753689668927,1.695,1.70786090806119,1.74375,1.72667156502572,1.74571805006588,1.77793583056741,1.76363636363636,1.79149529221742,1.78892462153894,1.77852348993289,1.76290760869565,1.75957947291966,1.77131319395228,1.77748518762344,1.83673469387755,1.86844093406593,1.90458015267176,1.90868263473054,1.90972222222222,1.88573202761736,1.91304347826087,1.91102437032208,1.93285859613428,1.93305701881955,1.94911776774723,2.08405721565902,2.09276018099548,2.0863309352518,2.1195652173913,2.12631204849438,2.12720632988436,2.11575875486381,2.11480362537764,2.16986980781153,2.17948717948718,2.17741935483871,2.20525869380831,2.19739292364991,2.13637955573439,2.12234042553191,2.16647662485747,2.1546315284262,2.23720723720724,2.1078431372549,2.21311475409836,2.09720727063777,2.21370023419204,2.29571984435798,2.35338782437804,2.38912689918175,2.36875,2.37217789848922,2.35294117647059,2.36345221287828,2.3504068716094,2.34157354595895,2.36768802228412,2.38719175687441,2.39236298554071,2.39146682264249,2.44576980990024,2.48830218992285,2.49719069943789,2.50255362614913,2.47559523809524,2.47224594363792,2.44252873563218,2.4289110852548,2.47100840336134,2.45959241040056,2.49371332774518,2.5,2.51177394034537,2.51824817518248
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86875,0.926971229731669,0.929861335053209,0.948607108549472,0.953113607582793,0.961927710843373,0.968528680643497,0.986208635079272,0.975409836065574,0.986520493395493,0.988909426987061,0.988909426987061,1.01946721311475,1.09712402914857,1.2238055916008,1.28271604938272,1.27279708055783,1.31170662905501,1.27348827642945,1.30830039525692,1.30288461538462,1.27459385398317,1.27005347593583,1.24691358024691,1.31256973243795,1.29367415248648,1.30860218218925,1.3097296477458,1.30530973451327,1.29579290110914,1.27871694841786,1.30288461538462,1.28458498023715,1.26096183656898,1.27155000399074,1.34776536312849,1.34529147982063,1.34408602150538,1.35384615384615,1.35511363636364,1.33732893099818,1.32143720314405,1.30368856393191,1.32508116883117,1.32600994647521,1.34452073991031,1.38251771296754,1.40234435646639,1.35384615384615,1.36041916766707,1.37142857142857,1.36346888189187,1.33720930232558,1.32982456140351,1.32425224244823,1.34776536312849,1.2894619831036,1.31856540084388,1.295,1.30586864372371,1.32382216323822,1.32142857142857,1.30353817504655,1.28787878787879,1.31073446327684,1.32005558128763,1.31673881673882,1.32925472747497,1.33521077089038,1.32536382536383,1.34445200816882,1.33248730964467,1.33384146341463,1.33484162895928,1.34458977525641,1.32440476190476,1.30718954248366,1.29128305184643,1.30458575569553,1.30406143775775,1.30165289256198,1.30597014925373,1.3215859030837,1.32131322875598
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",3,,0.954796113591177,0.952244700572258,0.952244700572258,0.951842736197474,0.96042471042471,0.986449996350987,0.99638810861859,0.998662513512888,1.02261547557288,1.0073875083949,0.978519176440764,0.950734658599827,0.948991696322657,0.977299381619163,0.974658869395711,0.958574181117534,0.933294324166179,0.935058614848807,0.924411618545289,0.923361121636984,0.932028497573288,0.950335810671006,0.935341010917227,0.938748101928058,0.945378151260504,0.9209813537093,0.909587196772552,0.912639452332657,0.917431192660551,0.913705583756345,0.917436526562833,0.929054054054054,0.937451095461659,0.941619585687382,0.929799426934097,0.927475200874216,0.91540404040404,0.912555309734513,0.918900108873511,0.914522058823529,0.917965987446959,0.929368029739777,0.946574923547401,0.953673709039005,0.94551282051282,0.954011741682975,0.9375,0.940070505287897,0.928853754940711,0.927058823529412,0.971629660560508,0.964996538109679,0.973360655737705,0.972685824813484,0.973405991585667,0.961538461538462,0.968783638320775,0.986394557823129,0.995475113122172,1.03857566765579,1.04907520700214,1.07873065631686,1.07233282297751,1.07534802085907,1.0666128534203,1.08853410740203,1.09328358208955,1.09931766489765,1.06636311142122,1.11314051344462,1.12157534246575,1.12765957446809,1.13529805760214,1.14016154630203,1.08010507443718,1.07731794294294,1.08063175394846,1.06724445053439,1.04759608586216,1.06026785714286,1.10583464154893,1.03050288540808,1.10722610722611,1.12344564848178,1.14019358927664,1.15914786967419,1.15275310834814,1.15633672525439,1.16243200303085,1.16559083661263,1.15571056921462,1.15014436958614,1.16495806150979,1.17827868852459,1.18516862121513,1.20514816204051,1.20752427184466,1.2326656394453,1.2275731822474,1.22892858884536,1.24521072796935,1.23959296947271,1.2417823228634,1.24902114330462,1.25865062260536,1.25879428963352,1.26109477167091,1.27792839314915,1.3014388142879,1.31814187569899
"San Diego County","CA","San Diego-Carlsbad","06","073",4,,2.25541886350322,2.4414264172564,2.24403927068724,2.10549797742115,2.12437234453457,2.05077372946049,2.01072386058981,1.99814126394052,1.95323025640419,1.98365003052503,1.74500968992248,1.73003065259741,1.70011148272018,1.69541084349291,1.68928410335718,1.6869698284172,1.65833333333333,1.66842112261542,1.65865384615385,1.64034021871203,1.6324194015704,1.65123552965739,1.66666666666667,1.67618124664072,1.67173252279635,1.61187244644063,1.60126699573668,1.625,1.61727062838787,1.6008004002001,1.61388550548112,1.59261130827869,1.61387807311108,1.61290322580645,1.60688434273161,1.60184115855528,1.63745892661555,1.65229885057471,1.65970640206803,1.66666666666667,1.68774112525238,1.7,1.74603174603175,1.72877551155948,1.72105641796701,1.77261613691932,1.76112152909873,1.74863352921553,1.75813127524785,1.75685568438131,1.7741935483871,1.79491791182439,1.82881912868864,1.85891793189242,1.86596583442838,1.83524993305994,1.85242376409764,1.83297944901946,1.85473024084782,1.88235294117647,1.84824902723735,1.8742371175256,1.83779649577735,1.86150512738628,1.88137755102041,1.89592162693864,1.89628416133293,1.89523428418987,1.9,1.91655573540485,1.9281625605047,1.95749440715884,1.98487712665406,1.99089874857793,1.94466095089634,1.92395005675369,1.90217391304348,1.94196683067154,1.94585448392555,1.94275296329212,1.92180251822399,1.90763052208835,1.99115044247788,2.02890792291221,2.08333333333333,2.13454075032342,2.18082192078653,2.16048561590854,2.14336338722717,2.1969696969697,2.23076923076923,2.21138206644341,2.17899850602246,2.18127425934728,2.19013345227797,2.18202027757002,2.24375,2.26707969081839,2.30696798493409,2.32158211521926,2.29952830188679,2.26962135833104,2.27834467120181,2.26312712749382,2.28041602377279,2.30414746543779,2.2979797979798,2.32035928143713,2.31508934810822,2.33841958691112
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",5,1.73611111111111,1.661918328585,1.66666666666667,1.64596273291925,1.64596273291925,1.66716299384554,1.64596273291925,1.64632527233398,1.65450121654501,1.64383561643836,1.66172106824926,1.65592558117474,1.64069497512923,1.63567756420164,1.64727043088963,1.65945165945166,1.67600896860987,1.68413173652695,1.68382352941176,1.66901547722793,1.66508248803896,1.66264976276069,1.67501690924121,1.67158308751229,1.6892545982575,1.68316831683168,1.68085337583309,1.69029443838604,1.68409054475527,1.70454545454545,1.69519698882077,1.68742945823928,1.70229612034838,1.69920462762111,1.70902221648153,1.68855534709193,1.70098478066249,1.70403587443946,1.72188409288728,1.73481057507367,1.75,1.7638036809816,1.78515625,1.78030303030303,1.79227941176471,1.77379092138218,1.78125,1.78156467854376,1.77219040801718,1.77590237254217,1.77777777777778,1.79887413142324,1.81034482758621,1.82522123893805,1.82389937106918,1.82031708749266,1.82394366197183,1.83415013290298,1.8322762508809,1.84024539877301,1.83318056828598,1.84180138568129,1.86170212765957,1.86567164179104,1.88022158773934,1.90932234911689,1.91470844212359,1.90253671562083,1.90156599552573,1.89142228091583,1.89954648526077,1.91609977324263,1.90997980547313,1.90736547285621,1.92743764172336,1.895,1.92165558019217,1.91929133858268,1.9144249281325,1.92307692307692,1.92082779009608,1.93537124416965,1.9140625,1.95417170926176,2,2.02179031424443,2.04081632653061,2.03908241291419,2.04493087557604,2.03283815480844,2.04454183385889,2.0453556452251,2.03154538690561,2.03472599023332,2.05555555555556,2.0456333595594,2.0625,2.05931162333601,2.07624190032225,2.08359021783806,2.09059233449477,2.09930341508235,2.0925933242462,2.09876543209877,2.08623410827193,2.07792207792208,2.08923512747875,2.09836517140895,2.10218996022718,2.11864406779661,2.14143830422397
"Kings County","NY","New York-Newark-Jersey City","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11111111111111,3.48630787460575,3.49099099099099,3.63078637926893,3.49544072948328,3.52664576802508,3.46561679790026,3.49397590361446,3.47417840375587,3.4721049747486,3.40425531914894,3.41530054644809,3.3041788143829,3.13628421665696,3.18974630021142,3.33222222222222,3.28262057929431,3.24324324324324,3.17914438502674,3.25757575757576,3.43192142111807,3.41017685386286,3.41126279863481,3.42857142857143,3.375,3.24561403508772,3.16742081447964,3.22084866950118,3.17647058823529,3.20749189757229,3.16326530612245,3.19609967497291,3.27380952380952,3.45508390918065,3.45961538461538,3.27248677248677,3.28659070990359,3.33333333333333,2.92220540859014,3.39366515837104,3.62915250193833,3.64284964654907,3.58190196899874,3.68271954674221,3.71206286011524,3.74882849109653,3.65890183028286,3.5,3.38805407917719,3.21888412017167,3.23551646706587,3.39366515837104,2.98403714377456,2.8125,2.92620961263081,3.30289256198347,3.42995169082126,3.21750321750322,3.16494005977952,3.30728818047413,3.26388888888889,3.01706863628491,2.91666666666667,2.91666666666667,2.96667862858759,2.99890948745911,3.13725490196078
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",7,1.95182724252492,1.88118811881188,1.84518192303659,1.79856115107914,1.83592388985114,1.83579335793358,2.04301075268817,1.99755374439991,1.90298507462687,1.86025913032731,1.85185185185185,1.7741935483871,1.73684210526316,1.73913043478261,1.76056338028169,1.78082191780822,1.77600371656316,1.7648136835675,1.77090742057847,1.78571428571429,1.79073870745978,1.79600667255142,1.78907721280603,1.78571428571429,1.78958785249458,1.80851063829787,1.83823529411765,1.85676392572944,1.88276245146278,1.88388960592642,1.86231884057971,1.86068702290076,1.8295964714222,1.81818181818182,1.84790334044065,1.84210526315789,1.8632676749183,1.88394875659382,1.87861271676301,1.93445692883895,2.01680672268908,2.07373271889401,2.05940231999668,2.00752823086575,2.0437094885543,2.05245153933865,2.06310679611651,2.02205882352941,2.02020202020202,2,1.96428571428571,2.00752823086575,2.03349282296651,2.05173951828724,2.06611570247934,2.06185567010309,2.03703703703704,2.05980066445183,2.04081632653061,2.07100591715976,2.10194429847609,2.18826619964974,2.24719101123596,2.32945091514143,2.37270130119556,2.36947791164659,2.37717908082409,2.32558139534884,2.31607629427793,2.3001210653753,2.3,2.31012658227848,2.33778625954198,2.33333333333333,2.28658536585366,2.27272727272727,2.29986882296429,2.23993925588459,2.21238938053097,2.25390791638735,2.19926825907008,2.33870967741935,2.17096336499322,2.22104104500266,2.24007168458781,2.27716330513988,2.25806451612903,2.26095148374941,2.25188674607774,2.24014336917563,2.26969292389853,2.28245603321935,2.27118464437117,2.2435174746336,2.22469410456062,2.23214285714286,2.23809523809524,2.26549858414239,2.27429771289113,2.31363131152747,2.30769230769231,2.30299928662262,2.30769230769231,2.30676912102673,2.28472222222222,2.27670753064799,2.26739640344019,2.26620421220276,2.2650289680491,2.29779411764706,2.30929178948745
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",8,,,,,,,,0.948379717785394,1.08698862797223,1.08910891089109,1.14942528735632,1.13202510017696,1.07579462102689,1.0586319218241,1.08435841775205,1.0787204127425,1.09544520547945,1.08152173913043,1.04516806722689,1.04977168433664,1.04048082874217,1.01986073399317,1.02051335998317,1.03497739239927,1.0752688172043,1.07929515418502,1.00175132766288,0.989110707803993,1.03690685413005,1.04678362573099,1.03883495145631,1.16687141687142,1.19178614425688,1.21428571428571,1.18219749652295,1.14367816091954,1.15560640732265,1.23406720741599,1.17474302496329,1.20763723150358,1.23603078843353,1.3,1.25358166189112,1.19200394866732,1.26835781041389,1.27569099929128,1.2604776714928,1.20904836193448,1.21377638964598,1.20056497175141,1.20711562897078,1.2241054613936,1.26076260762608,1.26336248785228,1.25,1.25852123754588,1.24414976599064,1.24357239512855,1.23037317373702,1.26588983050847,1.2216404886562,1.23734533183352,1.28743647011238,1.29139072847682,1.27519052672198,1.30380952380952,1.30380952380952,1.31406044678055,1.29251104244469,1.30718954248366,1.28808592311884,1.31875,1.33928571428571,1.34653209109731,1.33036597428289,1.33036597428289,1.31221461187215,1.30125541125541,1.33744855967078,1.30695890988444,1.31607655502392,1.32347481436885,1.32902570728059,1.39257294429708,1.42981043241234,1.4439591896653,1.43892339544513,1.45288742293018,1.44694533762058,1.44927536231884,1.4157196969697,1.41369047619048,1.40300740549384,1.4,1.41206675224647,1.41912512716175,1.43072289156627,1.45708457587806,1.50296949872502,1.50193534626382,1.49440708651235,1.47783251231527,1.47584973166369,1.46198830409357,1.48426149252017,1.46126601591082,1.49797570850202,1.50771649385561,1.48316760407853,1.49537961563869,1.545
"Queens County","NY","New York-Newark-Jersey City","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55731922398589,2.31053604436229,2.33333333333333,2.375,2.38095238095238,2.33333333333333,2.37797619047619,2.33333333333333,2.38492063492063,2.41666666666667,2.4097882454624,2.40384615384615,2.43231251087524,2.45238758179034,2.40210423634337,2.41754258789416,2.45535714285714,2.44470314318976,2.50544662309368,2.50272331154684,2.5,2.62109375,2.5,2.54284212584951,2.625,2.5609756097561,2.51655629139073,2.5645550249107,2.52270433905146,2.57190366972477,2.5862581163333,2.6,2.76595744680851,2.60281690140845,2.625,2.57289708646617,2.59048223605989,2.56944444444444,2.65685019206146,2.53025302530253,2.67737617135207,2.7756132168735,2.68783602150538,2.72661870503597,2.84187299851597,2.93974447513812,2.92207792207792,2.88335517693316,2.95111318942737,2.86772281164712,2.88808664259928,2.78,2.75229357798165,2.58240507975035,2.39385727190605,2.38853503184713,2.49110320284698,2.44738657926514,2.50984266591392,2.55051020408163,2.396,2.31564836246241,2.3502653525398,2.36038961038961,2.38492063492063,2.41448692152917,2.42857142857143,2.47571900047148
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37795275590551,1.37900844379181,1.42610624922963,1.46627565982405,1.48478099480327,1.43513988548235,1.47892635314996,1.51515151515152,1.58690675354407,1.63934426229508,1.71428571428571,1.74901447302664,1.76495366470093,1.83907179605573,1.83907179605573,1.80022505626407,1.72550148278499,1.68970814132104,1.66701403362512,1.72414868175883,1.82439095900634,1.88053097345133,1.88461984525407,1.8974358974359,1.90972222222222,1.94444444444444,1.85546875,1.84587735635585
