"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.34269662921348,1.31578947368421,1.26666666666667,1.28472222222222,1.27583156404812,1.23076923076923,1.23922413793103,1.23076923076923,1.27857142857143,1.30769230769231,1.26923076923077,1.30284862191751,1.32820512820513,1.33776724975705,1.35685210312076,1.421875,1.55,1.6,1.66666666666667,1.66666666666667,1.61111111111111,1.56428571428571,1.58165674201692,1.595,1.58045047287208,1.61111111111111,1.61739130434783,1.59128978224456,1.57142857142857,1.56670938492597,1.55971479500891,1.56785714285714,1.62455985915493,1.6625,1.66666666666667,1.71731651376147,1.74074074074074,1.77777777777778,1.83333333333333,1.83333333333333,1.79054054054054,1.8140589569161,1.89982728842832,1.875,1.78372352285396,1.8222816297643,1.87841530054645,1.85322562919002,1.8796992481203,1.89592050209205,1.99442724458204,1.89492994801572,1.89720812182741,1.87793427230047,1.86042071197411,1.9375,1.94524495677233,1.98888888888889,2.08253205128205,2.10526315789474,2.158099617556,2.125,2.10602759622367,2.12666666666667,2.10739300289077,2.10176233895086,2.07333333333333,2.08,2.10941936585247,2.08885941644562,2.07964601769911,2.13571428571429,2.11864406779661,2.07692307692308,2.13270142180095,2.12655172413793,2.11825929752066,2.13373983739837,2.11819852941176,2.15384615384615,2.18538400363554,2.1597923681257,2.18274111675127,2.20714285714286
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77804295942721,1.82857142857143,1.87679106622326,1.88953488372093,1.9,1.8,1.79,1.86,1.85714285714286,1.78571428571429,1.83585313174946,1.84375,1.81306818181818,1.825,1.82926829268293,1.81363636363636,1.88888888888889,1.89933774834437,2.01166666666667,2.06433166547534,2.06725333716592,1.97834803528468,2,2.04932094353109,2.05331412103746,2.05882352941176,2.13,2.19852941176471,2.29,2.32771141448616,2.11538461538462,2.03915329768271,1.92248062015504,2.00662251655629,2.13928571428571,2.24,2.05882352941176
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11111111111111,1.14119159300018,1.16987179487179,1.10324700572691,1.12612612612613,1.175,1.13868613138686,1.12676056338028,1.19047619047619,1.21428571428571,1.1142061281337,1.13901869158878,1.10464193660075,1.15384615384615,1.16230252247534,1.21616985767929,1.191487715824,1.17700501253133,1.20730976632714,1.21579655620102,1.21932515337423,1.2062380649268,1.21970118672573,1.21520460671404,1.19066773934031,1.20287584335644,1.16200221238938,1.17960566358074,1.23370577281192,1.21527777777778,1.21527777777778,1.1783946251768,1.16666666666667,1.15384615384615,1.16666666666667,1.17727272727273,1.16666666666667,1.16058394160584,1.18083003952569,1.18966744306418,1.1875,1.2,1.18421052631579,1.1765873015873,1.16121031746032,1.18040653314258,1.16666666666667,1.17172519831352,1.16863905325444,1.17862036182647,1.15162037037037,1.15424636095828,1.16666666666667
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,0.884123053052456,0.883630721489527,0.899475524475524,0.846590909090909,0.794677871148459,0.77457264957265,0.795940170940171,0.756074498567335,0.752636430678466,0.781477453640379,0.768543956043956,0.778210116731518,0.78125,0.791666666666667,0.786215865578396,0.785714285714286,0.7985,0.79780305012522,0.833333333333333,0.840978593272171,0.83125,0.809151785714286,0.812808849955076,0.809352517985611,0.806715063520871,0.813636363636364,0.8125,0.8125,0.809121347402597,0.789049919484702,0.788999098286745,0.803386069340017,0.809151785714286,0.806451612903226,0.795053003533569,0.809090909090909,0.822222222222222,0.890035438815927,0.86875,0.863291040100251,0.863636363636364,0.852941176470588,0.863636363636364,0.847868217054264,0.838606121091151,0.844013836772983,0.878676470588235,0.893928571428571,0.922100551489275,0.925323557758502,0.86875,0.911458333333333,0.875,0.899122807017544,0.888077858880779,0.887927818329278,0.897596274936549,0.911131360998354,0.924554981337927,0.954339204174821,1.02453987730061,1.05662393162393,1.05662393162393,1.07265553735409,1.08358029918148,1.08055770720372,1.07106782106782,1.07643622200584,1.06689246401355,1.06060606060606,1.07538461538462,1.0668903803132,1.1,1.1,1.1036036036036,1.09890219560878,1.11111111111111,1.11651583710407,1.1,1.1,1.11111111111111,1.12126245847176,1.165,1.14083333333333,1.1604674796748,1.19142572283151
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,1.34869377493578,1.32666666666667,1.25789473684211,1.28837719298246,1.29666666666667,1.28697478991597,1.24038461538462,1.26538987688099,1.2760781671159,1.29289215686275,1.33333333333333,1.3,1.32913282369804,1.38888888888889,1.40909090909091,1.40454545454545,1.4453781512605,1.41666666666667,1.38987577639752,1.38888888888889,1.38994304097151,1.4,1.4,1.41913879337293,1.44545454545455,1.42142857142857,1.42908309455587,1.45833333333333,1.49184131736527,1.48625429553265,1.48845421663811,1.53443113772455,1.53076923076923,1.52777777777778,1.52941176470588,1.60556257901391,1.61111111111111,1.5625,1.59,1.62991371045062,1.78716608594657,1.70643939393939,1.69642857142857,1.66111111111111,1.70227272727273,1.69482051282051,1.70714285714286,1.74375,1.79310344827586,1.81306818181818,1.79504098360656,1.85,1.82291666666667,1.875,1.92941176470588,1.92880184331797,1.94117647058824,1.93333333333333,2.05479452054795,2,1.99215384615385,1.99736842105263,2.0152148965313,1.92307692307692,1.86493055555556,1.94634146341463,1.92307692307692,1.98789974070873,1.93324595893403,2,1.99285714285714,2.00751922207146,2.092603769071,2.09047619047619,2.10819411296738,2.125,2.171692977681,2.1869290499391,2.16458333333333,2.21428571428571,2.20833333333333,2.19363940698231,2.16666666666667,2.17272727272727,2.21238938053097,2.15675675675676,2.14285714285714,2.2,2.21067743188982,2.25371150536996,2.3125,2.3,2.22809419496167,2.3066783831283,2.34936974789916,2.32198142414861,2.38225629791895,2.34641638225256,2.3125,2.33333333333333
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,1.54210526315789,1.55376344086022,1.55339687194526,1.55400782013685,1.52448209301775,1.52526215443279,1.44824011571842,1.47058823529412,1.596875,1.6839378238342,1.58874458874459,1.60555555555556,1.63837025316456,1.66051660516605,1.66111111111111,1.65176151761518,1.60094228504123,1.7309205350118,1.75214707461084,1.76240796291246,1.75,1.74013921113689,1.77492447129909,1.74088525537801,1.74232003668042,1.72105263157895,1.73959009301319,1.7542907871375,1.76537926235212,1.75,1.75808720112518,1.76666666666667,1.75226586102719,1.75382653061224,1.79589635710621,1.77922077922078,1.81255526083112,1.75203101920236,1.78571428571429,1.77940476190476,1.81081081081081,1.85739495798319,1.84166666666667,1.80596395219037,1.80777177368086,1.78416149068323,1.73966666265683,1.75925925925926,1.84390174125506,1.84269662921348,1.82613981762918,1.84375,1.84827116137606,1.95,1.81956903726995,1.79583333333333,1.8037518037518,1.85034735904958,1.80894281914894,1.97222222222222,1.96587388159083,1.97213622291022,1.99438202247191,2,2.00724154440683,2.03892134588337,2.08333333333333,2.07065217391304,2.0439061317184,2.0423612291245,2.02736692320026,2.04166666666667,2.02821869488536,2.09754230459307,2.125,2.09495364832536,2.10555555555556,2.09206349206349,2.07307692307692,2.06395348837209,2.05555555555556,2.0873786407767,2.12626390293225,2.15625,2.13313756896245,2.13333333333333,2.13631739572737
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.666,2.8,2.88235294117647,2.86410984848485,2.93333333333333,3,3,3,3.06666666666667,2.99888888888889,2.88235294117647,2.82352941176471,2.79333333333333,2.81081081081081,2.8,2.8475,2.90909090909091,2.93259144929773,2.91666666666667,2.94285714285714,2.91213235294118,2.8881804982424,2.85,2.83333333333333,2.77777777777778,2.799,2.8,2.8,2.82352941176471
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65380374862183,1.66903409090909,1.64473684210526,1.60869565217391,1.74062353492733,1.76923076923077,1.82291666666667,1.79153094462541,1.83254183627318,1.78326474622771,1.80383314543405,1.93649193548387,1.9087439278279,1.92857142857143,2.06611570247934,2.12205857457254,1.96629213483146,2.04301075268817,2.05489363644664,2.04452563784989,2.01224846894138,2.06786908612466,2.1039603960396,2.1020282541656,2.17391304347826,2.15199596322045,2.17391304347826,2.15384615384615,2.19298245614035,2.23096268569423,2.22222222222222,2.08867333567708,2.09437963944857,2.1617427879304,2.14921875,2.08236971939562,2.03696569941588,2.08333333333333,2.11416490486258,2.09718846663721,2.10610773354963,2.11453744493392,2.12765957446809,2.14857975236708,2.16981132075472,2.16121495327103,2.16,2.16010165184244,2.15643274853801,2.16937144680357,2.14669051878354,2.18543046357616,2.16933445661331,2.18604651162791,2.19298245614035,2.21269548446606,2.20588235294118,2.18150087260035,2.17085618888624,2.12264150943396,2.1441341733356,2.16157205240175,2.16561183543966,2.21653878942882
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44340224830668,1.41290322580645,1.48998822143698,1.4779601029601,1.48998822143698,1.49088541666667,1.54315543373105,1.40388452238776,1.36430010681686,1.48205445544554,1.50994953927161,1.41666666666667,1.38888888888889,1.33333333333333,1.29635496183206,1.27737226277372,1.28174130833705,1.28125,1.325,1.32241813602015,1.35,1.28976784178848,1.2701247410221,1.2843295638126,1.32375189107413,1.31578947368421,1.26587301587302
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44296690307329,2.42857142857143,2.41499546793564,2.41042780748663,2.42857142857143,2.44444444444444,2.42752100840336,2.46428571428571,2.45833333333333,2.5,2.52631578947368,2.47150789012274,2.4364896073903,2.42857142857143,2.42647058823529,2.4,2.41666666666667,2.42105263157895,2.46153846153846,2.5,2.43127595318988,2.49827380952381,2.53333333333333,2.44444444444444,2.49196428571429,2.5,2.35714285714286,2.42857142857143,2.46148451828676,2.5,2.55102040816327,2.53846153846154,2.57142857142857,2.53333333333333,2.53968253968254,2.45454545454545,2.43772163120567,2.45061728395062,2.4375,2.38461538461538,2.369375,2.4,2.4,2.46153846153846,2.46153846153846,2.44791666666667,2.45454545454545,2.45161290322581,2.42714285714286,2.42477375565611,2.42857142857143,2.4365234375,2.44444444444444,2.46428571428571,2.45454545454545
