"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1.61127895266868,1.61645848640705,1.66563849475632,1.65816326530612,1.66666666666667,1.69456176277186,1.66339022416431,1.62509448223734,1.63525435750816,1.63638283169533,1.69447340980188,1.68833553494818,1.69753086419753,1.67279415580237,1.70866935483871,1.7022696929239,1.69539417914665,1.66702478154992,1.65036241219092,1.63817663817664,1.6531150266258,1.64784108990754,1.6365388086952,1.6384136579158,1.61169415292354,1.59607120933088,1.57261934243461,1.59017713365539,1.59985422740525,1.5494412757537,1.49214659685864,1.53054833388234,1.55860349127182,1.57120127287192,1.5559878945093,1.54519918283963,1.57524103122072,1.59030837004405,1.56833824975418,1.51745747538048,1.53984661359232,1.5426497277677,1.52073732718894,1.54610492845787,1.53321976149915,1.51621398483572,1.53631284916201,1.53142402545744,1.52736730195324,1.53620557972693,1.5625,1.61577260919227,1.65413533834586,1.71321706182264,1.70720720720721,1.69882397155124,1.70818505338078,1.7123793230361,1.71965915138685,1.74632352941176,1.72498767865944,1.74074074074074,1.82730923694779,1.84149979478665,1.85185185185185,1.86663006679477,1.87958709422721,1.88235294117647,1.88323917137476,1.8986532480708,1.87145761952032,1.89237451737452,1.94117647058824,1.97547683923706,1.95749440715884,1.94664744051911,1.93824358496041,1.93599559757415,1.91458026509573,1.9940181663957,1.89473684210526,1.99702882960413,1.87943262411348,2.00441412520064,2.08796503849507,2.12981481481481,2.14367067524301,2.14532871972318,2.14727219793147,2.14748784440843,2.14905989411263,2.12458696531705,2.1213326583255,2.13256844378487,2.10364160370474,2.12370615296147,2.1434460016488,2.15683817427386,2.195,2.24793451652387,2.28533026113671,2.26586102719033,2.25,2.23619846261356,2.23329197684036,2.2641723011794,2.27790432801822,2.27790432801822,2.28937728937729,2.30769230769231,2.3390243902439
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1.33689839572193,1.29599483204134,1.27272727272727,1.21075536213864,1.25057872691016,1.26965119135348,1.27314814814815,1.28558310376492,1.30226480836237,1.33333333333333,1.3506497151357,1.26518218623482,1.29686304514155,1.38888888888889,1.49933333333333,1.49076517150396,1.54526910235682,1.59921671018277,1.61428571428571,1.59027128157156,1.49191086691087,1.40608102018745,1.40845070422535,1.45806135770235,1.50420168067227,1.54253751339764,1.32978723404255,1.416015625,1.57772983961787,1.6,1.68763185654008,1.8,1.825,1.81878306878307,1.81878306878307,1.79180887372014,1.76184690157959,1.86363636363636,1.8550758678561,1.7526455026455,1.50939385188037,1.51810881461776,1.36332651670075,1.39478471801092,1.36105767448467,1.35135135135135,1.38539347329341,1.35806671204901,1.31802088548745,1.3,1.29023009766203,1.36752136752137,1.406191369606,1.41963277405824,1.41161374729533,1.40919588720732,1.40503875968992,1.4,1.39608117564731,1.40485312899106,1.410998552822,1.42487046632124,1.47368421052632,1.46812796286111,1.42443113153543,1.425,1.42383212467818,1.41831852358168,1.38461538461538,1.38888888888889,1.37178394918551,1.38888888888889,1.39285714285714,1.40693463391108,1.43815915627996,1.48222940226171,1.47368421052632,1.48285449490269,1.45960624575696,1.46122448979592,1.48028946105869,1.48222142049845,1.48516483516484,1.41739980449658,1.4,1.41666666666667,1.43644646924829,1.4531994817113,1.44800521498678,1.45833333333333,1.43170300982801,1.42156862745098,1.41342756183746,1.41122297047064,1.41465571154385,1.42131979695431,1.425,1.44675925925926,1.4644455422527,1.46666666666667,1.48095909732017,1.47504914809961,1.47526100771675,1.47321428571429,1.46641438032167,1.45380816281204,1.44927536231884,1.46921641791045,1.50939195887028,1.51658767772512,1.52186167344738
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.871966302386407,0.914935707220574,0.897437141401703,1.01694915254237,0.970715835140998,0.835449381891079,0.842358604091456,0.791407574901074,0.791139240506329,0.791940018744142,0.798838070591992,0.800890566336791,0.784820895161419,0.777777777777778,0.781460579514825,0.794578850037389,0.822532402791625,0.831784124351377,0.83382966051221,0.836938905900594,0.833333333333333,0.831024930747922,0.828650355169692,0.830813409951185,0.837765957446808,0.842791335510315,0.848395870428149,0.863206964878074,0.867321107218272,0.872061235647895,0.871687587168759,0.868658790826963,0.864886544976661,0.860420650095602,0.8665810868635,0.867052023121387,0.865384615384615,0.871687587168759,0.877843002022039,0.880496026831345,0.875386199794027,0.874093012250907,0.868403473613894,0.873655913978495,0.867391304347826,0.858778625954199,0.85466672128014,0.844729807883205,0.864626606195819,0.866450660181928,0.869061413673233,0.887096774193548,0.891819635247951,0.892857142857143,0.889761830174908,0.883144100169779,0.892334558376545,0.891737891737892,0.889897628464702,0.890233606205724,0.890067306710857,0.892007782408819,0.902777777777778,0.910545114502283,0.914417429874953,0.91559786481367,0.910689170182841,0.908247646504115,0.903947844479697,0.89974293059126,0.898325847284606,0.904731457800512,0.907441016333938,0.909602972975717,0.916422287390029,0.928049156778037
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,0.855094792917951,0.823045267489712,0.817257227304972,0.837610825944937,0.803499693932206,0.790707428077869,0.79113940736054,0.787149932486347,0.771717240316476,0.776033662212524,0.727411944869832,0.726392251815981,0.724242424242424,0.731607820320619,0.729977277754318,0.721042039355993,0.712261460776398,0.710108604845447,0.700058343057176,0.697674418604651,0.692896935933148,0.692259282567653,0.693293142426526,0.692114093959732,0.701291079812207,0.716510903426791,0.717652856574454,0.719439728353141,0.719424460431655,0.720182887372711,0.713719270420301,0.712378232641917,0.716145833333333,0.709964412811388,0.706945950446115,0.713842333954066,0.712520977582133,0.714694110920526,0.703658565000595,0.703290870488323,0.706666666666667,0.69491553486156,0.709033613445378,0.705645161290323,0.699533644237175,0.701465487957362,0.69921875,0.699844479004666,0.70583596214511,0.712161751130886,0.734172198841735,0.73594674556213,0.734827984302939,0.737797956867196,0.732899022801303,0.733779144280634,0.733024691358025,0.735800996882968,0.738396624472574,0.753012048192771,0.766666666666667,0.782187355791417,0.786760716223549,0.790618563388962,0.782778864970646,0.779274048347059,0.780101102941177,0.782993325527049,0.784700123276282,0.787323812232275,0.791198859137867,0.804967801287949,0.815217391304348,0.82390013942905,0.811688311688312,0.810580204778157,0.803853897037676,0.799885321100917,0.797322615204588,0.796864312585499,0.804419390741798,0.783759224922333,0.81858407079646,0.831228620690388,0.845410628019324,0.857740585774059,0.874800780272104,0.879809882413233,0.880447585394582,0.870200683462879,0.866897839423846,0.863856254319281,0.863321342925659,0.861451758063467,0.869565217391304,0.880052151238592,0.896279594137542,0.912213740458015,0.923313161911619,0.92815130378595,0.932835820895522,0.923021828678459,0.919335705812574,0.922509225092251,0.926504652158679,0.925507900677201,0.936234817813765,0.943300547284626,0.970123305586117,0.99581932598742
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,1.64856796036875,1.76613885505481,1.66666666666667,1.69160177975528,1.73341909039376,1.64541341011929,1.60530821917808,1.52777670268844,1.5143037571654,1.52671755725191,1.44315366082032,1.45214391353865,1.44212762892538,1.45362153088696,1.44356955380577,1.42455153007387,1.42094017094017,1.4207650273224,1.3941018766756,1.40754208448472,1.43318965517241,1.42444112288205,1.4453125,1.41442715700141,1.40134529147982,1.38527144497294,1.41034251175285,1.40503875968992,1.39590365816675,1.38541666666667,1.38119533527697,1.40092952907533,1.43849206349206,1.44310474755087,1.44873699851412,1.49387842465753,1.51541095890411,1.47794994973678,1.42017326732673,1.41499282639885,1.41304347826087,1.41026015839022,1.42601858470336,1.39455782312925,1.3975,1.41576737451737,1.43172925697188,1.45220588235294,1.45962732919255,1.4712389380531,1.49501661129568,1.49544827744949,1.47569444444444,1.49431795830055,1.5,1.48674115293242,1.4859228362878,1.50962861072902,1.52783082930142,1.54443403867571,1.53225806451613,1.5709706959707,1.53465346534653,1.53203342618384,1.55529953917051,1.54888673765731,1.53550295857988,1.54011461318052,1.5625,1.57938487115544,1.58237478524157,1.61870503597122,1.63636363636364,1.59328786333503,1.59235291798642,1.58085808580858,1.58039698596264,1.58620689655172,1.6,1.58770161290323,1.58652534655736,1.56220891550233,1.65450928381963,1.70197466391954,1.74476570289133,1.75746924428822,1.77746999076639,1.76282051282051,1.76610978520286,1.80872483221477,1.78869544478893,1.76964141882766,1.76004693458492,1.7707155582965,1.82915057915058,1.8740330791542,1.88888888888889,1.89393939393939,1.89113929805419,1.87945560596241,1.90237725704308,1.875,1.8641047372647,1.86146794893398,1.86625194401244,1.90934171940114,1.9349164467898,1.96312734721748,1.98075834748161,2.01014832162373
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,1.74756335282651,1.63269992348948,1.66966889689484,1.62818235642392,1.61720623911123,1.5807560137457,1.54295752866915,1.57485216308746,1.5625,1.541695865452,1.57802454704851,1.55228758169935,1.54878678368611,1.56449553001277,1.59168760322888,1.58045977011494,1.5641849725671,1.5687432173873,1.56743976094264,1.56486622917718,1.54811715481172,1.54462242562929,1.58904718201342,1.59045725646123,1.59235668789809,1.55996758508914,1.5671483750245,1.59857904085258,1.58940560128093,1.58789669927044,1.58613958028306,1.59279829624575,1.61538461538462,1.59872102318145,1.58985752496699,1.59736095585734,1.6382252559727,1.65124374835483,1.65482534043813,1.62754530213984,1.63284910505989,1.63568773234201,1.62983922209103,1.6291851762388,1.62792449295714,1.63719711853307,1.64444444444444,1.62769009876107,1.62996867775375,1.62637467406234,1.63141993957704,1.65289256198347,1.65540540540541,1.65358744394619,1.64700645448475,1.65318391885812,1.65417789253106,1.66123571057073,1.66458788027432,1.6750418760469,1.67149068427049,1.69014084507042,1.70715692711753,1.72668968919586,1.72727272727273,1.74174174174174,1.74769621862091,1.73652694610778,1.73525037183937,1.75015114873035,1.75862272102059,1.79166666666667,1.77738994026119,1.7866834843099,1.76999767468899,1.76788685524126,1.7960200845666,1.73258749991423,1.7404181184669,1.73319500995504,1.72223629520875,1.77334914701936,1.71330668189606,1.77541056369285,1.79856115107914,1.82544209925841,1.84723284960422,1.85483870967742,1.86741363211951,1.87050944098272,1.86900958466454,1.85938407902382,1.84361093452003,1.84964200477327,1.86372121966397,1.86608122941822,1.8947628510668,1.90109365333758,1.91875169932533,1.93298969072165,1.92431045542014,1.91570881226054,1.91387559808612,1.90972222222222,1.88964933162424,1.89008894536213,1.88370839729562,1.91532759496956,1.93834809546664,1.93635101252936,1.95749440715884
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3918821603928,2.55972696245734,2.5,2.49894444444444,2.55555555555556,2.55111111111111,2.6,2.59375,2.7,2.8,2.70294117647059,2.5626939788951,2.5,2.43888888888889,2.36097990381312,2.37666666666667,2.35478806907378,2.47058823529412,2.5,2.41460595094491,2.4,2.32456140350877,2.299,2.24358974358974,2.1875,2.20710784313725,2.33333333333333,2.42857142857143,2.42787794729542
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,1.43747276688453,1.4,1.35623869801085,1.33928571428571,1.25812568667775,1.25543920670642,1.23701111218856,1.22128060263654,1.18683001531394,1.22222222222222,1.16063138347261,1.16142775920383,1.17775398524863,1.18764845605701,1.22324159021407,1.21742071135552,1.22107969151671,1.191848497324,1.20192307692308,1.19709015122454,1.19695321001088,1.20689655172414,1.19047619047619,1.20101657733694,1.23333333333333,1.24076029567054,1.23531875061582,1.25,1.26582278481013,1.28336755646817,1.275,1.2,1.19161105815062,1.19943059121497,1.19324796274738,1.19181413916885,1.20988953182536,1.20812740252608,1.21283585464084,1.22433302842267,1.24389160373167,1.22456120306765,1.20988953182536,1.20232172470978,1.20620333141872,1.21319356253159,1.21421026311782,1.20812740252608,1.20300751879699,1.20430107526882,1.2217871130993,1.2404149751917,1.26279863481229,1.25667312606271,1.25744540039709,1.24810892586989,1.24407582938389,1.24876385188112,1.25118416003134,1.26080691642651,1.27536231884058,1.29757785467128,1.30718954248366,1.31578947368421,1.33281086729363,1.31939745902872,1.31785769679752,1.31469979296066,1.32711621233859,1.33333333333333,1.32887422270673,1.33773453787352,1.35387241054614,1.34266330578239,1.35991313438194,1.35116694205122,1.34721371708512,1.34283819628647,1.34938573009568,1.32831370772947,1.35,1.30718954248366,1.35053017583514,1.35630498533724,1.36457260556128,1.37628404679942,1.39268347006199,1.38775117172794,1.38461538461538,1.37746710526316,1.3724808895066,1.37182637182637,1.37301454184686,1.37857900318134,1.38251770492132,1.38888888888889,1.39956525861225,1.41287284144427,1.41478401191658,1.42424242424242,1.42857142857143,1.42307692307692,1.41379310344828,1.40464613722312,1.40618538047974,1.42394822006472,1.42394822006472,1.41462112479524,1.42959770114943,1.44404332129964
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,0.709146921623965,0.734573947110676,0.751366120218579,0.776965265082267,0.76750700280112,0.761973875181422,0.758625004722149,0.767640436004225,0.824624476013041,0.801068090787717,0.788288288288288,0.785055936943809,0.748502994011976,0.752346407649413,0.753995662646371,0.758026427270925,0.762527233115468,0.762388818297332,0.755584756898817,0.74308947051519,0.744047619047619,0.744760479041916,0.740912462908012,0.73921085080148,0.749607012421095,0.769230769230769,0.778913111551824,0.764091858037578,0.773002595238029,0.776337705308367,0.774853801169591,0.776388206205222,0.778595478595479,0.79257573293325,0.783707865168539,0.786516853932584,0.793650793650794,0.809061488673139,0.80952380952381,0.788288288288288,0.781686208821887,0.785527299925206,0.784,0.78656462585034,0.779858935055826,0.77720207253886,0.776531492666091,0.777473383655754,0.780166482663723,0.783425414364641,0.7907133243607,0.818219198564593,0.81537565521258,0.83059183828065,0.825078055307761,0.819672131147541,0.811215550688953,0.811425949859848,0.810692375109553,0.811224489795918,0.828363154406892,0.855791539427953,0.854214123006834,0.861820351540164,0.873129009265859,0.891768292682927,0.895061728395062,0.881226053639847,0.888535031847134,0.900720576461169,0.895140664961637,0.895182291666667,0.904382197582564,0.911490516593797,0.916561314791403,0.925925925925926,0.92,0.925710969239698,0.934601113172542,0.925284533006012,0.929368029739777,0.946205245556877,0.926765617567575,0.957007182584176,0.974522292993631,0.989672212741752,1.00806451612903,1.01396922676705,1.02222222222222,1.0264087992884,1.01610429447853,1.01208172964889,1,1,1.01133651551313,1.0211027910143,1.02378938529129,1.02266611214405,1.05882352941176,1.06296547054841,1.05811680652445,1.05142884019946,1.04363849954115,1.02880658436214,1.03503136857132,1.03609625668449,1.04,1.04681302821036,1.05177217599855,1.0725679251043,1.10853432282004
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38279238690695,2.21046077210461,2.43055555555556,2.1484375,2.20833333333333,2.08333333333333,2.13675213675214,2.13333333333333,2.08214692752449,2.05668068088597,2,1.96659881569208,2.17013888888889,2.23214285714286,2.25,2.20065789473684,2.22222222222222,2.27272727272727,2.23765432098765,2.19721727074668,2.14673913043478,2.22857142857143,2.197265625,2.21631205673759,2.25,2.24958333333333,2.21941638608305,2.25,2.27586206896552,2.21254006410256,2.24651217228464,2.25,2.27857142857143,2.2742946708464,2.28571428571429,2.3,2.3638512787449,2.37797619047619,2.437570861678,2.40228013029316,2.38888888888889,2.33644859813084,2.35,2.395,2.33644859813084,2.31481481481481,2.24264705882353,2.30516194331984,2.38461538461538,2.36363636363636,2.22531293463143,2.26666666666667,2.30046948356808,2.29779411764706,2.31481481481481,2.28571428571429,2.25,2.26969696969697,2.30769230769231,2.30384615384615,2.29166666666667,2.27697315325302,2.27272727272727,2.27920227920228,2.26666666666667,2.25,2.28758169934641,2.20110739971713,2.16763005780347,2.21052631578947,2.21198156682028,2.27451120308263
