"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1375,1450,1500,1497.5,1497.5,1500,1345,1340,1352.5,1390,1250,1295,1295,1295,1300,1295,1295,1250,1200,1200,1195,1150,1195,1250,1300,1300,1305,1315,1300,1325,1355,1395,1395,1335,1350,1435,1475,1450,1475,1450,1400,1395,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1525,1575,1595,1595,1595,1630,1621,1685,1695,1695,1700,1745,1750,1780,1785,1750,1840,1795,1850,1895,1900,1909,1885.5,1890,1943,1800,1835,1795,1795,1795,1865,1925,1995,1995,1975,1995,2000,1995,1988,1995,1975,1975,1950,1975,1975,1931,2005,2100,2131.5,2195,2165,2200,2205,2200,2195,2197,2215,2250
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1105,1140,1100,1099,1025,985,1118.5,1295,1300,1342,1163,1240,1215,1250,1275,1350,1300,1275,1300,1295,1290,1315,1334.5,1275,1200,1177.5,1250,1300,1300,1300,1375,1430,1395,1425,1422,1540,1455,1495,1505,1548,1550,1551,1525,1500,1550,1610,1595,1500,1479,1450,1437,1490,1603,1450,1640,1670,1635,1425,1550,1623,1450,1450,1465,1450,1400,1405,1595,1661,1757,1675,1625,1691,1545,1500,1495,1470,1425,1435,1435,1420,1500,1500,1472,1464,1465.5,1450,1475,1475,1473,1485,1550,1586,1595,1550,1540,1545,1545,1549,1545,1533,1550,1555,1550,1545,1578,1595,1620,1638,1650,1595
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,1032,999,1035,1121,1134.5,1120,1104,1143,1157,1099,1090,1085,1100,1110,1134,1156.5,1153.5,1150,1145,1155,1160,1295,1289,1299,1225,1250,1215,1210,1193,1158,1120,1150,1107,1049,1099,1145,1184,1195,1200,1205,1187,1182,1195,1207,1219,1230,1246,1249,1273,1279,1270,1263,1265,1260,1260,1249,1245,1249,1238,1225,1225,1250,1250
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,650,650,645,650,662.5,659,650,650,659,675,689,675,673.5,675,680,699,696.5,699,700,690,688,695,699,695,689,689,697.5,688,689,680,679,700,732.5,726,725,735,724,729,709,725,715,720,730,745,750,759,775,795,785,795,795,800,818,804,819,927.5,919,900,949,925,925.5,979,896,920,926,897,865,856.5,921.5,974,1069.5,1097,1036,1026,1009,985,981,975,974,960,960,980,1009,1030,1033,1039,1050,1060,1056,1080.5,1070,1073,1084,1104,1105.5,1162
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,1250,1250,1225,1200,1225,1250,1295,1345,1350,1275,1200,1205,1248,1250,1295,1245,1240,1250,1248,1250,1295,1285,1309.5,1295,1225,1245,1245,1244,1225,1200,1100,1175,1295,1245,1175,1300,1350,1300,1295,1350,1500,1495,1478,1500,1500,1509.5,1550,1500,1590,1625,1570,1598,1600,1615,1631,1679,1695,1645,1642,1650,1650,1655,1695,1655,1600,1620,1815,1643,1735,1600,1610,1600,1657,1698,1730,1750,1775,1772,1794,1781,1780,1755,1745,1728.5,1750,1775,1780,1859,1900,1920,1935,1901,1895,1882,1895,1895,1890,1880,1855,1868
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1395,1385,1400,1395,1395,1572.5,1650,1395,1300,1345,1339.5,1350,1350,1350,1350,1395,1425,1395,1395,1393,1325,1350,1375,1360,1350,1350,1350,1352,1371,1375,1372,1405,1370,1378.5,1365,1380,1399,1428,1399,1395,1400,1375,1400,1495,1500,1490,1625,1605,1590,1585,1590,1605,1600,1600,1629,1675,1725,1725,1730,1730,1740,1721,1715,1723,1720,1730,1736,1745,1765,1770,1795,1805,1830,1850,1818,1837,1827,1823,1818,1850,1815,1855,1825,1870,1905,1905,1910,1930,1930,1925,1945,1945,1950,1960,1927,1925,1946,1955,1970,1990,1985,1985,1995,2000,2007,2000,2000,1975.5,2012,2043,2045
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2100,2100,2150,2149,2150,2100,2100,2000,2000,2050,2000,2050,2100,2100,2100,2105,2100,2100,2100,2096.5,2000,2000,2000,2000,2099
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,1450,1425,1450,1400,1400,1350,1387,1500,1450,1450,1475,1425,1400,1425,1422.5,1450,1450,1400,1400,1450,1400,1450,1500,1495,1500,1500,1500,1550,1550,1530,1525,1500,1499,1495,1500,1500,1500,1550,1591,1600,1650,1750,1750,1650,1650,1695,1700,1675,1685,1650,1600,1650,1675,1700,1680,1675,1650,1690,1700,1700,1725,1800,1800,1850,1895,1850,1900,1850,1850,1875,1875,1900,1900,1900,1850,1850,1818,1800,1779,1800,1800,1816,1750,1792.5,1775,1800,1790,1795,1800,1795,1800,1800,1800,1800,1766,1795,1800,1800,1810,1850,1850,1850,1840,1850,1835,1813,1800,1848,1840,1850,1850
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,1267.5,1207.5,1260,1149,950,950,919,899.5,920,919,839,845,745,704,809,845,896,950,865,920,950,920,885,950,950,968,1024.5,1104,1009,1030,1034,1000,1040,1055,995,1061,1095,1125,1122,1150,1105,1100,1128,1100,1137,1098,1060,1045,1060,1141.5,1150,1120,1100,1100,1125,1125,1137,1150,1150,1185,1165,1200,1200,1199.5,1208,1242,1229,1200,1209,1189,1189.5,1275,1219,1211,1160,1274,1280,1285,1275,1290,1301,1306,1315,1293,1280,1315.5,1295,1300,1339,1313,1299,1334,1340,1350,1350,1325,1339,1350,1325,1331,1355,1350,1350
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1200,1200,1300,1300,1300,1300,1300,1350,1400,1400,1450,1375,1375,1400,1400,1405,1425,1450,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1550,1575,1575,1551,1550,1595,1600,1600,1625,1675,1750,1750,1773,1750,1700,1750,1750,1750,1750,1750,1800,1825,1850,1800,1800,1800,1800,1795,1785,1795,1799,1800,1800,1800,1850,1850,1850,1820,1850,1850,1850,1850,1850,1850,1900,1875,1900,1900,1900,1925,1975,1850,1850,1760,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1795,1800,1800,1800,1800,1800,1800,1825,1850,1810,1800,1800,1800,1800,1834,1850
