"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1900,1900,1950,2000,2100,2170,2200,1995,1950,1900,1986.5,1850,1850,1800,1850,1950,1946.5,1900,1800,1799,1700,1650,1650,1675,1725,1795,1770,1795,1775,1750,1767.5,1800,1795,1795,1726,1750,1810,1850,1850,1895,1850,1850,1800,1890,1880,1750,1943,1899,1850,1850,1895,1993,2027.5,2100,2100,2100,2157,2172,2200,2200,2200,2209,2295,2300,2350,2350,2395,2395,2391.5,2400,2350,2399,2420,2485,2468,2450,2475,2464,2400,2475,2395,2400,2340.5,2408,2529.5,2600,2600,2600,2600,2595,2595,2575,2595,2525,2550,2500,2577.5,2595,2600,2600,2625,2695,2700,2650,2654,2695,2700,2700,2700,2700,2780.5
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,1400,1485,1450,1500,1500,1500,1500,1550,1550,1573,1500,1550,1569.5,1650,1650,1750,1700,1650,1669,1650,1595,1600,1600,1575,1500,1450,1500,1600,1595,1595,1600,1650,1558,1605,1600,1695,1600,1600,1695,1750,1800,1850,1800,1700,1795,1850,1650,1595,1600,1600,1675,1700,1800,1695,1800,1800,1735,1585,1600,1750,1600,1680,1695,1670,1685,1695,1750,1790,1850,1745,1695,1828,1700,1695,1749,1700,1700,1655,1650,1600,1595,1600,1600,1650,1650,1685,1700,1695,1695,1660,1650,1650,1650,1656,1675,1700,1745,1750,1765,1795,1795,1781.5,1800,1765,1775,1795,1805,1850,1875,1845
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,1175,1229,1300,1297,1300,1300,1350,1380,1295,1289,1295,1285,1329,1399,1400,1425,1415,1405,1400,1400,1570,1543,1570,1500,1532,1500,1475,1460,1440,1394,1400,1350,1350,1324,1400,1475,1431,1450,1480,1459.5,1468,1489,1500,1495,1500,1500,1479,1515,1541,1550,1558,1539,1530,1535,1509,1500,1497,1485,1475,1485,1500,1497
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,850,875,950,900,869,834,825,838,825,814,820,810,825,836,825,815,825,825,840,839,830,840,829,825,844,845,840,850,849,829,815,835,825,800,840,850,850,850,865,875,890,869,865,859,875,885,899,900,912,929,950,944,955,950,960,965,956,965,1095,1075,1059,1100,1095,1096,1100,1049,1048,1075,1005,995,987.5,1045,1101,1185.5,1229,1180,1162,1175,1150,1145,1126,1110,1107,1118,1160,1195,1211.5,1218,1226,1249,1255,1254,1271,1264,1253,1267,1295,1312,1355
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,1972.5,1900,1977.5,1700,1775,1750,1750,1750,1750,1700,1700,1750,1650,1595,1600,1595,1600,1640,1595.5,1595,1600,1600,1590,1603,1595,1600,1590,1565,1595,1595,1600,1595,1625,1575,1605,1745,1695,1600,1795,1800,1750,1750,1788,1895,1900,1895,1895,1900,1950,1950,1945,1943.5,1975,1950,1991,1950,1970,1980,2012,2050,2025,2005,1995,2000,2050,2095,2099.5,2000,1995,2100,2000,2120,1990,1995,1980,2022.5,2050,2100,2150,2175,2189,2195,2200,2200,2195,2150,2149,2150,2170,2190,2210,2255,2295,2300,2345,2302.5,2300,2300,2300,2300,2300,2300,2315
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,2000,1900,1995,1900,1902.5,2095,2100,1895,1850,1850,1850,1800,1840,1850,1895,1895,1899.5,1900,1900,1880,1800,1787.5,1837.5,1800,1795,1775,1780,1784,1795,1799,1795,1800,1750,1740,1740,1730,1765,1770,1775,1800,1825,1800,1825,1950,1967,1910,2019,2000,2000,2000,1990,2000,2005,2012.5,2040,2100,2135,2127,2130,2132.5,2125,2110,2125,2130,2145,2149.5,2175,2175,2200,2200,2235,2216.5,2250,2267.5,2260,2260,2285,2250,2275,2290,2220,2275,2250,2290,2350,2370,2395,2400,2400,2385,2395,2400,2390,2385,2395,2395,2413,2420,2429,2440,2439.5,2440,2450,2450,2450,2430,2420,2400,2430,2455,2465
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,1700,1900,1900,1975,1800,1900,1975,1800,1800,1800,1700,1650,1800,1900,1899.5,1800,1800,1800,1800,1800,1800,1800,1800,1800,1899,1950,2000,2099,2100,2100,2100,2050,2000,2000,2000,2000,2070,2100,2300,2350,2400,2400,2450,2400,2400,2400,2300,2300,2300,2300,2400,2475,2400,2400,2500,2500,2500,2400,2400,2425,2450,2500,2600,2500,2500,2500,2500,2500,2500,2450,2400,2450,2495,2500,2500,2500,2500,2500,2600,2670,2600,2400,2400,2317.5,2300,2399,2400,2403,2450,2495,2400,2400,2390,2350,2349.5,2325,2350,2400,2450,2450,2499,2499,2475,2400,2399,2349,2350,2375,2384.5,2395
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,1900,1900,1882,1900,1900,1850,1850,1900,1900,1900,1900,1900,1900,1900,1950,2000,2000,2000,1995,1934,1875,1890,1930,1900,1950,2000,2000,2075,2200,2300,2250,2200,2192.5,2200,2200,2200,2200,2200,2200,2250,2190,2200,2200,2200,2200,2200,2100,2150,2200,2300,2390,2404.5,2500,2500,2500,2400,2450,2450,2450,2450,2500,2500,2499,2450,2400,2350,2250,2350,2300,2400,2200,2300,2300,2350,2350,2350,2350,2300,2350,2350,2343.5,2300,2300,2300,2350,2350,2400,2400,2400,2400,2399,2390,2350,2350,2350,2350,2350,2399,2400
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,1131,1100,1225,1050,1110,1175,1190,1150,1200,1200,1245,1304,1425,1330,1373,1353,1388,1433,1410,1276,1440,1491,1525,1526,1550,1500,1500,1535,1490,1489,1461,1429,1400,1400,1500,1517,1500,1459,1450,1475,1481.5,1472,1430,1475,1500,1509,1540,1570,1550,1608,1615,1595,1564,1559.5,1499,1495,1565,1550,1514,1500,1610,1650,1693,1725,1702.5,1730,1738,1736,1691,1665,1693,1695,1700,1749,1720,1715,1769.5,1780,1774,1780,1725,1745,1751,1733.5,1702,1720,1740,1750
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1500,1550,1500,1550,1500,1500,1500,1580,1500,1500,1500,1580,1600,1600,1625,1700,1750,1790,1750,1700,1775,1725,1798,1750,1800,1800,1800,1795,1850,1801,1900,1905,1900,1895,1800,1850,1900,1900,2000,2100,2195,2250,2295,2300,2200,2250,2200,2200,2200,2200,2300,2300,2300,2291,2300,2300,2295,2250,2200,2250,2200,2250,2250,2300,2300,2300,2300,2250,2275,2250,2270,2300,2300,2300,2350,2350,2350,2395,2350,2300,2350,2250,2200,2100,2200,2200,2200,2200,2200,2200,2176,2150,2100,2120,2100,2100,2100,2175,2200,2200,2200,2200,2200,2200,2195,2150,2180,2200,2200,2200
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,,,,,,,,,,,,,,,2000,2300,2100,1900,1600,1550,1500,1500,1350,1400,1375,1314.5,1315,1285,1240,1235,1235,1249,1235,1250,1289,1260,1222.5,1275,1295,1300,1315,1300,1298.5,1295,1395,1400,1295,1350,1350,1300,1250,1250,1400,1400,1396,1400,1475,1400,1400,1495,1450,1500,1495,1500,1500,1500,1500,1500,1506,1500,1500,1550,1540,1505,1525,1544.5,1475,1419,1404,1422,1400,1425,1600,1401.5,1455,1463.5,1500,1544.5,1595,1561,1590,1550,1600,1605,1595,1600,1625,1680,1692,1705,1700,1719,1700,1722,1722,1740,1775,1750,1730,1730,1750,1764
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,,,,,,,,,,,,,,997,999,1000,1000,1000,950,947.5,900,950,900,900,900,1000,1050,975,950,942.5,950,950,950,995,1050,1000,1016.5,1020.5,1000,1000,950,900,950,950,900,900,900,895,900,900,900,935,950,950,950,950,925,950,900,950,935,950,995,997.5,1000,1050,1050,1025,1012.5,1030,1100,1150,1165.5,1175,1215,1295,1265,1274,1391,1300,1200,1145,1200,1195,1252.5,1250,1310,1350,1422.5,1492,1450,1410,1505,1500,1495,1500,1515,1570,1612.5,1686,1749,1800,1781,1761,1725,1780,1795,1795,1795,1760.5,1808,1807.5
