"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1690,1742.5,1700,1790,1830,1800,1600,1517.5,1562.5,1650,1500,1500,1500,1500,1497.5,1450,1485,1495,1395,1350,1300,1337.5,1380,1395,1400,1400,1400,1375,1350,1375,1350,1350,1350,1330,1350,1350,1392.5,1400,1425,1400,1400,1400,1399,1395,1395,1400,1395,1375,1390,1395,1485,1450,1537,1500,1450,1500,1525,1550,1595,1595,1600,1675,1600,1675,1650,1700,1692.5,1695,1800,1850,1950,2000,2100,2050,2100,1895,1995,1775,1795,1800,1750,1795,1850,1950,1995,2050,1999,1995,1995,1950,1950,1995,1950,1950,1895,1945,1950,1980,1995,1995,1999,1995,1995,1995,1995,1995,2000,1999,2000,2025
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1255,1325,1345,1206,1297.5,1263,1333,1372,1400,1350,1306,1325,1345,1400,1400,1456,1404,1395,1400,1395,1395,1400,1325,1295,1300,1400,1495,1500,1495,1500,1405,1450,1445,1475,1486.5,1550,1500,1517,1595,1592,1574.5,1600,1565,1528.5,1560,1605,1570,1500,1500,1520,1500,1550,1660,1600,1635,1650,1694,1536,1600,1778,1595,1600,1662,1670,1700,1625,1844,1995,2128,1895,1748,1863,1570,1500,1525,1546.5,1490,1495,1450,1433,1493,1500,1450,1475,1475,1495,1495,1500,1500,1550,1560,1595,1611,1625,1600,1600,1621,1650,1675,1699,1700,1699,1725,1650,1650,1620,1689,1625,1700,1640
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1127,1267,1080,1035,1040,1200,1201,1250,1300,1307,1362,1200,1195,1200,1180,1235,1218,1229,1195,1150,1150,1144,1150,1180,1150,1200,1195,1195.5,1150,1185,1170,1195,1140,1170,1107.5,1099,1075,1075,1050,1095,1150,1129.5,1145,1100,1100,1100,1095,1075,1050,1059,1099,1095,1095,1100,1095,1045,1050,1050,1050,1095,1095,1050,1050,1050,1050
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,746,770.5,750,795,745,650,650,650,649,650,650,665,666,657,669,650,675,690,709.5,750,750,725,725,750,750,750,775,725,725,725,749,710,700,699,699,725,700,725,775,747,767.5,750,750,775,750,755,750,765,775,840,797,800,800,775,795,795,770,750,750,840,850,875,900,900,900,935,925,900,899,900,875,895,895,900,925,925,922,975,950,925,925,925,900,950,945,950,950
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,1295,1350,1300,1250,1250,1250,1249.5,1250,1250,1305,1315,1295,1300,1300,1250,1200,1200,1200,1200,1200,1200,1250,1265,1295,1295,1295,1250,1250,1300,1272.5,1250,1278,1300,1375,1350,1350,1375,1450,1395,1425,1425,1400,1375,1395,1375,1370,1375,1362.5,1395,1395,1445,1495,1499,1499,1495,1500,1550,1550,1595,1595,1600,1600,1575,1525,1525,1595,1562.5,1500,1495,1595,1600,1650,1650,1650,1650,1662.5,1695,1695,1750,1695,1695,1725,1750,1745,1775,1795,1805,1800,1850,1842.5,1795,1750,1795,1800,1795,1775,1795
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737,1650,1650,1699,1675,1650,1700,1625,1612.5,1650,1625,1750,1790,1782.5,1700,1650,1750,1750,1700,1695,1700,1900,1875,1755,1900,1800,1900,1950,1950,1895,1950,1950,1895,1785,1850,1900,2100,1995,2000,1995,1995,2013,2072.5,2010,2150,2197.5,2095,1950,1850,1895,2097.5,1950,1950,1995,2050,2050,2099,2095,2090,2050,2050,2095,2000,2000,2047.5,2045,1995,2095,2100,2100,2075,2000,2100,2100,2100,2025,2050,2050,2050,2095,2000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,1400,1625,1800,1800,1800,1697.5,1600,1600,1550,1500,1600,1575,1600,1685,1700,1700,1750,1800,1850,1800,1800,1800,1800,1850,1850,1900,1900,2000,2000,2130.5,2195,2100,2000,2000,2000,2000,2000,2000,2000,2199,2239,2295,2350,2400,2300,2300,2300,2250,2200,2250,2300,2400,2450,2450,2500,2500,2500,2500,2445,2450,2500,2500,2599,2700,2600,2500,2595,2595,2600,2595,2520,2520,2500,2500,2500,2500,2550,2599,2567,2600,2750,2650,2399,2400,2400,2400,2400,2475,2500,2500,2549,2500,2475,2400,2400,2399,2395,2400,2475,2500,2550,2600,2600,2550,2500,2495,2450,2450,2475,2495,2500
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,1500,1500,1470,1450,1495,1500,1550,1597,1500,1500,1600,1550,1595,1500,1375,1400,1450,1450,1500,1550,1600,1600,1650,1900,2000,1925.5,1900,1950,2000,2100,2100,2150,2200,2250,2000,2100,2000,2100,2000,1850,1900,1900,1995,2000,2000,1950,2000,2000,1950,1950,2000,2000,2050,2100,2100,2150,2000,2000,2150,2100,2000,2000,2100,2150,2050,2001,2097.5,2100,2100,2200,2200,2200,2200,2250,2200,2200,2200,2250,2220,2250,2300,2299,2300,2200,2200,2200,2150,2150,2100,2150,2150,2100,2197.5
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1150,1050,1200,1080,1169,1349.5,1413,1425,1275,1241,1285,1228,1150,1099,1064.5,1050,1026,1085,1141,1150,1176,1269,1350,1395,1283,1200,1190,1210,1180,1197.5,1100,1275,1299.5,1300,1364,1350,1375,1395,1471,1350,1315,1305,1295,1206,1200,1195,1095,1100,1099,1100,1095,1099,1195,1122.5,1100,1197.5,1197.5,1195,1200
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1600,1600,1600,1600,1600,1600,1600,1600,1600,1597.5,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1650,1650,1675,1700,1725,1725,1744,1700,1700,1700,1700,1700,1700,1725,1800,1890,1900,1950,1995,1917.5,1950,1950,1925,1900,1975,2150,2150,2150,2075,2095,2100,2100,2050,2050,2000,2050,2050,2100,2150,2195,2200,2200,2200,2200,2200,2200,2200,2225,2250,2300,2295,2300,2300,2300,2300,2300,2150,2150,2100,2100,2120,2150,2200,2200,2250,2200,2200,2180,2150,2140,2150,2199,2200,2200,2200,2250,2300,2300,2250,2200,2200,2200,2200,2250,2250
