"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1850,1850,1900,2000,2050,2000,2000,1800,1829.5,1800,1850,1695,1690,1675,1750,1800,1800,1825,1800,1750,1595,1475,1450,1495,1550,1592,1595,1595,1590,1585,1595,1600,1610,1603,1550,1550,1636,1669,1654,1695,1650,1654,1650,1695,1700,1595,1700,1700,1668,1650,1695,1795,1800,1850,1860,1877.5,1895,1900,1927.5,1950,1968,1995,2000,2035,2084,2095,2100,2100,2100,2100,2100,2155,2195,2200,2195,2195,2195,2190,2100,2175,2100,2130,2050,2175,2290.5,2300,2300,2295,2295,2300,2290,2271,2285,2250,2250,2200,2261,2275,2275,2298,2326.5,2379,2400,2395,2400,2400,2400,2400,2400,2425,2468
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,1610,1342,1300,1325,1300,1300,1277.5,1251,1340,1450,1450,1495,1395,1395,1379,1435,1450,1450,1425,1430,1440,1400,1375,1395,1395,1375,1350,1350,1385,1400,1418,1440,1475,1500,1450,1475,1473,1571,1508,1529,1569,1600,1600,1600,1587,1550,1564,1600,1575,1519,1520,1534,1575,1601,1675,1599,1680,1685,1635,1500,1580,1675,1585,1595,1600,1600,1600,1600,1650,1687,1735,1655,1625,1700,1600,1600,1613,1606,1600,1575,1550,1530,1550,1550,1550,1562,1585,1600,1622,1630,1625,1625,1650,1639,1631,1600,1615,1634,1650,1675,1695,1700,1700,1695,1695,1650,1650,1664,1700,1700,1750,1750
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,1055,1045,963,1005,999,1025,1095,1089,1200,1174,1300,1305,1298,1170,1329,1175,1105,1155,1289,1295,1299,1261,1295,1304,1250,1250,1250,1269,1295,1325,1341,1350,1330,1338,1350,1335,1425,1419,1435,1395,1405,1390,1395,1375,1350,1300,1305,1275,1250,1264,1289,1324,1315,1330,1332,1315,1305,1329,1333,1340.5,1372,1371.5,1364,1389,1400,1405,1399,1395,1389,1390,1375,1368,1368,1350,1343,1346,1364,1359
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,900,900,1000,995,950,925,900,900,850,800,805,800,805,816,807,805,807,815,825,825,815,824,801,798,810,820,825,839,854.5,839,839,880,887,850,885,899,899,899,900,944,945,910,919,920,925,925,944,950,974,989,1001.5,999,1000,999,1000,1000,999,960,1101,1100,1100,1115,1105,1100,1106,1053,1055,1050,1029,1030,995,1079,1115,1185,1200,1180,1170,1175,1150,1135,1125,1120,1116.5,1124,1150,1160,1180,1175,1176,1195,1200,1200,1213,1203,1205,1225,1250,1260,1307
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,1849,1795,1870,1650,1695,1685,1750,1795,1795,1750,1788.5,1795,1650,1505,1550,1538,1500,1535.5,1500,1500,1528,1515,1505,1527.5,1470,1495,1480,1444,1444,1459,1485,1483,1518,1450,1525,1695,1645,1500,1695,1735,1689,1672.5,1695,1805,1848,1807.5,1850,1850,1830,1842,1820,1825,1850,1833,1840,1848.5,1850,1880,1900,1925,1910,1895,1856,1875,1890,1900,1920,1895,1900,1995,1900,1945,1865,1849,1834,1900,1950,1968,1995,2025,2025,2040.5,2050,2047,2005,1995,1991,2000,2022,2016,2099,2140,2170,2170,2195,2195,2185,2189,2179,2179,2170,2125,2155
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,1895,1895,1950,1850,1900,2100,2150,1850,1840,1800,1850,1795,1795,1800,1895,1880,1900,1900,1961,1900,1800,1730,1795,1700,1650,1650,1650,1650,1656,1675,1695,1700,1630,1620,1620,1612,1655,1685,1650,1695,1735,1700,1738,1900,1875,1850,1912,1895,1880,1878,1855,1925,1940,1950,1950,1970,1992.5,1990,1995,2000,2005,1995,1995,1980,2000,2000,2035,2030,2055,2050,2070,2062,2085,2100,2100,2115,2125,2060,2115,2125,2095,2145,2100,2135,2200,2205,2226,2250,2250,2240,2249,2250,2239,2235,2200,2200,2225,2235,2250,2265,2270,2260,2275,2275,2275,2270,2265,2245,2255,2274,2289
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,1700,1995,1900,2000,1950,1900,1897.5,1750,1700,1850,1600,1650,1700,1750,1750,1800,1800,1850,1860,1775,1725,1700,1750,1750,1800,1850,1900,1950,2000,2000,1950,1925,1900,1899,1900,1992,2000,2000,2195,2200,2200,2300,2350,2300,2300,2300,2250,2200,2200,2200,2300,2400,2300,2350,2400,2400,2400,2350,2350,2400,2400,2495,2550,2500,2500,2500,2500,2500,2500,2480,2450,2450,2495,2499,2500,2500,2595,2561,2600,2699,2650,2350,2400,2300,2300,2387,2400,2450,2450,2495,2446,2400,2350,2350,2300,2300,2350,2400,2450,2493,2500,2500,2495,2400,2400,2380,2383,2395,2399,2400
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,1900,1850,1800,1850,1900,1900,1900,1800,1800,1800,1675,1650,1650,1650,1699,1692.5,1650,1650,1700,1699,1700,1700,1700,1750,1750,1750,1750,1800,1750,1750,1710,1700,1700,1750,1750,1750,1800,1800,1838,1900,2000,1950,1900,1900,1950,1950,1980,1999,1950,1950,2000,1950,1990,1950,1925,1900,1900,1900,1900,1950,2000,2075,2100,2150,2200,2200,2100,2100,2150,2173,2200,2200,2210,2199.5,2100,2100,2050,2000,2000,2000,2100,1950,2000,2000,2000,2000,2000,2000,2000,2044,2050,2000,2000,2000,2040,2075,2095,2150,2150,2150,2137.5,2100,2135,2100,2100,2098,2100,2100,2100,2100
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,995,962,950,970.5,971,874,890,849,835,944,949,960,1022,958,1025,1060,1037,995,1060,1049,1075,1137,1250,1150,1164,1167,1128,1170,1190,1110,1212.5,1299,1299,1275,1317,1275,1269,1294,1249,1250,1229,1200,1195,1200,1275,1275,1274.5,1250,1234,1251,1250,1250,1250,1265,1295,1285,1295,1305,1305,1345,1357,1345,1319.5,1335,1295,1280,1359.5,1327,1311.5,1279,1373,1387,1390,1390,1400,1410,1415,1425,1405,1399,1434,1425,1435,1470,1444,1429,1465,1461,1468,1485,1457,1472,1467,1445,1456,1474,1474,1467
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1600,1600,1600,1600,1595,1597.5,1600,1600,1550,1600,1595,1550,1550,1550,1550,1550,1550,1575,1575,1550,1575,1550,1550,1550,1600,1600,1600,1600,1630,1650,1660,1697.5,1650,1650,1650,1650,1650,1675,1700,1795,1850,1900,1950,1950,1900,1925,1900,1900,1900,1900,2050,2095,2040,2000,2000,2000,2000,1975,1950,1950,1978,2000,2000,2000,2095,2100,2100,2100,2100,2100,2100,2100,2150,2150,2195,2200,2200,2200,2200,2200,2200,2100,2100,2000,2050,2099,2100,2100,2150,2195,2100,2100,2100,2099,2095,2100,2100,2100,2100,2100,2100,2195,2200,2150,2100,2100,2100,2100,2150,2175
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1190,1200,1195,1200,1182,1200,1150,1104,1167,1185,1175,1193.5,1200,1180,1200,1350,1400,1275,1335,1330,1299,1200,1200,1325,1300,1350,1360,1450,1450,1450,1484,1432.5,1487,1500,1549,1532.5,1525,1537,1550,1538.5,1525,1500,1568,1525,1530,1529,1526.5,1450,1400,1415.5,1400,1397.5,1455.5,1600,1395,1450,1435,1476,1502.5,1578.5,1545,1546,1521,1597,1600,1588,1580,1590.5,1629,1648.5,1656,1651,1650,1655,1688,1686,1680,1723.5,1695,1659,1670,1695,1700
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,,1070,1088.5,1125,1150,1100,1175,1125,1152.5,1200,1200,1118.5,1075,1095,1100,1195,1195,1125,1100,1109.5,1094,999,975,995,995,1141.5,1200,1095,1050,1095,1095,1100,1100,1100,1150,1095,1065,1095,1100,1079.5,1050,995,1035,1015,955,995,950,950,950,925,940,975,1040,1010,1035,1095,1077.5,1065,1000,1095,1050,1050,1100,1150,1150,1203,1200,1180,1195,1150,1274,1295,1295,1254,1300,1400,1395,1416.5,1466.5,1486.5,1342,1295,1325,1295,1375,1400,1450,1495,1500,1540,1550,1540,1550,1550,1540,1568,1576.5,1600,1629,1720,1745,1795,1755,1745,1744,1750,1810,1830,1805,1815,1800,1809
"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",13,,800,897,895,895,872.5,850,895,795,755,750,725,795,795,795,800,800,800,800,825,800,795,750,779,755,775,775,750,759,770,765,750,775,775,795,777.5,775,785,800,800,800,850,900,925,969,950,925,995,1000,1000,1000,1000,1050,1050,999,947,925,950,950,995,950,948.5,950,950,955,975,950,950,925,933,959,999,950,950,994,995,975,1055,1125,1100,1100,1100,1150,1075,1145,1167,1175,1150,1086,1057,1040,1070,1050,1050,1045,1013,1050,1100,1140,1150,1150,1170,1175,1170,1160,1165,1150,1155,1160,1169,1180,1185
"King County","WA","Seattle-Tacoma-Bellevue","53","033",14,,950,1097.5,1100,1125,1137.5,1175,1175,1200,1200,1240,1200,1200,1215,1182.5,1195,1197,1195,1225,1275,1295,1250,1195,1150,1175,1179,1200,1207.5,1200,1261,1275,1300,1324,1325,1344,1300,1260,1295,1344,1365,1378.5,1395,1395,1410,1495,1493,1494,1510,1500,1495,1495,1535,1600,1630,1655,1640,1650,1606,1628,1595,1600,1650,1650,1665,1670,1695,1725,1750,1750,1730,1615,1695,1707,1749,1795,1790,1810,1850,1750,1779,1803.5,1771,1707,1750,1798.5,1850,1900,1905,1955,1950,1955,1930,1910,1891,1850,1835,1853.5,1893,1895,1904,1970,1980,1985,1974,1942,1955,1952,1965,1965,1953.5,1957,1968
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",15,,,,,,,,,933.5,932,900,850,785,794.5,805,819,795,795,795,725,717.5,721,700,685,700,739,754,750,762.5,766,760,779,785,777,775,790,791,775,795,797,800,821.5,810,807.5,851.5,850,820,899,899,875,870,900,900,900,875,895,892,900,925,925,929,955,947,961,950,960.5,981,988.5,995,1011,1014,1000,995,1015,1072.5,1062.5,1085,1053.5,1050,1099,1122,1025,1060,1023,1069,1081,1110,1175,1195,1210,1200,1200,1180.5,1105,1145,1142,1150,1202,1238.5,1230,1240,1250,1299,1300,1310,1345,1340,1345,1340,1325,1354.5,1339
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,2225,1915,1880,1889,1915,1976,1945,2011,2080.5,2193,2161.5,2225,2189,2150,2260,2295,2245,2238.5,2325,2462.5,2530,2550,2527.5,2550,2563,2560,2570,2625,2661,2675,2695,2745,2797,2850,2846.5,2830,2770,2775,2745,2795,2810,2795,2760,2750.5,2760,2765,2685,2740,2660,2655,2698,2725,2753,2800,2800,2829,2845,2884,2838.5,2810,2800,2755.5,2735,2700,2730,2750,2870,2895,2950,2970,2950,2901,2900,2888.5,2859,2875,2873,2880,2880
"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach","12","011",17,,,,,,,,,,,,,,1250,1250,1300,1300,1300,1280,1295,1300,1300,1300,1275,1250,1259.5,1300,1250,1250,1275,1250,1295,1250,1275,1285,1300,1300,1280,1300,1300,1350,1300,1350,1350,1350,1350,1350,1375,1350,1350,1320,1325,1350,1350,1350,1350,1350,1400,1400,1400,1400,1400,1439.5,1400,1450,1450,1450,1450,1431,1450,1500,1500,1500,1500,1500,1500,1500,1500,1480,1500,1544,1493,1500,1450,1500,1500,1500,1519,1550,1550,1570,1600,1600,1579,1550,1560,1550,1600,1600,1600.5,1650,1643.5,1647,1650,1643,1650,1655,1650,1650,1650,1650,1680
"Bexar County","TX","San Antonio-New Braunfels","48","029",18,,,,,,,,,921,921,900,809.5,764,799,800,765,795,795,795,819,869,800,790,800,819,864,866,825,805,812.5,820,859,852,836,849,822,800,835,900,900,855,865,859,879,895,900,910,948,979.5,973,975,979,953.5,1000,995,985,994,965,962.5,995,974,989,950,939,950,975,979,980,979,974.5,1005,1015.5,995,1005,1055,1039,999,1015,995,1045.5,1012,963,1007,950,1000,1015,1020,1035.5,1095,1075,1060,1053.5,1075,1075,1075,1075,1075,1143,1120,1100,1115,1134.5,1140,1139,1134,1115,1162,1129,1151,1159.5,1158,1159
"New York County","NY","New York-Newark-Jersey City","36","061",19,,2699.5,2795,2850,2865,3000,3100,3382.5,3200,3095,3100,2900,2700,2650,2680,2700,2750,2795,2895,2895,2900,2950,2900,2850,2875,2900,2900,2900,2995,3000,3000,3035,3100,3115,3110,3100,3000,3000,3000,3043,3100,3100,3050,3095,3100,3150,3100,3095,3050,3050,3096,3100,3110,3250,3300,3295,3295,3295,3295,3300,3293,3300,3300,3350,3300,3300,3300,3350,3350,3300,3297,3295,3290,3295,3300,3300,3300,3295,3200,3250,3225,3250,3254,3195,3200,3200,3204,3264,3295,3295,3300,3300,3300,3250,3208,3200,3200,3225,3200,3250,3300,3300,3300,3300,3300,3295.5,3295,3295,3295,3300,3300,3390
"Philadelphia County","PA","Philadelphia-Camden-Wilmington","42","101",20,,,,,,,,,,1401.5,1380,1337.5,1320,1327.5,1335,1395,1400,1400,1350,1300,1300,1200,1200,1200,1200,1300,1350,1390,1350,1346,1350,1300,1275,1270,1277.5,1257,1275,1433.5,1395,1355,1395,1325,1300,1298,1350,1305,1350,1360,1287.5,1295,1295,1300,1400,1400,1400,1375,1320,1350,1395,1325,1350,1390,1400,1450,1440,1405,1400,1400,1385,1395,1404,1385,1400,1425,1450,1450,1500,1450,1400,1400,1400,1448,1400,1455,1400,1470,1500,1500,1550,1500,1500,1525,1500,1495,1495,1500,1500,1500,1575,1595,1596,1550,1575,1575,1595,1600,1650,1650,1645,1625,1622,1610
"Alameda County","CA","San Francisco-Oakland-Hayward","06","001",21,,,,,,,,,,1195,1200,1215,1200,1200,1250,1250,1300,1302.5,1350,1395,1395,1390,1395,1390,1375,1400,1482,1400,1439,1495,1450,1458.5,1471,1495,1550,1522,1515,1595,1602,1600,1550,1555,1620,1650,1730,1750,1690,1750,1700,1650,1650,1750,1971.5,2000,2082,2146,1995,1995,1995,2020,1995,2100,2100,2190,2203,2257,2349,2355,2300,2300,2350,2320,2392,2397,2449,2387,2447,2495,2463,2450,2400,2347,2380,2274,2383,2400,2480,2495,2500,2500,2540,2540,2505,2471,2475,2466,2446,2467,2491,2494,2515,2531,2550,2579,2550,2580,2595,2655,2650,2698,2755,2748
"Middlesex County","MA","Boston-Cambridge-Newton","25","017",22,,,,,,,,,1645,1591,1657.5,1680,1500,1550,1575,1650,1700,1750,1800,1800,1800,1700,1695,1672.5,1679,1700,1800,2065.5,2200,2025,1950,1840,1800,1800,1800,1845,1850,1850,1875,1924,1995,2000,2100,2100,2050,2000,2000,2000,1990,2000,2000,2050,2150,2200,2230,2200,2195,2120,2100,2100,2100,2100,2160,2300,2340,2385,2350,2300,2300,2245,2200,2200,2200,2200,2300,2350,2400,2425,2400,2400,2400,2300,2255,2265,2267.5,2300,2350,2450,2500,2500,2500,2480,2400,2350,2300,2300,2300,2300,2450,2500,2600,2600,2600,2550,2500,2425,2415,2475,2450,2500,2600,2700
"Suffolk County","NY","New York-Newark-Jersey City","36","103",23,,1550,1600,1797.5,1750,1775,1700,1700,1600,1550,1550,1650,1610,1650,1700,1800,1900,1900,1850,1800,1747.5,1589.5,1600,1660,1650,1675,1645,1675,1725,1700,1695,1675,1650,1600,1630,1600,1600,1675,1680,1700,1725,1930,1775,1780,1610,1627.5,1660,1699.5,1700,1700,1675,1700,1800,1775,1875,1805,1800,1950,1850,1875,1950,2100,2000,2114,2120,1950,1995,2000,2000,1950,1950,1975,1954,2000,1975,1995,2072.5,1950,1897.5,1850,1895,1900,1895,1950,2031,2000,2000,2025,2100,2070,2100,2194,2300,2199,2195,2209,2200,2192.5,2250,2340,2380,2335,2320.5,2300,2300,2265,2251,2300,2300,2300,2432,2450
"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade","06","067",24,,,,,,,,,750,750,750,750,795,795,800,850,850,812.5,875,867.5,850,839.5,795,800,800,795,799,800,795,795,795,875,885,869,895,855,849,855.5,850,875,850,850,850,859.5,850,850,850,850,895,895,895,895,895,900,900,975,946,950,945,939,950,950,950,985,1000,999,995,1015,1049,1025,1095,1075,1094,1095,1125,1150,1195,1175,1174,1185,1150,1174,1195,1174,1200,1232.5,1274,1295,1295,1295,1280,1300,1280,1300,1297,1300,1330,1365,1376,1460,1480,1495,1507,1500,1492,1466,1464,1449.5,1450,1485,1479,1490.5
"Bronx County","NY","New York-Newark-Jersey City","36","005",25,,1605,1605,1600,1650,1625,1700,1600,1575,1825,1800,1700,1400,1350,1375,1400,1450,1400,1300,1300,1300,1200,1175,1150,1197.5,1200,1200,1275,1300,1300,1300.5,1300,1300,1295,1275,1300,1300,1318.5,1325,1350,1375,1350,1375,1375,1375,1370,1350,1335,1350,1325,1325,1360,1388.5,1400,1400,1375,1400,1400,1400,1400,1398,1400,1400,1425,1415,1450,1450,1450,1450,1475,1450,1450,1475,1475,1451.5,1500,1500,1500,1500,1500,1500,1550,1595,1500,1585,1550,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1650,1675,1685,1700,1750,1750,1786,1800,1775,1750,1750,1750,1750,1775,1800,1800
"Nassau County","NY","New York-Newark-Jersey City","36","059",26,,1812.5,1800,1775,1825,1875,1800,1800,1750,1800,1750,1862.5,1800,1750,1775,1775,1800,1850,1900,1950,1950,1850,1850,1825,1875,1900,1898,1900,1900,2000,1995,1950,1953.5,1950,2000,1950,1850,1950,2000,2200,2000,2075,2000,2000,2000,2000,2000,2000,2000,1980,1950,1950,2000,2000,2000,2085,2045,2000,2075,2100,2120,2150,2130,2100,2275,2280,2255,2300,2295,2250,2215,2221,2195.5,2200,2249,2250,2200,2340,2210,2200,2297.5,2275,2231,2250,2300,2203,2300,2300,2350,2400,2395,2500,2400,2400,2300,2300,2300,2335,2350,2400,2400,2400,2400,2380,2355,2387.5,2400,2400,2400,2400,2400,2500
"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach","12","099",27,,,1300,1300,1290,1275,1400,1500,1350,1300,1350,1500,1300,1285,1250,1300,1300,1300,1285,1300,1300,1295,1250,1240,1250,1250,1250,1240,1250,1250,1250,1250,1275,1275,1250,1250,1250,1250,1250,1275,1295,1300,1350,1350,1395,1450,1499,1500,1500,1495,1450,1425,1425,1400,1425,1450,1450,1450,1450,1450,1400,1450,1475,1485,1500,1500,1500,1520,1500,1526.5,1570.5,1569,1550,1525,1550,1564,1528,1520,1500,1505,1565,1549.5,1595,1500,1525,1544.5,1575,1600,1609,1620,1631,1663,1695,1700,1700,1700,1650,1650,1675,1700,1707,1720,1713,1725,1700,1745,1740.5,1713,1700,1700,1700,1706
"Cuyahoga County","OH","Cleveland-Elyria","39","035",28,,,,,,,,,773,791,750,750,745,744,725,695,690,675,695,725,698,650,650,655,650,655,655,675,658,675,675,700,700,725,730,700,700,700,725,700,721.5,696,700,698,675,675,650,675,675,666.5,660,675,695,695,675,687,692,720,760,778,755,830,870,875,900,895,850.5,850,850,835,850,850,826.5,850,874,885,875,865,863,870,850,826,800,800,843,850,880,875,885,876,905,865,850,850,840,867,850,895,889.5,854,911,900,900,950,923,939.5,925,910,900,900,945,950
