"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,2700,2700,2825,2800,2850,2975,2995,2800,2800,2800,2800,2750,2800,2700,2850,2800,2846.5,2800,2700,2650,2500,2400,2395,2350,2395,2380,2372,2400,2400,2300,2200,2250,2115,2150,2050,2100,2150,2100,2185,2200,2295,2275,2250,2300,2295,2100,2350,2300,2259,2250,2295,2400,2500,2600,2600,2600,2600,2600,2692.5,2680,2600,2650,2800,2900,2975,2950,2950,2950,2900,2950,2850,2900,2995,3000,3000,2995,2995,3000,2870,3000,2850,3000,2800,2995,3000,3200,3300,3300,3300,3250,3250,3250,3200,3200,3200,3175,3195,3150,3200,3295,3350,3300,3300,3300,3280,3300,3350,3300,3320,3300,3395
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,1625,1600,1650,1664,1700,1650,1675,1700,1750,1700,1600,1600,1575,1600,1650,1635,1670,1650,1640,1600,1550,1530,1541,1545,1570,1500,1550,1595,1575,1555,1495,1492,1457,1495,1495,1455,1500,1495,1530,1518,1595,1600,1579,1589.5,1575,1600,1595,1561,1570,1561,1600,1649,1650,1650,1650,1650,1650,1637,1640,1625,1625,1650,1650,1650,1675,1695,1675,1650,1649,1600,1600,1600,1605,1605,1620,1600,1625,1625,1600,1605,1600,1600,1575,1575,1600,1621,1650,1680,1700,1675,1650,1645,1639,1636,1608,1625,1650,1650,1695,1725,1746.5,1720,1700,1695,1655,1650,1650,1650,1674,1700
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1395,1425,1450,1450,1475,1475,1475,1495,1495,1495,1495,1500,1550,1575,1595,1575,1553,1550,1550,1550,1550,1550,1575,1600,1600,1550,1550,1500,1550,1500,1500,1500,1450,1500,1500,1515,1550,1590,1595,1595,1575,1580,1550,1550,1550,1550,1550,1550,1600,1600,1625,1625,1600,1599,1595,1575,1575,1575,1595,1600,1600
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,1600,1500,1495,1500,1400,1400,1400,1400,1395,1375,1200,1200,1200,1249,1200,1200,1195,1195,1150,1150,1125,1100,1150,1150,1175,1195,1200,1200,1195,1175,1150,1150,1125,1124,1150,1150,1150,1175,1195,1195,1195,1100,1195,1175,1175,1195,1175,1150,1175,1195,1250,1250,1250,1262.5,1250,1250,1250,1250,1275,1300,1344,1350,1350,1350,1350,1300,1300,1300,1340,1350,1360,1387.5,1400,1400,1395,1395,1375,1350,1350,1350,1350,1300,1375,1399,1450,1495,1500,1498.5,1495,1475,1450,1450,1450,1450,1450,1495,1500,1550,1595,1595,1595,1550,1545,1549,1550,1575,1595,1595,1650,1695
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,2500,2500,2592.5,2650,2500,2500,2495,2400,2300,2250,2200,2200,2200,2200,2150,2195,2250,2295,2250,2200,2200,2195,2150,2150,2150,2190,2200,2325,2350,2390,2395,2400,2400,2300,2400,2350,2300,2295,2295,2495,2500,2500,2500,2500,2500,2550,2500,2550,2588,2500,2500,2500,2550,2542.5,2500,2500,2500,2500,2600,2650,2662.5,2650,2600,2590,2600,2562.5,2595,2550,2550,2550,2500,2600,2700,2750,2800,2850,2800,2800,2800,2800,2795,2795,2800,2800,2895,2850,2900,2950,2995,2995,2995,2895,2800,2850,2895,2895,2937.5,2900,2995
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,3300,3400,3300,3400,3500,3295,3200,3000,3150,3100,2900,2897.5,2882.5,3000,3000,3000,2997,2999,2950,2850,2750,2850,2800,2900,2700,2700,2850,2850,2900,2850,2750,2735,2600,2700,2750,2800,2800,2850,2950,2950,3000,2950,2950,2950,2850,2900,2900,2900,2900,2900,3000,3100,3100,3100,3100,3100,3100,3100,3100,3200,3133,3200,3200,3200,3200,3300,3200,3200,3200,3295,3250,3300,3300,3200,3200,3310,3200,3100,3100,3100,3250,3100,3200,3300,3450,3500,3500,3500,3500,3500,3450,3495,3490,3475,3450,3500,3500,3500,3512.5,3500,3500,3500,3500,3500,3500,3500,3500,3550,3600,3600
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,1600,1600,1750,1725,1725,1675,1600,1750,1750,1750,1800,1600,1700,1800,1762.5,1745,1700,1800,1750,1800,1800,1800,1800,1750,1750,1800,1825,1900,1950,1950,2000,2100,2000,1900,1925,1999,1989,1950,2000,2100,2225,2387.5,2500,2500,2400,2400,2500,2500,2500,2500,2500,2500,2450,2500,2500,2500,2725,2500,2300,2515,2500,2500,2537.5,2600,2600,2595,2500,2556.5,2500,2550,2600,2550,2507,2595,2600,2654.5,2600,2600,2600,2800,2875,2789,2500,2450,2473,2450,2460,2450,2500,2500,2550,2500,2499.5,2500,2450,2457.5,2400,2390,2400,2500,2500,2500,2500,2550,2500,2400,2399,2400,2480,2475,2497
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,2500,2500,2495,2500,2300,2200,2200,2100,1950,2000,1900,1850,1875,1900,2000,2000,1995,1950,1950,1950,1900,1900,1950,2000,2000,2000,2000,2000,2000,1900,1872.5,2000,1950,1900,1900,1950,2000,2000,2000,2100,2100,2100,2100,2100,2160,2160,2100,2100,2100,2100,2200,2200,2250,2200,2250,2250,2200,2175,2150,2200,2200,2300,2250,2250,2300,2250,2200,2200,2300,2350,2350,2350,2350,2275,2300,2295,2300,2250,2232,2200,2295,2150,2200,2205,2250,2300,2350,2320,2350,2350,2370,2350,2300,2350,2390,2375,2310,2350,2350,2350,2350,2300,2300,2300,2300,2300,2300,2300,2350,2400
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1225,1200,1195,1195,1200,1200,1200,1200,1095,1195,1200,1200,1200,1195,1195,1195,1195,1195,1199,1200,1200,1200,1250,1250,1250,1250,1250,1250,1290,1250,1250,1250,1250,1300,1300,1350,1350,1349,1300,1310,1350,1350,1350,1395,1400,1400,1449.5,1450,1475,1400,1400,1395,1400,1450,1450,1495,1482.5,1500,1499.5,1495,1495,1495,1495,1500,1495,1500,1545,1595,1600,1650,1675,1650,1625,1650,1600,1600,1600,1600,1595,1600,1650,1650,1650,1650,1640,1600,1599,1600,1600,1625,1600,1630,1695
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,1600,1600,1700,1650,1650,1650,1650,1650,1660,1600,1650,1695,1700,1650,1700,1800,1800,1800,1737.5,1707.5,1600,1600,1650,1650,1697.5,1780,1750,1750,1650,1600,1600,1650,1700,1750,1700,1800,1700,1750,1700,1800,1950,2100,2100,2100,2055,2085.5,2100,2100,2055,2000,2000,2100,2100,2100,2150,2200,2200,2200,2250,2240,2250,2250,2250,2300,2350,2400,2400,2400,2395,2300,2400,2400,2400,2365,2325,2350,2387.5,2300,2400,2400,2300,2357.5,2400,2350,2300,2400,2400,2440,2450,2477.5,2500,2500,2475,2395,2400,2395,2400,2372.5,2350,2400,2400,2400,2400,2400,2450,2450,2400,2370,2325,2400,2400
