"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,975,1050,1050,1200,1185,999.5,900,875,875,875,900,950,950,975,947.5,935,950,1000,985,1000,990,995,1050,1100,1100,1148.5,1120,1095,1100,1050,1100,950,1050,1063,1050,1003.5,1050,1100,1150,1200,1250,1200,1200,1223,1250,1275,1300,1335,1375,1325,1399,1399,1425,1400,1434.5,1450,1421,1525,1550,1590,1559.5,1650,1545,1640,1500,1539,1495,1518,1450,1467.5,1700,1850,1749.5,1703,1825,1900,1867,1875,1859,1795,1810,1774,1795,1795,1795,1845,1782,1800,1850,1800,1849,1853,1797.5,1805,1798,1826,1915
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,1500,1550,1600,1450,1400,1338,1350,1360,1330,1300,1300,1325,1300,1266,1275,1250,1220,1216,1260,1280,1255.5,1300,1353,1360,1360,1364,1365,1375,1414,1400,1395,1413,1421,1430,1475,1488,1465,1428,1453,1453,1445.5,1425,1425,1475,1507,1557,1470,1577,1570,1499,1445,1500,1600,1510,1492,1500,1513.5,1500,1490,1500,1500,1510,1495,1500,1525,1495,1464,1470.5,1439,1430,1407.5,1425,1461,1490,1455,1470,1470,1450,1450,1450,1461,1489.5,1500,1525,1514,1500,1495,1500,1475,1464,1450,1450,1465,1486,1500,1462,1450,1450,1450,1495,1450,1533,1500
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,1200,1190,1199.5,1195,1151.5,1179,1239,1212,1259.5,1229,1195,1215,1219,1349.5,1340,1349,1325,1320,1354,1313,1317,1269,1253,1268.5,1245,1249.5
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,1650,1500,1500,1412.5,1395,1350,1350,1295,1295,1295,1295,1200,1195,1195,1200,1200,1197,1150,1150,1145,1100,1100,1100,1100,1100,1100,1150,1175,1175,1150,1150,1125,1100,1100,1100,1100,1100,1125,1150,1150,1125,1150,1100,1150,1150,1150,1150,1150,1150,1150,1150,1200,1225,1210.5,1250,1225,1225,1250,1250,1250,1295,1300,1350,1350,1350,1300,1300,1300,1300,1299,1325,1350,1350,1395,1399,1350,1350,1350,1300,1300,1300,1325,1295,1350,1350,1395,1400,1436,1436,1425,1400,1400,1400,1400,1400,1400,1425,1450,1495,1500,1496,1500,1495,1495,1475,1495,1495,1495,1500,1550,1595
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,1428,1495,1495,1434,1395,1498,1475,1630,1605,1605,1346,1400,1500,1495,1497,1550,1400,1418,1511,1375,1450,1390,1395,1495,1651,1715,1645,1705,1690,1635,1694,1592,1650,1595,1595,1650,1724,1700,1705,1800,1795,1820,1835.5,1808.5,1773.5,1789,1799,1800,1764.5,1734,1695,1726
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,1695,1650,1840,1650,1650,1535,1650,1522.5,1613.5,1597.5,1600,1620,1580,1450,1500,1640,1600,1500,1300,1350,1236,1223.5,1217,1250,1274,1249,1217,1250,1290,1295,1300,1230,1250,1233.5,1295,1277,1290,1325,1345,1375,1575,1425,1514,1600,1575,1570,1545,1515,1585,1620,1589.5,1575,1605,1625,1620,1625,1637.5,1650,1675,1625,1597.5,1660,1730,1745,1770,1815,1795,1765,1775,1800,1790,1800,1800,1765,1790,1796,1805,1885,1800,1815,1800,1855,1840,1832.5,1835,1822.5,1845,1920,1916,1850,1872,1825,1840,1822,1822,1875,1874,1870,1875,1929.5,1979,2015,1995,1970,1919,1935,1960,1975
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2199.5,2175,2150,2200,2290,2300,2300,2300,2250,2223.5,2250,2200,2100,2200,2200,2200,2200,2200,2200,2200,2200,2195,2109,2100,2150,2200,2249.5
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,1350,1462.5,1500,1425,1400,1375,1350,1375,1350,1350,1400,1400,1350,1350,1375,1400,1400,1400,1450,1400,1400,1385,1400,1400,1400,1400,1450,1475,1500,1500,1500,1500,1500,1530,1500,1500,1500,1500,1550,1582.5,1550,1550,1550,1600,1610,1650,1600,1550,1575,1575,1575,1587.5,1650,1640.5,1650,1700,1700,1610,1650,1650,1639,1650,1650,1700,1700,1700,1650,1650,1600,1600,1600,1600,1550,1600,1500,1500,1550,1575,1575,1600,1600,1568,1600,1600,1590,1550,1525,1650,1550,1600,1672.5,1677,1700,1650,1610,1650,1625,1649,1650,1700,1700,1700,1700
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,850,875,850,825,800,800,823,799,800,772.5,727.5,752.5,820,775,895,889,836,750,775,791,840,850,863,825,855,889,799,800,856,900,954,995,1045,999,975,950,950,975,970,1035,1050,1040,995,1007.5,1084,1049,1059,1030.5,1025,1113,1075,1112,1149,1159,1069,1015,1055,1065,1095,1088,1103.5,1150,1155,1092.5,1100,1092.5,1098,1150,1149.5,1095,1165,1175,1167,1165,1170,1175,1180,1215,1225,1225,1250,1202,1225.5,1250,1200,1185,1210,1200,1200,1230,1200,1225,1242,1234,1235,1234.5,1235,1225
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1675,1650,1650,1650,1624.5,1600,1600,1600,1650,1650,1625,1600,1600,1600,1600,1600,1600,1600,1550,1450,1400,1375,1450,1500,1500,1500,1500,1400,1450,1425,1400,1400,1400,1400,1400,1400,1450,1475,1500,1600,1600,1700,1700,1675,1700,1700,1654,1650,1700,1975,2000,1980,1900,1850,1800,1725,1700,1700,1700,1730,1795,1797,1800,1800,1900,1900,1895,1925,1900,1895,1900,1900,1925,1900,1900,2000,1875,1900,1925,2000,1800,1800,1950,1950,1900,1950,2000,2050,2060,2000,2000,2000,2000,2002.5,2000,2000,2000,2000,2050,2050,2100,2100,2100,2050,2000,2000,2000,2040,2100
