"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,278000,278300,278600,278900,279200,279600,280200,280800,281800,283200,284300,285100,286000,287100,288500,290300,292300,294800,297600,300900,305000,309500,313700,317500,321000,324200,327100,329900,332700,335500,338600,341900,345700,349700,353400,356600,359800,362800,365500,368000,370200,372200,374400,376700,379500,382800,385900,388800,391700,394600,397500,400400,403200,406100,409000,412000,415200,418600,421900,425100,428100,431100,434000,436900,439900,442900,446200,449700,453700,458000,462600,467400,472700,478300,484500,491100,498100,505600,513500,521700,529800,537500,544900,552300,560000,567900,576400,585600,595100,604800,614800,624900,635700,647200,659800,673600,688600,704000,719200,733500,746500,758100,768200,776800,784500,792000,799300,806800,814600,822600,831100,840200,849300,858300,867000,874500,881000,886400,891000,895300,898800,901300,902300,901300,897800,893100,888200,883100,878400,874100,869300,864200,858600,852500,846400,839900,832500,825300,818300,811600,805200,798600,790500,780700,769200,757200,746000,737600,731600,727500,723500,720000,717200,715100,712100,708200,703200,697200,693200,693600,696800,700900,705100,708700,710800,712700,714300,712700,711800,713700,713100,707300,703300,699100,695000,691600,688900,684800,681000,678500,676300,673800,673000,672400,669600,666000,663500,660700,657800,656400,656700,658800,663800,669800,674700,678900,682600,686700,692600,701200,709500,716700,726100,740400,754500,767200,778800,789000,797200,804000,808400,811300,813200,814500,817200,821500,825200,829100,834900,841100,845400,848800,851300,852600,855700,862200,868700,873600,879000,884600,889300,894000,899000,905200,912000,918300,925000,931200,934700,937500,940500,942400,944600,949700,957300,964800,969800,975100,981500,986400,990200,994400,999900,1006800,1014200,1020600,1029500,1040700,1050900,1059200,1067600,1079800,1094500,1105400,1110300,1113700,1117300,1120100,1123600,1128700,1135200,1139500,1142100,1144200,1143500,1139200,1134900
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,219500,220900,221800,221800,221100,219700,217600,214900,212600,210600,208300,205800,203500,201600,199700,197800,196100,195100,195000,196000,198500,202000,205700,209300,213200,217100,221000,225000,229000,232900,236400,239200,241500,243300,244000,243800,243600,243600,244000,245000,246500,248300,250500,253100,256400,260200,263900,267100,270600,274000,277300,280600,283600,286400,288900,291200,293300,295200,296800,298100,299400,300900,302500,304300,306400,308600,310900,313200,315600,318000,320400,322800,325100,327200,329200,331000,332900,334600,336400,338200,339900,341600,343200,344700,346300,347700,349200,350700,352300,353900,355700,357600,359600,361900,364200,366700,369300,372000,374900,377900,380800,383600,386500,389200,391800,394400,396800,399400,402400,405600,408900,412400,415900,419400,422900,426100,428900,431500,433800,436000,438000,439600,440700,441300,441400,441300,441300,441200,441200,441500,441400,440800,440000,438700,437100,435500,433800,432400,431200,429700,427500,425000,422000,418500,414900,411100,406800,402600,398400,394700,391800,389000,385800,382800,379700,376000,371600,366700,361800,358200,355600,353700,352700,352200,352000,350500,350400,350700,349100,347000,345900,343400,340600,337700,333500,329800,326900,326100,325800,324100,321700,319900,318300,317000,316100,314900,313400,311500,311200,310000,307200,305400,306200,307500,309100,310500,312000,313700,315200,316600,317700,319200,321100,324000,327600,331700,336400,341900,346300,349300,351400,352600,353300,354400,355200,355700,356800,358800,360700,362600,364200,365400,366100,366800,367100,366500,365700,366900,369300,370900,371600,371500,370900,371100,372700,374300,375100,375900,377400,379000,380300,381500,382400,383100,384300,385700,387500,389500,390900,390900,390700,390900,391900,393100,394000,394400,394400,394300,395000,395800,395700,397200,400500,402500,402600,402700,402300,401600,401300,401200,401100,401700,402500,402900,404100,404900,403500
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,205300,204700,204400,204500,205000,205800,206700,207200,207100,206400,205300,204400,203700,203500,203800,204500,205700,207000,208300,209400,209800,209600,209100,208500,208000,207600,207300,207200,207500,208400,210200,213300,218000,224000,230500,236700,241200,243400,243800,242900,241300,239200,237200,236000,236200,238100,241800,246800,252300,257800,262600,265900,266900,265300,261800,257400,253100,249500,246400,243600,241100,238800,236700,235100,234300,234300,234900,235700,236500,236900,236700,236000,235500,235400,235600,236000,236500,237000,237500,237700,237200,236500,235500,234400,233300,232400,231700,231100,230800,230800,231000,231400,231700,232000,232200,232400,232500,232600,232700,233000,233500,234200,235100,236100,237300,238500,239600,240500,241300,241900,242500,242800,243000,243200,243500,243800,244300,244900,245500,246000,246300,246500,246900,247600,248700,250100,251500,252900,254000,254700,255100,255500,256000,256800,257800,258800,259600,260200,260600,260900,260700,259900,258700,257300,255900,254700,253800,253100,252600,252200,251900,251700,251600,251500,251300,251000,250700,250300,249900,249900,250200,250500,250900,251300,251600,252000,252100,252200,252500,252700,252000,250900,249800,249200,248500,247400,246000,245200,244800,244900,245500,246300,246600,246300,246000,245800,245800,245800,245400,244800,245000,245300,244700,244400,245100,246400,247800,248400,248400,248900,250400,252000,253400,254800,256200,257800,260200,262800,264900,266800,268600,270100,271700,273100,274200,276000,278500,281200,284000,286600,288700,291300,294200,297000,299500,301300,302300,303900,306100,308100,309500,311000,312700,314000,315100,315700,316600,317700,318800,319400,320000,320700,321400,322000,322500,322900,323300,323600,323900,324400,324800,324800,325200,325900,326400,326500,326600,326700,327200,327800,327700,328900,332100,335200,336700,337500,337400,337400,338100,338500,338900,339900,341700,343400,344500,344700,344400
2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,177400,177500,177800,178500,179300,180300,181300,182300,183300,184300,185200,186200,187300,188500,189700,190700,191600,192500,193400,194300,195100,195800,196500,197200,197800,198600,199600,200800,202100,203500,204900,206400,207800,209100,210400,211600,212900,214200,215400,216600,217600,218500,219600,220800,222300,224100,225900,227800,229500,231100,232300,233400,234300,235200,236100,237300,238600,240100,241400,242500,243400,243900,244300,244500,244700,245100,245600,246300,247300,248500,249600,250600,251600,252600,253500,254500,255700,256900,258200,259700,261100,262500,263600,264700,265800,266900,268200,269700,271300,273200,275300,277300,279400,281600,284000,286700,289700,293400,298100,303800,310400,317700,325900,334900,344900,355600,366900,379300,393100,408000,423500,439100,453700,466500,477000,485000,490700,494800,498200,500900,502600,502800,501400,498500,494700,490700,486900,483500,480900,478900,477300,475700,474200,472400,469800,466200,461500,455800,449100,441800,434000,425900,417200,408300,399700,392000,384800,377900,371300,364700,358100,351600,345300,339100,332700,325900,319000,312100,306100,302000,299600,297800,296600,296100,296000,296100,296100,295700,294600,292700,290400,287300,283400,280600,279000,276600,274600,273600,273200,272700,271500,269400,267700,266400,265800,265600,266600,269000,271500,273300,275800,279300,284400,290200,295300,299800,304600,308400,311400,314800,317800,320400,323600,327400,331000,335500,340500,345200,348800,352400,354600,355400,356000,357500,358300,358700,358600,359100,359400,359500,359300,360000,361600,363000,364200,365100,366100,366900,368200,370500,373100,375800,378900,381400,382500,383100,384100,385100,385900,387000,388300,389400,390600,392300,394100,395100,396100,397800,399100,399100,399500,401000,403200,404800,406300,408100,410000,412000,414300,415900,417300,420200,423600,426000,427900,430100,432600,434600,436600,439000,441600,443200,445200,447500,448900,448900,448500
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",5,265300,264800,264200,263700,263500,263600,264100,265000,266400,268000,269600,271000,272500,274100,275900,278000,280200,282700,285500,288600,292200,296200,299900,303200,306600,310000,313600,317300,320900,324400,328000,331600,335300,338900,342100,345000,348000,351000,354100,357400,360700,364200,368100,372400,377500,383000,388500,393700,398800,403900,408800,413500,417900,421900,425700,429500,433500,437700,442100,446400,450700,454800,458500,462000,465600,469400,473700,478300,483300,488300,493200,498100,503200,508400,513900,519600,525600,531800,538400,545000,551400,557400,562900,568500,574400,580600,587600,595600,604400,613900,623700,633700,644400,656100,669000,683100,698400,714700,731600,747600,761500,772900,781900,788400,793100,796700,799700,802500,804600,805500,805400,804500,803000,801800,800900,800200,800100,800600,801400,802400,802800,802300,800600,797500,793500,789900,786900,783900,781200,778400,774500,769500,764100,759000,754900,751100,747000,743100,738600,733200,726800,719500,711100,702300,693400,685300,678400,672500,667400,663700,660800,658200,656300,654800,652300,648400,643300,637800,633800,632900,633800,635500,637500,639400,641500,643600,644200,643500,644000,644700,643400,640200,637200,632900,628200,624500,619000,612400,609300,608900,607800,605500,600500,596100,593500,590700,588400,587200,586800,587700,589300,590500,594000,600000,606200,610300,614200,619500,625700,632500,639200,642800,647400,657500,668100,677100,687900,698200,705100,709900,712300,713200,715800,721100,725700,727200,726900,727300,729800,733000,733800,735100,738200,740000,739900,741400,745300,749500,753000,757100,762700,768400,774100,779300,782600,785000,790300,796800,799900,800900,803200,805800,807000,808900,812600,817600,823200,829700,835000,838800,841800,845700,850900,857000,861400,864200,867700,872700,876500,879800,884800,894000,903800,910200,912300,912700,913700,916600,921500,924600,926700,928400,929300,927400,925400,923900,922500
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,312500,312000,311400,310800,310500,310300,310400,310800,311600,312800,313700,314500,315500,316900,318700,320900,323500,326500,330000,333800,338200,343000,347600,351800,356200,360700,365200,369800,374400,378700,382900,387000,391000,394900,398200,401000,403700,406200,408700,411200,413800,416600,419900,423400,427400,431700,435600,439100,442400,445700,449100,452600,456100,459800,463800,467900,472300,476700,480800,484600,488300,491700,495200,498800,502500,506600,510900,515400,520100,524800,529500,534300,539600,545500,552200,559600,567300,575300,583800,592200,600300,608000,615400,623100,631400,640200,649900,660600,672200,684400,697000,709800,723600,738700,755500,774100,794000,813800,832400,848200,860500,869600,876600,882600,888400,894300,900200,906000,911300,916200,921200,926900,933100,939600,946300,953100,960400,967900,974800,980700,985100,987400,987800,986600,984400,981700,978500,974600,970800,967800,964000,958300,950600,942000,932100,920800,908700,896900,885800,874300,861700,848500,835000,821500,809700,801600,796600,792900,789600,787000,785400,784300,783300,782300,779700,774800,768600,762800,758500,756500,756600,757700,759100,760800,762700,761400,759800,759600,760800,761200,760200,757500,755400,753400,749900,743800,736800,732200,729600,727100,724700,721100,717400,715100,713500,710000,707300,708500,711900,712400,711500,713400,716400,720200,725100,731200,736800,744400,751900,757700,763900,773400,785400,800400,817400,832000,844200,853000,858300,861600,865300,867900,868400,870700,875200,878100,879600,881900,881900,880500,881100,883400,885800,889200,892300,894500,897300,901500,904300,906700,910000,914200,919200,925800,930600,934400,939500,943600,944200,944600,945600,947300,950200,954400,958900,963600,969600,975000,979100,984200,989500,992000,992600,994400,998700,1004200,1009000,1013400,1017700,1023200,1028600,1036800,1047300,1054800,1060300,1068600,1077800,1085000,1091200,1093300,1094400,1095900,1098900,1099100,1096800,1093200,1090300
581,"Kings County","NY","New York-Newark-Jersey City","36","047",7,225500,226000,226500,226800,227100,227400,227600,227800,228400,229300,230200,230700,231300,232000,232700,233500,234800,236300,238200,240200,242600,245300,247800,250100,252400,254400,256100,257500,258800,260200,261700,263400,265600,268200,270800,273300,276200,279200,282400,285900,289400,293100,297000,301100,305900,311100,316400,321500,326600,331300,335600,339500,343100,346700,350400,354600,359500,365000,370800,377000,383300,389400,395100,400800,406900,413500,420800,428400,435600,441100,443300,441900,437900,433000,428800,426300,425900,427500,430400,434100,438200,443500,451200,461800,475400,491500,508900,524900,537100,545000,550200,554100,557900,562500,567800,573900,580400,587500,595300,604500,615300,627700,641100,654300,666800,678100,688200,698000,707400,715700,723400,732000,741900,752400,762400,771000,777600,782100,784600,787600,792600,799000,805400,811600,816100,818100,817500,815500,813800,813300,812800,813000,813200,811700,807900,804400,801700,799300,796900,795500,796600,800500,805200,811000,817200,820400,819100,816000,811900,807600,802900,797900,792800,788300,782700,777900,773900,768800,761300,754800,750400,748400,748500,750600,753700,756900,760100,752700,736500,728200,733700,736300,732300,725800,724200,726300,727700,726800,732800,746700,759700,766100,769500,772100,774500,777300,778200,777100,775000,773700,772000,770300,770600,771500,770800,772900,778300,784900,792900,802000,809900,816300,818800,821400,829100,841200,852500,863100,874500,889100,903200,913400,923800,935300,943800,950900,960700,972500,982300,990100,1000300,1011600,1017900,1023500,1032000,1041300,1047000,1054900,1067300,1079200,1089300,1103400,1122400,1139000,1153100,1165100,1176100,1183400,1193500,1204000,1211800,1217200,1225500,1233100,1238700,1244200,1249800,1257300,1268500,1280100,1287800,1295900,1301500,1304200,1305100,1308200,1311500,1316200,1318700,1318100,1319000,1327500,1338300,1345300,1349300,1350900,1350200,1350600,1352800,1353500,1352700,1347300,1334100,1321200,1319000,1320000,1317300
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,172500,172700,172700,172600,172300,172100,171800,171700,172000,172400,172800,173100,173400,173800,174200,174700,175100,175600,176200,176700,177500,178300,179000,179300,179500,179600,179600,179700,180100,180800,181600,182500,183500,184400,185000,185500,186000,186600,187400,188100,188700,189300,189900,190400,191100,192100,193100,194200,195600,197100,198600,200200,201800,203500,205300,207200,209300,211400,213500,215600,217900,220400,223200,226100,229200,232300,235500,238600,241900,245100,248200,251200,254200,257000,259900,262700,265600,268600,271800,275300,279200,283100,287100,291000,294700,298100,301200,304300,307200,310100,313300,316600,320300,324400,328900,333800,338900,344200,349900,355900,362000,368400,375100,382100,389400,396900,404200,411700,419800,428600,438000,447600,456900,465500,473200,480300,487300,494700,502400,510900,519700,527800,534400,539300,542600,544700,546000,546500,546900,547700,547800,547300,546800,546100,544700,542800,539900,536200,531500,525100,516900,507800,496600,483800,470600,457600,445000,434000,424100,414700,405200,395200,385600,377400,369000,360000,350900,341600,333200,328100,325500,324300,323800,322900,322300,321300,321200,319900,317500,315300,314800,312700,309300,305700,304100,304800,304100,301900,301400,303400,305300,307000,307600,306700,306000,306500,306700,307500,310000,312200,313900,316700,320400,324400,327800,331200,335000,337500,338700,341000,343900,347100,350400,353800,357700,363000,368500,373700,377800,381900,385500,388700,392200,397000,400900,403900,407000,409800,413000,417400,423000,427800,430700,432200,433700,434900,435800,437500,440200,443400,445900,447500,449800,453700,457600,458900,459100,459900,462500,466800,470300,472100,474100,476100,476300,476500,479400,483700,487100,489200,489000,488300,489200,490700,491700,493700,495800,498100,499700,499900,499600,502300,506900,510400,512100,513500,514200,514200,514200,515000,517000,517900,518300,518900,519300,516100,511800
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,193700,194100,194700,195300,196000,196700,197400,198200,198900,199400,199800,200100,200400,200800,201200,201500,201700,201800,202100,202700,203500,204700,206100,207300,207800,207700,207200,206400,205600,205000,204600,204800,205600,206800,208100,209000,209700,210200,210500,210800,211100,211400,211800,212100,212500,212700,212800,212800,212700,212700,212800,213200,213700,214300,214800,215000,214700,214200,213400,212700,212200,211900,211900,212000,212300,212800,213300,213900,214300,214600,214800,215000,215300,215900,216500,217300,218100,218800,219300,219800,220000,220200,220500,220800,221100,221400,221600,221500,221300,221000,220700,220700,221200,222500,224300,226400,228200,229600,230600,231300,231800,232300,232900,233500,234200,234900,235700,236600,237600,238900,240300,241800,243200,244300,245300,246300,247200,248500,249800,251100,252300,253300,253900,254600,255400,256400,257500,258500,259200,259800,260100,260600,261100,261600,262000,262400,262600,262800,262800,262600,261800,260600,258800,256700,254800,253300,252200,251700,251400,251000,250700,250500,250400,250600,250700,250600,250300,249800,249000,248500,248200,248100,248100,248100,248400,247800,247700,247400,246600,245900,246100,245300,244800,244700,244200,243600,242800,242500,242100,241500,241100,241300,241100,240700,240200,240200,240500,240700,241000,241300,241300,241300,241800,242300,243100,244000,244400,244200,244200,244500,244800,245000,245500,246600,247800,248900,249800,251200,252700,253500,254000,255000,255800,256300,257000,258000,259500,261200,262700,264500,266800,269200,271200,272800,274600,276500,278600,281400,284100,286500,288400,290100,291800,293800,295800,298000,300100,301600,303000,305000,307800,311000,315600,320900,325300,329100,333900,338000,340600,343800,348200,352900,357600,361900,365100,367800,370600,373900,375800,375700,375600,377900,381000,383800,386300,388100,388400,388700,389300,390600,392500,396100,402000,408500,412900,412700,409600
1347,"Queens County","NY","New York-Newark-Jersey City","36","081",10,241800,242600,243600,244400,245100,245600,246000,246400,246900,247400,247600,247600,247800,248400,249200,250400,251800,253400,255100,256900,258900,260800,262400,263600,265000,266700,268600,270800,272900,275000,277100,279100,281200,283100,284700,286400,288600,291600,295200,299100,303200,307200,311300,315400,319800,324100,327900,331500,335200,339200,343300,347300,351100,354700,358000,361300,364400,367000,369000,370900,373400,377100,381800,387300,393200,399300,405400,411100,415700,418400,418500,417200,415700,415100,415400,416000,416600,417300,418700,420800,425300,435000,450600,468800,484000,492200,494800,494900,494800,496100,499300,504200,510300,516300,521800,527400,534300,542800,552600,562900,573000,582900,592400,601100,608600,614400,618800,623300,629000,636200,644500,653500,662800,672200,681500,690200,698100,704300,708500,711800,715200,719100,722600,724800,724800,721600,715100,707100,699400,693600,689900,688000,687000,686200,684800,683000,681400,680200,679200,678600,677500,675400,672100,668200,663100,657400,651600,647200,644000,640900,637900,635800,633800,631500,628700,626000,623700,621300,619100,618400,619100,619800,621100,623500,627200,629700,629900,628400,625200,621800,622400,625700,624800,619000,615700,612900,611000,611400,615100,616900,619000,621700,621900,618200,617300,621500,622800,619500,613900,609400,605200,603200,601000,599500,599000,598000,597100,599900,604100,607200,609200,610800,612800,616300,621900,628800,634500,638200,642000,646600,651600,657700,664300,670800,677600,683700,688600,692500,696800,703200,711100,715800,718800,724400,732600,739500,745200,751300,757100,761400,766800,775200,781800,785200,789600,794900,798500,801700,805000,807800,811300,815100,818500,822000,826900,830300,833000,838100,845800,851600,853800,856700,862400,869900,875400,880300,885700,892600,899100,903400,905000,907800,910700,914800,919700,925700,930900,933800,934900,938200,942100,943700,943300,942900,944800,946300,945200
