"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",0,2722,-0.000367242012486228,0.00220913107511046,0.0318423047763457,2122495
2019-04-30,"Cook County","IL","Chicago-Naperville-Elgin",1,1711,0.00351906158357771,0.00587889476778366,0.0420219244823386,1621687
2019-04-30,"Harris County","TX","Houston-The Woodlands-Sugar Land",2,1515,0.00198412698412698,0.00397614314115308,0.0140562248995984,1140081
2019-04-30,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",3,1474,0.00408719346049046,0.0130584192439863,0.0573888091822095,1330073
2019-04-30,"San Diego County","CA","San Diego-Carlsbad",4,2650,0.0011333585190782,0.00607441154138193,0.042896497441952,822214
2019-04-30,"Orange County","CA","Los Angeles-Long Beach-Anaheim",5,3076,0.00130208333333333,0.00130208333333333,0.0148465852853844,828809
2019-04-30,"Kings County","NY","New York-Newark-Jersey City",6,2324,-0.00171821305841924,0.000430477830391735,0.0113141862489121,418752
2019-04-30,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",7,2007,0.00299850074962519,0.0085427135678392,0.0255493101686254,961093
2019-04-30,"Dallas County","TX","Dallas-Fort Worth-Arlington",8,1545,0.00194552529182879,0.00520494469746259,0.0306871247498332,617483
2019-04-30,"Queens County","NY","New York-Newark-Jersey City",9,2256,0.000443458980044346,0.00177619893428064,0.0277904328018223,472423
2019-04-30,"Riverside County","CA","Riverside-San Bernardino-Ontario",10,2105,0.0028585040495474,0.0100767754318618,0.0572576594676042,639486
2019-04-30,"San Bernardino County","CA","Riverside-San Bernardino-Ontario",11,1772,0.00396600566572238,0.0114155251141552,0.0485207100591716,549600
2019-04-30,"Clark County","NV","Las Vegas-Henderson-Paradise",12,1402,0.00429799426934097,0.0159420289855072,0.0784615384615385,674387
2019-04-30,"King County","WA","Seattle-Tacoma-Bellevue",13,2441,0.00164136233073451,0.00328812166050144,0.022622538751571,661268
2019-04-30,"Wayne County","MI","Detroit-Warren-Dearborn",14,898,0.00447427293064877,0.0124013528748591,0.0552291421856639,725460
2019-04-30,"Tarrant County","TX","Dallas-Fort Worth-Arlington",15,1556,0.00257731958762887,0.0077720207253886,0.0401069518716578,541716
2019-04-30,"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara",16,3583,0.00307950727883539,0.005331088664422,0.0176086339108208,452721
2019-04-30,"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach",17,1797,0.00223089793641941,0.00615901455767077,0.032165422171166,804753
2019-04-30,"Bexar County","TX","San Antonio-New Braunfels",18,1334,0.00300751879699248,0.00907715582450832,0.0325077399380805,517209
2019-04-30,"New York County","NY","New York-Newark-Jersey City",19,3733,-0.00320427236315087,-0.00107037730800107,0.0315004144791379,443617
2019-04-30,"Philadelphia County","PA","Philadelphia-Camden-Wilmington",20,1260,0.00478468899521531,0.0104250200481155,0.0387469084913438,515427
2019-04-30,"Alameda County","CA","San Francisco-Oakland-Hayward",21,3151,0.00158931977113795,0.005103668261563,0.031086387434555,419440
2019-04-30,"Middlesex County","MA","Boston-Cambridge-Newton",22,2473,0.00528455284552846,0.00979991833401388,0.0135245901639344,475759
