SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,CA,63434,65234,66202,65948,67669,68342,68573,74213,74710,75919,73660,68969,62768,67384,71360,76754,81219,87387,91091,90612,90838,90978,88286,77418,71551,70804,71094,73635,78518,82401,85800,86740,86293,84008,80174,69586,59870,62946,66744,71280,74874,79947,87e3,87754,84091,80802,75526,65337,59033,60029,59691,59986,63610,65218,65247,65666,65538,63706,60207,52340,49481,53224,56030,59870,66239,71123,75413,79116,82672,83498,81348,72029,66347,68230,68266,70892
2,54,Texas,State,TX,103274,107023,112040,113086,115166,114330,113159,114201,109995,105598,101662,95971,89061,92564,94468,98105,99872,102985,105395,105870,103741,100133,96888,89912,84899,87060,88844,88562,92214,92896,96063,99376,97245,96233,92594,87338,79359,81274,85731,87973,89680,95207,99485,101438,99336,97717,94927,89346,86245,89052,90350,91660,96002,100869,104752,110163,105134,102352,99277,92914,87071,88017,91762,95722,101312,106275,109260,110317,108637,107583,105126,97636,93186,94724,96780,101248
3,43,New York,State,NY,82614,84964,88302,90738,91095,92244,91005,90826,89346,87695,84342,78979,72965,75194,76399,80870,85596,89545,91874,91e3,90914,87435,83182,75380,70682,70835,72955,79128,84478,91413,92470,91717,89453,87147,82221,74509,67955,68620,70979,75509,77998,81131,81306,79645,79121,77247,72421,67598,63026,62746,62645,62265,65871,67784,68246,67455,67406,66483,62650,56594,52138,54568,56440,58679,63724,67640,69152,68745,69149,69095,65950,58977,54670,55537,56898,60524
4,14,Florida,State,FL,154648,164711,167860,158158,151386,147376,136822,138044,141120,146868,154119,157825,154583,160736,163604,164333,164404,165189,163357,159998,159632,159945,160486,159230,156804,159718,144965,140803,143907,138279,140219,140434,139037,138072,139258,140398,136e3,142922,147263,147507,147215,144504,144735,144360,142930,142386,143985,144398,145724,152455,149501,144462,139159,136436,134032,132605,128256,128034,132273,132756,134559,138868,141476,140408,138702,136268,135886,134705,135779,139696,144188,144292,147602,152661,151658,149066
5,21,Illinois,State,IL,53984,55706,57170,58742,60645,58970,59031,60924,60290,59111,56431,52236,48813,49262,51784,53700,59259,63312,65522,66702,66745,65395,61920,56393,53321,53972,57126,59849,63628,66614,67138,67614,66931,65538,62003,55521,50937,51194,53780,55770,58760,61623,65006,64088,63262,61320,58477,53322,48597,49172,50789,51568,53466,55622,56579,58061,58594,57349,53361,47558,43346,44378,47216,49325,52375,55676,57586,58704,58750,57648,53930,47697,44052,44526,46517,50072
6,47,Pennsylvania,State,PA,58421,60602,62570,65080,67912,70235,69826,70410,70062,69382,67133,63565,58650,58049,58027,64091,69273,71636,73242,74019,73104,71796,68998,63689,58796,58074,58480,57593,63061,67346,70377,70014,69285,68285,64994,59331,54466,55112,56605,59070,60560,63201,63694,63375,62432,61280,58822,53582,49831,49615,49221,49396,52339,53848,54737,54745,54851,53940,51932,47508,43682,42855,43791,45400,47628,48936,49070,49218,49198,49040,47068,42408,39306,38008,37674,39536
7,44,Ohio,State,OH,47951,50120,51590,53317,55516,57872,57731,57852,57133,55664,53434,50175,46338,45154,45408,48344,51566,54201,56635,57746,57039,55547,52878,48162,45223,44560,44473,45553,48522,53155,54556,55406,54449,53528,50770,45872,42132,41614,41440,42362,43490,46696,47654,50694,49860,48096,44575,40390,37454,37040,36778,37056,37487,39433,40856,41869,41697,40410,38562,34618,31374,30694,31040,31963,33799,36050,37460,38807,38838,38454,36789,32364,29736,28448,28292,29080
8,30,Michigan,State,MI,53921,53833,54416,55708,58865,61030,60124,63633,62706,60831,58303,55440,50151,49082,48502,50410,54620,61728,65921,68396,67990,63417,60566,56256,50844,49038,48598,49875,53344,58384,61573,65795,65217,61733,56958,51729,46242,45030,45027,46404,48578,53520,56358,57876,57276,53968,50109,44348,40145,39323,38177,38182,41295,44026,45982,47815,47254,45076,41767,37248,33565,31888,31923,33068,36315,40641,42619,45533,45846,44575,42544,37844,34514,32570,32396,33812
9,16,Georgia,State,GA,50115,50990,52748,53591,54790,54915,53192,56708,57060,57636,56988,54704,50987,52027,53234,55780,58148,60903,61337,61560,61016,60899,59510,57567,54260,54068,57436,61757,63172,65168,67113,67128,66259,65334,62448,58771,53551,52808,54163,55876,59254,62762,62768,62077,61144,59948,58620,55544,52096,51984,51393,51238,51776,52886,53208,52956,51924,50826,49067,46435,43149,42823,43468,44310,45998,47046,48245,48797,48906,48495,48386,45598,43101,43320,43576,44998
10,36,North Carolina,State,NC,70171,72512,75788,77864,80613,80907,79363,80093,78999,78533,76916,73196,68571,68938,70592,74230,77647,79779,80319,79741,77918,74281,71558,66926,62286,61951,65010,58991,63979,64396,66260,66716,65697,63670,60192,57491,52942,54488,55413,58974,60442,63049,63363,62731,61202,59694,56052,52340,48762,49039,49316,49628,49607,51270,51927,51731,51649,51608,49659,46114,42658,42582,43724,45005,47254,48034,46964,46132,45974,44605,42870,39431,36571,36824,37202,39374
