SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,CA,72470,71890,70683,69532,68256,66053,65034,66621,68534,69723,70976,72275,73202,74548,76959,79829,82321,84219,84722,84031,84070,84704,84170,82604,80959,78920,77521,77869,78838,79428,79542,79279,78687,77695,76219,73819,71546,71542,73448,75079,75761,77355,79536,79263,76733,74124,71948,70405,69471,68281,66566,64968,63603,61637,59329,58006,57523,57003,56736,57747,59867,61752,63207,64771,66348,67693,69131,71427,74275,76374,77161,77153,77064,76642,75953,75839
2,54,Texas,State,TX,114040,114560,114954,114387,112768,109524,106771,106008,104973,103287,102049,101175,100305,99527,99096,99015,98695,98125,97919,98131,98128,97510,96575,95823,95362,94577,92958,91327,90138,88874,89031,90660,91932,92517,92540,91938,90536,89794,90272,90056,89517,90334,91805,92854,93572,94084,94381,95159,96420,96646,95596,94778,95122,96141,98049,99899,99683,98811,98508,98180,97460,96767,97198,98624,100243,101372,101704,101895,102657,103643,103831,103484,103370,102960,102863,103750
3,43,New York,State,NY,93378,93668,93321,91792,89238,86523,84725,84035,83727,83591,83774,83895,83856,83477,82740,82781,83412,83975,84466,84627,84327,83391,82128,81161,80596,79818,79698,81052,83024,84826,85455,84799,83659,82527,81252,79694,78290,77451,77427,77388,76431,75313,74328,73423,72967,72447,72067,72501,72567,71167,68523,65717,63754,62350,61419,61139,61353,61654,61705,61800,62279,62789,62533,61911,61789,61981,62168,62455,63186,64185,64574,64420,64341,63995,63489,63381
4,14,Florida,State,FL,155161,157786,159400,157419,154107,149093,143454,142447,145304,148806,152208,154215,154264,154695,157889,162569,166114,167467,166461,164559,163365,161827,159430,157484,155695,150259,142577,140797,142749,142694,143050,143744,142725,140557,138849,137796,136587,137485,141417,145392,147189,147410,147675,147759,146795,145038,143548,143625,144907,145297,144197,142306,140173,138512,137256,135470,132927,131332,131312,132188,133084,133804,135854,138086,138709,138629,138576,138817,140141,142101,143198,144305,145990,146557,146586,146983
5,21,Illinois,State,IL,61978,61797,60857,59936,58409,55835,54388,54856,55693,56077,56317,56613,56563,56049,55548,55978,57646,59295,60157,60893,61719,61927,61464,61124,61085,61045,61231,61744,62316,62464,61995,61697,61850,61799,61134,60041,59018,58396,58140,57920,57746,58256,58799,58409,57889,57665,57624,57436,56817,56117,55174,53826,52602,51851,51582,52093,52976,53135,52564,51941,51577,51577,51712,51613,51560,51880,52261,52677,53212,53372,52895,52311,52018,51691,51636,52202
6,47,Pennsylvania,State,PA,65604,66811,67209,67308,67242,66533,65644,65424,65519,65514,65702,65973,65607,64432,64227,66242,68106,68420,68589,68807,68481,67860,67197,66452,65567,64536,62979,61731,62381,64057,65151,65176,64688,64098,63150,62057,61388,61430,61802,61544,60535,59737,59184,58519,57855,57303,56815,56407,56186,55644,54337,52842,51692,50787,50229,50078,50066,49997,49990,50071,49853,49350,48963,48352,47139,45762,44808,44496,44630,44901,45035,45179,45139,44280,43232,42817
7,44,Ohio,State,OH,54724,55685,55643,55279,55196,54698,53667,52922,52621,52413,52433,52652,52286,51059,50166,50576,51355,51790,52280,52575,52434,52048,51468,51032,50797,50103,49027,48511,49110,50131,50484,50242,49977,49743,49199,48384,47655,46949,46147,45220,44414,44061,44331,45021,45080,44221,43250,42808,42706,42292,41391,39990,38356,37293,36944,36861,36831,36781,36824,36834,36565,36138,35713,35179,34479,33895,33669,33759,34109,34593,34833,34801,34569,33895,33079,32473
8,30,Michigan,State,MI,60633,60515,60407,60361,59950,58046,56039,55735,56045,56288,56873,57287,56833,55897,55247,55451,56776,58764,60236,60714,60279,59264,58722,58337,57342,56198,55429,55150,55279,55709,56575,57571,57690,56666,55215,53899,52852,52252,52036,51582,50920,50811,50784,50281,49697,48962,47895,46899,46499,46179,45189,44008,42899,41674,40710,40124,39894,39867,39682,39588,39561,39278,38990,38715,38335,37922,37616,37764,38444,39404,40054,40293,40343,39983,39615,39479
9,16,Georgia,State,GA,55029,54781,54147,53595,53057,51814,51455,53313,55664,56937,56712,56231,56152,55806,55507,55958,56942,57743,58222,58616,59352,59806,59303,59045,58976,58843,59992,61631,62209,62643,63555,64038,64220,63746,61977,60088,58536,57352,56942,57271,58378,59456,59528,59061,58839,58544,57761,57111,56777,55927,54302,52505,51086,50293,49994,49760,49569,49167,48359,47908,47728,47180,46432,45732,45080,44722,45009,45642,46341,46958,47166,47291,47612,47472,46851,46378
10,36,North Carolina,State,NC,77489,77778,78014,78267,78042,76880,76047,76175,76378,76578,76648,76253,75451,74253,73749,74641,75569,75968,76209,75888,74554,72711,71220,70046,68790,67735,65587,62462,61254,61460,62135,62789,62458,61409,60429,59997,59679,59195,59091,59413,59312,59290,59413,58937,58156,57179,56002,55259,54854,53871,52387,50575,48680,47886,48016,48168,48566,49106,49193,48974,48569,47703,46874,46352,45611,44496,43344,42690,42538,42448,42345,42374,42366,41652,40790,40639
11,40,New Jersey,State,NJ,56870,56855,56193,55195,54356,53512,52696,52517,52781,53031,53359,53781,54056,53882,53932,54860,55840,56475,57042,57578,58123,58503,58498,58108,57408,56936,56691,56139,56662,58561,59618,59298,58786,58595,58149,57380,56763,56501,57007,57464,56781,55865,55240,54714,54341,53603,52608,52166,52250,51947,50674,49020,47519,46203,45278,44850,44755,44726,44830,45143,45451,45506,45221,44910,44614,44118,43802,43938,44310,44643,44798,45051,45434,45369,45e3,44861
12,56,Virginia,State,VA,42365,42507,41956,41319,41035,40650,40356,40576,41184,42096,42951,43413,43541,43627,44094,45169,46408,47371,47998,48289,48391,48237,47748,47209,46742,46122,45825,46729,48188,48971,49137,49072,48821,48244,47103,45852,44999,44480,44674,45183,45091,44869,44755,44365,43775,42903,41891,41478,41520,41346,40901,40230,39447,38968,38887,38887,38621,38609,39309,39648,39345,39316,39453,38856,37414,36064,35481,35409,35448,35317,34772,34161,33670,32877,31949,31294
13,59,Washington,State,WA,31442,32193,32066,31680,31693,31458,31312,31533,31719,31841,32093,32385,32348,32134,32380,33217,33929,34010,33667,33363,33116,32493,31572,30758,30055,29416,28974,28890,28846,28224,27275,26391,25500,24766,24296,23919,23610,23556,23873,24138,24049,24008,24094,23975,23514,22722,21904,21481,21212,20542,19646,18940,18446,18104,17837,17633,17711,18050,18145,17971,17754,17451,17274,17156,16992,17040,17429,18311,19490,20351,20648,20572,20198,19605,19140,18826
14,26,Massachusetts,State,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24926,25330,25282,25140,24952,24552,23775,22782,22083,21732,21060,20282,20024,19799,19362,19026,18813,18751,18993,19215,18880,18060,17093,16306,15874,15594,15422,15426,15475,15717,16166,16441,16343,15886,15259,14915,15011,15186,15547,16235,16876,17354,17748,17945,17765,17298,16803
15,8,Arizona,State,AZ,32600,32797,33247,33374,33044,32527,32496,33171,34087,35158,36237,37021,37747,38803,39949,40768,41042,41002,40874,40332,39550,38820,38239,37681,36914,36429,36272,35832,35188,34769,34531,34333,34525,34906,34165,32625,31906,32037,32435,33518,35052,35541,35143,34673,33976,33217,32770,32614,32386,32130,31970,31697,31189,30502,29860,29383,28967,28471,28025,28049,28448,28667,28679,28689,28589,28293,27942,27783,27715,27539,27372,27490,28e3,28431,28584,28744
16,53,Tennessee,State,TN,51623,52139,53069,54033,54286,53520,52437,51663,51293,51080,50802,50298,49192,48312,48843,50024,50577,50585,50196,49376,48533,47702,46776,46028,45441,43289,38196,33774,33143,33818,34161,34374,34218,33815,33313,32991,32854,32880,33507,34013,33514,32912,32634,32307,32096,31862,31416,31192,31213,30938,30398,29499,28117,27377,27585,27717,27769,28090,28510,28884,28897,28692,28935,29197,28960,28588,28252,28182,28536,28972,29143,29255,29397,29198,28952,28852
17,32,Missouri,State,MO,42212,42465,41852,41191,41113,40867,40334,40218,40467,40792,41e3,40880,40501,40083,39829,40008,40363,40385,40213,40111,39954,39642,39193,38812,38293,36731,35250,35437,36035,36387,36787,36739,36423,35904,35187,34714,34296,33934,33756,33253,32526,32114,31786,31320,30948,30759,30745,31e3,31269,31012,30313,29503,28660,28060,27741,27557,27512,27436,27463,27760,27927,27890,27690,27131,26618,26329,26056,25963,25912,25748,25631,25607,25457,24812,23843,23013
18,27,Maryland,State,MD,22589,22698,22349,21915,21524,20890,20590,20858,21321,21887,22487,22996,23216,23188,23595,24675,25908,27017,27670,27871,27980,27965,27711,27518,27528,27150,26802,27387,28246,28596,28636,28792,29004,28805,28006,27019,26318,26016,26035,26035,26012,26136,26182,26027,25710,24972,23943,23416,23252,22791,22107,21550,21214,21e3,20929,21037,21150,21848,23342,24040,23777,23824,24133,23912,22684,21161,20463,20497,20669,20620,20289,19952,19623,19174,18766,18481
