"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,117.097902097902,117.045454545455,117.267386402858,117.294293046338,117.021276595745,116.208955223881,115.108401084011,113.825608798115,113.151853066579,112.097611630322,111.185983827493,108.892921960073,107.432432432432,106.703895962668,107.969091773657,107.819722650231,109.170305676856,109.322916666667,109.172482552343,108.920367534456,108.71104815864,108.069325382035,107.02420503085,106.098803718026,105.518507288368,105.766396202642,106.957186544343,107.379889217784,107.813411078717,107.901726427623,107.882996045592,107.424181914997,107.5,107.136904761905,106.514657980456,105.956112852665,105.922693266833,107.252298263534,109.090909090909,111.221590909091,112.821810311098,113.680365296804,113.636363636364,113.636363636364,114.090431125131,113.642384674002,113.636363636364,112.51372118551,112.45311327832,113.854679802956,115.808823529412,118.14696485623,119.874357509994,120.357751277683,120.535714285714,120.359037127703,120.225563909774,119.987995198079,119.514576469621,118.453865336658,118.970736629667,119.711538461538,121.27868852459,123.663101604278,126.262626262626,126.742712294043,126.242236024845,125.926805143422,126.036036036036,126.272103933598,125.99525629126,125.045306270388,125,126.865671641791,129.319371727749,131.867388362652,133.238095238095,133.846153846154,133.769322235434,133.347228011672,133.809099018733,133.840644583706,133.136094674556,132.058359621451,131.851008754745,133.515821881499,135.70487483531,138.191501179407,140.183171150544,140.909090909091,140.577041129527,140.029873039582,140.475227673658,140.583804143126,140.055527511358,138.953488372093,139.46218487395,141.540487162607,143.762575452716,146.666666666667,148.245614035088,149.211711711712,149.413020277481,149.112903225806,150,150.375939849624,150.17667844523,149.182177100959,149.210620258813,150.33422459893,152.509842519685,155.252093004996
"New York, NY",1,236.589805825243,235.235235235235,238.696808510638,238.28125,242.382271468144,242.451874391431,239.6,236.315789473684,238.196099543333,237.231941069517,236.335056622354,234.095120444719,232.517482517483,227.912867274569,232.117191818684,229.916782086796,229.591836734694,227.717391304348,225.678733031674,224.363602702953,223.320158102767,222.132067851373,220.404984423676,220.37037037037,219.480519480519,220.253658759205,220.98976109215,223.903411403411,224.54448017149,222.822978854749,221.075970208101,218.849840255591,219.945674486804,219.919786096257,217.77072590242,216.229182760229,218.006430868167,219.925016534392,223.063552188552,223.907766990291,224.022988505747,222.325581395349,221.666666666667,219.67032967033,220.797008547009,221.666666666667,226.921327876307,225.190839694656,227.586034482759,230.511833060923,233.166666666667,236.16417580436,239.583333333333,243.302514696277,240.384615384615,239.36132218845,239.396252200443,239.410839874551,239.2,240.833333333333,243.093385214008,241.633333333333,241.666666666667,243.190188279258,240.384014423077,242.733433346487,245.610952891716,244.565217391304,244.052676295667,244.801512287335,244.694960212202,243.176531794953,250.713877784123,250.966110349981,247.536885245902,253.622785829308,252.150936472991,251.988603866392,250.343406593407,248.12030075188,250,251.371428571429,253.048780487805,251.577439300256,255.353147970598,258.208725142593,259.517002923862,260.224231159175,265.526492287056,265.973826020015,266.03265273383,262.488380082866,266.333333333333,269.147788565264,272.32068452381,273.920749905421,275,267.27115716753,260.427528675704,265.721151621063,271.261571116222,271.5,271.715767706896,270.495817066369,274.155095382028,276.411764705882,276.752767527675,277.777777777778,280.661157024793,279.138243042688,281.180873647815,285.886132119154
"Los Angeles-Long Beach-Anaheim, CA",2,281.045751633987,277.64639321075,280.40786598689,281.139294088573,280.565693430657,279.05531385954,276.741245994179,277.065527065527,272.247972190035,268.278127224114,266.71265622504,261.171032357473,258.081326803477,258.084239130435,257.823481724296,256.622843885105,257.195345988977,257.437524791749,256.438680677884,254.607005315304,251.509433962264,248.714759535655,244.976369529261,241.381364879304,240.585774058577,241.221374045802,243.359655419957,245.318937631107,249.086378737542,253.674727358938,256.830122591944,258.19888983669,259.074074074074,259.856630824373,262.028820887716,264.555765595463,270.430906389302,277.454242928453,289.93,301.411225661611,310.659789756414,318.097187033067,322.668112798265,324.388302054169,326.266839846157,325.825578500857,325.581395348837,324.114956564585,324.9,327.797202797203,329.987405541562,335.546875,339.811405746627,342.616097216604,343.867136641277,342.997998856489,344.067475276554,343.132705808969,343.965517241379,339.8740818468,338.44100079332,343.932511356262,348.157051282051,353.851597800642,359.752301438326,361.551128846726,363.315573132661,365.598885793872,365.961199294533,367.157242447715,365.710942071387,366.812227074236,369.249394673124,374.592833876222,378.712871287129,381.908542713568,384.441109746103,388.115631691649,389.249852333136,388.80063542494,389.241803278689,389.816229116945,389.943571839056,389.025389025389,392.071611253197,394.333498443534,400.718165359083,405.270655270655,408.450704225352,408.187125734796,408.854166666667,409.353778812422,409.942363112392,411.571538900779,413.076268529426,412.935323383085,415.042229045071,421.642206605762,423.124434374961,426.607891446395,429.337209302326,432.411986591553,431.660231660232,430.774895207885,431.435544768937,432.542927228128,431.902448654254,429.307568438003,429.12854777273,430.46357615894,433.526011560694,435.59549236862
"Chicago, IL",3,153.136629974302,153.019077385304,153.622574760485,153.21270310192,151.563753007217,150.895993685244,148.224363868299,147.006095374686,142.403214024836,142.45578773558,140.381415042957,136.022514071295,133.209902471997,131.628787878788,132.34542667348,132.654594122146,133.072181400488,132.132250251268,130.928571428571,129.114510894761,127.683134582624,125.113774282318,122.222222222222,119.455066921606,118.938700823422,119.366513012439,119.822485207101,120.446428571429,120.835271317829,121.052631578947,118.31550802139,117.097701149425,116.419213973799,115.387904101029,114.710884353741,112.566054167907,112.038999673246,114.234915055653,117.166679166979,120.201421800948,123.6958443855,125.308414309207,124.674827850038,124.469799606786,124.9375,123.694915254237,122.200772200772,120.323503393679,119.266055045872,122.636863136863,127.276470588235,130.571547355084,134.328358208955,136.905169462513,136.073555184606,135.299305678639,134.243509400179,133.25,131.744617775731,129.594706770636,128.364042434394,131.027365491651,135.679012345679,138.18301514154,142.740619902121,144.051049814739,143.430866322433,142.449961479199,141.452205882353,140.562248995984,139.135090639758,136.862745098039,136.359761295823,140.180360721443,143.914473684211,147.401685393258,149.533642374229,152.111456176674,151.108333333333,149.398057889299,148.90988372093,148.904956212018,148.00074019245,145.800933125972,145.755008979275,149.361294999976,153.150003150003,155.935613682093,157.110778443114,158.062944864321,157.468982630273,156.185505319149,155.886025946213,155.34457223035,154.049129996552,152.161100196464,152.406417112299,157.024029574861,162.382484515967,166.242661448141,166.847531199132,167.326732673267,167.010782289516,166.609195402299,166.717210007582,166.05504587156,165.621301775148,164.503086419753,165,167.608681957257,170.27742793171,172.666666666667
"Dallas-Fort Worth, TX",4,83.9121387003914,84.2311830084615,85.0340136054422,85.5044788273616,85.7204116638079,85.3736654804271,85.0381679389313,84.4031531531532,83.9271236396382,83.7774603560326,83.4852351440029,82.2991491820205,81.5576717190037,81.6079418175915,81.8331658291457,82.1159495350851,82.8679433444483,82.7292167869554,82.6417502498465,82.3686553873553,81.9710294878427,82.4074780618085,82.1491803974559,81.7100714545635,81.7066984333933,82.7513966480447,83.11345646438,84.0688318947349,85.3048780487805,85.7080923467005,84.9833887043189,84.5693030540329,84.2153542162242,84.5896147403685,85.2746094143822,85.6581532416503,85.5809128630705,86.8562610229277,89.3950749464668,90.6582124241262,91.606628897056,92.1372686045372,92.3051132222168,92.455568658005,92.4501424501425,92.7844217920491,92.9859087643018,93.3786603405672,94.260926552475,95.638747904225,96.99645598665,98.14200398142,99.5768206764985,97.981275599766,98.4990619136961,100.69580540776,100.781035300787,101.552928533047,102.375979112272,104.311543810848,106.100795755968,106.586499043454,109.945480825082,110.585839598997,109.613940430252,109.819121447028,109.862637362637,110.040912267988,110.580568720379,111.847168774052,112.359550561798,113.953488372093,114.694926235997,114.901256732496,117.368917889437,118.78526645768,119.865384615385,120.555846879916,120.831319478009,121.372031662269,122.075279755849,123.98962823246,123.620309050773,124.213485773071,125.472564300057,126.654696504616,128.166302114403,129.608284796597,130.21712907117,130.583093530259,130.243598644179,130.287648054146,130.952380952381,131.286159323543,131.351418761597,132.001205545509,133.273635985006,134.726449686144,136.107274236516,137.198308993082,137.843129325391,137.717780710941,137.378362907842,136.703495630462,137.323943661972,137.340647131258,137.468030690537,137.233904311872,137.225475841874,137.445422943662,138.530465949821,139.869517941283
"Philadelphia, PA",5,143.315951290089,144.14910220403,145.789281808239,145.155206938164,144.951664876477,144.192307692308,143.034825870647,141.723489764889,141.010101010101,139.433238457809,138.473601672765,136.145242764979,134.920634920635,134.895833333333,135.742558663095,135.740740740741,136.169321039396,135.532611720272,134.275127373784,133.328205128205,131.666666666667,130.514705882353,129.301217484801,127.771390462114,127.407407407407,127.857054653224,129.522431259045,129.555555555556,129.262926292629,129.132231404959,128.095644748079,126.923076923077,126.263132808188,125.617500209526,124.681933842239,123.703959661112,123.025641025641,124.585551330798,126.959573525952,128.310810810811,130.65139276609,131.208862648166,129.337899543379,127.512886597938,127.670278637771,127.264692925311,126.953125,126.373626373626,124.309392265193,124.722838137472,128.571428571429,131.415241057543,132.575568181818,132.396449704142,130.879461976203,130,130.15873015873,129.410546694702,128.676470588235,126.689189189189,125.282296360982,126.723183302715,129.757417224702,132.954545454545,134.508198508124,134.301005148504,132.65625,131.182184122178,130.730769230769,130.477734951855,129.795730835408,127.499314505073,126.524506949831,127.579737335835,130.402576489533,133.642914643863,134.722222222222,134.758568121046,133.79056540649,132.45,132.558139534884,132.136283961437,130.878438331854,128.069013157895,128.048780487805,129.667790456432,132.523148148148,135.671661350543,137.560511554016,137.931034482759,137.307692307692,135.609872993051,136.382710868653,137.5,136.58206257729,134.341397849462,133.598689831241,135.967688207861,137.713675213675,141.059027777778,142.698763122261,144.927536231884,144.81724137931,143.852583328617,143.480861244019,144.143386174636,143.340380549683,142.378559463987,142.419386169386,142.458333333333,146.410524530726,149.527559055118
"Houston, TX",6,81.0135135135135,81.6260744985673,81.9016393442623,81.9418162044589,81.8165286250393,81.652371330865,80.5160597560123,80.0415183867141,80.7036265378005,80.1247716236157,80.1890594936613,79.4517825641919,79.0275336848272,78.9800733642834,79.2857142857143,79.0436088433001,79.4548550201218,79.5340334488443,79.054441260745,78.8621262458472,77.6871935031202,78.4313725490196,77.953488372093,78.2677798016529,78.5768392822786,78.7156421623035,79.4886363636364,80.4402551511573,80.9137183842604,81.1032222829055,80.6584981433171,80.8510638297872,81.1977945443993,81.0663184841963,81.4176245210728,82.4743488555643,82.9092423771539,85.106577700466,86.2773172569706,87.100853619981,88.1368821292776,89.1732466326057,89.5738782221611,89.8305489064206,90.8108108108108,92.4114414883291,91.8849291541434,92.4747448979592,93.453029415091,95.4188544152745,96.7035928143713,98.8133394398983,99.4375132843729,99.8750780762024,100.326908249807,101.579273422738,102.971559333115,103.896619431656,105.122653167803,107.469484965764,109.576222211225,110.405204460967,111.291568350112,113.078765300692,111.705176399993,110.215185444367,112.333255324128,113,113.224299065421,114.160667253127,114.12843228419,115.629864263919,115.716414204122,113.517628970555,114.612875163114,114.68576024167,114.837268666241,114.814044695766,114.473684210526,114.259585720582,114.05419927944,114.51534733441,114,114.312116925978,115.04465171661,115.799492385787,116.151230004124,116.666666666667,116.863208174867,116.809464508095,116.286728543578,116.279069767442,116.908726438545,116.954474097331,117.298133030162,118.126632595116,118.530890804598,119.102604828463,119.910249000398,120.342553199783,120.524457892083,120.372767279317,120.044972771717,119.971826966694,120.12012012012,120.231772090777,120.46511627907,120.84145140276,121.466872413247,121.906784335356,122.105442176871,123.021273840852
"Washington, DC",7,182.226660009985,182.395788102475,186.369233891818,192.279163144548,191.947565543071,188.731563421829,187.312633832976,182.62987012987,178.571428571429,178.401522359657,176.923076923077,172.169628566772,168.161434977578,167.264918625678,170.815440248231,173.429319371728,177.469135802469,177.958683473389,177.258064516129,175.438596491228,175.628698224852,174.307789771148,170.940170940171,167.75245451716,166.498838109992,168.650793650794,174.628145077521,178.798,182.296137339056,183.056968797408,180.714285714286,177.959791511541,179.202586206897,178.788650377433,178.030303030303,173.339106143684,173.49537037037,177.231584356011,184.203289473684,191.831140350877,195.429945880938,196.755522169888,194.360131454992,193.602693602694,197.673944687045,196.465517241379,194.568301580867,189.256161971831,186.87707641196,190.783975750659,195.15873015873,198.807354925776,203.766590526898,203.843622597554,202.039204578451,199.55236689552,200.157427454555,199.935416666667,197.649572649573,192.622950819672,189.654731116585,191.600901916573,196.219801558801,200.757575757576,204.110648543312,203.699074074074,196.823021094403,200.127256717934,201.219271008664,201.207729468599,198.80701754386,196.829751131222,195.918367346939,200,205.304888384708,212.014819075794,213.263477433984,213.858392520364,212.574850299401,209.548104956268,211.647058823529,212.889668285663,211.68108776267,208.332638888889,207.164277660995,211.188167883874,214.758889430102,219.155844155844,221.023119392685,221.947195407331,219.933333333333,217.488195015769,220.679012345679,220.773136577187,218.487762237762,214.505367193499,213.235294117647,217.076586718012,221.874296689972,226.904761904762,227.19696969697,227.305936073059,228.09963616009,225.165562913907,227.701271186441,228.16110902249,228.758169934641,224.654377880184,222.517123287671,224.900622946396,231.7878569394,236.486486486486
"Miami-Fort Lauderdale, FL",8,151.696428571429,150.729335494327,147.236941710825,144.522421675249,144.399460188934,140.822272580123,137.692307692308,135.966929118087,133.136094674556,131.282051282051,133.333333333333,130.458860759494,129.094526076779,131.760760551894,128.947368421053,124.750356633381,126.728110599078,126.62559890486,127.193492155723,128.343959596192,130.208333333333,130.89321692411,132.278946388682,134.210429161599,133.422317138281,132.484769934367,134.605026929982,133.410672853828,132.548113668068,132.402503610977,136.80981595092,136.899747262005,138.888888888889,127.197620621282,129.27161334241,131.289979963492,135.135135135135,137.837837837838,139.92,142.378835132877,143.475274725275,144.416696785772,144.826626022307,144.383573347987,146.090033975085,148.607975921746,152.995323129252,153.792735042735,156.100848441209,157.495575210825,157.413702830649,158.861885002964,158.333333333333,160.229007633588,159.308147473828,159.411404046597,160.625,161.486486486486,166.752522475959,168.452711109287,168.539325842697,169.140625,169.266055045872,169.378900629397,167.964480874317,168.694690265487,172.552948266513,173.873517786561,174.712643678161,176.182168842481,181.937974142537,183.294528521537,186.579212916246,188.836701816052,188.758305608677,191.771269177127,192.824074074074,194.883040935673,196.309524640148,197.072931710336,199.791295157043,201.968450241803,203.577775512413,204.743083003953,204.706761299963,205.786879561804,206.064782908339,206.834066787471,208.333333333333,209.395434436995,209.483093664983,209.244222361024,211.699164345404,210.960108561242,213.99758411505,216.086416096247,216.239517793823,216.335141651597,216.862007641341,217.43811695866,217.391304347826,217.304347826087,217.367558711087,217.391304347826,218.824940047962,219.635309045233,221.822541966427,223.718114700766,222.591786176425,221.666024158314,221.057692307692,221.66321396863
"Atlanta, GA",9,92.8020750163049,92.677398708342,93.3727006617681,93.8756031546318,92.5096030729834,90.8602150537634,89.7632374418149,87.7090301003344,87.2874911925262,86.6738894907909,85.1457064172372,82.2389240506329,80.0075023996748,79.4646085115174,78.4960422163588,76.9096209912536,77.4334140435835,77.1887790194114,76.426236455194,75.6868938401049,75.2807743926648,74.6065950533884,73.2655502392344,72.0037453183521,70.9494324045408,71.5258855585831,72.1918616315228,72.0983202586304,73.5294117647059,74.7048903878583,75.9440006713297,75.4475703324808,76.9841126696693,78.5828206880838,78.8034066517042,79.4628246105202,80.0641025641026,82.2784810126582,84.2198581560284,86.6935483870968,88.660197158477,90.045045045045,90.4977375565611,90.3322565759114,90.8080808080808,90.6593406593407,90.3112449799197,89.1942268775296,89.1724479682854,90.8105765062852,92.4560408394782,95.2380952380952,96.5535248041775,96.8912433397667,96.4912280701754,96.1898028953699,96.0430272762197,95.28125,94.2713251495121,93.9166253686602,93.5673202614379,94.8928798474253,95.3075552492264,95.9287829203678,97.7275729554461,98.5975607438629,97.0030185424752,97.1812439261419,96.8901453957997,97.2079836303332,96.5714285714286,96.0644561512241,96.2705438666137,98.4878631118185,100.732600732601,102.985277166796,104.722852787028,104.946619217082,105.28566234496,105.553526499472,105.224650731937,106.220657276995,105.827837819096,104.920591266867,104.79797979798,106.978658559931,110.080474375265,112.238023952096,113.365929438083,114.35979052524,114.605543710021,114.444444444444,114.617274617275,115.418397968606,114.655923824449,115.08799853161,115.952473138594,117.237825302757,120.356330014225,123.079150794181,124.21875,124.742268041237,124.934793948878,124.32752193585,124.843945068664,124.928713716562,125.134168157424,125.118842826555,125.582944703531,125.357756153406,127.72661173049,131.111111111111
