"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,160.420944558522,159.160636758321,158.333333333333,157.765780730897,157.894736842105,157.022619673856,156.689698492462,155.342323651452,154.121983914209,153.266331658291,152.603231597846,150.966183574879,149.761594742063,150.165264796115,149.69641771677,149.332909514728,149.493885119595,149.065615001862,148.769841269841,148.185483870968,148.926237161531,148.60040161561,147.596384178812,147.530864197531,146.827262044653,146.979173287496,147.338247338247,147.26430976431,147.33395696913,146.853146853147,147.202591283863,146.626761301948,147.736625514403,147.65625,147.02868852459,146.980224478888,147.056659308315,147.699757869249,149.125514403292,150.545999426184,150.799947547863,151.112282232945,150.856443719413,150.66178541256,151.515151515152,150.929152148664,152.522935779817,151.79625569236,152.036082474227,153.125,153.766411116435,155.537752796153,156.391489624191,156.823529411765,156.487695749441,156.017164033548,156.768558951965,157.21095300807,156.955380577428,156.903914590747,157.048172345938,157.407407407407,158.029612756264,159.833552343408,162.022900581926,162.287712287712,161.55453513891,160.917381974249,161.055555555556,162.517599247865,162.776162790698,162.533875338753,162.621359223301,167.308263673988,168.542531120332,170.317888510142,170.62440147592,170.140277750078,169.84238178634,169.931900815181,171.542827657379,171.681849860613,172.444262002574,172.268359643102,172.991071428571,173.831775700935,173.864853447716,174.7542997543,175.432525951557,175.328947368421,174.513715710723,173.913043478261,174.748500020429,175.56060938493,175.56492873069,175.416233541234,175.987565758011,177.796119852215,179.666666666667,181.849432794775,182.716049382716,182.76338945353,183.006535947712,183.019878507913,184.813304047694,185.86027215779,186.799276672694,186.940461795143,187.353878429835,188.781014023732,189.072220719502,190.732206861239
"New York, NY",1,334.009514013885,332.593680709534,333.931575133748,331.709145427286,337.022611525061,334.939759036145,332.666666666667,329.106892632115,336.538461538462,339.076246334311,341.198979591837,340.340909090909,341.328413284133,336.520947176685,340.25543999026,333.704528582034,329.962925513987,327.902240325866,326.795295640376,325.301204819277,326.278997935396,328.196347031963,332.777777777778,337.567567567568,338.398893387267,339.363438520131,336.00896023894,346.002151308713,345.955394208306,341.530054644809,341.593721238492,341.28353060132,346.433289299868,351.213519502789,347.816972175933,351.178005813974,356.994585174847,354.814814814815,354.330708661417,346.688034188034,342.558551198257,339.79057591623,337.885985748219,339.351256967608,345.018723685362,349.462365591398,373.782771535581,376.082251082251,388.478884788848,379.713223579395,375.362382340324,372.666666666667,379.117659901986,397.329783852511,391.1227154047,394.278561864458,397.143867457609,411.995030893479,414.074074074074,434.782608695652,462.5,443.154761904762,429.800724637681,415.597920277296,409.606523544987,409.271769347779,409.03843407901,415.026078605275,422.222222222222,434.974758459838,446.775761707351,461.980463512737,513.092589423242,506.904212142076,458.365164247517,470.826318742985,446.428571428571,444.969478758842,447.019867549669,452.733313198429,462.962962962963,476.190476190476,493.517975263535,514.242283402138,526.323083206909,524.347826086957,502.494525729073,497.782000196773,490.580847723705,490.981641141214,492.726419521351,491.210547343188,503.074864063065,516.379310344828,535.658585801439,553.780964797914,566.666666666667,521.721003331508,484.116846193889,483.601075268817,478.580990629183,472.980501392758,475.041401984206,478.275335797415,492.598684210526,504.00641025641,515.795868772782,533.717105263158,541.779414138868,530.81639238464,521.651579147189,520.888815699075
"Los Angeles-Long Beach-Anaheim, CA",2,405.75296108291,398.514492753623,404.626306058682,402.829028290283,402.490997239944,397.737556561086,392.291694324201,389.995759117897,389.883833552732,387.337057728119,387.450756007889,385.004554487359,382.060251725678,384.670015345557,382.091592617908,375.601285506946,377.316076294278,377.098132585244,376.679232350925,376.11524822695,375.664533902071,373.864430468204,373.894138403185,373.46002621232,372.308733920108,372.123815967524,370.593692022263,372.356398952144,374.539682539683,376.5207253435,378.885244902514,378.347107438017,380.743034055728,386.215092097445,388.531618435155,389.063482086738,397.989107666527,398.755656108597,407.937336195344,418.460066953611,422.318125770654,423.893268647665,425.24901287724,424.721734036321,428.365631204894,429.527954469367,431.937172774869,433.059649595083,436.423841059603,438.954675377705,448.453608247423,448.825974609594,449.985371562317,448.544490082068,446.808510638298,445.663990706889,452.813067150635,457.977675640184,456.989247311828,462.040332147094,453.757225433526,468.622656886716,469.853295611349,479.92700729927,481.525157232704,480.180676309668,481.829573934837,485.662619478171,490.440181726401,497.251037486924,502.751572327044,501.202118091473,509.997437211686,518.743947987273,512.032642089094,514.104400413782,514.710104938218,518.135355242407,517.861077021941,517.687595340704,524.775632264464,532.349264167294,541.40127388535,546.113306982872,551.787996913153,549.109665057877,551.178971781987,551.931761164074,555.222988425052,563.373928732521,564.422277639235,560.807719286449,566.913512148418,572.962548785953,579.767672199847,586.516001530027,589.969501620943,590.44551798175,597.560975609756,600.567648042824,597.652081109925,600.600600600601,599.325337331334,603.627432147905,606.410885365842,614.490772385509,622.722914669223,627.545327754533,629.645320900527,631.737189284852,629.245465840385,621.146871263452
"Chicago, IL",3,211.814621409922,210.403073532521,209.699920550294,210.042758008128,207.484113127317,207.581573670683,205.745825880507,204.439252336449,200,200.140472291332,198.944344003531,197.108644859813,196.071428571429,196.003016591252,193.262214739928,192.549274420619,190.86637298091,189.330531061189,187.96992481203,186.114352392065,185.638329979879,183.374083129584,181.985083932357,181.103678929766,180.52367653076,181.146025878004,179.151111893552,180.692307692308,180.845892075839,180.499433106576,177.154866829712,175.608108108108,176.003499345446,175.17523364486,176.221804511278,175.70281124498,175.686591276252,177.654483430799,180.209084354722,182.211837422153,183.605931637856,185.32249873032,186.117021276596,185.772559035294,188.260869565217,187.215765538151,187.018140589569,186.214775323686,186.232909005186,188.781014023732,190.875018271838,193.688410194175,194.30423122133,195.3125,194.668537355314,193.62292051756,194.375,194.982079908588,194.104960460101,193.05468969972,193.082931557886,196.526867627785,197.321261073476,197.916666666667,199.591024201597,200.900744573448,200.740055504163,199.640719528918,199.747687132044,199.666666666667,200.12706480305,199.677419354839,200.762829403606,203.351324828263,204.201794634179,204.359673024523,205.084661201682,206.133952214321,205.9375,205.119542972228,206.406429391504,207.288676236045,208.847184986595,208.904126726767,209.945990993878,212.5,211.952971913782,211.788602724521,212.268448223504,212.198356731578,211.786812435941,210.335164521121,210.611332007952,211.249140067795,211.557243624525,212.226741140772,213.124808341,215.414529049832,222.186044595136,225.390271493213,224.190264923186,223.333333333333,223.681757220896,222.8,224.840394660476,224.973118030386,225.71505634044,226.017076845806,227.872361224731,230.284552845528,228.502061248528,226.93923669561
"Dallas-Fort Worth, TX",4,114.883237597646,114.808099123602,114.920874152223,114.332910709636,113.911778962676,113.39229311434,113.347733559143,112.278069517379,109.892200822433,109.154883035565,108.883511925337,108.157894736842,107.287186464815,107.632028711398,108.08523973676,109.574937896771,109.605341822072,109.041223746215,108.898678922427,108.923848684211,108.695652173913,109.016806272827,108.950411496014,109.064577397911,108.957345971564,108.851192319914,110.191069257713,112.073375974766,112.352218640863,112.437975521006,111.566742081448,110.96794837887,112.010311539852,112.212708427219,112.5,113.151927437642,113.041408852927,113.338044866251,114.391143911439,115.236633769264,115.403178546839,115.411255411255,116.222167849278,116.743544142157,118.481700333334,119.186531585221,119.913627639155,120.410783055199,121.218649517685,122.238586156112,122.302632329908,123.249879634088,123.238068602206,122.458410351201,124.0377752059,125,125.889162561576,127.853036208621,127.624102113472,129.879831113998,130.866050808314,131.017535702458,133.464566929134,133.497133497133,132.740899357602,132.66860688425,132.696390658174,133.398252265853,134.410884755698,136.313432835821,136.690647482014,137.040547453142,138.095853523891,139.514611560711,140.431692620002,141.62633107454,141.972367794188,142.086049543677,142.500169090294,143.119325993787,144.300582611409,145.380748505941,145.823035096391,146.878442893867,147.718773373224,148.492568370987,148.914689550732,149.009874198699,148.945921173236,148.557435157914,148.510208816705,148.648648648649,149.73473991617,150.493171125247,150.760935910478,151.140434736648,152.512798799972,153.152875175316,154.821707229588,155.217965653897,155.555555555556,155.343985796715,155.259582726832,154.903017241379,155.701058922533,156.52348454436,157.006727534839,157.226024955437,157.235246564268,157.449725776965,158.538445905323,158.988972597795
"Philadelphia, PA",5,173.422482239866,174.072331154684,174.366428145498,173.133023408475,173.557692307692,172.91590826356,172.438722960954,171.39243675976,170.886752136752,170.585523282619,169.543154617588,168.918918918919,168.397940384312,167.739227756016,168.318058875793,167.96,167.595960538042,166.372980910426,165.255220417633,164.901059364381,164.384288747346,163.934426229508,163.888888888889,163.461538461538,163.015384615385,162.943976565361,163.722084367246,164.572884012539,163.95592864638,164.307346541406,163.513342737906,161.753222628549,162.689804772234,163.892391761244,163.930375738294,164.321862348178,163.978523063902,164.512268102932,165.870781823436,165.633176476631,165.91233997155,166.378378378378,165.727310401989,164.790815901325,165.651683521282,166.323556399783,168.269230769231,166.617647058824,166.611111111111,166.091205211726,168.542639360838,169.491525423729,170.26815423762,169.961458590853,169.000658115581,169.897810218978,170.411764705882,169.704333738356,169.592452839299,169.860100530774,168.042047402057,168.952197006277,171.020557257157,171.867272546475,172.835072986496,172.182993338166,171.56862745098,172.071129707113,171.22834853894,172.885065951687,173.395768296913,172.792502628697,172.31308411215,172.286487816884,173.156853043048,175.151798225128,176.056117957746,174.37984496124,174.717368961973,174.334744506864,174.653968642822,175.51867219917,176.569858712716,177.527877665177,178.559523809524,179.843953185956,180.560678716341,181.102691820562,181.999831543291,182.352941176471,182.161999802112,181.852791878173,182.890115403914,183.110979181369,183.946255817108,183.574795336145,184.144522144522,184.323333333333,185.529018118304,185.733368963229,185.067859346083,186.054569982331,186.436555199267,186.651583710407,187.892836123514,188.833333333333,189.168745351118,190.142630744849,190.836008170411,191.484973482616,192.260787992495,192.924722336487
"Houston, TX",6,114.897263422367,114.329282225586,113.509174311927,113.342538708158,112.726098191214,111.960431654676,112.139052425007,111.695026615292,107.133170599403,106.759420289855,106.349642660803,105.785512699906,104.479166666667,104.733820455931,105.303896609545,106.958394748623,107.298374731677,106.630547537395,106.19923964025,105.49875,106.557363710334,107.494516739897,107.142857142857,107.23024472588,107.183263087079,106.357109002952,107.395553136132,107.758620689655,107.914183633788,106.972586412396,106.850582012179,107.121939510322,108.588027279616,108.588027279616,108.861386138614,109.493109731122,109.975118188604,110.160132523468,111.572791628193,112.859425255136,113.477350792577,114.557779212395,115.181219110379,116.09931918302,117.686874632137,117.169811320755,118.592991913747,118.60265941372,119.525235243798,120.739088881809,120.114757632665,123.538929112556,123.739374124241,124.521072796935,125,125.51175886055,127.391826923077,127.935457006038,128.444444444444,130.174034110686,131.114820571842,131.814094775213,132.676443629698,133.611176818451,133.199296305604,133.2573147534,132.985924627027,132.817627586254,133.699341877381,133.61672780631,133.92171076477,134.422802850356,133.439344262295,137.316298058001,137.065792197204,137.290854916342,137,136.22124608674,135.553652578175,136.861313868613,136.734965902046,136.525812560706,137.092355322819,136.809499225607,138.252609955938,137.48757007007,137.306835066865,137.017701882889,136.630923555863,136.004983388704,135.957500797203,135.224274406332,137.146563302245,136.812101011757,137.392138063279,138.159229208925,138.277052008874,139.151497077198,140.134757032256,141.631547766079,140.735694822888,140.315358250433,141.366292487372,142.686666201513,143.283986405876,143.396783176239,143.692688347763,143.852663016426,143.807891071265,144.459604066346,144.400722021661,145.504731861199
"Washington, DC",7,264.623232850402,264.58112407211,272.047000618429,273.780487804878,272.92368969702,272.767267927849,272.920017020631,264.445754716981,262.053571428571,264.255665057656,262.054507337526,257.868421052632,254.398148148148,255.834186284545,258.925818032015,262.669962917182,264.60597826087,261.584454409566,262.832145660002,258.789345606442,263.103070175439,261.904761904762,258.05564516129,250.794296949698,249.845029266761,252.873563218391,258.48599137931,263.574064312072,265.80320896965,265.260491431756,263.815306910398,258.894502093174,265.548281505728,269.216196917054,266.247768895656,263.660925273718,261.715248536003,260.593220338983,269.943593875907,276.550563597745,275.976418570376,275.571752870027,271.182503506311,269.797953222654,277.741347513664,280.878024797575,277.350427350427,268.456980327092,262.091202210963,264.156200829559,268.966896182075,272.807835820896,274.356103023516,275.501002004008,271.853311805824,264.788516571546,270.854271356784,272.674860901863,267.547552937823,262.305613816299,254.626308994405,261.641443538999,265.940607664101,269.694289999355,275.515544562828,276.595744680851,273.787019533711,271.14406779661,277.009579926247,280.011325028313,280.119112862536,273.615544157364,269.273115301635,278.308849111088,280.641088323329,285.793562708102,285.318771697582,285.763126568006,285.810810810811,283.603986563811,286.947278911565,290.212443095599,291.783380018674,290.905172413793,293.953059679384,298.183254344392,295.004489103219,293.841090738129,295.602662748834,297.819532726881,296.229318968834,291.724519940916,299.729897651577,304.898183819483,303.475397578581,301.433389544688,300.754099287972,303.141660015962,301.720740423315,307.229634831461,308.805617782645,308.056872037915,312.573789846517,311.565249266862,320.93488289401,325.61865805925,329.968944099379,333.092612482176,335.051546391753,337.98,333.277777777778,333.586626139818
"Miami-Fort Lauderdale, FL",8,221.701393929549,218.89400921659,213.744152282626,211.875,215.773724277461,213.333333333333,209.847596717468,210.589651022864,209.96150705704,211.644951140065,214.089301834454,211.873793436293,209.919250865886,217.155266015201,205.435341579111,200.467289719626,202.095882456893,200.728104229322,200.607902735562,200,204.545454545455,207.721359630718,211.292613636364,217.17067714993,210.114388922336,206.611570247934,206.810344827586,215.979214030529,217.532430814065,213.953488372093,217.391304347826,215.197255574614,223.356821034235,219.936516069608,221.09375,227.773406766326,233.366434955313,234.543010752688,234.453781512605,235.602566762602,227.436823104693,231.258423180593,235.294117647059,230.702263493906,233.324280485015,239.520958083832,234.741784037559,248.263888888889,254.125662151549,255.023547880691,251.189846641988,254.684259597533,254.550326415278,249.928205128205,248.834546806981,252.255264984957,256.97503671072,262.35587431694,268.693382465838,276.386711947057,275.800711743772,275.434243176179,264.459247648903,270.98121085595,276.735594042825,272.435897435897,268.817204301075,273.44398340249,276.166893578398,279.529663281668,288.856841205333,293.88191333218,302.547770700637,308.462093592662,306.162373655037,305.087891560494,302.962962962963,305.785910267629,306.395229282336,302.962962962963,308.988764044944,315.812724098385,322.58064516129,329.307875894988,328.925619834711,333.333333333333,330.080906789049,327.44874715262,324.443357762508,324.347093513058,320.430600091617,321.133624646124,326.703704228902,327.322404371585,335.438042620363,340.436186604596,340.415019762846,340,340.971085651937,340.161227661228,336.721696504689,335.202613088926,334.871968596121,336.236933797909,344.71853257432,346.497082267869,351.576303003534,354.84609476545,357.199681782021,353.474471902663,350.376330132364,344.827586206897
"Atlanta, GA",9,130.724861739568,129.52594691067,130.411536357355,131.10416165504,129.500863344845,128.258226585707,128.815818645383,127.834056922335,127.012754687173,125.439146800502,124.28083861531,123.435845747758,121.901443504231,121.520951888257,119.953188999415,119.520073834795,119.328555591149,118.387131622159,117.328021638527,116.889201218084,116.555300762816,115.295926210607,114.378337147216,113.926510446809,113.425349457579,113.636363636364,113.428002540799,113.732097725358,114.144428354002,114.929449248976,114.796914949551,114.00651465798,115.266393442623,115.810774190876,116.848571849075,116.602854159415,116.627265563436,117.106828455865,118.747098201358,120.192307692308,122.492567549683,122.949355971897,122.915756483812,123.010397362551,122.745940791798,122.824592515841,123.634865031939,123.525557011796,123.896511049601,125,125.129491903381,128.344594594595,128.125,128.375438101287,128.480392156863,128.314597546188,129.822053108558,129.905432672079,128.12902360515,129.739952718676,130.665722379603,132.10521298717,132.476001002529,133.061527057079,133.282051282051,133.762286651907,133.01815310169,132.391879964696,131.873727087576,132.51983723296,132.872440454727,132.332604351111,132.887088974855,136.148936170213,137.651991614256,140.140186915888,140.794223826715,139.524031731218,140.738498789346,141.715797542883,142.271540469974,144.654214443164,145.371518652942,145.005980861244,146.037327562889,148.545388909616,150.204474078961,150.488201790073,150.694168980563,150.176015019948,149.693561168291,150.297864980989,151.360687706831,152.506596306069,152.076431371634,153.033754400497,154.441260744986,154.405360134003,158.088649777837,159.620362381363,159,159.67332123412,161.08913511478,161.987597263143,161.904049135326,163.22107369123,164.221188064604,165.287126767235,166.283672474973,164.812493879683,165.004274722143,167.175196850394
