"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,89900,90000,92000,92900,90000,89900,89900,89900,89900,89900,89000,85000,84900,79900,83500,83000,84500,84000,82500,82000,80000,79900,79900,79000,79000,78451,79000,78450,79000,79000,79000,78000,75900,77000,76000,77500,78900,79400,79900,79900,80000,81500,82000,83900,84900,84900,84900,84000,84900,85000,85000,88000,89900,89900,89900,89900,89900,89900,89500,89000,89900,89900,89900,90000,95000,95000,95000,95999,98000,96900,95400,95000,94950,96500,99000,99900,102900,105000,108579,109000,109500,109900,109500,107000,106500,109800,112000,115000,119000,119900,120000,120000,122000,123500,121000,119900,120000,124000,125000,129900,130000,134800,135000,135000,137900,138900,139000,137500,139000,139900,142900,145000
"New York, NY",1,219999,220000,220000,222500,224757,224500,220000,222527.5,220000,219000,209990,209000,2e+05,199000,199900,199500,199500,199000,199000,199000,199000,194900,189000,189000,185000,185000,185000,185000,185000,185000,182000,180000,180000,179900,179900,179900,179900,180000,180000,183000,182000,180000,180000,180000,184900,184900,184000,184900,185000,188000,189000,189000,189900,190000,190000,193500,194900,193000,190000,189900,189900,189900,190000,195000,194900,196000,199000,199000,199000,199000,199000,195000,194900,194900,195000,199000,199000,199900,199900,199900,199900,199900,199900,199021,199900,199900,2e+05,209900,210000,215000,219000,218888,219000,220000,220000,224900,222577,225000,227900,229900,234763.5,238105,239000,239000,239000,239900,239999,240000,248000,249000,249900,250000
"Los Angeles-Long Beach-Anaheim, CA",2,220000,223000,225000,225000,228900,229000,229000,230000,229900,229000,229500,229000,225000,219900,223900,220000,220000,220000,219000,216900,215900,213395,209900,209900,208000,207000,209000,209900,214900,210000,214900,215850,215000,220000,220000,225000,229900,233000,239000,245000,252900,262350,269000,275000,277000,279900,280000,280250,280000,284900,280000,290000,298900,299000,299900,3e+05,299900,299900,299980,299900,305000,3e+05,309000,315000,320000,324900,325000,329900,330000,330000,325000,335000,339000,339900,344900,349000,349900,350000,350000,359000,359000,359900,365000,365000,365000,369000,370000,375000,383000,385000,385000,385999,389894,390000,395000,393900,399000,399900,4e+05,4e+05,409000,410500,409900,415000,417250,415000,414939.5,415000,419000,419999,420000,420000
"Chicago, IL",3,107900,109500,109900,110000,109750,105000,104900,104900,104900,99900,99900,97900,94000,87900,90000,89900,89900,89900,87900,85900,85000,80000,79996,79900,79000,77000,77000,75333,75000,74900,74900,74900,75000,74900,75000,74900,74900,74900,74900,75000,75000,75000,75000,78000,79500,79829,79500,79000,78500,79000,79900,81000,84900,85000,85500,86900,88000,87500,87500,87500,88000,87900,89000,89900,93200,94725,94900,94846,94900,94500,93000,95000,95000,95000,96900,99000,99900,99900,104900,104500,104500,104500,103490,101000,1e+05,103923,107990,109900,112350,115000,115000,115000,115000,115900,115000,115000,115000,117900,119900,124900,125000,125000,126000,126000,125900,125900,125000,124900,125000,127000,129500,129900
"Dallas-Fort Worth, TX",4,79500,79900,79900,80000,79900,79900,79900,79900,79900,79900,79900,79000,77900,75000,76500,75600,76000,76400,75000,75000,75000,74900,72000,71900,70200,72000,73800,74000,74900,74900,73949.5,72500,71000,72000,72000,72375,72550,72999,73000,74250,74000,74900,75900,76000,76925,77000,76000,75000,75000,76500,78500,79000,79999,76000,75000,80000,79900,79900,78000,78500,79900,81000,80000,84000,85000,85000,89400,89900,89999,90350,94000,95000,94500,95000,95000,99000,99900,101000,109000,109900,109900,109900,110000,110000,110000,115000,119992.5,123000,129000,129500,129900,130000,130000,130167.5,135000,135000,135000,139500,139900,145000,145000,145000,149900,150000,150000,150000,155000,155000,156900,159549.5,160000,165000
"Philadelphia, PA",5,102600,1e+05,104900,105000,104900,105000,105000,105000,105000,105000,105000,1e+05,99900,99800,99900,99000,99500,99000,99000,95000,95000,94900,92500,91800,92500,89900,89900,89900,89900,89900,89900,89900,89900,89900,89585,89899.5,89000,89000,89900,89900,89900,89900,89900,89900,89900,89900,89800,89870,89000,89000,89000,89900,89900,89900,89900,89900,89900,90000,89900,89900,89900,89900,89900,89900,89990,89900,89900,89900,89900,89900,89000,86800,86000,88000,89000,89900,89900,90000,90000,90000,90000,90000,89900,89900,94900,95000,96900,99000,99900,99900,99900,99500,99999,1e+05,99900,99900,1e+05,1e+05,103500,108886,109900,110000,114900,114400,113000,114021.5,113900,112472,115000,114900,117176,119900
"Houston, TX",6,80000,80000,81500,82800,82416,81500,79999,80000,80000,80000,79900,79900,77000,75000,75600,76000,77000,77000,76500,75500,75000,75000,72900,74900,74000,73900,73900,72900,74000,74000,74370,74500,72900,72500,73500,74000,74900,74900,75000,74900,74900,75000,77900,79900,79000,78900,78900,78900,78000,79000,78950,78000,78900,79900,79900,80000,79900,79900,79900,79900,84900,84900,84990,84000,85000,89900,89900,89900,90000,91990,90000,90000,91900,94900,98900,99900,1e+05,104694,109900,109500,107000,109000,110000,108850,105000,107850,112000,115000,117900,119668.5,119900,119900,119900,119900,119853,119900,119000,118500,119000,120000,125000,125000,125000,125500,125000,126000,129000,129072,129819,130000,135000,135000
"Washington, DC",7,174990,175000,175000,179000,175000,175000,174900,174999,174900,170700,169000,165000,160000,154000,159867.5,159000,159900,159900,159900,159900,159900,159000,155000,153000,150900,154900,155000,157500,159900,160000,159900,160000,160000,163000,161400,160000,168000,169900,170000,174900,175900,179000,184000,185000,189900,189900,190000,189900,190000,194900,195000,195000,199900,2e+05,203150,205000,2e+05,199900,199900,199900,199900,199900,199900,199900,199900,199999,189010,2e+05,204999,202000,199999,205000,209849,210000,215000,219900,220000,222900,224750,224900,224900,224900,224500,227000,225000,229000,230000,234900,235000,237000,236000,237500,237500,239900,239900,238500,238500,239900,240000,245000,249900,249900,249900,249900,249900,250000,249990,249900,249900,249900,254900,255000
"Miami-Fort Lauderdale, FL",8,64900,63990,64500,64900,64226,62000,62000,63900,63000,62237,62980,59900,59900,55000,59000,59000,59500,59900,59899,59900,59900,59000,59500,59000,59500,59400,59900,59900,59900,59900,60000,60000,63899.5,64900,65000,65000,65000,65000,67500,69000,69000,70000,70000,72900,74999,74900,75000,75000,79000,79000,79500,79777,80000,82000,84900,85000,86500,88500,88900,89000,89900,89000,85000,85000,90000,90000,89000,89900,92000,92500,99000,99100,99900,1e+05,104900,105000,106000,109900,112000,115000,116000,118949.5,120000,120000,123500,124900,125000,125000,125000,125000,129000,129350,129900,130000,130000,130000,130000,135000,136843.5,137000,139000,139900,139999,140000,145000,145000,146500,146500,149000,148888,149000,149000
"Atlanta, GA",9,69900,69900,69900,69900,69900,67000,65000,66828,67500,65000,64900,64000,62000,59500,59900,58000,57600,57000,55000,54900,54000,50000,49900,49900,49900,49500,49000,48900,48500,49500,49500,49500,47000,49500,47900,50000,52000,53500,54900,55000,57277,59777,59900,59900,60000,62900,64000,64900,65000,65000,65000,68000,69900,69570.5,69000,69899.5,68000,69900,69900,69900,70000,71900,71500,73000,74900,75000,73500,75000,76000,77000,75900,79900,79900,79900,79900,80000,80000,84900,85000,85000,90000,89900,93000,94900,95500,96000,98499,99000,1e+05,1e+05,103500,105000,107990,108000,109000,109000,112265,114900,116995,115000,119000,120000,124900,124900,125000,125000,127500,129900,129900,130000,135000,135000
