"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,384900,379900,379000,375000,378000,375000,375000,374000,369900,366990,364999,359204,354900,355000,350000,350000,350000,350000,350000,349900,349900,349900,349900,349900,349900,349900,349900,349900,349950,349900,349900,349900,350000,350000,349900,349990,349900,350000,357500,359900,359900,359900,359900,359900,363900,361000,368900,365000,369000,370000,374000,375000,379000,379000,379000,379000,379900,379900,381990,384700,385000,385000,388710,389990,397000,399000,398500,397900,399000,399900,399900,399900,399900,409000,410000,419000,419000,419000,419000,419000,423800,424900,425000,425000,425000,429000,429000,429900,433092,433000,429900,429000,429999,433995,434900,434900,435000,439900,445000,449500,449900,449900,449900,449000,450000,452999,459000,459000,459900,464000,465000,469500
"New York, NY",1,735000,729000,725000,724900,725000,725000,725000,725000,725000,728000,730000,729000,725000,715000,724900,722000,715000,717000,719000,716350,709000,719000,725000,725000,729000,729000,729000,745000,749000,746000,745000,739000,749000,750000,750000,750000,759000,759000,759900,759000,759000,759900,759000,769000,777000,789000,799000,799900,825000,799000,799000,799000,824990,835000,828000,832000,849000,879000,885000,899000,899900,899000,890000,875000,875000,869000,865000,869900,889000,899000,899900,915000,965000,968000,925950,940800,918000,910000,909900,9e+05,930888,949000,950000,979000,980000,990000,975000,979000,979900,980000,979000,975000,995000,998564,999000,1029000,1025000,1050000,999500,999000,995000,990000,988894,979900,995000,995000,995000,999000,999000,999000,999000,999999
"Los Angeles-Long Beach-Anaheim, CA",2,949000,934950,9e+05,899000,899000,899000,899000,898000,890000,884850,885000,879000,869000,869999,865000,849000,849900,849000,849000,849000,839000,839000,847750,849000,845000,849000,849000,850000,859000,875000,879000,879000,890000,899000,899999,906500,939000,945000,955000,979000,995000,995000,999000,998000,999500,999900,1015000,1050000,1050000,1058000,1059000,1079000,1074000,1055000,1050000,1050000,1088000,1098880,1100000,1100000,1100000,1149000,1149000,1183500,1189997.5,1188000,1189000,1195000,1199000,1199000,1200000,1225000,1250000,1260000,1249900,1245000,1250000,1250000,1250000,1268000,1277000,1298250,1299800,1329000,1349000,1349000,1349000,1330000,1349000,1378000,1385000,1385000,1395000,1399000,1406950,1450000,1488000,1479000,1490000,1480000,1450000,1468000,1458000,1483997.5,1495000,1498000,1499000,1500000,1499999,1499000,1498000,1490000
"Chicago, IL",3,425000,425000,424900,424849.5,418900,419000,418500,409900,399900,399900,399900,399000,399000,399000,389900,389900,389900,385900,385000,384900,380000,379000,375000,375000,379000,379000,375000,379000,379500,379000,375000,375000,379000,379000,379900,379700,379900,385000,389000,393000,395000,398000,399000,395000,399990,399900,4e+05,4e+05,405000,409900,409000,409000,409000,414400,409900,409900,418000,419500,419000,419000,419000,424900,424900,424000,425000,429000,429000,429900,430245,434000,437700,439983.5,440000,449000,447900,445000,445000,449000,449900,449900,450000,450000,459900,467800,469000,469900,465000,464900,465000,464900,460000,455000,459000,460000,465000,469000,474999,475000,474900,479000,475000,475000,475000,475000,475000,475000,475000,475000,479000,479900,476300,475000
"Dallas-Fort Worth, TX",4,343629.5,340000,339900,337900,339000,335000,332900,329900,324900,324900,324900,320000,319000,318000,318900,324900,325000,323900,320000,320000,317000,319000,319900,319900,319000,319400,325000,334900,335000,336990,330192,329900,330000,335000,339000,342900,340000,339900,342990,345990,349000,345000,345000,349000,349900,350000,350000,355961,359900,360000,359500,362945,362945,360000,369900,371599,374900,379500,379990,392278.5,394000,395000,399950,399900,399000,396987.5,395000,395000,398000,399900,399999,4e+05,410000,410000,415000,417820,415000,416000,417000,418990,420000,420587.5,425000,426990,428422,429900,429900,431990,435000,434900,435000,431990,435000,435000,433445.5,435000,444226,441363,449000,449900,450000,450000,449900,444900,447441,449900,449900,449900,449900,449900,453990,454618.5
"Philadelphia, PA",5,414900,415000,410000,409900,416750,419000,409900,406000,4e+05,404000,399900,399900,399900,399000,399000,399000,399000,393000,389900,389900,389900,389000,389900,389900,389900,389900,389900,389900,392000,393545,389900,389500,389900,391900,395000,395945,395000,395000,399000,395000,395000,394990,393000,395000,398000,399000,399900,399900,399900,399900,399900,399900,4e+05,404900,399900,407900,409900,404990,409900,414900,4e+05,404900,409900,409900,419900,419900,420000,425000,420000,424990,425000,424900,420000,425000,424997,429000,434900,429900,430000,429912,435000,437947.5,439900,447899.5,444900,442500,440000,449900,450000,450000,455000,459990,459900,456900,458945,459000,455900,459000,459900,459000,450000,454900,459049,459900,459900,459900,460000,464500,464450,464990,464900,469900
"Houston, TX",6,337900,334900,329900,329900,330000,329900,329000,325000,319500,319000,315990,314990,308950,309750,310000,315000,315959,314000,311900,311106,309000,309525.5,308633,309968,309000,308694.5,310000,310000,310000,310000,310000,310000,315000,315900,316950,325000,325456.5,326898,329990,334900,335000,339000,339500,340000,349202,349900,352080,355990,359900,361990,359000,368990,369990,372990,375000,375000,384371.5,385337,387312,394900,395900,396000,399000,399990,399900,399223,399900,399900,399900,399999,399990,405000,402990,402512,4e+05,4e+05,399999,399990,399900,399990,399917,399900,399900,399900,4e+05,4e+05,401990,401997.5,401990,399998,399900,399000,399900,399405,399900,399990,399950,399990,399999,406251,405677.5,405000,404900,404000,408997.5,407990,408000,405000,4e+05,409000,409900,412600
"Washington, DC",7,650000,649000,639900,639900,644000,644900,640000,634900,628990,630000,629970,629000,625000,625000,625000,629000,632500,629000,625000,625000,629900,625107,625000,619900,639900,649000,649000,649000,650000,650000,649900,649900,650000,675000,674900,669990,669990,669000,675000,675000,680000,685000,679990,689000,689999,699000,699000,699000,695992.5,695992.5,699000,699000,699000,699000,697417.5,685000,690900,694900,692950,685000,684500,689495,695000,699000,699000,699999,699900,699900,699999,709000,709990,704900,704990,715000,719000,720250,722500,724900,720000,724000,725000,729900,739990,742250,749900,749900,749000,749000,749999,749900,749900,749000,749900,755000,750000,759673,759500,759945,750000,759900,759000,755000,760000,759000,769000,765000,775000,795000,794200,789900,790000,790000
"Miami-Fort Lauderdale, FL",8,450000,450000,449000,439000,439900,435000,430000,430000,425000,425000,425000,418650,415000,420000,407000,407900,410000,411000,406760,405000,409000,415000,415000,419900,424900,425000,425000,429900,440000,435000,435000,440000,450000,435000,439000,439900,450000,449900,450000,450000,449965,450000,469000,450000,459000,469000,467000,477950,480000,487000,479000,485000,489000,485500,485000,489000,489900,498894,499000,499999,504900,508000,509850,525000,519900,520000,525000,529900,529000,530000,549900,550000,567995,569900,569000,575000,574750,579900,575000,573000,579900,589000,595000,599000,599000,619000,609949.5,607000,610000,615000,6e+05,6e+05,619000,619250,629999,635000,635000,639900,640000,645000,639000,640990,640000,639000,649900,649000,650000,659900,665000,661428.5,660000,659000
"Atlanta, GA",9,350000,349900,349900,349900,349900,345000,345900,349000,339900,339200,339000,335000,329900,329900,325000,325000,325000,323310,320000,319900,319000,309000,3e+05,3e+05,3e+05,3e+05,3e+05,310000,315000,319900,318110.5,312550,314900,316000,320000,320315,320000,324900,325000,328900,339000,339900,339800,339500,339500,340000,342820.5,345000,349000,349900,350000,359900,359900,359900,359000,360000,369000,368900,364900,369000,369900,375000,375000,375000,375000,379500,379900,379445,375990,379900,380000,380000,385000,394900,395000,399999,399990,399500,399900,4e+05,404275,410000,417900,416036,419900,423913,425000,425000,429000,428597,425000,425000,427995,430937,429900,430580,435000,435500,444900,449000,447500,448000,447529,449900,449900,449900,450000,455000,457222,455000,454925,458900
