"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,1.5,1.620995995996,1.61278445531854,1.62421185785258,1.59380692167577,1.64835164835165,1.60206330128205,1.56138392857143,1.38636363636364,1.42142857142857,1.42857142857143,1.44254688097972,1.42857142857143,1.43973655779939,1.54929577464789,1.70380078636959,1.73333333333333,1.70124481327801,1.65446857550967,1.61538461538462,1.53846153846154,1.348042306456,1.28571428571429,1.33111111111111,1.31871707736423,1.33846153846154,1.38206388206388,1.36180339985218,1.41485275288092,1.43105885363861,1.42857142857143,1.41290322580645,1.43529411764706,1.41110065851364,1.42587939698492,1.38888888888889,1.33053221288515,1.37987012987013,1.42514237812519,1.41156462585034,1.41684901531729,1.4294403892944,1.50406504065041,1.54231119199272,1.70454545454545,1.73636939739601,1.7089552238806,1.75438596491228,1.75347222222222,1.70588235294118,1.68461538461538,1.67958656330749,1.86125211505922,1.89350198807877,1.86358511837655,1.80808080808081,1.82481751824818,1.7910447761194,1.76790571169538,1.73951048951049,1.75102260180011,1.82760728437737,1.85185185185185,1.84364560806147,1.85,1.86528497409326,1.89458409728409,1.89428620758212,1.88311688311688,1.87647058823529,1.81554797011835,1.83163265306122,1.83823529411765,1.87861271676301,1.86842105263158,1.86479128856624,1.86363636363636,1.85454545454545,1.91090425531915,1.83963691376702,1.81034482758621,1.80909090909091,1.83307332293292,1.79487179487179,1.84256055363322,1.82758620689655,1.84873949579832,1.86804554345076,1.85835351089588,1.85204755614267,1.8407960199005,1.8671875,1.83793103448276,1.84484848484848,1.86346180921356,1.87050231189575,1.87724137931034,1.88427672955975,1.89064558629776,1.90311418685121,1.92660550458716,1.93435754189944,1.95,1.95488721804511,1.93602693602694,1.92554557124519,1.91851340290567,1.92460317460317,1.93323863636364,1.94875,1.958432304038,1.96831275183538
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23076923076923,3.07804487179487,3.15405046480744,3.14370335820896,3.09454640417035,3.125,3.1390134529148,3.14565826330532,3.14516129032258,3.11594202898551,3.08933333333333,3.03468208092486,2.99586776859504,2.96774193548387,2.95151515151515,2.91666666666667,2.92857142857143,2.9630729304126,2.96997389033943,3,2.99723638279152,3,2.99288665879575,2.9823759811917,2.98919567827131,2.98372513562387,2.94117647058824,2.95333333333333,2.98159509202454,3.06273062730627
"Los Angeles-Long Beach-Anaheim, CA",2,,1.89295039164491,1.85514485514486,1.90144356955381,1.90382452193476,1.91340284415824,1.97811447811448,1.95735343963422,1.86782241606979,1.84210526315789,1.85057251908397,1.85,1.85427306673091,1.89051094890511,1.89052574472282,1.91666666666667,1.93103448275862,1.94117647058824,1.9,1.91004901960784,1.8613707165109,1.79834905660377,1.85468806376488,1.84784105960265,1.88622754491018,1.91666666666667,1.94518518518519,1.93333333333333,1.9348010905573,1.94444444444444,1.95066666666667,1.93333333333333,1.96428571428571,2.00712589073634,2.00548313056001,1.96067415730337,1.97436868906307,2.01254920203249,2.08159353569812,2.04552352048558,2.08397932816537,2.08466453674121,2.02898550724638,2.06196231781017,2.07322999581064,2.1,2.07272727272727,2.20615833464753,2.17010935601458,2.14752567693744,2.13490099009901,2.17391304347826,2.23547425080012,2.25515463917526,2.26723095525998,2.29411764705882,2.36686390532544,2.42105263157895,2.41766467065868,2.41588095173401,2.42413778670685,2.44340878828229,2.43029490616622,2.43667068757539,2.45626822157434,2.45925925925926,2.47840641259087,2.49875310945274,2.51012145748988,2.51483797111659,2.56802078274085,2.54941255927855,2.58356545961003,2.60319573901465,2.62970741267766,2.61930294906166,2.61243386243386,2.60453106958046,2.6390243902439,2.61392478080295,2.63413386672544,2.5819209039548,2.61261335873121,2.58620689655172,2.65616438356164,2.70541773028721,2.75715800636267,2.75525999873634,2.76740892629948,2.76315789473684,2.76720351390922,2.78332872207216,2.78571428571429,2.8041958041958,2.80214861235452,2.76908923643054,2.7590898831723,2.79166666666667,2.8,2.89212939070413,2.90697674418605,2.91264841185898,2.93732729943898,2.97515527950311,2.97157622739018,3.00240570669439,3.01181102362205,3.00806451612903,2.99334907621145,3,3.02751196172249,3.05633802816901
"Chicago, IL",3,,,1.6078506097561,1.63793103448276,1.54509283819629,1.55,1.49673202614379,1.45648484848485,1.56875,1.65394402035623,1.69902912621359,1.68181818181818,1.68401777785778,1.73717948717949,1.75,1.84940554821664,1.87861979862782,1.91150465722425,1.88881944444444,1.88888888888889,1.9289605734767,1.874375,1.83402203856749,1.86555555555556,1.851278700287,1.8,1.75260924133831,1.70588235294118,1.85384615384615,1.89694710311125,1.90625,1.89267857142857,1.94444444444444,1.9169883909742,1.86787878787879,1.87423935091278,1.85450277422108,2.02135258358663,2.0385109114249,2.0783042239564,2.08085263416863,2.13571428571429,2.14100020300048,2.12857142857143,2.18703716183331,2.12142857142857,2.1181001283697,2.17573220466182,2.11147540983607,2.05344418052257,2.06896551724138,2.06060606060606,2.13550135501355,2.212,2.3050139275766,2.11888864192043,2.27848101265823,2.24333333333333,2.14266842800528,2.0061099796334,2.14633941986527,2.29955947136564,2.20363636363636,2.15217391304348,2.18165208725501,2.14285714285714,2.12073068031704,2.06666666666667,2.25701076133864,2.31202165681151,2.39393939393939,2.30884557721139,2.24,2.3448048102765,2.15833333333333,2.11515151515152,2.1035761451855,2.09436835239815,2.07692307692308,2.07282170542636,2.04389086595492,2.06580086580087,2.11200757575758,2.08080808080808,2.02961103140443,2.06666666666667,2.06641025641026,2.04831625183016,2.07729468599034,2.10089399744572,2.07692307692308,2.11111111111111,2.18697839664241,2.21644612476371,2.24460431654676,2.21584984358707,2.18047619047619,2.18764671361502,2.20606060606061,2.21033993941344,2.20087815587267,2.23203769140165,2.2710843373494,2.28127197609001,2.26798748696559,2.22222222222222,2.2,2.16867469879518,2.21264367816092,2.2976501305483,2.3125,2.25319734498948
"Dallas-Fort Worth, TX",4,,,,,,,,,1.28565860383072,1.42378559463987,1.31550802139037,1.33138686131387,1.25371747211896,1.14155251141553,1.13882863340564,1.10668103448276,1.09254498714653,1.11804852293284,1.12847222222222,1.0536398467433,1.04166666666667,1.02233676975945,1.00943396226415,1.03658536585366,1.04790419161677,1.06314243759178,1.09974093264249,1.06338028169014,1.09677419354839,1.1127404671934,1.1078153554327,1.10526315789474,1.11048471566873,1.11,1.10434782608696,1.12426908040116,1.17834394904459,1.13993710691824,1.15671641791045,1.15123151355215,1.17365588696667,1.19852941176471,1.20309810671256,1.15178571428571,1.23890784982935,1.26524390243902,1.28571428571429,1.27994011976048,1.26970979154714,1.26784502262443,1.26950354609929,1.29482071713147,1.29204216394685,1.28283712784588,1.25454545454545,1.23791858093998,1.25,1.2699564586357,1.30343300110742,1.27576974564926,1.23149606299213,1.28707479910579,1.28340675477239,1.30505709624796,1.30648018648019,1.33333333333333,1.33942478860703,1.35526315789474,1.38285714285714,1.38291986857286,1.41379310344828,1.41379310344828,1.41546526867628,1.42857142857143,1.46450617283951,1.44300144300144,1.45384615384615,1.45997745208568,1.46105919003115,1.44685227187131,1.52995296507285,1.44070512820513,1.47137150466045,1.42723880597015,1.51576875259014,1.52236652236652,1.55076923076923,1.55555555555556,1.56902456994586,1.60118343195266,1.60094637223975,1.61329142221631,1.5842338428604,1.57562960895364,1.61274087948432,1.61264822134387,1.61226725082147,1.66058059156547,1.64993110689519,1.6371359223301,1.66717095310136,1.67555303987911,1.67506297229219,1.67538461538462,1.67738231917336,1.68829113924051,1.69565217391304,1.682275123496,1.67522176713936,1.68244434870027,1.70295489891135,1.68953687821612
"Philadelphia, PA",5,,,1.21478237845641,1.37329125676583,1.393216184779,1.59001092697141,1.4172335600907,1.44557823129252,1.28947368421053,1.3,1.25593406593407,1.28523270987386,1.32837301587302,1.34196933756405,1.35314685314685,1.40232946735781,1.34871794871795,1.44111570247934,1.39,1.33333333333333,1.325,1.31727251413917,1.35137866106724,1.35705817480011,1.4,1.38824289405685,1.39344262295082,1.46766993087558,1.41748942172073,1.45833333333333,1.42622950819672,1.40322580645161,1.37096774193548,1.37834720533682,1.375,1.32307692307692,1.31355337078652,1.35184788612984,1.34342567155067,1.3695652173913,1.41666666666667,1.41198551844771,1.33333333333333,1.29942528735632,1.34843304843305,1.37692307692308,1.43833041958042,1.34545454545455,1.356038647343,1.37692307692308,1.37692307692308,1.42857142857143,1.55493895671476,1.56961538461538,1.54933235578573,1.51029748283753,1.4577380952381,1.44766146993318,1.44408602150538,1.40939597315436,1.42424256292906,1.45259190260598,1.50442477876106,1.5625,1.56870860927152,1.54522727272727,1.53757225433526,1.54210992907801,1.50187734668335,1.51538461538462,1.59574468085106,1.56319461380987,1.62650602409639,1.63360560093349,1.66666666666667,1.69897610921502,1.70926109186871,1.67579908675799,1.67310167310167,1.6258064516129,1.61290322580645,1.63603896103896,1.58761528326746,1.64876957494407,1.625,1.63757021460464,1.74531803128925,1.76894374282434,1.8,1.76348547717842,1.76543567052417,1.77830624917426,1.72923662815576,1.7047619047619,1.73139980232271,1.75359889021007,1.76300578034682,1.80838730751657,1.88014101057579,1.9047619047619,1.96029776674938,1.94556765163297,1.91851851851852,1.88970588235294,1.88461538461538,1.84426229508197,1.90805695746215,1.9079703569268,1.94602686518854,1.98086412311896,1.99564586357039,1.98123620309051
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24137931034483,1.13247516556291,1.13068551167143,1.1744,1.23808076775807,1.22371390931034,1.1823939481453,1.28654118930715,1.28530791733151,1.43308746048472,1.42543859649123,1.38888888888889,1.26953907815631,1.38657407407407,1.29568527918782,1.27325581395349,1.29839106943188,1.36348684210526,1.3872255489022,1.35729568260739,1.33243070518205,1.39,1.41919191919192,1.36461538461538,1.36671368124118,1.36348684210526,1.37727441024014,1.38595552225225,1.43129664179104,1.4367816091954,1.46123798076923,1.46019862130423,1.46153846153846,1.46562801932367,1.46654387499309,1.62903225806452,1.61367488572908,1.63343558282209,1.544,1.56330014224751,1.54448398576512,1.54375619959688,1.50211565585331,1.48814925244145,1.45859683167114,1.46609124537608,1.41704594711747,1.36603375527426,1.3625,1.44727143411354,1.4910447761194,1.49655172413793,1.5,1.52167630057803,1.49861726502989,1.48533456292077,1.50149493197948,1.51839280486615,1.55555555555556,1.56009334889148,1.56162642947903,1.57160194174757,1.60984376743667,1.61846496106785,1.59937888198758,1.58465991316932,1.5893536121673,1.59205776173285,1.59653133283965,1.58673864721728,1.56495098039216,1.57584683357879,1.5758547008547,1.56684635224062,1.5625,1.60493827160494,1.59567151511604
"Washington, DC",7,,,1.73684210526316,1.9,1.88933873144399,1.85185185185185,1.78828197945845,1.79333333333333,1.92372449595557,1.96684071273899,1.96313341394599,1.97676343660996,2.00138121546961,1.88683720405775,1.84425195526028,2.02677062528806,2.00338503434479,2.08,2.06128133704735,2.10997732426304,2.11243386243386,2.01557575757576,1.99872611464968,2.00276243093923,2.0394823201247,2.1195652173913,2.19733079122974,2.20120588128385,2.28384279475983,2.27657004830918,2.26428571428571,2.17647058823529,2.14723926380368,2.18069890134514,2.19431085119208,2.16981132075472,2.16903654783566,2.21751412429379,2.25945241199478,2.22457627118644,2.09471777040619,2.116146131238,2.14,2.25217391304348,2.28961327134404,2.29411764705882,2.25856697819315,2.16312056737589,2.15583701881559,2.15457902775345,2.16095890410959,2.18340611353712,2.26069781073986,2.27272727272727,2.4153565872431,2.44934481640969,2.34449646742178,2.3015873015873,2.29933110367893,2.27679782903664,2.27666151468315,2.32763819095477,2.34869431643625,2.36875,2.35294117647059,2.36493506493506,2.35336194563662,2.35454545454545,2.36666666666667,2.3468132729424,2.27635782747604,2.28051948051948,2.2962962962963,2.34680272108844,2.33712027914614,2.33381285456725,2.29677419354839,2.33949478383673,2.32394366197183,2.26532567049808,2.20097589278496,2.21587301587302,2.22350510193213,2.23157924062724,2.3121387283237,2.32309251035474,2.398753894081,2.39777296389003,2.3961661341853,2.41666666666667,2.40150740809093,2.4389566395664,2.38049303322615,2.40359281437126,2.39054519012486,2.3758389261745,2.39166710498632,2.37068965517241,2.40441667826813,2.40811153358682,2.43732541899441,2.44927536231884,2.44546919281722,2.46153846153846,2.43670886075949,2.43767313019391,2.44962216624685,2.48818097159708,2.5253164556962,2.50681198910082,2.52929732204166,2.54811715481172
"Miami-Fort Lauderdale, FL",8,,1.78147268408551,1.73661360347323,1.66540020263425,1.62217981340119,1.65261109446394,1.5763489432242,1.5895390070922,1.75808720112518,1.71727084386554,1.69622641509434,1.678576897555,1.65760869565217,1.64383561643836,1.66240409207161,1.66666666666667,1.6569326262299,1.64835164835165,1.60390516039052,1.6,1.61290322580645,1.5762684082027,1.58022690437601,1.59758203799655,1.60729393280155,1.60575858250277,1.60349615337234,1.59643435980551,1.6,1.62980209545984,1.62094763092269,1.61463939720129,1.62303664921466,1.54639175257732,1.54462242562929,1.54545454545455,1.55044273159328,1.5645371577575,1.59655302338327,1.62650602409639,1.64783427495292,1.72486933797909,1.88106796116505,1.88787185354691,1.82608695652174,1.86046511627907,1.86666666666667,1.89161554192229,1.8232044198895,1.81102362204724,1.76991150442478,1.73333333333333,1.80230935160513,1.83333333333333,1.84564860426929,1.86781609195402,1.88758616029193,1.88,1.88333333333333,1.88960818663412,1.91113178754903,1.96428571428571,2.00752823086575,2,2.07646153846154,2.14378238341969,2.12121212121212,2.1505376344086,2.1293856077543,2.14285714285714,2.15909090909091,2.13221873321581,2.14189189189189,2.14285714285714,2.18342383598934,2.13768115942029,2.12765957446809,2.08362369337979,1.98529411764706,2.0058207217695,2.06896551724138,2.04225352112676,2.13748519356476,1.98675496688742,2.05105590314809,2.05570291777188,2.07142857142857,2.07142857142857,2.09188394062078,2.08622459358991,2.06611570247934,2.10701535462577,2.12389380530973,2.11267605633803,2.11111111111111,2.11568603809983,2.12089077412513,2.14917825537295,2.15014577259475,2.16666666666667,2.2,2.20179948586118,2.19922380336352,2.19869706840391,2.2108843537415,2.21729490022173,2.19512195121951,2.18031706061753,2.19298245614035,2.20783847980998,2.21683026658939,2.23041474654378
"Atlanta, GA",9,,1.36866039771851,1.23689073978432,1.23222859525042,1.23483079899889,1.36690647482014,1.21040418574626,1.07355246173705,1.20235414534289,1.23122331563053,1.23170731707317,1.22267759562842,1.15912644127418,1.22267759562842,1.23174320957891,1.25,1.21096799375488,1.17948717948718,1.16710875331565,1.16216603053435,1.1421568627451,1.0554822632659,1.05401844532279,1.0352422907489,1.02794117647059,1.05738705738706,1.04324460916442,1.03458958253215,1.04479899087193,1.0379746835443,1.04941176470588,1.09145030651022,1.08220603537981,1.10975609756098,1.10990206746464,1.07638888888889,1.03311258278146,1.03300733496333,1.01553829078801,1.01302460202605,1.03605769230769,1.04050279329609,1.07142857142857,1.08163265306122,1.15701219512195,1.22921396628827,1.19551282051282,1.27430555555556,1.34366925064599,1.31929469901168,1.33138173302108,1.33333333333333,1.31139240506329,1.32771712158809,1.32871736302782,1.30608175473579,1.33213391739675,1.32063882063882,1.35036496350365,1.34960317460317,1.35438064114535,1.38048536267617,1.37693631669535,1.40594059405941,1.43717728055077,1.47160068846816,1.46757679180887,1.4940668824164,1.47630147630148,1.46884272997033,1.52777777777778,1.51462994836489,1.51061090745322,1.50503778337531,1.54162979351032,1.53446033810143,1.39172413793103,1.484375,1.44601769911504,1.48221343873518,1.53553299492386,1.48085106382979,1.45720984759672,1.4530303030303,1.54806828391734,1.5531914893617,1.58333333333333,1.59042502034741,1.63077621163399,1.61653009696707,1.60146699266504,1.63464873277012,1.61681750186986,1.60991317758611,1.60177975528365,1.61611577664432,1.64211097544431,1.63733923003638,1.63560481773438,1.65227771325332,1.69051878354204,1.67889908256881,1.72771672771673,1.74666666666667,1.732,1.81498742691412,1.8135593220339,1.80735294117647,1.81297709923664,1.82781406719345,1.84383632596685,1.84873949579832
