"RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,,,,,,,,,,,,,0.95,0.904545454545455,0.919096395783747,0.92538725092796,1.03146604134098,1.08363893907961,1.11033267994193,1.08469725905962,1.09090909090909,1.06707317073171,1.01495726495726,1,0.998746859296482,1.0136239902427,1.03647450110865,1.08969696969697,1.07142857142857,1.14402151862316,1.165371809101,1.2,1.25,1.25,1.31744516389859,1.33333333333333,1.36666666666667,1.35248556883172,1.37053571428571,1.41379310344828,1.41428571428571,1.37931034482759,1.36,1.38644918444166,1.59090909090909,1.59919028340081,1.5,1.45627876397107,1.4375,1.3801756587202,1.35,1.33333333333333,1.41039631719763,1.49583333333333,1.53846153846154,1.55,1.52777777777778,1.5,1.54545454545455,1.52393684746626,1.51315789473684,1.49375,1.58333333333333,1.55617646714736,1.54289028836593,1.63256972480462,1.57142857142857,1.5785319652723,1.625,1.52906633159486,1.58227848101266,1.5015015015015,1.47201734218453,1.5,1.59333333333333,1.42307692307692,1.50069417146469,1.48148148148148,1.5,1.5604465536208,1.57777777777778,1.56797716321892,1.54909932771379,1.49662707892522,1.45945945945946,1.44791666666667,1.44230769230769,1.42857142857143,1.39975550122249,1.44827586206897,1.49521531100478,1.51118637448709,1.53803131991051,1.55555555555556,1.55788177339901,1.54586239033326,1.54090909090909,1.48258786322347,1.48681385569376,1.47637795275591,1.52532391048292,1.54716981132075,1.6,1.62345301757066
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.33333333333333,3.27272727272727,3.14285714285714,3.07346326836582,3.06923076923077,3.125,3.14285714285714,3.16666666666667,3.26666666666667,3.05993197278912,3.09027777777778,3.09090909090909,3.15,3.14285714285714,3.06666666666667,3,3,3,3,3,3.11111111111111,3.17647058823529,3.15413588294944,3.25,3.15,3.14285714285714,3.14736842105263,3.03333333333333,2.95256842894638,3.125,3.09644670050761,3.06666666666667,3.11764705882353,3.15789473684211,3.16666666666667,3.16666666666667,3.14736842105263,3.05555555555556,2.9535864978903,2.93,2.92307692307692,2.89198717948718,2.85,2.875,2.94736842105263,3,3,3.01136363636364,3,2.95833333333333,2.88888888888889,2.85714285714286,2.81595170008195,2.81764705882353,2.8125,2.86626016260163,2.997998998999
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,1.46907216494845,1.4635761589404,1.4,1.31862217438105,1.33333333333333,1.32142857142857,1.29198966408269,1.295,1.29166666666667,1.33055555555556,1.35909090909091,1.33802816901408,1.368,1.38944444444444,1.39285714285714,1.42857142857143,1.49375,1.59514508928571,1.63793103448276,1.68831168831169,1.69811320754717,1.64,1.61538461538462,1.62,1.63694721825963,1.63181818181818,1.65892934080138,1.6551724137931,1.64451343293724,1.63924050632911,1.62337662337662,1.62862040103631,1.63333333333333,1.66666666666667,1.6875,1.69014084507042,1.73205128205128,1.75,1.78372352285396,1.83829787234043,1.83333333333333,1.795,1.81212121212121,1.87647058823529,1.85185185185185,1.77407407407407,1.824600456621,1.869921875,1.84388120839734,1.875,1.88216039279869,1.99293206793207,1.875,1.88202247191011,1.85022658610272,1.85762548262548,1.90441176470588,1.95,1.98567708333333,2.05366743471582,2.08333333333333,2.12121212121212,2.10526315789474,2.1,2.11764705882353,2.101506740682,2.095,2.06666666666667,2.07549857549858,2.10526315789474,2.08217592592593,2.08333333333333,2.13333333333333,2.10555555555556,2.08636363636364,2.125,2.11396103896104,2.10555555555556,2.11875,2.11111111111111,2.14615384615385,2.17948717948718,2.15384615384615,2.17216810966811,2.18729838709677
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73333333333333,1.78682325503915,1.85,1.85714285714286,1.85813435743307,1.7631221719457,1.74375,1.79,1.78392857142857,1.73846808181572,1.78378378378378,1.79306811758055,1.77340067340067,1.7864367816092,1.78947368421053,1.77572342205392,1.84375,1.84210526315789,1.975,2,2,1.91875,1.96,1.99591666666667,2,2,2.09,2.15384615384615,2.25,2.29,2.06666666666667,2,1.8841784338896,1.99287238366186,2.1,2.19832821443529,2
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998642226748133,0.991808443604285,0.909090909090909,0.928571428571429,0.894454382826476,0.871794871794872,0.861610113107119,0.87890625,0.901739130434783,0.856824925816024,0.878609160328754,0.883333333333333,0.87719298245614,0.894538606403013,0.957692307692308,1.01150627615063,1.00074183976261,0.976205003050641,0.982615268329554,0.961538461538462,0.958266172555228,0.974729241877256,1,0.963855421686747,0.9375,1.02467811158798,1.03591160220994,1.03671761061258,1.07464028776978,1.10040567951318,1.10040567951318,1.12664307011477,1.11158798283262,1.1,1.065,1.08284646690963,1.07665368037135,1.07513988808953,1.04616971874692,1.0625,1.05022321428571,1.04166666666667,1.07116920842411,1.0559800523066,1.06848184818482,1.04748603351955,1.0525659856017,1.03906899418121,1.05143934795803,1.07904202953427,1.08010906971886,1.07238605898123,1.0625
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,1.03448275862069,0.917763157894737,0.964236521054703,1,0.928792569659443,0.9375,0.96589649438825,1,1.02,1.02167182662539,1.03851851851852,1.10122494432071,1.10833333333333,1.11,1.14483858496037,1.16666666666667,1.19047619047619,1.25291375291375,1.19047619047619,1.17820324005891,1.16666666666667,1.16625,1.16544093851133,1.1875,1.18181818181818,1.175,1.15217391304348,1.15098039215686,1.15833333333333,1.15833333333333,1.15,1.15833333333333,1.20441866131467,1.25454545454545,1.26666666666667,1.28444444444444,1.25009803921569,1.222761596548,1.19760479041916,1.22222222222222,1.25,1.25009803921569,1.1902380952381,1.2,1.20060180541625,1.22335600907029,1.28095644748079,1.31818181818182,1.35294117647059,1.375,1.26507936507937,1.30952380952381,1.25714285714286,1.21849653808111,1.25968992248062,1.3125,1.34310134310134,1.39285714285714,1.4,1.41666666666667,1.41240409207161,1.4,1.39383380846795,1.37724550898204,1.33547632963179,1.34416819665443,1.30961552571722,1.33333333333333,1.31875,1.33333333333333,1.37278879656928,1.38,1.4,1.43205492424242,1.38397435897436,1.36363636363636,1.3125,1.35,1.33701573849879,1.35741037988229,1.37103684661525,1.37936258360787,1.43834474885845
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06601731601732,1.08418367346939,1.13198254114444,1.06316489361702,1.10518292682927,1.12890625,1.09223300970874,1.07428925849978,1.12156295224313,1.16416666666667,1.06891701828411,1.1,1.07071428571429,1.07894736842105,1.10577136514983,1.18132411067194,1.14388489208633,1.1015625,1.1671686746988,1.16113744075829,1.16935483870968,1.16279069767442,1.19066773934031,1.14485981308411,1.16469198174707,1.1195684548433,1.08016304347826,1.14247311827957,1.17694960440971,1.16959064327485,1.16666666666667,1.12820512820513,1.13307291666667,1.125,1.125,1.14495412844037,1.14285714285714,1.15384615384615,1.13333333333333,1.15237463293427,1.16328711156297,1.13809523809524,1.11538461538462,1.13381138635376,1.12658227848101,1.15442735949099,1.13269539057295,1.11111111111111,1.105223042362,1.13416497041033,1.12068965517241,1.11111111111111,1.13590909090909
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93323228548095,2.04086265607264,1.99375,2.11069418386492,2.06869009584665,2.16904080171797,2.30666666666667,2.26155358898722,2.25134408602151,2.22576513433656,2.29609929078014,2.25717214455876,2.0863453815261,2.10084033613445,2.08333333333333,2.2,2.2077380952381,2.29166666666667,2.28316326530612,2.2304964720975,2.28716645489199,2.21764705882353,2.23495254745255,2.23214285714286,2.20763723150358,2.20588235294118,2.25268817204301,2.29014257231775,2.42142857142857,2.33333333333333,2.35294117647059,2.43294866693195
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,1.05555555555556,1.06425702811245,1.05215004574565,1.03672985781991,1.04166666666667,1.04494523877158,1.0625,1.08215349423645,1.11111111111111,1.0989010989011,1.12244897959184,1.11865108575635,1.1,1.11570247933884,1.11689699699598,1.06666666666667,1.07052441229656,1.0828441587665,1.0909774950407,1.10149319835495,1.13304093567251,1.14001926134279,1.16666666666667,1.18289473684211,1.28348214285714,1.31826741996234,1.3531799729364,1.36645962732919,1.47058823529412,1.43312101910828,1.37938352555471,1.36842105263158,1.35482307319438,1.33333333333333,1.34146341463415,1.35958286956061,1.4,1.40700098293505,1.41584546925566,1.40277430931306,1.375,1.44676113360324,1.44,1.46666666666667,1.54931223290598,1.5542328042328,1.4827018121911,1.53333333333333,1.5625,1.53787996277916,1.52790400574446,1.56932783131381,1.63398692810458,1.65421558164354,1.69082125603865,1.69067796610169,1.72727272727273,1.63636363636364,1.70975534539474,1.7594696969697,1.70962297220825,1.64233576642336,1.65714285714286,1.7741935483871,1.78934879295894,1.68395733772194,1.66666666666667,1.72727272727273,1.79268292682927,1.77777777777778,1.80383314543405,1.77142857142857,1.76146010186757,1.78194778744677,1.79713031045752,1.77083333333333,1.78764897074756,1.8,1.83374083129584,1.84615384615385,1.83333333333333,1.84210526315789,1.806640625,1.83823529411765,1.82546749777382,1.83823529411765,1.84325092137592,1.81970884658455,1.80550438057807,1.76470588235294,1.80646698852978,1.81818181818182,1.83224755700326,1.88888888888889
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696969696969697,0.733333333333333,0.785714285714286,0.746628131021195,0.666666666666667,0.663265306122449,0.692367502380197,0.727457501847746,0.666666666666667,0.681818181818182,0.704431834515212,0.730559540889526,0.726495726495726,0.716089462280209,0.719235883797054,0.721940559440559,0.75,0.72,0.769230769230769,0.761421319796954,0.730994152046784,0.743099787685775,0.75487012987013,0.78517316017316,0.795690343176377,0.833002907745176,0.848214285714286,0.816213284509974,0.775109170305677,0.781504478827362,0.798171471197718,0.795690343176377,0.816761728289417,0.779588944011339,0.848640029561082,0.881696428571429,0.885416666666667,0.96667148188275,1,1.00976286774561,1.05528134254689,1.03599816962817,1.03085672922806,1.02040816326531,0.989583333333333,1.04111842105263,1.03457787624074,1.0754039497307,1.03896103896104,1.03053435114504,1.12462006079027,1.09375,1.04084624488918,1.08885017421603,1.08506944444444,1.084,1.04347826086957,1,0.99,1.04562737642586,1.04562737642586,1.11111111111111,1.07452339688042
