"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,,1.36665365091761,1.38760407030527,1.36054421768707,1.4176245210728,1.24316260566882,1.12549783549784,1.20901639344262,1.25,1.25294852323492,1.2694035813554,1.19930222416049,1.20967741935484,1.26404494382022,1.34090909090909,1.35853863878057,1.33333333333333,1.3325,1.3265306122449,1.27314814814815,1.15547716946978,1.14280112044818,1.17865168539326,1.17424242424242,1.18876080691643,1.22585924713584,1.21268656716418,1.23327132726411,1.25,1.25,1.25,1.25,1.25,1.25,1.21195937314658,1.16941529235382,1.21869215969491,1.23697916666667,1.22692307692308,1.24206349206349,1.21212121212121,1.2799043062201,1.29246676514032,1.38075313807531,1.4,1.40350877192982,1.43171806167401,1.42857142857143,1.39896373056995,1.38121546961326,1.4020378412984,1.53846153846154,1.62962962962963,1.53698366954851,1.5,1.50214592274678,1.47159090909091,1.44787644787645,1.43887784528556,1.4578313253012,1.51863390092879,1.54545454545455,1.54858424090314,1.56716417910448,1.57647058823529,1.6,1.6,1.57784739174112,1.56509695290859,1.54809289197631,1.5625,1.57142857142857,1.6,1.60679611650485,1.60524091293322,1.60740740740741,1.58894878706199,1.64285714285714,1.57756354075372,1.55804643714972,1.5391764468257,1.56799259944496,1.51515151515152,1.58248133598103,1.576,1.6,1.6255899318301,1.63001912045889,1.62732919254658,1.62350380848749,1.63339382940109,1.60550458715596,1.6025641025641,1.61161290322581,1.62013773380292,1.62337662337662,1.64016038539652,1.65766592522655,1.68143586245231,1.70695514315257,1.71275646743979,1.71673819742489,1.7217125382263,1.69635455834733,1.69075144508671,1.68758526603001,1.69642857142857,1.69881305637982,1.71627146361406,1.74074074074074,1.75438596491228
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09090909090909,3.01548492257539,2.94058823529412,2.88333333333333,2.86442118098796,2.93037591212033,2.94906166219839,2.93103448275862,2.99,2.875,2.9,2.86363636363636,2.9,2.88777777777778,2.81385878835621,2.77777777777778,2.77777777777778,2.8,2.82016348773842,2.825,2.93333333333333,3,3,3,2.91952104499274,2.875,2.875,2.90909090909091,2.73237179487179,2.87520049633867,2.85714285714286,2.84722222222222,2.92663608562691,2.99833333333333,2.99875,2.95047716791512,2.88777777777778,2.84615384615385,2.76666666666667,2.72545454545455,2.71759259259259,2.69230769230769,2.63181322734248,2.65,2.70247229326513,2.75,2.77777777777778,2.75,2.73076923076923,2.67322056512956,2.66666666666667,2.66666666666667,2.66555555555556,2.63290887297453,2.6525198938992,2.68232152951627,2.76323529411765
"Los Angeles-Long Beach-Anaheim, CA",2,,1.6625,1.66666666666667,1.64596273291925,1.65,1.66500184963242,1.62548764629389,1.62078534514875,1.64251207729469,1.64285714285714,1.65562913907285,1.65,1.63919840730909,1.61974526058778,1.63115845539281,1.65380374862183,1.66960352422907,1.66666666666667,1.661918328585,1.65,1.63181818181818,1.66666666666667,1.66666666666667,1.69692186266772,1.73684210526316,1.75,1.73931264848435,1.75,1.74862025370313,1.76300475369587,1.76255254122367,1.77165354330709,1.77717391304348,1.77222222222222,1.7554347826087,1.77482245984742,1.79420289855072,1.84363636363636,1.84258492129246,1.85714285714286,1.836,1.82588431127757,1.82914572864322,1.82737169517885,1.83409595843519,1.82692307692308,1.90207452053052,1.88271604938272,1.85714285714286,1.85714285714286,1.90104957543216,1.9305842985843,1.96560196560197,1.97899159663866,1.99375,2.01,2.06081081081081,2.07476116334613,2.08469824130005,2.09285714285714,2.1021021021021,2.11123110151188,2.13903743315508,2.16559997542343,2.1709511922025,2.19428571428571,2.21641338308005,2.21311475409836,2.21779661016949,2.26523622476814,2.275,2.30089485458613,2.30187269316315,2.32055063913471,2.32142857142857,2.3062015503876,2.32727272727273,2.36092876418647,2.32,2.36918328584995,2.27520325203252,2.29166666666667,2.26169288233456,2.34518870046332,2.43055555555556,2.48447204968944,2.47833622183709,2.48549323017408,2.5,2.5,2.51767676767677,2.5126582278481,2.51637456784516,2.50214224507284,2.52605169271836,2.50533333333333,2.5390625,2.54950137516103,2.5919689119171,2.61838440111421,2.625,2.63238289205703,2.65833333333333,2.63896457765668,2.66471449278467,2.68185060303463,2.69445497430713,2.68,2.69706336939722,2.72727272727273,2.76153846153846
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80868167202572,1.7799959049959,1.80173034376967,1.8,1.81353767560664,1.77705977382876,1.75,1.709375,1.71875,1.71428571428571,1.71374764595104,1.75,1.77777777777778,1.79268902400124,1.82631578947368,1.84220647773279,1.80085365779615,1.83125,1.86666666666667,1.90909090909091,1.95373590825621,1.9375,1.90193164933135,1.94060995184591,1.953125,1.95849802371542,1.97016361886429,1.98904846858462,2,2.0401704559105,2.06123724489796,1.97058823529412,1.99243379571248,1.98888888888889,2.03035421785422,2.1144578313253,2.12669594312003,2.06204643492736
"Dallas-Fort Worth, TX",4,,,,,,,,,1.08108108108108,1.05464159811986,1.12571428571429,1.0172810545534,0.974734976259569,0.974106041923551,0.966445715868239,0.95886524822695,0.96698278367951,0.955020080321285,0.903314917127072,0.901639344262295,0.929136095985548,0.944444444444444,0.982614508253894,0.991803278688525,0.997854077253219,1.03011422637591,1,1.01782977470313,1.03606530330937,1.02719033232628,1.03571428571429,1.04323001631321,1.04151838671412,1.04557179707653,1.05380200860832,1.09899749373434,1.06979405034325,1.08571428571429,1.07612825068648,1.1002994011976,1.10854395604396,1.10974400328005,1.0630081300813,1.11191860465116,1.12836747195041,1.14498919452523,1.13924396330351,1.13405201182304,1.13302397525135,1.13685636856369,1.1788623526723,1.1859243697479,1.18250950570342,1.16815476190476,1.15384615384615,1.15137065477665,1.15503080082136,1.2,1.16623634126027,1.13251879699248,1.18793706293706,1.1875,1.2034188034188,1.21057985757884,1.2281313867153,1.23595505617978,1.24279841010954,1.25030376670717,1.257094058802,1.2902706760666,1.29471397538016,1.30172937089129,1.30917391125635,1.34132682664014,1.33086876155268,1.34281200631912,1.34308440367696,1.34684260131951,1.33078526754691,1.37702871410737,1.3234375,1.32467532467532,1.30516431924883,1.37397260273973,1.38431876606684,1.41891891891892,1.44253449699257,1.46092503987241,1.48896247240618,1.48287112561175,1.48447204968944,1.44810742464225,1.43167602735864,1.46811334965167,1.47857142857143,1.4713913464712,1.52011922503726,1.51515151515152,1.51859504132231,1.53862660944206,1.53723728989686,1.54103852596315,1.54268808114962,1.54002388520879,1.56592039800995,1.56525838804955,1.55714285714286,1.55447680690399,1.56921068487648,1.58253588516746,1.56908721237768
"Philadelphia, PA",5,1.12275896414343,1.1384335154827,1.21951219512195,1.18320610687023,1.1844331641286,1.19485294117647,1.17342879872713,1.15287668235809,1.1890976236352,1.14879649890591,1.14595375722543,1.19871983640082,1.20192307692308,1.19840213049268,1.20746432491767,1.18391664498222,1.19230769230769,1.18384148865706,1.18541892054333,1.17753623188406,1.21266968325792,1.27027027027027,1.28436113955642,1.29055690072639,1.30793650793651,1.33846153846154,1.37152262514369,1.36801515356515,1.36315789473684,1.35802469135802,1.2917899408284,1.25925925925926,1.24342105263158,1.24397299903568,1.24125703105894,1.2375,1.25978047959355,1.25307125307125,1.27777777777778,1.31014261019879,1.2860338766379,1.26482584032629,1.24977064220183,1.26909090909091,1.26436781609195,1.30111524163569,1.25641025641026,1.26298920377868,1.2635989010989,1.26112759643917,1.2962962962963,1.35467980295567,1.36168185999833,1.35807192042846,1.33333333333333,1.30992321589883,1.29891304347826,1.29339246673208,1.28205128205128,1.28205128205128,1.3142174432497,1.37222222222222,1.40625,1.41094420600858,1.39009896324222,1.38482846793096,1.36860296554009,1.34882386401099,1.35460727485828,1.40446650124069,1.38461538461538,1.42857142857143,1.45,1.46666666666667,1.5,1.52380952380952,1.512,1.49659863945578,1.48484848484848,1.45705465494693,1.45454545454545,1.41764975357007,1.45507487520799,1.45503355704698,1.47624178981938,1.55709342560554,1.57064912139934,1.58888888888889,1.58235294117647,1.58702702702703,1.60606060606061,1.56673887521137,1.54639175257732,1.55,1.55203619909502,1.55339805825243,1.58333333333333,1.66896551724138,1.71809096996858,1.77555555555556,1.75,1.71428571428571,1.67701870689384,1.65318398387392,1.63483146067416,1.64302059496568,1.64253667791171,1.67080231596361,1.69975186104218,1.73684210526316,1.75
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08732157850546,1.08821975699947,1.08511102556871,1.03055303548179,1.05921680993314,1.06512301013025,1.08280971368656,1.10869565217391,1.06810979304719,1.15384615384615,1.17060561299852,1.27840909090909,1.28565151895556,1.2568058076225,1.18543046357616,1.28119001919386,1.18423383525244,1.15851449275362,1.18150684931507,1.26582278481013,1.27686153846154,1.27112970711297,1.24985549132948,1.30713648658223,1.32363315696649,1.26320438906453,1.2663255413906,1.27578125,1.27777777777778,1.29244977032855,1.30987168533513,1.32727272727273,1.33996539792388,1.34584013050571,1.34895069451248,1.35784446246733,1.35135135135135,1.51448275862069,1.48196805291601,1.50186639812017,1.42949907235622,1.45978152929494,1.44384057971015,1.43980676328502,1.41038525963149,1.40090916562224,1.37022562449637,1.37565155984207,1.34326910618765,1.30604288499025,1.30339321357285,1.35919234856536,1.39242424242424,1.38088012139605,1.38801261829653,1.408687361469,1.39251663420967,1.38709677419355,1.39770723104056,1.41545003245749,1.43603851444292,1.43959175446286,1.44217663468735,1.43288084464555,1.47598253275109,1.48382559774965,1.4845532789352,1.47474115302353,1.46818181818182,1.46376811594203,1.46725876566089,1.45833333333333,1.44074360960496,1.44324853228963,1.43286219081272,1.43085880640466,1.42681413786843,1.47699675957629,1.45720894371627
"Washington, DC",7,1.5668310856664,1.6,1.62368672397326,1.57464212678937,1.59080897170333,1.55364105306742,1.53627937768951,1.60811865729899,1.59896019900498,1.60924369747899,1.64750957854406,1.6211962224554,1.60964307389552,1.6,1.63584637268848,1.63409842845327,1.62027027027027,1.61629776328052,1.64835164835165,1.6932059447983,1.62456445993031,1.67887931034483,1.7097966728281,1.7398753894081,1.77394034536892,1.83900523560209,1.8756345177665,1.9676710872363,1.94570135746606,1.89450867052023,1.82084309133489,1.81113320079523,1.87888438525381,1.89353099730458,1.8970189701897,1.90288713910761,1.94079555966698,1.99203187250996,1.95308310991957,1.85958904109589,1.89269446562274,1.90343546889508,1.96273148148148,1.97147560795733,1.9519152404238,1.93034660508945,1.88198869315342,1.91134131159833,1.90909090909091,1.9,1.92857142857143,2.01149425287356,2.01475805336941,2.12471208063919,2.16290322580645,2.06267076502732,2.02392947103275,2.01719576719577,1.98941176470588,1.98802395209581,2.05345197921312,2.05,2.09722222222222,2.07373271889401,2.08333333333333,2.07736389684814,2.08070617906683,2.07555097510702,2.05718498774873,2.03265103615683,2.02137132680321,2.04082482993197,2.05882352941176,2.06644423441653,2.07891599970808,2.07332293291732,2.07979284293704,2.02777777777778,1.99590710867659,1.93548387096774,1.94915254237288,1.92982456140351,1.99421965317919,2.0421686746988,2.07624234172907,2.12998588244651,2.13368932571931,2.11713844021536,2.13749161531373,2.13636363636364,2.17241379310345,2.09959623149394,2.13205537806177,2.14192708333333,2.11565585331453,2.12908374729528,2.14597902097902,2.16803278688525,2.19360715042533,2.21976592977893,2.24609375,2.23161764705882,2.25775401069519,2.21961325966851,2.2247917718949,2.22910216718266,2.29291204099061,2.32166890982503,2.2875,2.31077348066298,2.34794908062235
"Miami-Fort Lauderdale, FL",8,,1.77401473428224,1.67910447761194,1.62486897274633,1.65706051873199,1.57789473684211,1.55,1.65462905020164,1.60493827160494,1.61290322580645,1.59468438538206,1.50281778334377,1.47368421052632,1.47058823529412,1.47663551401869,1.47462033314813,1.46153846153846,1.44673758865248,1.44601542416452,1.45833333333333,1.42857142857143,1.41509433962264,1.40540540540541,1.38888888888889,1.39240506329114,1.40127388535032,1.39303482587065,1.38709334516497,1.41764541211764,1.40786600416408,1.40449438202247,1.4,1.36730055635442,1.36278195488722,1.36113631780601,1.36363636363636,1.37931034482759,1.39447573075892,1.39583333333333,1.41277641277641,1.45878920495988,1.55846928477159,1.5625,1.54965211891208,1.55793638733434,1.5702479338843,1.58274621681965,1.52972027972028,1.5008576329331,1.48232611174458,1.46019927100322,1.52774746592948,1.55835357054869,1.57894736842105,1.58982511923688,1.60194174757282,1.59332321699545,1.57549447695105,1.57835400225479,1.6,1.62761160714286,1.67763157894737,1.69094906003639,1.77083333333333,1.8404134659999,1.83817601532712,1.86046511627907,1.81818181818182,1.84782608695652,1.84738955823293,1.83864913300397,1.83852917665867,1.875,1.89599133261105,1.83857000201677,1.82840909090909,1.81389222355609,1.74666666666667,1.75,1.79521276595745,1.77777777777778,1.88888888888889,1.71673819742489,1.8,1.82094081942337,1.83333333333333,1.8232044198895,1.8403624852338,1.8370340254524,1.83483870967742,1.86697782963827,1.88123614957172,1.88434695912263,1.88536953242836,1.89054726368159,1.88916876574307,1.91919191919192,1.91471544390974,1.94919095840312,1.96028880866426,1.96028880866426,1.95640569395018,1.9620253164557,1.96875,1.98863636363636,1.96872427983539,1.953125,1.96013289036545,1.96743100265634,1.97220542791885,1.99692780337942
"Atlanta, GA",9,,0.940828402366864,0.941028858218319,0.962463907603465,0.948672372950543,0.797768793051812,0.73441842000794,0.864285714285714,0.906158357771261,0.898105139999197,0.982800982800983,0.847109674879433,0.894097222222222,0.888709387901633,0.866666666666667,0.864194204980843,0.832700101317123,0.815,0.836520076481836,0.84375,0.803904944340738,0.81145584725537,0.825,0.804123711340206,0.881101656963726,0.874200085747632,0.853102781725579,0.862244225461284,0.853223593964335,0.860420650095602,0.893033075299085,0.862179913904052,0.894736842105263,0.90467501815541,0.875535058955711,0.851748251748252,0.880368098159509,0.848124428179323,0.853816300129366,0.850852272727273,0.83910859002919,0.890484337197591,0.877226982184143,0.917628560858306,0.905333333333333,0.909785932721712,0.967261904761905,1.04395935255264,1.02364916963227,1.03752039151713,1.05555555555556,1.04038161084423,1.05459448499594,1.0301724137931,1.02248062015504,1.04009623095429,1.01814870259481,1.07014898921674,1.06692307692308,1.08994276369583,1.11785227298281,1.12097200088945,1.13455657492355,1.18117229129663,1.22731389986825,1.20705244122966,1.20656370656371,1.17835365853659,1.16414835164835,1.27591706539075,1.27592425608656,1.28612369244042,1.275,1.29941126997477,1.28697042366107,1.16402535657686,1.23868002372296,1.19631901840491,1.20238095238095,1.26001456664239,1.2037037037037,1.20232172470978,1.19766603157322,1.27376033057851,1.27857142857143,1.31463787978116,1.33838110314948,1.38260869565217,1.36531232760271,1.36523325599131,1.39285714285714,1.38795796847636,1.36952151988388,1.38347967340282,1.39458272327965,1.4029304029304,1.40807870354479,1.42288991470616,1.43862987630828,1.46315789473684,1.46164860047213,1.48447972520107,1.51671310633074,1.4991103202847,1.6,1.60401721664275,1.60072815533981,1.61045110422057,1.62197702019333,1.63684210526316,1.63809523809524
