"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,,2100,2100,2050,2200,2000,1980,1950,1990,1950,2000,1850,1845,1895,1995,1995,1975,1945,1950,1850,1800,1800,1800,1800,1875,1950,1995,2050,1950,1900,1850,1800,1800,1800,1800,1800,1850,1895,1900,1900,1825,1900,1850,1850,1888,1850,1890,1850,1850,1850,1900,2000,2150,1995,1950,1900,1850,1850,1850,1900,1900,1975,1995,2000,2000,2000,2000,1995,1950,1950,1995,2000,2100,2189,2200,2200,2200,2195,2195,2100,2000,2000,1950,2000,2050,2100,2200,2200,2200,2200,2175,2100,2000,2000,2095,2150,2250,2300,2400,2400,2400,2350,2300,2200,2195,2195,2200,2300,2480,2595,2700
"Los Angeles-Long Beach-Anaheim, CA",1,,3287.5,3500,3500,3500,3500,3500,3350,3300,3295,3400,3200,3200,3172.5,3300,3200,3200,3100,3100,3000,3000,3000,3000,3000,3005,2995,2850,2900,2995,2950,2850,2800,2700,2650,2600,2695,2750,2700,2700,2695,2750,2800,2750,2800,2780,2700,2850,2800,2750,2795,2800,2900,3000,3150,3100,3100,3100,3100,3150,3150,3187.5,3100,3200,3300,3300,3300,3350,3300,3300,3300,3300,3300,3395,3495,3400,3395,3500,3450,3300,3395,3300,3500,3250,3399,3500,3600,3650,3700,3695,3600,3600,3650,3600,3598,3550,3580,3600,3600,3700,3800,3800,3800,3750,3750,3700,3750,3750,3700,3750,3762.5,3795
"Chicago, IL",2,2500,2300,2300,2300,2200,2300,2300,2100,2300,2200,2350,2075,2100,2150,2200,2400,2400,2350,2300,2200,2100,2000,2000,2000,2050,2100,2086,2100,2197.5,2160,2100,1995,1948,1834,1900,1850,1845,2000,1950,2100,2100,2195,2000,1955,1900,1850,1950,1895,1850,1895,1950,2148,2200,2200,2200,2160,2100,2100,2100,2050,2000,2100,2100,2250,2350,2300,2200,2095,2000,2000,1975,1995,1992,2099,2150,2212.5,2300,2300,2200,2000,1950,1950,1900,1850,1950,2000,2200,2335,2358,2400,2295,2150,2000,1995,2000,2000,2100,2237.5,2400,2500,2670,2500,2400,2300,2200,2200,2200,2250,2240,2350,2600
"Dallas-Fort Worth, TX",3,,1495,1597.5,1825,1862.5,1800,1697.5,1700,1895,1775,1800,1675,1650,1650,1650,1695,1675,1650,1649.5,1600,1599,1595,1575,1595,1595,1599.5,1595,1600,1600,1600,1599.5,1595,1595,1595,1550,1575,1595,1595,1595,1625,1625,1650,1650,1650,1600,1595,1600,1600,1600,1600,1600,1695,1750,1775,1750,1700,1700,1725,1750,1750,1750,1795,1795,1800,1825,1850,1850,1850,1800,1800,1800,1800,1800,1850,1875,1895,1895,1895,1895,1869,1850,1895,1845,1875,1875,1900,1950,1995,1995,1995,1995,1995,1945,1900,1925,1900,1950,1950,1995,1995,2000,2000,1995,1995,1995,1995,1995,1995,1995,2000,2050
"Philadelphia, PA",4,,,,,,,,,,,,,1895,1900,1900,2000,2000,1995,1950,1895,1820,1850,1950,1912.5,2000,2000,2000,2000,2000,1950,1900,1900,1950,1899,1850,1800,1995,2000,2000,2100,2100,2000,2000,1900,1900,1900,2000,1950,1925,1950,2000,2000,2000,2000,1950,1900,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1999.5,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1997,1950,2000,2000,1912.5,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2075,2100,2100,2100,2200,2100,2100
"Houston, TX",5,,,1700,1762.5,2000,1797.5,1750,1650,1600,1600,1600,1695,1650,1650,1692.5,1700,1650,1600,1600,1585,1550,1600,1600,1595,1595,1650,1550,1550,1600,1600,1600,1595,1495,1519,1550,1550,1500,1600,1650,1695,1700,1722.5,1750,1750,1750,1700,1750,1709.5,1600,1600,1650,1795,1800,1875,1900,1850,1800,1800,1800,1800,1800,1850,1850,1900,1900,1900,1900,1900,1850,1875,1850,1825,1850,1895,1950,1895,1900,1850,1897,1850,1800,1795,1750,1800,1800,1800,1850,1850,1850,1850,1850,1850,1842.5,1825,1850,1800,1800,1850,1895,1900,1900,1900,1895,1850,1800,1800,1800,1825,1825,1825,1870
"Washington, DC",6,,2300,2200,2300,2400,2450,2400,2300,2400,2400,2495,2400,2350,2300,2400,2450,2500,2497,2495,2477.5,2450,2400,2400,2400,2400,2400,2400,2496,2500,2500,2450,2419.5,2400,2400,2400,2350,2400,2397.5,2425,2400,2400,2500,2500,2500,2500,2475,2400,2400,2395,2350,2400,2500,2550,2600,2500,2500,2500,2500,2500,2490,2495,2500,2550,2600,2650,2600,2600,2550,2500,2500,2500,2500,2550,2600,2600,2600,2600,2600,2600,2500,2550,2500,2500,2500,2650,2600,2700,2750,2750,2795,2700,2700,2650,2650,2650,2695,2650,2600,2700,2800,2795,2760,2700,2600,2600,2600,2650,2600,2700,2700,2800
"Miami-Fort Lauderdale, FL",7,,,,,,,2500,2500,2600,2500,2500,2450,2500,2500,2500,2500,2500,2500,2499,2450,2400,2400,2350,2400,2400,2400,2400,2400,2500,2400,2400,2400,2400,2400,2350,2350,2350,2400,2400,2450,2450,2500,2477.5,2485,2500,2500,2495,2450,2400,2400,2400,2495,2500,2500,2500,2500,2495,2500,2500,2500,2500,2500,2500,2550,2500,2599,2600,2600,2569,2600,2600,2600,2600,2650,2600,2650,2650,2600,2600,2500,2585.5,2600,2500,2550,2600,2638,2695,2700,2700,2700,2725,2730,2750,2750,2750,2750,2750,2750,2750,2799,2800,2800,2779,2750,2757.5,2750,2750,2750,2750,2800,2800
"Atlanta, GA",8,,1495,1500,1500,1500,1550,1595,1550,1500,1500,1500,1400,1400,1400,1400,1450,1475,1400,1400,1395,1395,1350,1350,1300,1300,1350,1300,1337.5,1355,1350,1300,1300,1300,1300,1295,1280.5,1300,1300,1300,1300,1307.5,1350,1300,1340,1350,1300,1300,1300,1295,1295,1300,1350,1375,1375,1395,1375,1375,1395,1395,1395,1400,1425,1450,1495,1500,1495,1497.5,1465,1450,1450,1495,1495,1475,1495,1500,1545,1550,1550,1550,1550,1549,1552.5,1500,1550,1550,1595,1600,1650,1695,1695,1650,1635,1601.5,1600,1620,1645,1650,1650,1700,1704,1745,1720,1711,1695,1695,1695,1699,1700,1700,1716,1745
"Boston, MA",9,,,,,,,,,,,,,,,,,2600,2600,2600,2500,2400,2500,2600,2900,2900,3000,3000,3000,2900,2900,2800,2800,2800,2800,3000,3200,3200,3200,3200,3200,3200,3200,3050,3000,3000,3000,3100,3200,3300,3300,3400,3300,3300,3250,3200,3200,3195,3200,3300,3600,3500,3499.5,3400,3400,3300,3300,3200,3200,3200,3250,3400,3600,3600,3600,3550,3500,3450,3400,3400,3350,3200,3200,3400,3750,3700,3650,3600,3600,3600,3600,3500,3400,3400,3500,3700,3800,3800,3800,3850,3800,3750,3600,3600,3500,3500,3600,3800,4000,3900,3800,3800
