"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1790,1750,1800,1800,1800,1850,1925,1895,1850,1875,1825,1800,1875,1900,1900,1913,1950,1975,2000,2000,1950,1900,1900,1950,2050,1750,1800,1750,1795,1800,1830,1845,1825,1785,1750,1700,1664.5,1650,1650,1700,1750,1800,1800,1825,1850,1800,1795,1750,1749,1710,1750,1775,1810,1850
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,2500,2550,2595,2600,2600,2650,2695,2700,2700,2699,2700,2700,2700,2650,2700,2750,2750,2795,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2800,2850,2850,2500,2500,2500,2500,2500,2475,2484,2500,2500,2600,2600,2600,2550,2600,2599,2575,2500,2500,2500,2500,2500,2500,2550,2595,2599,2596,2600,2650,2600,2450,2500,2495,2450,2499,2500,2500,2550,2594,2500,2499,2450,2400,2400,2400,2400,2499,2500,2566,2599.5,2595,2525,2500,2492,2450,2450,2475,2500,2516
"Los Angeles-Long Beach-Anaheim, CA",2,,1672.5,1797.5,1650,1695,1830,1795,1685.5,1625,1650,1672.5,1550,1565,1550,1500,1500,1485,1495,1545,1495,1400,1395,1375,1395,1400,1425,1405,1400,1395,1400,1400,1400,1400,1395,1350,1395,1400,1400,1450,1480,1450,1450,1450,1450,1450,1425,1495,1450,1400,1407,1450,1550,1545,1598,1575,1550,1595,1595,1600,1600,1600,1675,1695,1630,1695,1695,1750,1700,1750,1850,1880,1990,2000,2099.5,2095,2100,1920,1995,1795,1800,1850,1785,1795,1889,1990,2000,2050,2000,1995,1995,1975,1950,1995,1975,1995,1900,1950,1975,1995,1995,1995,1999,2000,1995,1995,1995,1999,2000,2000,2000,2025
"Chicago, IL",3,,1232.5,1297.5,1300,1172.5,1195,1215,1300,1332.5,1352,1350,1300,1300,1325,1395,1400,1450,1400,1395,1395,1390,1375,1375,1295,1255,1299,1350,1442.5,1450,1450,1457.5,1395,1415,1400,1450,1450,1504,1489,1500,1552,1550,1550,1575,1550,1500,1535,1600,1550,1495,1499,1500,1495,1523,1650,1590,1605,1625,1654,1500,1585,1755,1578,1595,1650,1650,1680.5,1600,1800,1909.5,2095,1850,1700,1829,1550,1489,1500,1510,1475,1475,1450,1400,1450,1475,1425,1450,1450,1470,1485,1495,1500,1525,1550,1590,1595,1600,1575,1595,1600,1629,1650,1695,1699,1695,1700,1625,1645,1600,1650,1600,1695,1602.5
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,850,870,874,870,870,870,869,850,850,850,830,795,897,950,975,986,990,950,825,795,795,795,810,825,825,820,837,844,850,867.5,895,900,909,920,900,970,1111,1100,1115,1100,975,983,940,1021,995,1005,1136,1232,1200,1120,1100,1100,1075,975,935,950,915,950,965,975,995,1050,1075,1097,1100,1095,1081,1095,1100,1050,1050,999,1100,1100,1100,1125,1150,1150,1150,1194.5,1195,1149,1125,1145,1135,1150,1149.5,1100,1100,1125,1150,1145,1100,1125,1137.5,1100,1104.5,1125,1150,1150
"Philadelphia, PA",5,,950,897.5,950,975,900,900,949,1000,1000,962.5,950,950,950,995,950,950,950,997.5,1050,950,925,900,950,1000,1075,1000,1000,995,995,950,950,925,925,900,923,950,1000,1050,1150,1182.5,1150,1150,1100,1095,1120,1117,1050,1055,1095,1100,1200,1200,1200,1200,1150,1200,1200,1200,1200,1200,1250,1295,1281.5,1300,1300,1230,1265,1250,1300,1250,1250,1250,1275,1300,1325,1250,1250,1195,1150,1194,1195,1200,1200,1200,1250,1295,1300,1300,1300,1295,1272.5,1250,1250,1200,1200,1200,1250,1295,1300,1295,1300,1290,1225,1250,1300,1295,1295,1275,1295,1300
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,1243,1085,1045,1055,1200,1202,1214,1265,1245,1300,1150,1150,1150,1150,1200,1179.5,1125,1100,1122,1100,1100,1125,1150,1100,1177.5,1150,1180,1100,1150,1119.5,1150,1100,1123.5,1100,1050,1050,1050,1000,1050,1095,1095,1095,1075,1075,1090,1075,1059,1059,1065.5,1068,1068,1068,1068,1068,1025,1025,1000,1020,1050,1050,1025,1050,1050,1050
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,1885,1892.5,1940,1914,1610,1600,1571.5,1500,1550,1500,1542,1595,1595,1595,1595,1621,1656,1650,1625,1600,1675,1650,1600,1600,1600,1600,1625,1650,1670,1675,1650,1650,1625,1650,1650,1650,1650,1695,1695,1700,1700,1700,1690,1695,1725,1750,1750,1795,1750,1795,1960,1802,1887,1700,1645,1650,1668,1700,1725,1700,1750,1779,1796,1800,1801,1800,1700,1700,1695,1750,1795,1750,1750,1750,1800,1800,1800,1800,1830,1850,1850,1850,1868,1850,1850,1900
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1300,1350,1395,1400,1350,1325,1350,1300,1325,1300,1250,1275,1275,1300,1300,1350,1380,1350,1399,1500,1600,1600,1600,1650,1700,1700,1700,1700,1700,1800,1625,1600,1575,1600,1700,1636,1690,1650,1700,1750,1650,1600,1650,1690,1650,1650,1650,1700,1750,1800,1779,1800,1750,1775,1800,1800,1700,1750,1899,1900,1800,1800,1800,1850,1850,1900,1899,1875,1900,1900,1850,1850,1850,1900,1850,1875,1900,1900,1900,1850,1895,1867,1850,1850,1800,1850,1850,1850,1900
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,964,900,905,909,850,750,750,725,725,725,725,700,700,725,750,765,800,831.5,850,928,965,950,1000,1000,995,1000,1050,1100,1000,1000,1000,1000,1050,1025,1000,1062,1095,1100,1100,1050,1100,1000,1050,1000,995,960,991,1000,1099,1100,1100,1225,1200,1227.5,1213.5,1250,1092.5,1000,977,995,1000,1100,1167.5,1185,1200,1200,1190,1102,1104.5,1130,1150,1200,1100,1175,1225,1200,1200,1250,1260,1250,1200,1150,1125,1150,1250,1250,1195
"Boston, MA",10,,,,,,,,,,,,,,,,,1700,1750,1800,1800,1715,1700,1700,1850,1843.5,1845,1800,1850,1800,1825,1800,1900,1850,1900,1900,2000,2000,1900,1950,1950,1950,2000,2100,2100,2100,2150,2100,2100,2155,2150,2185,2200,2200,2200,2200,2140,2150,2125,2150,2220,2250,2250,2300,2265,2250,2275,2250,2285,2200,2200,2255,2300,2375,2400,2400,2400,2500,2400,2400,2450,2400,2250,2300,2400,2400,2495,2500,2500,2500,2500,2500,2465,2400,2400,2400,2495,2500,2500,2550,2550,2600,2600,2550,2500,2500,2500,2500,2600,2675,2700,2700
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3257,3300,3050,3400,3195,3095,3200,3200,3520,3500,3500,3450,3550,3100,3200,2800,2797,2800,2800,2650,2800,2850,2850,2900,2900,2895,2875,2800,2800,2800,2799,2800,2850,2795,2800,2800,2800,2795,2800,2795,2750,2750,2800,2800,2800,2850,2800,2850
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,795,795,797.5,812.5,672.5,750,750,800,800,775,750,762.5,777.5,750,750,799.5,899,800,768,775,750,795,795,795,780,795,750,750,775,775,780,795
"Riverside, CA",13,,,,,,,,,,,,,800,825,950,945,850,800,800,795,797.5,850,847.5,895,934.5,975,950,970,895,795,795,759,750,753,795,795,800,800,800,795,800,800,825,825,860,900,850,850,850,850,850,750,750,799.5,750,750,750,750,750,750,732.5,750,750,775,790,795,795,795,797,850,875,875,875,875,900,910,895,875,920,925,900,900,900,895,897,900,900,950,950,975,995,995,1050,1100,1035,1050,1050,1025,995,1030,1050,1050,1050,1000,1000,1047.5,1050,1056,1095,1050,1095
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,729,750,745,784,725,650,649.5,650,647,650,650,650,650,650,650,650,653.5,675,700,750,750,725,725,750,749,750,750,725,715,710,747,700,700,695,695,725,700,700,750,725,750,745,750,749,725,750,750,750,750,825,795,795,800,750,772.5,792.5,750,733,731.5,819,833,850,900,895,895,915,905,895,880,895,853.5,895,895,895,900,900,900,950,950,925,900,900,899,925,902.5,950,950
"Seattle, WA",15,,,,,,,,,,,,1050,1075,1000,995,995,995,995,990,975,995,995,995,1025,1025,1020,1044,1030,995,965,995,1025,1050,995,975,935,950,990,995,1012.5,1000,1050,1095,1122.5,1150,1195,1185,1150,1130,1150,1195,1195,1195,1200,1225,1245,1200,1195,1195,1195,1195,1200,1200,1215,1250,1292.5,1325,1300,1295,1350,1303,1325,1329.5,1325,1300,1395,1395,1395,1395,1395,1395,1375,1325,1400,1450,1450,1450,1495,1500,1500,1525,1495,1495,1495,1476,1525,1495,1485,1495,1500,1500,1536,1500,1500,1495,1500,1495,1500,1500,1495,1510
