"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,,1475,1500,1495,1500,1450,1400,1285,1300,1300,1325,1265,1300,1400,1500,1500,1499,1500,1500,1450,1300,1260,1300,1300,1304.5,1361,1421,1500,1440,1425,1400,1396,1375,1365,1363,1315,1425,1475,1490,1500,1475,1562,1595,1700,1800,1700,1799,1795,1790,1795,1800,1900,1949,1695,1650,1650,1625,1600,1595,1600,1650,1650,1650,1700,1695,1700,1700,1650,1650,1595,1600,1649,1675,1695,1695,1695,1690,1705,1695,1650,1700,1740,1595,1625,1595,1600,1624,1600,1600,1600,1600,1575,1550,1550,1565,1575,1595,1600,1625,1650,1650,1650,1650,1614,1600,1599,1600,1625,1650,1684,1695
"New York, NY",1,,1850,2000,1950,2100,1975,1900,1850,2000,1950,2100,2000,1995,2295,2395,2400,2400,2500,2595,2500,2460,2400,2361.5,2395,2450,2495,2500,2550,2595,2600,2625,2650,2677,2670,2650,2600,2700,2700,2700,2795,2800,2750,2750,2795,2800,2700,2700,2695,2700,2700,2700,2775,2850,2405,2400,2400,2400,2400,2350,2375,2400,2400,2470,2500,2495,2450,2499,2490,2400,2400,2400,2395,2400,2400,2450,2499,2500,2500,2500,2500,2570,2535,2300,2395,2350,2350,2400,2400,2450,2450,2445,2400,2360,2310,2300,2300,2300,2340,2399,2400,2450,2450,2450,2400,2395,2350,2349,2327,2350,2395,2400
"Los Angeles-Long Beach-Anaheim, CA",2,1875,1850,1900,1925,1995,2095,2100,1825,1835,1800,1850,1725,1720,1750,1800,1850,1850,1850,1850,1800,1675,1550,1550,1575,1595,1600,1600,1600,1600,1600,1625,1650,1620,1610,1575,1590,1650,1675,1650,1695,1680,1676.5,1675,1750,1760,1650,1795,1780,1750,1740,1750,1850,1850,1895,1900,1914,1950,1950,1965,1975,1995,1995,2000,2000,2035,2045,2075,2080,2095,2094.5,2095,2100,2145,2175,2150,2160,2150,2130,2105,2150,2100,2140,2090,2150,2250,2290,2295,2275,2280,2282.5,2261,2259,2255,2250,2235,2200,2250,2250,2264,2295,2300,2325,2355,2350,2350,2360,2360,2350,2359,2375,2395
"Chicago, IL",3,,1295,1295,1275,1287.5,1250,1250,1295,1393,1381,1400,1350,1350,1350,1400,1440,1445,1400,1400,1405,1395,1350,1360,1363,1350,1349,1325,1350,1379,1395,1400,1425,1450,1400,1418,1401,1509,1485,1495,1523,1550,1560,1560,1550,1515,1525,1578,1536,1500,1500,1500,1550,1593,1650,1550,1650,1650,1600,1490,1510,1624,1550,1550,1575,1575,1570,1550,1600,1636,1689,1600,1590,1650,1575,1564,1590,1585,1550,1525,1506,1500,1500,1500,1500,1509,1544,1561,1595,1599,1595,1595,1600,1595,1595,1594,1585,1595,1606,1645,1650,1650,1650,1650,1650,1615,1629,1640,1660,1675,1700,1700
"Dallas-Fort Worth, TX",4,,,,,,,,,1159,1090,1152.5,1000,940,940,903.5,903,920,920,800,810,799,794,830,847,880,915,885,900,915,900,899,914,917,935,1000,1100,995,1018,1015,1011,1036,1050,985,1089,1158,1180,1175,1175,1139,1149,1169,1111,1129,1098.5,1095,1075,1085,1130,1140,1149,1144,1123,1149.5,1145,1150,1152,1165.5,1179,1180,1195,1195,1200,1220,1250,1235,1238,1229,1219,1207,1272,1225,1211,1169,1257,1270,1290,1295,1300,1325,1315,1325,1302,1285,1315,1307,1305,1350,1351.5,1350,1375,1376,1385,1389,1384,1405,1400,1395,1388,1390,1395,1388
"Philadelphia, PA",5,,,,,,,,,1100,1079.5,1050,1128,1150,1175,1250,1250,1250,1250,1200,1200,1100,1100,1150,1150,1190,1194,1220,1238,1225,1200,1200,1200,1150,1150,1125,1140,1200,1200,1200,1240,1208,1200,1200,1215,1200,1200,1200,1195,1200,1200,1200,1300,1300,1300,1300,1250,1259,1275,1250,1250,1250,1300,1330,1330,1325,1300,1300,1295,1295,1318,1295,1325,1334,1350,1350,1375,1350,1325,1310,1300,1315,1300,1323,1300,1350,1385,1400,1425,1400,1400,1410,1400,1395,1400,1395,1400,1395,1448,1455,1495,1475,1475,1475,1465,1455,1495,1490,1500,1508,1525,1510
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1044,1030,960,995,997,1019,1069,1050,1155,1135,1260,1270,1260,1159,1279,1147,1097,1126,1254,1259.5,1259,1230,1245,1264,1200,1216,1210,1212.5,1250,1300,1300,1303,1300,1300,1319,1305,1395,1385,1400,1350,1375,1357,1360,1348,1325,1295,1295,1250,1221,1240.5,1269,1295,1292,1300,1303,1295,1286,1300,1310,1316.5,1344,1344,1339.5,1355,1367,1374,1370,1375,1369,1367,1357,1345,1347,1330,1324,1326,1355,1349
"Washington, DC",7,1485,1500,1500,1500,1500,1500,1550,1505,1500,1500,1526.5,1550,1550,1550,1600,1600,1615,1675,1784,1841.5,1750,1650,1699,1700,1706,1757,1780,1812,1815,1790,1733,1740,1750,1779,1789,1795,1799,1804,1790,1704,1725,1725,1800,1800,1796.5,1778.5,1730,1750,1749,1725,1750,1800,1815,1850,1870,1820,1795,1795,1790,1790,1800,1800,1815,1810,1810,1800,1810,1815,1800,1780,1775,1795,1800,1813,1816,1802.5,1805,1795,1785,1750,1739,1742,1755,1800,1825,1854,1850,1857,1860,1855,1870,1838,1840,1845,1836.5,1840,1829,1845,1856,1880,1890,1883,1900,1860,1879,1875,1895,1909,1900,1905,1949
"Miami-Fort Lauderdale, FL",8,,1700,1650,1600,1650,1600,1600,1650,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1495,1475,1450,1475,1490,1450,1450,1500,1450,1475,1450,1425,1400,1450,1450,1450,1500,1500,1500,1550,1650,1643,1600,1650,1675,1700,1690,1650,1630,1600,1650,1650,1650,1610,1650,1650,1650,1642,1650,1698.5,1700,1700,1770.5,1800,1800,1825,1800,1800,1850,1840,1850,1850,1875,1800,1800,1800,1750,1725,1780,1765,1850,1700,1759,1775,1800,1800,1800,1800,1800,1800,1825,1809,1800,1800,1800,1834,1850,1875,1895,1890,1885,1889,1887,1900,1885,1869,1875,1887,1900,1900
"Atlanta, GA",9,,1050,1050,1100,1100,1050,957.5,950,950,975,1049.5,950,990,995,975,975,975,965,950,961.5,875,859,877,862,900,890,875,897,897,895,925,899,899,897,887,875,897,904,920,925,945,950,950,999,1015,1000,1050,1070,1060,1078,1095,1100,1100,1100,1100,1100,1100,1123,1099,1119.5,1150,1150,1186.5,1200,1235,1220,1240,1243,1225,1300,1289,1295,1290,1300,1309,1200,1265,1260,1256,1300,1245,1240,1214,1285,1295,1320,1340,1352,1347,1339,1350,1347.5,1340,1344,1349,1360,1367,1379,1395,1418,1412,1435,1450,1430,1485,1480,1473,1482,1498,1505,1501
