"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,,,1500,1500,1500,1600,1500,1500,1495,1475,1450,1500,1400,1400,1400,1450,1450,1450,1400,1400,1395,1350,1325,1325,1315,1350,1399,1395,1395,1400,1395,1395,1350,1320,1350,1345,1295,1300,1350,1350,1350,1350,1375,1350,1375,1350,1350,1375,1350,1300,1300,1345,1400,1400,1400,1400,1400,1395,1395,1395,1395,1395,1400,1450,1462,1490,1475,1475,1450,1425,1450,1425,1450,1450,1500,1500,1500,1500,1500,1500,1495,1495,1495,1450,1450,1467.5,1500,1550,1550,1595,1595,1550,1550,1520,1500,1500,1500,1525,1550,1600,1600,1625,1645,1600,1600,1595,1595,1595,1575,1595,1600,1650
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,3200,3300,3185,3325,3250,3450,3550,3350,3300,3100,3000,3000,3000,3200,3150,3200,3200,3700
"Los Angeles-Long Beach-Anaheim, CA",2,,,2950,3000,3000,3125,3200,3100,2995,2900,2900,3000,2800,2850,2800,2900,2900,2950,2900,2850,2800,2700,2550,2595,2550,2600,2500,2500,2600,2600,2500,2495,2500,2370,2300,2299.5,2300,2350,2300,2350,2450,2500,2500,2495,2500,2500,2400,2600,2500,2500,2500,2500,2690,2750,2800,2800,2800,2800,2800,2850,2850,2835,2850,2975,3000,3100,3050,3100,3050,3000,3000,3000,3000,3150,3200,3100,3100,3180,3100,2995,3050,2970,3195,2950,3099,3200,3300,3400,3400,3405,3400,3400,3350,3300,3300,3300,3295,3299,3300,3350,3400,3495,3450,3400,3400,3400,3400,3490,3400,3490,3450,3500
"Chicago, IL",3,,1650,1600,1600,1600,1662.5,1695,1600,1600,1600,1600,1650,1600,1550,1535,1595,1600,1600,1650,1612,1600,1575,1500,1500,1500,1500,1545,1500,1525,1555,1550,1550,1500,1490,1450,1490,1490,1452,1500,1500,1539,1539,1575,1600,1575,1594.5,1550,1600,1577,1550,1550,1550,1600,1600,1625,1625,1649,1649,1600,1600,1600,1622,1620,1650,1650,1650,1669,1675,1650,1625,1629.5,1600,1600,1600,1600,1600,1625,1614,1625,1625,1600,1600,1595,1595,1575,1575,1600,1618,1650,1675,1700,1675,1650,1624.5,1604,1615,1600,1601,1650,1650,1695,1700,1725,1700,1700,1685,1650,1650,1645,1650,1650,1695
"Dallas-Fort Worth, TX",4,,1295,1350,1400,1395,1375,1350,1350,1395,1495,1400,1400,1395,1350,1350,1350,1350,1395,1350,1350,1300,1295,1295,1295,1295,1300,1350,1250,1300,1350,1325,1300,1295,1295,1295,1295,1295,1295,1300,1300,1350,1395,1395,1395,1395,1350,1350,1375,1350,1350,1350,1375,1450,1450,1495,1495,1475,1450,1475,1475,1475,1495,1500,1545,1550,1570,1575,1575,1550,1545,1525,1525,1550,1550,1595,1595,1599,1600,1600,1600,1595,1595,1600,1595,1600,1600,1650,1695,1700,1745,1750,1700,1695,1650,1650,1650,1650,1675,1695,1750,1750,1750,1750,1705,1700,1695,1695,1695,1695,1695,1700,1750
"Philadelphia, PA",5,,1497,1500,1500,1500,1550,1500,1500,1500,1500,1500,1500,1400,1400,1450,1500,1500,1500,1500,1500,1500,1450,1450,1400,1400,1425,1450,1450,1450,1450,1450,1400,1365,1395,1375,1350,1350,1350,1400,1450,1500,1500,1500,1450,1450,1425,1400,1400,1400,1350,1375,1400,1500,1514.5,1550,1500,1500,1475,1450,1450,1475,1500,1500,1550,1575,1585,1575,1550,1500,1500,1500,1499,1495,1500,1500,1575,1585,1550,1525,1500,1500,1450,1500,1450,1450,1450,1500,1550,1550,1550,1550,1500,1500,1500,1500,1500,1495,1500,1500,1550,1575,1595,1550,1550,1500,1500,1500,1500,1500,1500,1550,1600
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1395,1400,1450,1550,1595,1600,1600,1595,1550,1575,1575,1575,1575,1600,1650,1650,1675,1675,1650,1650,1619,1625,1650,1649,1650,1675,1695,1650,1650,1600,1600,1600,1575,1560,1500,1575,1595,1600,1650,1650,1650,1650,1645,1650,1600,1600,1600,1600,1600,1645,1650,1675,1695,1695,1650,1650,1625,1600,1600,1600,1625,1650,1650
"Washington, DC",7,,1800,1800,1850,1850,1950,2000,1950,1900,1950,1900,1950,1900,1900,1900,1900,2000,2100,2000,2000,2000,1999.5,1995,1975,1950,1900,1975,1995,2000,2100,2100,2000,2000,2000,1999,1975,1995,1995,2000,2000,2100,2100,2100,2100,2100,2050,2000,2000,1999,1995,1995,2000,2100,2195,2200,2195,2100,2100,2100,2050,2034.5,2050,2100,2100,2175,2200,2200,2200,2195,2125,2100,2100,2100,2150,2200,2200,2200,2200,2200,2200,2200,2150,2100,2100,2150,2190,2200,2250,2300,2300,2350,2295,2200,2200,2200,2175,2190,2200,2200,2295,2300,2350,2395,2300,2300,2295,2290,2250,2227.5,2250,2300,2395
"Miami-Fort Lauderdale, FL",8,,,2200,2200,2200,2200,2100,2100,2050,2100,2000,2100,1950,1950,1950,1950,2000,2000,1975,1950,1950,1950,1900,1895,1895,1895,1900,1800,1800,1895,1850,1800,1800,1800,1800,1762.5,1795,1750,1750,1800,1850,1895,1950,1995,2000,2000,2000,2000,2000,1999,1975,1995,2050,2092.5,2100,2075,2100,2095,2000,2000,2000,2000,2000,2100,2100,2100,2125,2150,2100,2100,2195,2200,2200,2200,2200,2200,2200,2200,2165,2150,2100,2150,2200,2100,2150,2195,2200,2200,2249,2250,2250,2268,2300,2275,2250,2250,2295,2250,2250,2250,2250,2290,2275,2250,2250,2250,2275,2282.5,2250,2272.5,2300,2300
"Atlanta, GA",9,1062,1175,1200,1200,1200,1250,1250,1250,1250,1200,1200,1250,1192.5,1175,1150,1200,1200,1200,1150,1150,1100,1100,1100,1100,1095,1056,1100,1050,1075,1095,1095,1075,1095,1050,1000,1000,1000,977,1000,1000,1095,1095,1099,1100,1100,1100,1095,1100,1100,1095,1095,1095,1100,1105,1125,1150,1145,1150,1150,1150,1134,1150,1195,1200,1200,1250,1250,1200,1200,1200,1200,1200,1225,1225,1250,1275,1300,1300,1300,1300,1295,1300,1300,1295,1300,1345,1350,1400,1400,1425,1450,1400,1400,1395,1395,1395,1400,1400,1426,1495,1495,1499,1500,1495,1465,1450,1450,1450,1465,1470,1495,1505
