"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"United States",0,1297,1500,1450,1495,1495,1495,1475,1450,1400,1400,1400,1400,1325,1300,1350,1378,1395,1350,1350,1329,1300,1250,1275,1275,1295,1300,1350,1375,1390,1385,1395,1385,1350,1350,1350,1375,1350,1410,1450,1460,1450,1400,1450,1425,1475,1514,1500,1550,1500,1500,1500,1550,1600,1600,1495,1450,1475,1450,1400,1400,1425,1450,1475,1499,1500,1500,1500,1500,1475,1450,1450,1450,1450,1495,1500,1500,1500,1500,1500,1500,1495,1500,1550,1425,1450,1450,1489,1500,1500,1500,1500,1500,1500,1495,1495,1495,1485,1500,1500,1500,1550,1550,1550,1545,1500,1500,1500,1500,1500,1525,1550,1590
"New York, NY",1,,2000,2000,2100,2000,2100,2000,1950,1950,2000,1950,2100,1950,1850,1950,1995,2000,2000,2077.5,2150,2100,2000,2000,2000,2000,2000,2050,2100,2125,2150,2150,2150,2150,2150,2150,2195,2150,2160,2150,2175,2200,2200,2200,2200,2229,2245,2250,2257,2250,2250,2250,2250,2300,2300,2250,2200,2200,2220,2200,2200,2270,2275,2300,2350,2375,2395,2350,2400,2395,2350,2300,2300,2300,2300,2300,2350,2300,2300,2300,2295,2300,2300,2300,2150,2200,2300,2303,2350,2400,2400,2400,2390,2400,2310,2300,2300,2300,2300,2300,2350,2400,2400,2400,2400,2350,2300,2300,2300,2300,2308,2350,2425
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,1497,1400,1295,1350,1300,1390,1375,1295,1095,945,925,975,1010,1082,1066,1100,1065,1075,1095,1145,1119.5,1135,1100,1075,1140,1175,1180,1200,1199,1140,1175,1145,1175,998,1150,1150,1125,1098,1119,1200,1250,1295,1299,1300,1350,1355,1375,1360,1390,1399.5,1425,1395,1480,1495,1500,1525,1550,1500,1511.5,1625,1650,1664,1650,1695,1650,1766.5,1566,1630,1575,1600,1525,1545,1765,1850,1795,1750.5,1825,1888,1890,1894,1850,1803,1814.5,1795,1800,1800,1825,1850,1805,1831,1877,1870,1899,1900,1854.5,1850,1850,1880,1940
"Chicago, IL",3,,1450,1450,1495,1495,1475,1475,1500,1510,1550,1550,1600,1500,1450,1375,1385,1400,1365,1350,1350,1356.5,1330,1300,1299,1275,1250,1250,1300,1300,1300,1350,1399,1399,1376,1390,1375,1386,1418,1400,1400,1440,1450,1450,1495,1500,1495,1450,1475,1481,1464,1450,1450,1500,1525,1575,1500,1586,1576,1500,1495,1520,1600,1545,1500,1530,1550,1525,1509,1540,1545,1545.5,1517,1500,1550,1500,1500,1500,1475,1469,1450,1450,1500,1500,1490,1495,1500,1490,1495,1500,1500,1500,1530,1550,1546,1525,1500,1500,1500,1498,1477,1492,1495,1500,1514,1497,1480,1475,1480,1500,1470,1550,1506
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,833.5,825,800,799,795,865,900,850,1000,1050,895,875,879,875,925,932,892,887,900,925,866.5,916.5,975,1064,1150,1189,1150,1100,1100,1100,1098,1100,1115,1200,1225,1245,1195,1200,1205,1225,1215,1200,1245,1295,1287.5,1329.5,1300,1300,1250,1236.5,1198,1225,1200,1250,1300,1290,1339.5,1250,1275,1345,1200,1325,1295,1250,1295,1337.5,1350,1300,1295,1300,1295,1305,1310,1300,1295,1295,1303,1300,1305,1298,1300,1344,1350,1325,1325,1295,1310,1300,1305,1300,1300,1295
"Philadelphia, PA",5,,1537.5,1550,1500,1500,1525,1550,1600,1500,1500,1500,1500,1400,1400,1400,1450,1450,1450,1500,1500,1500,1450,1400,1395,1300,1350,1350,1325,1350,1300,1350,1375,1350,1350,1300,1300,1250,1295,1300,1300,1300,1250,1250,1300,1350,1350,1275,1300,1295,1275,1295,1280,1375,1350,1400,1395,1390,1399,1375,1300,1350,1317.5,1350,1395,1395,1400,1350,1390,1375,1350,1350,1350,1350,1375,1400,1400,1353,1400,1350,1400,1350,1400,1400,1395,1350,1350,1360,1350,1375,1350,1355,1395,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1435,1450,1450,1450,1500,1495,1451,1450,1450,1450
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1168.5,1160,1229,1220,1230,1250,1350,1400,1352.5,1450,1499.5,1499,1479,1500,1600,1638.5,1645,1600,1600,1595,1580,1595,1595,1575,1595,1600,1625,1675,1675,1650,1649,1600,1600,1600,1600,1600,1600,1620,1600,1600,1600,1595,1600,1550,1592.5,1500,1500,1500,1522.5,1575,1560,1580,1595,1599.5,1600,1575,1575,1575,1550,1550,1595,1600.5,1639,1650,1650,1625,1624,1600,1595,1595,1550,1600,1600,1600
"Washington, DC",7,,1700,1700,1700,1750,1790,1850,1825,1800,1800,1795,1795,1750,1750,1750,1795,1807.5,1847.5,1835,1825,1850,1800,1778,1795,1748,1700,1720,1740,1725,1744,1750,1700,1700,1700,1719,1700,1700,1732,1752,1730,1700,1700,1700,1750,1775,1750,1745,1700,1695,1663.5,1650,1630,1695,1700,1705,1740,1750,1700,1700,1720,1740.5,1725,1732,1700,1700,1725,1735.5,1750,1750,1750,1700,1724,1700,1700,1725,1725,1725,1736.5,1725,1760,1709,1700,1720,1700,1750,1740,1756.5,1750,1765,1789,1804,1805,1791,1775,1765,1750,1754,1728,1715,1730,1725,1742,1750,1799,1765,1750,1750,1765,1768,1770,1750,1750
"Miami-Fort Lauderdale, FL",8,,,,,,,,2000,1700,1600,1600,1787.5,1800,1800,1800,1792.5,1800,1800,1800,1800,1800,1775,1700,1700,1650,1650,1675,1600,1600,1600,1550,1600,1500,1600,1600,1600,1600,1650,1695,1650,1650,1695,1700,1775,1800,1800,1700,1800,1800,1800,1800,1775,1900,1900,1900,1850,1800,1835,1800,1800,1800,1800,1800,1850,1849,1849,1800,1850,1850,1875,1875,1850,1896,1865,1875,1895,1850,1850,1800,1800,1800,1800,1800,1750,1750,1800,1800,1844,1814.5,1850,1850,1900,1890,1850,1850,1825,1840,1800,1800,1830,1820,1850,1840,1810,1838,1800,1825,1816,1830,1850,1850,1850
"Atlanta, GA",9,,,,,,,,,,,,,,1200,1295,1350,1350,1394.5,1300,1250,1200,1150,1095,1030,1000,995,1000,1000,1050,1095,1100,1050,1050,1029.5,1000,954,940,910,950,983,1050,1005,1000,1065,1100,1150,1100,1100,1100,1150,1100,1100,1150,1150,1200,1250,1200,1205,1200,1000,950,900,955,1000,995,1082.5,1100,1050,1095,1100,1159,1200,1200,1295,1315,1334,1350,1325,1350,1385,1327.5,1330,1335,1325,1300,1318,1349,1350,1350,1399,1385,1358,1338,1340,1375,1400,1415,1427,1415,1415,1435,1415,1420,1443,1400,1435,1455,1435,1440,1450,1450,1447
