"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
102001,"United States",0,154000,154200,154300,154500,154800,155000,155400,155700,156100,156600,157100,157500,157900,158400,158900,159300,159800,160200,160700,161200,161700,162300,162700,163100,163600,164100,164700,165400,166100,167000,167900,168800,169700,170700,171500,172200,173000,173800,174700,175700,176700,177800,178900,180100,181400,182800,184200,185400,186600,187700,188600,189600,190600,191500,192400,193300,194300,195300,196300,197200,198100,199000,199900,200900,202000,203100,204200,205300,206500,207800,209100,210400,211700,213000,214300,215600,216900,218300,219800,221500,223100,224600,226100,227600,229200,230700,232300,234000,235700,237400,239200,241100,243100,245200,247500,249900,252400,255000,257800,260700,263500,266400,269200,271900,274500,277100,279700,282300,285100,288000,290800,293600,296200,298700,301100,303400,305700,307800,309700,311500,313500,315200,316800,318000,318800,319200,319400,319300,319300,319500,319400,319300,319000,318500,317600,316300,314700,312900,311000,308800,306400,304000,301100,297900,294600,291200,287600,284400,281600,279100,276700,274300,272200,270300,268300,266100,263900,261300,258800,257100,256000,255200,254700,254400,254100,253400,253500,253700,253100,252300,252200,251500,250300,249100,247800,246800,245600,244400,243000,241700,240800,240300,239700,239000,238500,238100,237800,237500,237400,237500,237600,238000,238700,239600,240400,241200,242000,242800,243800,245000,246000,247000,248200,249500,251100,253000,254900,257000,259100,260800,262200,263400,264400,265700,266900,268100,269300,270700,272000,273100,274200,275400,276500,277300,278100,279000,280000,281000,282300,283700,285300,286800,288100,289300,290500,291500,292500,293700,294900,296500,298200,299600,301100,302700,304300,305900,307700,309200,310700,312000,313200,314800,316500,318100,319300,320700,322200,323500,324500,325500,326900,328900,330900,332300,333400,335100,336800,338200,339500,340700,342100,343600,345100,346600,348000,348800,348700
394913,"New York, NY",1,199600,199400,199100,198700,198200,197800,197500,197300,197500,197900,198400,198800,199300,199900,200600,201300,202000,202800,203700,204600,205700,207000,208100,208800,209500,210200,211000,211900,212900,214100,215500,217000,218700,220500,222200,224000,225900,228200,230600,233100,235600,238200,240700,243300,246100,249100,252200,255200,258200,261300,264200,267000,269700,272200,274700,277300,280100,283000,285900,288800,291900,295000,298200,301400,304900,308400,312100,315800,319600,323300,327000,330800,334600,338400,342200,346100,350000,354000,358100,362400,366900,371300,375600,379700,383800,387800,391900,396100,400400,404700,408900,413200,417300,421400,425600,429900,434300,439100,444300,449700,455200,460700,466000,471000,476100,481200,486100,490800,495300,499500,503400,507200,510900,514400,517700,520700,523500,526200,528800,531300,533600,535400,536600,537100,536700,535800,534400,532500,530400,528500,526600,524700,522900,521000,519000,516900,514900,512900,510800,508600,506300,504200,501700,498800,495300,491200,486700,482200,478000,474000,470200,466300,462700,459700,456800,453700,450000,445600,441200,437700,435200,433500,432500,432000,431900,431600,432300,433400,433400,432400,432000,431300,430300,428400,426600,425300,423000,420100,416400,412600,410000,409700,409600,408000,405900,404200,402700,400800,399000,396600,393800,392200,392000,392200,392100,391800,391200,391100,391100,391000,391300,392600,393900,394800,395200,396000,397800,400500,402900,404300,404900,406300,407800,408800,409100,410100,412000,413500,414300,415100,415800,416600,418100,419400,420100,421100,422500,423100,422900,422300,421800,421800,422900,424500,426000,426800,427200,428000,429300,430200,431100,431800,432000,433200,435200,436200,436100,436300,437300,438200,438600,440000,442200,445000,448100,450900,453100,455000,456900,458900,461100,463900,467400,470300,472800,475400,478200,480500,482200,483400,484300,484900,485800,487400,490100,492000,492100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,219700,219700,219600,219400,219400,219400,219600,219800,220400,221100,221800,222200,222700,223400,224100,225000,226200,227500,229200,231100,233600,236500,239200,241600,243800,246000,248100,250200,252300,254600,256900,259300,262000,264800,267300,269300,271300,273100,274900,276600,278200,279900,281800,283900,286300,288900,291500,293800,296200,298600,301100,303600,306100,308600,311200,314000,317100,320200,323400,326400,329300,332100,334900,337700,340500,343400,346500,349700,353200,357000,361000,365100,369600,374300,379500,385100,391000,397100,403400,409800,416000,421900,427500,433200,439000,445000,451500,458600,466400,474800,483600,493000,502800,513200,524200,536300,549600,563400,577100,589900,601100,610800,619000,626100,632600,639100,645600,652300,659200,666100,673500,681100,688700,696100,703200,709700,715700,721300,726300,730800,734500,737000,738100,737500,735100,731600,727700,723400,719300,716000,712400,707700,702000,695800,689000,681000,671900,662800,654100,645500,636700,627900,618400,607900,596600,586300,577300,570100,564600,560500,556600,553100,549800,547000,543600,538800,533100,527300,523200,522200,523700,526400,529500,532500,535000,535600,535200,535500,537800,540000,540000,537200,535100,532600,529500,525700,522000,518400,515900,513800,511400,508100,505400,502900,499500,495700,492900,491600,491100,490200,489700,490900,493300,496700,500400,504500,508200,512100,516800,522400,528000,534400,542300,552500,563500,574100,584000,592500,598800,603300,606700,609000,610200,611800,614900,617900,619800,622000,624100,625700,627200,629700,631900,633700,635900,639500,643400,646700,649400,651900,654700,657600,660900,664900,668000,670400,673900,677000,678300,679500,681400,683100,684700,687400,691900,697100,701100,704100,707300,710800,714200,716600,718600,721100,724000,727100,730700,734700,738800,743000,746800,751600,756200,758500,759300,760700,762300,763800,765400,766300,767400,768500,769500,769400,768000,765200,762200
394463,"Chicago, IL",3,196600,197300,197700,197700,197400,196800,195900,194800,193800,193100,192100,190800,189500,188200,186700,184900,183000,181300,180100,179800,180600,182200,184000,186000,188200,190700,193300,196200,199100,202100,204600,206700,208300,209500,210000,210100,210200,210500,211100,212000,213200,214700,216400,218300,220600,223100,225500,227600,229700,231700,233700,235600,237500,239300,241100,242700,244300,245900,247300,248500,249600,250700,251800,253000,254300,255600,257000,258500,260000,261600,263200,264800,266400,268000,269500,271000,272500,274000,275600,277200,278700,280200,281800,283400,285000,286700,288400,290200,291900,293600,295400,297100,299000,301000,303200,305400,307700,310200,312900,315800,318600,321400,324200,326800,329500,332200,334800,337400,340200,342900,345600,348300,351000,353700,356200,358600,360600,362600,364200,365800,367200,368500,369600,370400,371100,371700,372400,372800,373000,373300,373300,373000,372300,371500,370200,368800,367200,366000,364900,363500,361700,359700,357300,354500,351500,348600,345300,341700,337800,334400,331600,328800,325800,323000,320200,316800,312800,308500,304500,301200,298700,296900,295700,294900,294500,293400,293300,293500,292600,290800,289700,287700,285300,282500,279200,276500,274500,273400,272100,270300,268400,266900,265200,264400,264100,263100,261400,260000,259300,258100,255900,254600,255100,256000,257000,258000,258900,259800,260800,261600,261800,262000,262800,264600,266800,269000,271200,273500,275400,277300,278600,279200,279500,280100,280700,281300,282700,284600,286700,288700,290200,290800,290900,291100,291400,292000,292700,293100,293300,293700,294100,294200,294100,294500,295800,297000,297500,297800,298400,299400,300500,301600,302400,303300,304400,305700,307200,308700,309600,309800,310200,311000,312100,313300,314300,315000,315500,316400,317600,319000,319900,321600,323800,325100,325500,326000,326200,326100,326000,326200,326700,327600,328600,329800,331000,331600,330900
394514,"Dallas-Fort Worth, TX",4,184000,183900,183800,183900,184100,184300,184500,184600,184600,184400,184400,184400,184500,184600,184800,185100,185500,186100,186900,188100,189500,191000,192400,193300,193700,193600,193100,192500,192000,191600,191500,191900,192600,193600,194600,195600,196600,197500,198400,199100,199700,200200,200600,201000,201200,201300,201200,201000,200500,200000,199500,199100,198900,198700,198700,198700,198700,198700,198700,198600,198400,198100,197800,197400,197100,196700,196400,195900,195300,194700,194100,193700,193500,193600,193800,194200,194600,194900,195000,195000,194800,194500,194200,193800,193600,193400,193300,193300,193300,193300,193400,193800,194500,195700,197300,199200,201000,202400,203500,204300,205000,205600,206100,206700,207300,207900,208500,209100,209800,210500,211200,211800,212400,212900,213300,213900,214500,215200,215800,216500,217300,218000,218600,219300,219900,220600,221300,222000,222400,222600,222500,222500,222500,222600,222900,223200,223600,224000,224300,224300,224000,223300,222400,221500,220700,219900,219400,219100,218900,218600,218500,218400,218300,218200,218000,217900,217700,217300,217000,216900,216900,216900,217100,217300,217400,217900,218300,218000,217400,217100,216800,216400,216000,215600,215000,214200,213600,213100,213000,212800,212600,212500,212400,212100,211600,211300,211000,210800,210900,210900,210900,211200,212000,212900,213500,214100,214700,215400,216500,217600,218700,219900,221100,222600,224100,225600,227100,228600,230100,231800,233400,234900,236000,236800,237600,238700,239600,240500,241600,243000,245000,246800,248100,249300,250700,252100,253600,255200,257000,259100,261400,263500,265500,267400,269100,270800,272300,273600,275200,277600,280500,283300,286200,289200,292000,294300,296200,298000,299800,301200,302200,303700,305600,307200,308600,310300,312300,314500,316400,317500,318200,320200,323400,326100,327700,329500,331200,331700,331400,331500,332700,335000,338000,340500,342100,342100,341000
394974,"Philadelphia, PA",5,184200,184100,183900,183600,183400,183300,183300,183400,183600,184000,184300,184500,184500,184600,184600,184600,184600,184700,184800,185000,185500,186100,186600,187100,187500,187900,188300,188600,188900,189300,189800,190400,191200,191900,192600,193200,193800,194600,195400,196400,197500,198800,200100,201600,203300,205200,207100,208800,210600,212300,213900,215300,216700,218100,219400,220800,222200,223800,225400,226900,228400,229800,231200,232700,234200,235600,237200,238800,240600,242500,244600,246800,248900,251100,253300,255600,258100,260700,263500,266300,269200,271800,274300,276800,279400,281900,284600,287400,290200,293200,296200,299200,302000,304900,307900,311200,314800,318700,322900,327200,331400,335300,338800,342200,345500,348700,351600,354400,357200,360000,362800,365700,368700,371500,374200,376600,379000,381100,382900,384400,385700,386500,387100,387400,387500,387300,387000,386400,385800,385300,384800,384300,383900,383600,383100,382600,381800,380900,379800,378500,377000,375700,374200,372600,371100,369700,368200,366800,365100,363500,362100,360800,359600,358900,357800,356300,354400,352300,350100,348400,347200,346500,346100,345900,346000,345500,345400,345700,345400,344700,344600,343600,342300,340800,339500,338000,336100,334200,333000,332300,331600,330700,329600,328200,326700,325200,324300,324200,323800,323500,323500,323800,323800,323500,323200,323500,323900,324000,324000,324100,324700,325300,325700,326100,327100,328300,329700,331100,333100,335300,337200,338400,339500,340600,341200,341600,342600,344100,345200,346000,346900,347400,347600,347900,347900,347500,346800,346700,347600,349000,350500,351700,352300,352900,353400,353500,353600,354500,356100,357900,359000,359700,360800,362600,364300,365500,366400,366700,366500,367000,368000,368900,369600,370800,371900,372800,373900,374900,376300,379400,383300,385800,386800,386500,386000,386300,387300,388400,389100,389700,390400,391200,392200,393500,394700,395500,395800
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,144000,144900,145900,147000,148200,149400,150300,150900,151200,151200,151100,151000,151100,151400,152100,153300,155000,157000,158900,160500,161700,162400,162800,162900,163100,163400,164000,165100,166900,169300,172200,175100,177300,178400,178400,177700,176700,175600,174300,172700,171000,169000,167100,165300,163600,162400,161700,161300,161100,161100,161200,161200,161300,161300,161200,161200,161500,162000,162700,163600,164300,164900,165300,165500,165500,165500,165600,165800,166000,166300,166700,167200,167700,168100,168400,168600,168900,169300,170000,170900,172000,173000,173900,174700,175400,176100,176800,177600,178600,179600,180400,180900,181000,180900,180500,180100,179800,179400,179100,179000,179000,179200,179400,179800,180300,181100,182100,183000,184000,185000,186000,187100,188200,189200,189800,190100,190500,190800,191100,191500,191900,192400,192800,193000,192800,192200,191100,189700,188500,187500,186600,186000,185700,185400,185100,184700,184500,184300,184000,183700,183400,183100,182800,182800,183000,183300,183400,183600,183500,183300,183300,183500,183800,184000,184100,184000,183600,183200,182900,182300,181500,181000,180900,181100,181100,180800,180200,179400,178400,177800,177600,177700,177500,177200,177300,177400,177200,177200,177700,178300,179100,179600,179400,179400,180100,181100,181800,182300,183100,184100,185300,186500,187600,188600,189400,190300,191300,192200,192900,194000,195400,196700,198100,199800,201500,203000,204600,206200,207900,209200,210500,212000,214100,216700,219500,222300,224900,227500,229800,231300,232500,233800,235000,236000,237200,238500,239400,239900,240200,240600,240800,241000,241300,241600,242000,242400,242900,243500,244000,244300,244600,245100,245800,246600,247100,247800,248800,250100,251200,251900,252100,252200,252600,253000,253400,254100,255300,256700,257900,257900,256900
395209,"Washington, DC",7,220200,219900,219500,219100,218800,218700,218800,219100,219500,220000,220300,220200,219900,219500,219300,219100,219300,219700,220300,221100,222100,223300,224200,224900,225500,226100,226700,227400,228200,229000,229900,230900,232100,233500,234900,236300,237800,239500,241200,242800,244300,245700,247400,249100,251100,253300,255500,257400,259600,261900,264400,267300,270500,274000,277700,281700,285800,290000,294000,297800,301700,305600,309300,313100,316900,320700,324500,328500,332500,336600,340500,344300,347900,351400,354900,358600,362300,366000,369900,373900,377800,381800,385700,389800,393700,397300,401000,404700,408500,412700,417100,421800,426600,431700,437500,444300,452400,461500,471500,482100,492700,503000,512800,522300,531800,541100,550100,559400,569100,578800,588000,596200,603000,608300,612200,614900,616800,618300,618900,618300,616400,613600,609800,605000,599600,594200,589200,584400,580300,577000,573800,570200,566100,561800,556900,551400,545300,539200,533100,526800,520500,514700,509000,502600,495500,488800,482600,477600,473900,471400,469300,467400,465800,464800,463300,460500,456700,452500,449200,448000,448500,450000,452000,454200,455800,455800,456400,458700,461300,463000,464600,465200,465100,464600,463400,461900,460700,458900,455700,453700,454200,456400,458500,460000,461000,460900,460500,460900,461400,461600,462400,464700,467000,468900,471000,473400,474500,475600,477900,480000,481300,483900,487700,490700,493600,497200,500400,503200,506600,509500,511500,513400,515800,517800,519500,520800,522100,522700,522900,522700,522500,522400,523200,523800,523600,523900,525600,526800,527000,526900,526600,526500,526800,527100,527200,527500,528100,528500,528600,529100,530600,532400,534700,536700,538800,541600,543700,545200,546800,548900,550300,551400,552200,553800,555500,557100,558100,559200,560500,561700,563600,567400,571900,574400,574700,575500,576300,576500,576600,577100,577800,578700,580100,581100,581900,583100,583600
394856,"Miami-Fort Lauderdale, FL",8,158600,158800,158900,158900,158900,158900,158900,158800,159000,159300,159500,159600,159700,159700,159800,159900,160100,160300,160600,161000,161700,162600,163300,163600,163800,163800,163700,163600,163600,163600,163800,164100,164500,165000,165400,165800,166100,166600,167100,167600,168100,168500,169100,169700,170500,171500,172600,173600,174700,175800,177000,178100,179300,180700,182100,183600,185300,187200,189100,191000,193000,195100,197400,199900,202400,205000,207600,210200,212700,215200,217500,219600,221600,223600,225600,227700,230000,232500,235100,238000,241100,244400,247800,251400,255000,258500,261900,265200,268500,271800,275300,278900,282500,286100,289900,293900,298100,302800,308100,313900,320000,326500,333200,340000,347300,354800,362300,370000,378400,386900,395600,404200,412100,419100,425200,430500,435300,440000,444600,449400,454300,458800,462400,464700,465600,465700,465100,464100,463000,462200,460700,458600,456100,453300,449900,445900,441100,435800,429900,423300,416000,408300,399800,390600,381300,372300,363500,355100,347000,339100,331100,322900,315100,308000,300800,293000,285000,277000,269900,265300,262800,261300,260500,259800,259400,258700,258600,258000,257100,256200,255900,254300,251900,249700,248700,248600,247900,246800,246000,246400,247200,247900,247800,247300,246900,246700,246600,246600,246600,246900,247700,248700,249600,250800,251600,252300,253300,254200,254400,255500,257400,259200,261500,264300,267500,270900,274500,278100,281800,285100,288100,290900,293400,295600,298000,300700,303400,306200,309600,313600,317100,319700,321700,323500,325400,326900,328000,330200,333000,335700,337800,339600,341700,344600,347100,348600,350000,352000,353900,355900,358200,360500,362700,365000,367200,369700,372800,375700,378200,380600,382100,382900,384100,385500,386600,387900,389200,391100,392600,393100,394100,397200,400700,402800,404500,406800,409200,411000,412800,414700,416700,418000,419300,420700,421700,420600,418400
394347,"Atlanta, GA",9,155200,155900,156500,157000,157400,157900,158300,158600,159000,159500,159800,160100,160500,161000,161600,162200,162800,163500,164100,164600,165200,165800,166300,166800,167300,167900,168600,169400,170200,171100,172000,173100,174300,175500,176700,177800,178900,179900,181000,182000,183100,184100,185000,186000,187100,188300,189500,190600,191600,192700,193700,194800,195800,196800,197800,198800,199800,200700,201700,202500,203400,204300,205100,206000,206900,207800,208800,209700,210800,211800,212700,213500,214200,214800,215300,215800,216200,216700,217100,217700,218400,219100,219600,220000,220300,220500,220700,221000,221500,222000,222700,223300,223900,224400,225000,225600,226300,227100,227900,228800,229800,230700,231500,232300,233100,233900,234700,235600,236600,237700,238800,240000,241200,242500,243800,245000,246300,247600,248700,249800,250900,252100,253100,254200,255200,256100,257000,257700,258300,259100,259800,260400,260900,261300,261400,261300,261100,260700,260000,258900,257600,256300,254700,253000,251400,249700,247800,245700,243400,241200,239200,237000,235000,233200,231100,228700,226000,223200,220500,218500,217200,216200,215300,214400,213600,212700,212800,212200,210600,209400,209000,207800,205900,203700,201700,200200,198700,196500,194000,192400,191400,190200,188500,187200,185900,184300,182700,181400,180500,180200,179900,179700,180200,181000,181800,182600,183600,185100,186800,188400,190100,191600,193100,195100,197100,199000,201200,203700,206200,208400,210400,212300,213900,215400,217500,220000,222200,224000,225700,227100,228300,229400,230500,231400,232200,232600,232900,233300,234100,235300,236400,237000,237700,238300,238700,239200,240000,241100,242400,243800,245300,247000,249200,252000,254600,256700,258500,260000,261700,263500,264900,266100,267300,268400,269200,269900,271200,273000,274700,275900,277000,279300,282300,284300,285700,287700,289600,290900,291700,293500,296400,299100,301000,302400,303500,303600,303200
