"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
102001,"United States",0,173800,174000,174400,174800,175200,175700,176200,176800,177500,178200,178900,179500,180000,180600,181100,181600,182000,182400,182800,183200,183600,184100,184400,184700,185200,185800,186500,187300,188300,189400,190500,191500,192600,193700,194600,195500,196500,197600,198700,200000,201300,202700,204300,205800,207600,209500,211300,212800,214200,215500,216700,217800,218800,219900,221100,222200,223500,224800,226000,227300,228500,229700,230900,232200,233400,234700,236000,237300,238600,239900,241300,242600,243800,245000,246200,247300,248500,249800,251200,252600,254200,255700,257200,258700,260200,261800,263400,265000,266700,268500,270400,272500,274600,277000,279400,282000,284700,287500,290500,293700,296800,299900,303100,306100,309000,311800,314800,318100,321700,325400,329300,333100,336800,340300,343500,346600,349400,352000,354100,356100,358200,359900,361400,362500,363100,363500,363600,363600,363600,363700,363600,363500,363300,362700,361800,360500,358900,357200,355200,353000,350500,348000,345200,342500,339700,336800,333800,330900,328100,325500,323000,320600,318400,316300,314200,312000,309600,306900,304200,302300,300900,300000,299300,298800,298600,298600,298900,298200,296500,295300,294700,293400,291800,290200,288700,287300,285700,284000,282500,281500,280600,279900,279200,278500,277900,277400,277100,276900,276900,276800,276800,277100,278000,278900,279800,280800,281800,282800,283800,285000,286300,287500,288700,290200,292100,294100,296100,298300,300500,302500,304100,305300,306300,307500,308800,310100,311300,312700,314000,315300,316700,318000,319000,319800,320700,321600,322400,323500,324700,326400,328000,329400,330600,331800,332800,333800,334900,335900,337000,338400,340300,342000,343600,345300,347100,348700,350400,352000,353600,354900,356200,358000,359800,361400,362600,363600,364600,365700,366700,367700,368900,370600,372500,374100,375300,376900,378300,379700,381000,382400,384200,385900,387400,388900,390500,391100,390800
394913,"New York, NY",1,267100,267100,267100,267000,266900,266800,266900,267200,267700,268500,269200,269700,270300,270900,271500,272200,273000,273900,275000,276200,277800,279500,281000,282300,283600,285100,286700,288400,290300,292300,294400,296500,298900,301500,303900,306400,309200,312300,315600,319100,322500,326000,329400,332900,336800,341000,345200,349200,353400,357500,361600,365600,369600,373400,377200,381000,385000,389200,393500,397700,401900,406200,410400,414600,418800,422900,427100,431300,435200,438800,441900,444600,447200,450000,453200,456800,460900,465300,470200,475500,481200,487400,493900,500700,507500,513600,519300,524600,529500,533900,538100,542300,546600,551200,555900,561000,566500,572400,578900,586000,593500,601300,609000,616500,623700,630600,636900,643400,650000,656600,663000,669300,675400,681500,687300,692700,697600,702100,705800,709200,712300,714700,716300,716800,716400,715000,712900,710400,708000,706100,704500,703400,702500,701000,698700,696300,694200,692700,691400,690000,688600,687000,685100,683100,680700,677300,672900,668300,663700,659500,655400,651400,647500,643900,640200,636800,633000,628400,623300,619100,616100,614400,613600,613500,613900,614700,616000,614300,610100,607600,608300,608300,607100,604600,602200,600200,597700,594800,592200,590500,590500,591200,591700,591800,591700,591700,591300,590200,588800,587400,586000,585600,586000,586800,587600,588400,588800,589400,590200,591200,592200,593100,594500,596800,599400,601400,603300,606000,609000,611400,613600,616300,619600,622500,624300,625800,628400,631200,633300,635300,638400,641400,643900,646300,648600,650900,653300,655300,656900,658700,661100,664100,667300,670100,672300,673400,674400,675900,677900,679900,681700,683100,684100,685500,687700,689700,691700,694700,698700,701800,703900,706900,711400,716700,721900,726400,729900,733600,736400,737500,738200,741000,744600,747800,750400,752700,754400,755000,754500,755200,757200,758600,758500,758200,759700,761400,760800
753899,"Los Angeles-Long Beach-Anaheim, CA",2,289800,289800,289700,289700,289800,290000,290500,291200,292300,293600,294700,295600,296600,297900,299500,301500,303900,306600,309800,313400,317700,322300,326600,330600,334400,338000,341400,344900,348300,351700,355200,358900,362900,366900,370600,373700,376700,379400,382000,384400,386600,388800,391200,393800,396900,400400,403800,406900,410000,413300,416500,419800,423100,426400,429900,433500,437400,441400,445300,448900,452500,455800,459100,462200,465400,468600,472100,475700,479500,483600,487900,492700,497800,503600,510100,517200,524700,532600,540900,549200,557400,565100,572500,580100,588000,596200,605100,614700,625000,635700,646900,658400,670500,683600,697800,713500,730400,747600,764300,779400,792300,803100,812200,820000,827200,834400,841300,848200,854900,861300,867900,875000,882400,890000,897300,904100,910100,915600,920300,924800,928300,930500,931400,930300,927200,923000,918400,913600,909100,905200,900900,896000,890100,883500,876200,868100,859200,850500,842200,834100,825500,816400,806100,795000,783300,772400,763300,756600,751900,748600,745800,743400,741500,739700,737100,733200,728100,722400,718300,717700,719500,722100,725000,727800,730300,732200,732900,730900,730300,731600,730700,726200,723300,720600,716900,712000,707100,702400,699000,696700,694500,691600,689900,689000,686200,682300,679600,678300,677500,676800,676700,678700,682700,688100,692800,697300,701700,707400,714400,723000,731500,739800,750000,764200,779400,793100,805500,815800,823300,828600,832200,834200,834900,836300,840100,844600,847600,850400,853800,857200,860000,862600,865000,867500,870700,875400,880300,884900,889500,893800,897900,902300,907300,913600,919400,924600,930700,935800,938300,940200,942600,944700,947600,951800,958000,964700,970300,975300,981000,985900,990000,993700,997800,1002900,1008600,1014500,1021800,1029900,1037600,1044900,1052000,1062500,1075400,1084800,1090600,1096500,1101900,1106400,1111700,1116200,1121000,1124800,1127400,1128100,1126600,1122500,1118000
394463,"Chicago, IL",3,221900,222800,223400,223500,223000,222100,220900,219300,218000,217000,215800,214300,212900,211600,210200,208800,207300,206100,205700,206100,207800,210300,213000,215500,218200,220900,223700,226700,229600,232500,235200,237400,239300,240900,241800,242000,242400,242900,243700,244700,246100,247700,249500,251500,253900,256700,259300,261700,264200,266800,269400,272000,274700,277200,279500,281600,283500,285400,287000,288300,289600,290900,292300,293900,295700,297600,299600,301600,303600,305500,307400,309200,311000,312900,314700,316400,318100,319800,321500,323300,325100,326900,328600,330400,332200,333900,335600,337300,339100,340800,342700,344600,346700,348900,351100,353400,355800,358200,360800,363600,366300,369100,371900,374700,377400,380000,382700,385500,388500,391600,394600,397600,400500,403400,406200,408800,411200,413400,415400,417400,419600,421300,422700,423700,424300,424800,425100,425200,425400,425600,425500,425300,424800,423700,422200,420600,419100,417700,416500,414900,413000,410600,407900,405100,402300,399100,395500,391700,387800,384400,381500,378500,375500,372700,369900,366800,363100,358600,354300,351300,349400,348200,347400,346800,346500,346800,347700,346100,342800,340800,340100,337800,334900,331700,328300,325500,322900,321100,320000,318900,317400,315800,314100,313400,313100,311800,310300,309500,309300,307700,305000,303800,304700,306000,307500,308300,308800,310100,311300,312100,313000,313900,314700,316600,319100,321800,324900,328700,332100,334700,336300,337100,337700,338500,339400,340500,342300,344200,346000,347700,349200,349900,350100,350100,350100,350300,350600,351500,352800,354000,354800,355300,355800,356700,358000,359200,359800,359800,360100,361000,361900,362900,364100,364800,365300,366300,367500,368700,369900,370700,371500,372300,373100,373800,374100,374000,374000,374300,375100,376200,376700,378200,381000,383100,383500,383700,383500,382800,382400,382500,383000,383600,384100,384700,385500,385800,385000
394514,"Dallas-Fort Worth, TX",4,217300,217600,218200,218800,219400,219900,220100,219800,219000,217600,216100,214900,214100,213800,214000,214500,215200,216400,217900,219800,222100,224700,226900,228300,228400,227500,226000,224600,223500,223200,223900,225800,229000,233000,236900,240100,242200,243200,243200,242600,241500,240300,239400,239000,239300,240200,241200,242100,242800,243200,243500,243800,244200,244700,245200,245700,246300,246800,247100,247300,247300,247200,247100,246800,246300,245500,244500,243200,241800,240400,239300,238600,238600,239000,239800,240700,241700,242500,243000,243200,242800,242100,241100,240200,239600,239500,239600,239900,240100,240300,240500,240700,241100,242100,243600,245400,247000,248400,249500,250400,251300,252400,253600,254900,256200,257400,258400,259500,260700,262000,263500,264800,266000,267000,268000,268900,270000,271100,272300,273400,274400,275300,276000,276700,277300,277900,278400,278900,279100,279100,279000,279100,279300,279600,280100,280700,281300,281800,282300,282500,282200,281400,280200,278800,277200,275700,274400,273400,272600,272000,271300,270800,270200,269700,269200,268700,268000,267200,266500,266100,266000,265800,265700,265700,265700,265700,265900,265700,265300,265100,264900,264300,264200,264200,263700,263100,262900,262700,262400,261700,261200,261200,261300,261000,260400,260400,260700,260800,260800,260900,261200,262000,263100,264200,264800,265300,265600,265700,265900,266700,267500,268100,268700,269600,270900,272400,274000,275800,277500,279100,280500,281800,283100,284200,285500,286900,288100,289100,290500,292500,294900,297200,299000,300300,301900,303500,305000,307000,309500,312100,314400,316400,318500,320600,322700,324800,326900,328600,330600,333300,336500,339900,344000,348200,351800,354800,357700,360300,362600,364800,366900,369100,371400,373400,374900,376700,378800,380800,382500,383600,384300,386400,389600,392400,394200,395800,396600,396400,396000,396500,398000,400200,403200,406100,407900,407800,406500
394974,"Philadelphia, PA",5,186900,186600,186300,185900,185600,185400,185400,185500,185800,186200,186500,186800,187000,187300,187400,187500,187600,187700,187900,188200,188500,188900,189400,189800,190100,190500,190900,191300,191800,192200,192800,193500,194200,195100,195800,196500,197400,198400,199500,200800,202100,203600,205100,206700,208500,210400,212200,213900,215500,217000,218500,219900,221200,222600,223900,225400,227000,228800,230600,232500,234200,235900,237700,239400,241000,242700,244400,246300,248200,250200,252300,254500,256800,259100,261600,264200,266900,269800,272900,276100,279300,282300,285200,287900,290800,293600,296500,299600,302800,306100,309300,312500,315500,318600,321800,325300,328900,332700,336700,340500,344200,347700,350900,354100,357300,360400,363400,366300,369200,372200,375400,378700,382200,385500,388600,391400,394000,396200,398200,400100,401900,403300,404400,405200,405800,405900,405900,405500,405100,404900,404600,404500,404400,404100,403400,402500,401600,400500,399100,397600,395900,394200,392300,390500,389100,387600,386000,384500,382900,381200,379600,378000,376700,375500,374300,372900,371200,369200,366900,365000,363600,362600,362100,361800,361800,362200,362800,361800,359700,358600,358400,356800,354700,353000,351600,349900,348100,346400,345000,344000,343200,342200,340900,339800,338700,337700,337000,337000,336700,335800,335200,335600,335800,335500,335300,335400,335700,335900,335900,335900,336400,336900,337400,338300,339400,340400,341600,343200,345100,346800,348200,349200,350400,351300,351600,351600,352500,354000,355300,356300,357400,358400,359000,359300,359300,359200,359000,359200,360200,361300,362200,363100,363700,364000,364500,364700,364900,365700,366900,368000,368600,369100,370100,371700,373100,374100,374900,375200,375200,375800,377000,378100,379200,381100,382800,383800,384700,385500,386400,388600,391400,393400,394500,395200,395800,396700,397900,399200,400100,400900,401600,402400,403300,404200,405300,406200,406300
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,204200,206500,209200,212200,215300,218100,220100,221000,221000,220200,218900,217700,217000,217400,219400,223200,229200,236500,243800,250300,255000,257500,258300,257800,256300,254300,252000,250600,251000,253700,258300,263700,268900,272800,274900,274900,273100,269800,265700,261400,257500,254200,251400,249000,247000,245400,244300,243600,243400,243600,243800,243700,243200,242200,240700,239100,238000,237700,238000,238700,239600,240600,241400,241900,241800,241400,240800,240100,239400,239100,239000,239300,239800,240400,241000,241500,241700,241800,242000,242500,243300,244400,245800,247300,248900,250700,252500,254400,256400,258200,259700,260900,261800,262400,262800,263100,263400,263600,263700,263800,264000,264200,264500,264900,265400,266100,266900,267900,268900,270100,271300,272500,273600,274500,275100,275400,275800,276200,276500,276900,277300,277600,277900,278100,277800,277100,275900,274400,273000,271700,270600,269800,269400,269000,268500,268100,267900,267500,267200,266800,266500,266200,265900,265800,265900,266100,266300,266400,266600,266700,266700,266700,266600,266300,265900,265200,264200,263700,263300,262500,261300,260700,260600,260600,260800,261200,261300,261000,260400,259800,259500,259800,259900,259900,260400,260700,260500,260700,261300,262200,263200,264000,264400,264900,265700,266700,267900,269200,270500,272200,274500,277100,279400,281700,283700,285600,287300,288800,290200,291900,294000,296000,297900,300000,302100,304200,306300,308600,310900,312800,314300,316000,318500,320900,322900,324700,326700,328500,329800,330800,332100,333400,334400,335800,337400,339200,340800,342000,342900,344000,345100,345900,346400,346900,347300,347500,348100,348700,348900,348900,349300,349900,350400,350700,351000,351900,353700,355900,357500,358400,359200,360000,360600,360900,361400,362300,363600,364800,365800,365900,365100
395209,"Washington, DC",7,263300,263000,262500,262000,261600,261400,261500,261800,262400,263100,263400,263300,262900,262600,262400,262300,262400,262700,263100,263600,264200,265000,265500,266000,266600,267400,268400,269400,270600,271800,272900,274100,275400,276900,278200,279400,280800,282400,284200,286200,288300,290700,293400,296200,299400,302800,306100,309000,312000,315000,318100,321500,325200,329200,333500,338000,342700,347400,352000,356500,361000,365400,369800,374000,378200,382400,386700,391100,395500,399900,404300,408400,412500,416500,420400,424200,428100,431900,435900,439900,443900,448100,452300,456600,460900,465200,469500,473900,478500,483400,488700,494300,500300,506600,513500,521300,530100,540000,551100,563100,575100,586800,598000,608500,618700,628600,638300,648400,658800,668600,677400,684800,690500,694700,697400,698900,699400,699300,698700,697600,695600,692800,689300,685300,680900,676700,673100,670100,667900,666500,665400,664200,662400,659700,656000,651800,647200,642500,637600,632400,627100,621900,616700,611300,605500,599300,593400,588500,584400,581300,578800,576600,574600,572900,570800,567900,563900,558900,554600,552800,553400,555200,557600,559900,562000,564000,565200,564700,564200,565800,568400,569500,569600,569400,568300,566800,565800,564700,562800,561400,561900,563800,565500,566400,566700,566600,565800,565300,564100,562600,562900,566100,569900,573200,575900,578500,580200,581000,582200,584300,587400,590800,593900,596800,600600,604500,608000,611700,615300,618300,620500,622900,625300,626800,628000,629800,631300,631900,632400,632900,633000,633100,634400,635300,634900,635500,638000,639500,639700,640100,640600,641400,642500,643500,644000,644700,645200,645300,644600,645300,647400,649500,651300,652500,653000,654800,657600,660600,663300,665700,667200,668400,669600,670700,671900,672600,673600,675300,676300,677000,678500,682200,686900,690500,691400,692100,692700,693000,693800,695300,696900,698100,699500,701000,702500,703100,701800
394856,"Miami-Fort Lauderdale, FL",8,179000,179000,178800,178700,178500,178400,178400,178600,179100,179600,180100,180200,180400,180500,180600,180800,181000,181400,182000,182800,183800,185000,186000,186500,186800,186800,186700,186700,186800,187200,187800,188500,189300,190300,191100,191700,192400,193100,193900,194700,195600,196500,197500,198700,200100,201700,203400,204900,206500,208000,209500,210900,212400,214000,215900,218000,220700,224000,228300,233900,241300,250100,260100,270800,281400,291100,299600,306600,312000,315800,317900,318100,316600,313900,310400,306500,303000,300300,298700,298400,299500,301700,304700,308100,311600,315100,318500,321800,325100,328600,332100,335700,339400,343200,347100,351300,355800,360900,366500,372900,379700,386900,394600,402400,410700,419400,428000,437100,446900,456900,467000,476900,486000,494100,501200,507300,512900,517900,522600,527700,532600,536800,539900,541700,542100,541500,540200,538400,536200,533900,531100,527800,523800,519300,514200,508500,502200,495500,488400,480500,471800,462500,452500,442000,431500,421500,412000,403700,396300,389200,382100,374900,368100,361800,355500,348700,341700,334500,328200,324000,321800,320600,320100,319900,320000,320600,321200,320200,318300,317200,316800,315300,312500,309700,308300,307700,306600,304800,303700,304400,305900,307100,307600,307500,307700,308400,309200,309400,309500,309900,310800,311900,312900,314400,315700,316200,317200,318500,319200,320800,323700,326400,329100,332700,337200,341700,346000,350500,354900,358600,361600,365000,368100,370600,373300,376800,379900,382500,385700,389600,393000,395300,396600,397500,398700,400000,401400,403700,406400,409000,411200,413200,415300,418200,421100,422900,424500,426400,428000,429600,432000,434500,436700,438900,440900,443400,446700,449900,452300,454200,454900,454900,455100,455500,455900,456900,458300,460000,461400,462100,463100,466500,471200,474700,477000,479100,480800,481700,482800,484500,486200,487000,487700,488600,489300,487700,484900
394347,"Atlanta, GA",9,181700,182300,183100,183800,184600,185400,186300,187000,187800,188600,189300,189800,190400,191000,191800,192600,193600,194500,195500,196500,197500,198500,199500,200300,201300,202500,203800,205300,206800,208400,210000,211600,213300,214900,216600,218200,220000,221900,223800,225800,227600,229400,231200,232900,234800,236700,238500,240200,241800,243500,245000,246600,248200,249800,251400,253000,254600,256200,257600,258800,259700,260500,261200,261800,262400,263100,263900,264900,266000,267200,268500,269600,270500,271300,271800,272200,272600,273100,273800,274700,275700,276700,277500,278300,278900,279400,279800,280300,280900,281600,282500,283300,284100,284800,285600,286800,288300,290000,291900,293800,295600,297200,298600,299600,300500,301500,302800,304400,306300,308300,310400,312500,314500,316500,318600,320600,322700,324700,326400,328000,329600,331100,332700,334400,336100,337700,339000,340100,341300,342400,343400,344300,345100,345400,345300,345200,345000,344700,344300,343500,342300,340800,339000,337400,335600,333500,331000,328400,325400,322600,320100,317700,315200,312900,310500,307900,305100,301700,298300,295900,294400,293400,292600,291900,291400,291400,291800,290200,287400,285700,284900,283100,280900,278400,275700,273400,271400,269000,266300,264100,262900,261900,260700,259600,258100,256100,254400,253400,252600,252000,251800,252400,253100,254000,254900,256200,257900,260200,262400,264200,265900,267800,269800,272100,274600,277400,280100,282800,285200,287800,290000,291900,293800,295500,297500,300200,302900,305100,307400,309800,312100,313800,315400,317100,318400,318900,319300,320300,321800,323700,325400,326600,327700,328500,329000,329600,330500,331800,333700,336000,339000,342000,345100,348600,352100,355300,358500,361200,363600,365800,367400,369100,370700,371600,371900,372400,373600,375200,376600,377900,379600,382800,386500,388900,390700,392900,394400,394900,395200,396300,399200,402100,404000,405400,406600,406600,405500
