SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,CA,92380,92359,91521,94394,102362,100207,105280,103753,100675,110798,98886,87778,92855,92040,97999,112902,109306,117063,128573,122017,119619,125412,112866,101274,96041,97551,99486,114015,106354,112328,123373,116327,121530,110021,103201,92743,83626,87936,100644,100570,104824,119942,116565,125220,112132,107238,103866,82720,80212,84414,93264,87952,100671,94301,93487,101518,92317,88899,87504,68382,76573,77736,82118,88818,103935,101332,105117,116091,110060,117922,103081,89734,95930,92492,95991,100696
2,54,Texas,State,TX,130771,131979,137435,142223,151597,144610,149226,142072,133888,137827,124743,113753,117157,113576,119589,132084,126004,132228,143212,135898,127744,130363,118858,112921,106737,113381,114195,128396,119080,122079,131883,125611,129737,119100,115174,110417,102351,104486,117906,113072,117554,130439,127186,135254,124082,121104,121955,106449,108760,113216,123479,118183,132175,128753,135190,144369,134415,127076,127861,110781,116548,112723,119387,125726,139295,137283,139285,146208,133782,138478,126209,116141,123310,119517,125041,130847
3,43,New York,State,NY,101519,99530,104515,111276,118935,111061,112282,108021,104086,108596,100713,90326,90145,94247,94130,103625,102913,107938,113285,106620,107221,108363,97871,91335,83061,84324,88848,103908,103566,109892,114232,107511,109651,102064,95657,89173,81487,82023,90710,92349,97328,103026,97547,99439,95436,92088,88817,78235,76122,77575,81007,77754,86204,82645,83517,84820,80701,79141,76376,64623,65991,69086,69084,74189,83151,82619,83402,85887,82410,85366,76012,67459,68555,66486,70049,74950
4,14,Florida,State,FL,202807,200920,205394,205128,199894,185395,189992,177476,175887,192379,191703,189204,203669,196727,202320,214545,199708,212691,211515,196596,194975,204211,194727,195979,195782,198060,181883,195560,182331,181304,186135,175181,182407,171959,172685,175542,174419,183090,196218,185015,185962,189815,178459,188615,175163,173852,184243,170600,180755,189219,196954,180334,183927,168841,167689,174674,150293,158423,169412,157364,178476,174272,178566,178041,183328,169884,168565,175269,166183,179621,173259,168743,190969,187729,188654,185931
5,21,Illinois,State,IL,68535,68095,70269,73448,78936,75409,77110,75529,73154,74231,67617,61364,61417,59635,64395,75304,73386,78231,84924,80801,80158,81177,73808,68346,65164,67295,71728,84293,79420,83405,88627,82451,84571,78423,74089,67899,62300,64518,75765,73167,76425,82691,80741,84142,76868,73905,71544,61830,60431,62850,70010,67097,72797,70596,71435,75573,71561,69373,66888,55613,56703,56488,61706,64639,71359,70991,72168,75952,71414,73108,63725,55595,56485,55920,60465,65828
6,47,Pennsylvania,State,PA,71677,70465,74256,78977,86115,85090,86620,82872,81816,83657,78140,71383,71104,66967,70299,81545,81962,85283,89009,86391,85939,87140,79406,74339,68563,68071,71308,80087,77050,81688,86552,83529,85018,79621,75669,71662,65386,65850,72961,73338,75585,80437,76417,79398,74704,72986,71076,61385,59575,60313,64548,62760,69248,66532,67569,70232,66555,65037,65346,54550,55182,53364,54896,58582,64343,62468,61382,64195,60159,62678,55790,49556,50377,47280,48793,51858
7,44,Ohio,State,OH,60334,59428,62305,65271,71583,70455,72741,69771,67949,69152,63044,57598,57294,54362,56037,63133,62928,66458,71730,69385,68290,68864,62330,58109,54018,53655,55374,63150,60077,66425,70255,67505,68927,64377,60484,57481,51590,51643,55776,54152,56314,62121,59896,65156,60536,58205,55892,47299,45781,46277,49613,47646,52010,50915,52207,56019,52129,50165,49030,41111,41615,39322,40608,42698,48426,47621,49035,52924,48972,51135,44587,38822,39361,36548,37607,39187
8,30,Michigan,State,MI,67909,64753,66056,69882,77221,76927,79115,78619,75376,77004,69831,64587,61923,57829,59061,67477,69127,75923,83453,81399,81321,81934,71566,66502,60177,60083,61048,70716,66990,72575,80445,80755,81255,73957,68069,62723,55966,55127,59038,59505,63540,71444,69698,74786,68924,65902,61854,51812,48553,48393,51218,50107,56698,56356,58366,62943,58080,55405,53004,43811,43539,39961,41352,43888,51616,53751,55301,60916,56977,58169,50636,44522,44496,40304,42001,44714
9,16,Georgia,State,GA,64229,61727,64948,66842,70752,68713,71637,69240,69312,73271,69588,63108,64686,62037,67498,72768,71016,73728,77944,73329,72764,75097,70188,68111,65842,66356,72775,82822,77758,80303,85460,82428,83588,78339,73949,70996,65894,65910,72219,70430,75488,82973,77135,80751,74487,72131,71977,64444,63602,65037,69436,65390,70049,66477,66912,69778,63114,62491,62575,54602,57397,54960,56342,58395,62940,60993,61988,65120,60528,63543,57765,53627,57282,59236,56746,58450
10,36,North Carolina,State,NC,85692,84269,88223,93130,97743,96071,97488,93694,91836,95763,90726,81945,83086,78763,83319,92206,91408,92516,96224,91845,90109,87909,81609,77026,72869,74091,77593,84586,75376,77917,81631,78555,79849,75078,69945,68164,64697,66952,72071,71928,74065,79022,75173,77680,72429,69653,67749,59822,58335,60319,63940,60780,64740,63223,63722,66041,62436,61633,61090,53119,54690,53356,56013,58323,62880,60610,59173,60198,54363,57084,50914,45841,48240,46932,48974,50864
11,40,New Jersey,State,NJ,59977,59279,63147,66500,71491,69851,69929,67517,65606,67424,61992,56987,56954,55683,60464,69990,69796,72373,75819,71986,71773,74148,67393,63071,59525,60862,65601,75206,74858,77797,78862,74997,76033,71947,68128,63723,58538,60678,68664,70557,73136,76772,71688,74115,69015,66634,64381,55623,54419,57032,63012,60742,66155,62846,61978,63102,59269,57316,56816,48271,50123,50558,53147,56995,63401,61142,60428,62030,58173,60405,53450,47777,50490,49833,53421,56884
12,56,Virginia,State,VA,46189,45717,48008,51437,55470,53632,56157,53738,52774,55331,51973,46816,47129,47193,50684,59191,58138,60713,64334,60771,60940,61394,55744,52477,49318,49876,52911,64005,61888,64154,66704,62928,64479,59397,55854,51344,46731,52393,54842,56679,58955,62049,59177,60564,56040,53926,51574,44356,43281,45307,50856,50171,55136,52704,52803,54629,51048,48496,49607,42797,42771,42658,46305,50669,54253,49796,48688,50512,46522,48146,41962,36368,36479,34967,37562,40452
13,59,Washington,State,WA,34768,34669,35944,38149,42885,43482,45984,46161,43933,44609,39641,35313,35847,33694,35925,41860,43284,45493,49419,46871,46233,45301,38481,34793,31124,31835,33266,38394,38008,41063,43197,40665,40829,35391,31106,27834,24577,24849,28993,30169,33560,38140,37501,40757,36791,33780,30377,23388,21477,21471,23166,23370,29091,28888,30404,33739,30807,28596,26015,19441,19424,17570,19123,21641,27617,28173,29778,33687,31950,32876,27084,22177,22216,19184,20996,23088
