SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,CA,102336,99895,96141,97019,98505,97005,95981,94912,96569,100366,100381,101002,102979,102171,104523,109631,110406,112553,115715,113915,113877,115653,114491,112495,109887,106948,107833,110033,107625,107748,110051,109653,109040,105633,103583,102929,99629,100217,103605,103488,105072,109153,110409,109555,105457,101793,100746,97482,94773,96021,96140,94381,93339,89381,86338,86740,84856,83487,84414,85423,87880,89259,89381,92935,96860,96487,97371,101142,104460,106255,104832,104955,106736,105115,103133,102946
2,54,Texas,State,TX,141145,141204,140396,142431,143304,139558,136215,133197,131972,132443,129700,127710,127198,124526,124640,126568,124752,125411,128234,126529,125172,125504,124610,123355,121983,120926,121551,121922,117778,115761,117297,118583,120342,119128,119147,120109,117155,116781,117957,115118,115263,118424,119342,120412,120058,120167,121949,121454,121606,124267,124387,122859,123501,123300,125176,129391,128838,127110,127412,127010,126477,125064,124279,127518,131146,130428,129790,131016,131679,132145,130721,130951,132918,131642,130202,130404
3,43,New York,State,NY,112083,110564,109326,110964,110562,106365,103377,101221,100424,102132,102045,101212,102560,102655,101286,100725,99777,100929,102561,101404,101517,101966,100740,99184,96627,94620,96592,100003,100722,102334,103740,102633,101315,98775,97440,97048,94509,93525,94389,93403,93042,93192,91659,90818,89644,88445,88739,88500,87926,87524,84855,80986,78765,76706,75868,76278,75356,75153,75853,76010,77284,77773,75971,75557,76377,75901,76052,77177,78011,78584,77916,77948,78582,77337,76037,75601
4,14,Florida,State,FL,197012,195064,195988,199977,197859,191914,188689,184847,185433,191464,193765,195455,196194,192612,195885,203374,206176,210456,210605,204314,203098,203361,200389,198064,194431,186562,181571,183971,184115,183684,184465,183917,183533,178806,176468,177219,175008,177766,182754,182803,184707,186597,185915,186747,183921,181095,181795,179543,178575,182655,183523,179985,177001,172716,171654,170749,164193,163584,167350,168751,170439,170127,170110,173985,176157,173149,172385,175146,177657,179263,177567,178655,182951,182537,180502,180340
5,21,Illinois,State,IL,77312,75950,73356,73158,73393,71269,69417,68783,69455,70586,70301,70235,70225,68632,68961,71306,71749,73196,75227,74976,75876,77169,76779,76287,75891,75431,77055,79280,78291,78207,78747,77687,77593,76733,76005,75462,73765,74538,75869,74126,73832,75139,75035,74520,72853,71716,72011,71392,70974,71857,71115,68786,67492,65861,65200,66531,66853,66887,66962,66209,66018,65729,64817,65163,66272,65887,65746,66819,67741,67861,66282,65379,65802,65109,64381,64535
6,47,Pennsylvania,State,PA,79154,79144,78338,79673,81474,81154,79792,78180,78007,78910,78431,78241,78197,76299,76394,79157,80099,80758,81803,81426,81734,81903,80632,79382,77826,76473,77060,77654,76396,77143,78991,79112,78627,76902,76146,76222,74850,74972,75884,74522,73677,73645,72615,71905,70741,69797,69574,68467,67957,68632,67684,65585,64401,62910,62427,63049,62367,62333,62993,62497,62283,61644,60123,59905,59907,58124,56817,56865,57052,57148,56360,56396,57089,55859,53883,53010
7,44,Ohio,State,OH,66926,67175,66007,66605,67912,67353,65950,64377,64080,64702,64008,63696,63773,62155,61279,62207,62326,63077,64347,63915,63967,64283,63540,62800,61846,60743,61086,61739,61091,62085,63169,62680,62562,61572,61189,61237,59710,59152,58844,56801,56080,56511,56372,56743,56118,55095,54678,53470,52860,53467,52867,51036,49576,47960,47454,48111,47565,47199,47633,47564,47441,46696,45467,45523,45801,44676,44285,44944,45402,45729,45029,44704,45015,43987,42434,41495
8,30,Michigan,State,MI,75420,74154,72859,73817,74687,73258,71408,69834,69589,70547,70420,70290,69818,67782,67444,69058,69824,71782,73803,73458,74171,74659,72897,71269,70047,69222,70216,70912,68792,68818,71223,72182,71774,69578,68076,67380,65757,65418,65557,64205,64048,64712,64017,63272,61933,60759,60147,58516,57649,58283,57696,55924,54557,52642,51589,51732,50848,50525,51064,51039,51040,50395,49185,49164,49864,49322,48872,49604,50407,50983,50721,51042,51789,50988,49845,49188
9,16,Georgia,State,GA,68998,67084,65134,65799,66639,66297,66436,66779,68697,71055,70373,69594,69562,68235,68362,69665,69515,70424,71680,71003,71690,72756,72317,72533,72356,72123,75064,78067,77125,77278,79260,79927,79963,77835,75679,74867,72834,71880,72039,71533,73645,75978,75268,74549,73252,71816,71501,70563,69795,70180,69279,67074,65582,63808,63238,63570,62323,61745,61930,61741,61680,60339,58586,58653,58955,58057,58194,59276,60044,60371,59551,60036,62430,62557,59942,59148
10,36,North Carolina,State,NC,91864,90969,90050,91516,92933,92238,91215,90222,90733,92618,91891,89979,88659,86360,86130,88346,88735,88711,89251,88443,87363,85861,84026,82608,81012,79994,80393,79303,75231,73835,75037,75539,75642,73891,72708,73133,72760,72943,72868,71462,71747,72523,71922,71591,70307,68716,68124,66797,65778,65955,64381,61590,60394,59469,59353,60377,60357,60517,61093,60841,60490,59547,58098,57990,58250,56606,54984,54270,53688,53657,53032,53026,53802,52927,51119,50161
11,40,New Jersey,State,NJ,68064,67032,65572,65456,65549,64851,64039,63161,63242,64038,64056,64594,65013,63856,64297,66104,66122,67077,68625,68333,69141,70348,70051,69674,69012,68308,69519,71284,71284,71829,72283,71673,71499,70529,70086,69931,68506,68662,69889,69310,68971,69103,68243,67691,66464,65213,64915,63955,63481,64351,63680,61238,59533,57957,57149,57315,56516,56245,56987,57316,57844,57545,56189,56216,56790,56027,55681,56116,56482,56695,55976,56329,57702,57310,56102,55261
12,56,Virginia,State,VA,52316,51447,50078,50399,50927,50573,50583,50407,51061,52821,53231,53222,53622,53187,53842,55592,55862,56762,58084,57880,58373,58805,58079,57655,56886,55750,56975,59468,59666,59976,60655,60365,60122,58669,57342,56513,55993,56969,56891,55537,55717,56282,55772,55135,53896,52717,52093,51141,50794,51606,51537,50329,49805,49038,48742,49285,48531,48252,49372,49772,49523,49059,48765,49219,48726,46313,44909,45029,45126,45028,43867,43104,42875,41475,39931,38857
13,59,Washington,State,WA,40584,40602,39723,40067,40781,40546,40360,40055,40067,40740,40729,40942,41331,40492,40633,42154,42382,42447,42627,41657,41400,41232,40152,39250,38433,37928,38327,38641,37746,37299,36777,35487,34480,32906,32137,32247,31700,31948,32754,32567,32729,33266,33168,32971,31928,30772,30190,29067,28226,28108,27404,26657,26478,25723,25517,26130,25822,25548,25706,25490,25267,24714,24081,24474,25123,24815,24976,26173,27390,28199,27979,27829,27774,26738,25850,25267
14,26,Massachusetts,State,MA,37027,36597,36099,36537,35670,32718,31081,31039,31281,31484,31052,31080,31892,31844,31538,31952,32174,32955,33442,32603,32403,32360,31547,30844,29936,28705,28696,29826,30658,31927,32778,32680,32632,31845,31206,30700,29357,28875,28939,27571,26651,26852,26384,25829,25275,24986,25223,25119,25016,25160,24597,23369,22485,21665,21316,21550,21324,21397,22007,22339,22674,22473,21506,21167,21336,21056,21108,21710,22488,23317,23433,23725,24381,24026,23049,22397
15,8,Arizona,State,AZ,42437,41682,41541,43126,43782,42864,42509,42525,43349,44979,45463,46148,47440,47814,49005,50600,50491,50690,50849,49407,48708,48536,47637,46759,45823,45453,46276,46276,44421,43990,44514,44267,44528,44093,43616,43185,41729,41677,42397,42790,44687,45927,45207,44504,43345,42406,42234,41469,40915,41615,41972,41386,40789,39556,38817,38843,37854,37173,37225,37323,38079,38032,37195,37650,38228,37287,36673,36959,36937,36578,35708,35830,36941,36934,36644,36862
