"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9583333333333,73.2446808510638,72.4832214765101,74.7431506849315,76.702623879009,80.3721625190513,81.9220343840397,85.1501277893786,85.3760603006635,83.4897406707917,83.9232153569286,89.3982919254658,88.9864922176513,90.2897795754939,93.875,97.0104399347306,98.6769983686786,97.7696116275,95.4072920851748,92.329304495335,95.4763056092843,96.8768186226964,96.4378801042572,99.5297805642633,97.3352541371158,102.052995697804,103.015075376884,115.971428571429,120.656370656371,116.249591211105,118.449389806174,117.468455620321,119.603519888431,117.967332123412,117.830188679245,123.976608187135,125.146198830409,123.893805309735,127.01019566803,124.951683170135
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.185513067022,71.1845102505695,70.5754614549403,72.4468373289991,72.5609756097561,73.5294117647059,72.8305785123967,74.4047619047619,77.3783185840708,77.931536780772,78.4077201447527,77.5862068965517,79.4392523364486,79.2608904077976,79.4657851528602,78.4415282338113,80.5687203791469,81.3844205970283,82.6645688358097,82.7044540474972,85.3684682962507,85.6079404466501,88.1834215167548,89.7642950676561,91.6353383458647,93.1818181818182,94.0298507462687,93.9346422660577,95.4100940218734,94.2135328549482,94.1299532365247,97.8645973316024,97.0831447963801,100.724181360202,102.000576572235,103.440181134607,104.605263157895,103.683146997598,103.389830508475,105.084451768543,105.293775450844,105.109370734371,105.615942028986,107.142857142857,109.532267613973,112.179487179487,112.892223738063,112.68253968254,112.626635873749,112.223756906077,113.287153652393,114.728682170543,117.852602395613,119.928979310455,120.852641273525,122.222222222222,123.703703703704,124.369963369963,126.650772025431,125.248948081586,126.727609962904,128.205128205128,128.292166549047,129.901960784314,128.965517241379,130.551816958277,130.35931259984
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,57.3155330882353,56.957462148522,58.3085952208149,57.4121027721433,56.9337606837607,57.208448117539,56.4164127189337,56.550424128181,55.2459192439863,53.2807343007896,53.7555228276878,54.0425531914894,52.2767815966661,51.2688813457795,51.0204081632653,50.5634425815149,50.0791556728232,49.4159805011113,48.1065918653576,47.5737111304122,48.1805199658339,48.3870967741936,47.7014925373134,47.2972972972973,45.1525054466231,45.602913152582,45.0759672903144,45.4399799095932,47.1599060910395,47.5250463775319,48.7007575757576,49.4148244473342,49.6549948693404,52.1051479862561,52.5046200540944,56.0652395514781,56.603144654088,56.999776654848,59.2907983772886,59.3032462391132,61.6464939724687,62.5488663017983,64.5491803278689,68,68.1040798388814,68.8684663986215,69.4136028698658,69.9994604133868,71.9570543688085,73.009162161896,72.9106628242075,75.7465404224326,75.9439209726444,75.0816993464052,77.7310924369748,79.0955631399317,78.8702239789196,77.8443113772455,77.3349196906603,78.740054780227,78.6926488146,79.8113082039911,79.7101449275362,79.9579233052171,81.6942741415815,79.1302139288879,80.1571644823906,82.7021098724499,84.5925288309964,86.4197530864197,87.0855148342059,87.0942201108472,86.6462793068298,88.2343137254902,90.1442307692308,91.1458333333333,90.7703488372093,92.2273781902552,91.1764705882353,93.0142855919781,96.4993216279338,96.7316050131393,98.2916484636668,98.5490601914954,100.606704568453,101.9955654102,103.59756097561,103.041869072403,106.423173803526,107.323232323232,111.181702668361,111.940298507463,113.346043851287,115.633308516465,114.873035066505,120.273268398268,121.836407409382,124.662812259464,127.933383800151,124.857954545455,129.461848620383,132.694128787879,135.030864197531,137.791286727457,139.123376623377,141.065830721003,142.529987227821,141.742654508612,144.003115264798,144.137931034483,143.625891753736,142.630549257661
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,161.290322580645,169.340463458111,164.476405946994,164.835164835165,166.666666666667,166.898470097357,164.689265536723,163.767049209878,166.703744901743,168.107588856868,168.107588856868,165.441176470588,163.895486935867,162.483039348711,161.417322834646,163.398692810458,160.45730218693,162.639998596725,162.520325203252,164.384729429207,162.60162601626,161.409023668639,159.785932721713,156.997008149495,163.574835464903,160.68264403565,162.915129151292,164.628410159925,165.214812611087,165.562913907285,169.491525423729,171.296227947147,172.574626865672,177.019927536232,177.930155578443,180.876282368998,184.677419354839,190.895741556535,194.153229382861,195.906228131561,199.519230769231,199.427480916031,203.451327433628,207.945900253593,206.860569930987,211.983494774578,211.009174311927,215.262778977682,211.207004074392,220.047169811321,225.778816199377,232.489426129752,232.380979875158,236.176935229068,240.478068420526,242.248062015504,243.663009633244,244.755244755245,243.315385896754,244.785785642928,246.279057253551,247.147487268309,245.675192519252,250.101419878296,253.448275862069,254.852732234275,257.15316742948,258.782718250227,263.125,265.246929160357,264.253370470867,269.565217391304,263.564431047476,268.187422934649,263.559969442322,266.426113701961,279.605263157895,281.141868512111,289.720313014967,292.109929078014,298.845108695652,299.059829059829,303.65296803653,304.444444444444,314.553990610329,316.915271154486,325.237601542028,320.436121919585,315.512708150745,325,328.435609334486,333.63453815261,340.97424718056,344.098603162285,351.656095842142,350.500715307582,348.538175263579,347.393475584577,348.324514991182,350.260416666667,356.153846153846,356.413705236815,364.406779661017,367.698906089285,366.806249980841,371.266603572122,373.191165270373,383.916083916084,378.787878787879,379.924953095685,381.026438569207,382.794713754234
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,50.5259317873385,50.0836120401338,49.6266251526818,50.1432664756447,50.4208754208754,50.6706408345753,50.8229404944693,51.5571680017242,50.2044858430875,50.5050505050505,49.5970241785493,48.9690173792942,48.5310734463277,47.8045325779037,47.3822536747707,46.9448584202683,46.7558737624294,45.6564337034618,44.900440250517,44.9370880766926,44.8741007194245,43.9056996708222,43.2390204347017,43.2440925087984,42.9799426934097,43.1406651972872,44.0034564923892,43.7495333220579,44.1999807819879,44.9077786688051,45.0967741935484,45.6245325355273,45.268691588785,46.2012320328542,46.6756878664862,49.0020277879808,50.1474926253687,50.6993006993007,51.5685527120582,52.0490814007957,55.4279749478079,57.0502788812648,58.5610890468227,61.3604687653835,62.4444525998178,63.9826206565287,64.499484004128,66.8896321070234,67.6314607006251,69.4444444444444,70.1306645889488,71.4285714285714,71.6977890105095,71.7444876783398,71.5194908512331,73.9320920043812,75.2688172043011,73.8936678633427,72.4841341795104,73.5294117647059,75.4758738520068,79.0960451977401,79.9094804399844,78.166915052161,80.9250705218618,82.462511715089,81.7589721856668,82.1799307958478,84.2885597548519,83.5916576899239,85.393037619315,86.4191358024691,87.7955687953826,88.8000806783851,89.3001152073733,89.0320616883117,89.7357098955132,91.8656384961984,92.7835051546392,92.5925925925926,96.3391136801541,97.9745264532985,99.219212685074,98.0068710697865,100.589285714286,103.02394138378,104.588606164693,105.460164316667,105.3717451106,106.387225548902,106.964072362922,108.487290762554,108.761329305136,108.487290762554,111.53960419199,118.487048711594,118.54103343465,118.478624963363,118.949693251534,121.062441752097,124.212260860522,127.730294396961,130.145278450363,132.397212543554,135.439541631778,135.763012181617,136.869118905047,138.281731654014,142.900590893292,142.51061249242,141.672394942519,142.06238418777
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,64.0176600441501,64.2034548944338,64.9025069637883,67.1390013495277,66.5557404326123,66.3305370560768,66.7734397137697,66.5972892535393,65.5637254901961,64.9074184484904,63.4488448844885,62.4608967674661,61.7838541666667,58.4740888947313,59.1747089504113,58.8885435717865,58.7280966292532,58.1203864574428,56.9852941176471,56.2578222778473,56.3394683026585,55.7452396585686,54.9120234604106,53.8848920863309,53.7121872726891,55.0239234449761,55.3525479481126,55.3359683794466,56.2372188139059,55.4217900357615,56.9852941176471,58.1285444234405,58.7732997481108,61.770761839396,60.6060606060606,65.2093320074093,68.532206969377,69.53125,72.2543352601156,72.4917554996606,74.8637602179837,76.3862332695985,79.1919191919192,82.8863346104725,83.108416252073,84.4251196674104,86.9120654396728,86.027763993187,85.6836953196696,86.9120654396728,87.2093023255814,88.2352941176471,89.4683026584867,90,90.2075812274368,90.3846153846154,90.6176700547303,90.6176700547303,91.2933220625528,92.7663734115347,91.9222903885481,92.8641251221896,92.8381962864722,93.2736842980567,96.4365482233503,97.1675408824437,98.1012658227848,98.9010989010989,99.3908629441624,99.4378375298735,99.4786235662148,99.0553924129266,101.473922902494,104.166666666667,104.506232023011,102.889990295856,102.783725910064,103.950103950104,105.328376703841,105.328376703841,104.477611940299,106.191117092867,107.314530289728,109.74212034384,111.934923000497,114.044350580781,115.468409586057,117.142857142857,120.866301920114,122.171945701357,126.320947316313,130.190007037298,134.491464747334,134.991845776772,137.148626950698,138.631476050831,141.063512361466,141.336697722567,146.443514644351,149.24512677887,152.636237583701,153.571428571429,154.334406870639,159.045883862576,158.345213967691,159.313725490196,159.313725490196,159.830667920978,159.968276343629,160.67860245749,160.966542750929,160.606290701518
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,135.485337837838,138.121715602962,139.724402157557,140.482700004473,139.578163771712,143.5960591133,150.038056425084,151.851851851852,148.148148148148,147.205333981842,142.857142857143,143.961352657005,150.201361138861,152.705283259071,154.111762224892,153.555260132222,149.997772497772,150.336895956852,150.737823199884,149.585635359116,146.741045214328,146.226273094493,143.25436827957,142.701525054466,141.592920353982,144.635627530364,144.73160686863,148.318496538081,149.122807017544,148.752050990786,153.846153846154,160.923423423423,160.946100423586,156.152465667915,163.265306122449,171.56862745098,172.273154947678,175.779402024789,182.38040573578,179.136321507594,176.260860351769,183.981601731602,187.427083333333,192.306776556777,196.386333771353,197.285689916945,203.045685279188,203.045685279188,203.235904738095,207.392197125257,209.145606141158,224.286657578598,227.619047619048,227.649006622517,232.1083172147,224.213286713287,229.365079365079,228.556910569106,229.763122951918,234.848484848485,235.235235235235,236.742424242424,235.868608088559,234.805117617618,236.44623655914,237.946428571429,245.398773006135,246.0058097313,247.252747252747,250.198728139905,254.830162453306,257.855746297632,259.377494014366,255.583196466343,259.377494014366,267.558528428094,267.558528428094,277.777777777778,267.558528428094,271.052631578947,268.822674418605,271.368470258268,275.836120401338,274.291294642857,277.58983611487,283.754219465802,299.40119760479,306.026365348399,308.631921824104,308.641975308642,304.982517482517,309.782608695652,311.916089965398,306.724675638861,318.335391869986,324.758289027443,328.532193807717,331.955719557196,334.012400506761,332.697807435653,340.909090909091,345.23435540864,348.163822205877,347.544022242817,350.097072714122,355.394952149551,363.545816733068,354.204662634284,355.292926887354,347.187065972222,355.863499245852,369
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.570247933884,116.684316024356,119.19717635798,120.652945351313,119.047619047619,119.047619047619,119.156837046745,119.266055045872,119.075231824011,120.420055563357,124.810892586989,120.811744386874,125,126.373626373626,128.118111149785,125.997813512643,128.129713423831,130.133928571429,129.464285714286,134.67296176877,134.615384615385,134.865269461078,130.456852791878,137.398942335555,139.529757531227,140.41522556391,139.867695473251,138.461538461538,138.269230769231,142.299578059072,141.853197296396,143,144.525547445255,145.440251572327,145.995670995671,148.658448150834,148.324759789703,149.363359082791,150.535566161355,154.867256637168,151.891025641026,148.735119047619,152.883947185546,153.927813163482
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,66.3848679045301,65.6008717450033,67.3927842069435,66.0031847133758,65.8608058608059,64.7694524495677,65.0283553875236,65.2170101285145,62.4765478424015,59.9759615384615,59.1761021495566,58.8930478544859,57.7376457643391,55.7416267942584,54.8984468339307,54.4242200995834,54.5162828644971,53.7142857142857,52.3669661368348,52.2552255225523,52.6091379671464,52.5862068965517,52.8439153439153,52.9249698067633,53.6845145523217,55.0164064913954,56.5718952686344,58.2959641255605,58.4099868593955,60.3706939247193,58.5580308156547,62.4508368535586,62.4589086127548,65.7439446366782,67.9916317991632,68.1288317796254,70.6742485783916,73.9917695473251,75.0844776264389,73.885755610551,77.2316931039251,80.6232536082727,81.6631130063966,81.6631130063966,87.2858272463565,88.28125,91.3937547600914,89.3521965748325,88.7611330121186,92.1149594694178,95.707248416608,97.0854922279793,94.8467498820538,94.9367088607595,95.024166847817,92.656142759094,91.9030284159989,93.0568603686625,94.9367088607595,93.4903047091413,94.0841338585016,95.6968529222865,94.0245735835033,99.5335893432866,102.03366058906,100.103305785124,95.707248416608,101.537114845938,102.375102375102,101.686027819142,102.10687732342,101.130127670903,105.207226354942,108.923034784558,107.916102841678,112.907946410817,112.965425531915,113.857755638578,112.999190661295,114.942528735632,111.410118406889,111.746920866834,111.975817096996,112.08722741433,114.58378112416,118.72289143834,120.514659567035,118.75,116.167497274881,114.591291061879,118.929750117869,120.790370354535,122.923875432526,129.98355014559,135.9410430839,131.479674796748,126.042960501801,118.547331075633,107.386363636364,118.811881188119,121.134020618557,119.962097283639,125,126.635540856635,126.555376913058,128.345916266301,137.997432605905,138.292372287256,136.487890969703,140.124394835933,149.318503722451,149.827127077286
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4117668474387,85.9249198571657,85.6291883842144,87.050958591127,87.1205151793928,88.2028721682848,87.6605061495316,87.8640776699029,89.4366197183099,88.8888888888889,88.727258989363,89.1530460624071,89.6979539504116,89.4854586129754,90.5397934941521,93.167701863354,94.5909398242055,93.3911882510013,94.0378933889974,94.9185043144775,96.7368259241218,97.2132209980557,98.8875154511743,99.7242647058823,100.807068074742,102.194361690389,102.040816326531,101.273885350318,100.585223116313,105.26867200596,107.317073170732,108.147676639083,109.119251753702,107.954545454545,109.119251753702,110.694183864916,110.987928061099,111.111111111111,112.747557611567,117.573529411765,117.573529411765,113.563049853372,112.71282359431,113.272311212815,118.83604505632,119.973190348525,122.068403908795,121.491228070175,121.27345666733,122.651880424301,125.379939209726,126.826530612245,126.847546623212,128.205128205128,131.665569453588,131.122448979592,130.749014454665,134.497247909969,135.021097046414,137.524557956778,142.067164179104,141.709299828179,139.666526002733,138.008930756056,144.143749341456,144.444444444444
