"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,150.361469704846,150.361469704846,148.331273176761,148.963730569948,148.137672936755,146.207164336935,144.939773989638,145.250773169008,145.84683677386,145.409223099294,146.942115014346,145.389826737166,144.985637927468,145.814581458146,145.151327980235,144.419283713724,145.121728905195,145.443239686081,145.438060897436,146.112956810631,145.916055793117,145.202689143087,144.683746521452,145.066744051074,145.911422220097,148.634717506747,148.75,150.541161036405,151.125806451613,150.523560209424,149.362808842653,150.70126227209,148.746448046616,146.548564447159,145.065939063211,144.830659536542,144.806338028169,148.517217315774,151.162790697674,154.771140418929,154.568901989683,152.758784582573,153.600927711654,157.522541100991,159.056603773585,160.446821900566,164.986619090098,161.691312384473,164.177690621158,165.514993481095,171.043154634688,173.444388576286,179.950900163666,177.91142334177,176.926766329129,178.947368421053,177.210506844247,179.838090820158,180.300633994714,185.328516941402,184.357179616401,188.298757533162,190.426065162907,191.746575342466,191.652470187394,191.447158686356,192.120622568093,192.943882738719,192.878313851289,194.200779727096,194.605179091962,192.251131221719,194.075829383886,196.410079392475,199.552214322227,203.337453646477,203.101920236337,204.081632653061,206.052946992665,206.765619606489,207.729468599034,208.846808705692,209.56153457109,211.29608802247,213.850207354177,217.07696137176,220.630760924062,220.417592579261,220.286112266695,219.097384872103,220.308756653583,220.293724966622,220.118014172116,220.351339375997,218.045112781955,220.559954751131,226.818181818182,232.865400495458,229.78855721393,230.54801953337,232.046070460705,229.85664854177,234.78868841287,231.611474447824,232.587064676617,238.81317570593,237.247924080664,235.690607734807,234.947769372849,237.064156206416,238.716693855356,239.010989010989
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,142.120227457352,135.863880597015,129.89755973432,126.213868797905,128.479680952213,121.865607165766,121.359223300971,115.7523905385,116.237253667006,114.748638841669,113.17607815106,104.561142235775,109.628217349857,108.786087866109,105.729877216917,100.468859663115,100.868045477231,100.062758864272,99.6455471865308,101.819305585775,102.583293095123,101.819305585775,100.685518423308,97.412109375,94.4813856558445,92.0798807205032,91.765873015873,93.1005110732538,92.3141891891892,96.3783220427306,98.3430945362169,98.9859971028489,98.826858347821,100.28431984506,100.809891146316,104.956703970667,105.171184022825,106.232294617564,107.842789030974,111.761220144645,117.370892018779,119.182746878547,117.30640595812,125.579042512762,124.058365857367,122.559320667509,124.457831325301,125.73354850831,125.331943705646,126.562901249514,125.776340498746,129.586713016609,131.653229800131,130.404251458337,131.299015391772,130.359212050985,131.241655540721,134.517766497462,134.680424190312,134.373645426961,140.316059683992,137.248322147651,138.040971667362,140.025850926325,139.229461756374,140.025850926325,139.783526082458,140.091696383087,141.538626057719,142.389455782313,142.009317812426,147.66201804758,144.356955380577,144.272442858373,144.850556187677,145.027624309392,148.35689746684,145.945423623995,145.081208045897,145.833333333333,145.406263636415,144.194821333419,144.277647058824,146.529179336949,147.530344315085,147.195794392523,148.386890388865,148.175091196651,149.59523868686,151.899335232669,151.121924844553,148.343343303776,152.447268813914,160.061198286377,161.519634323707,165.24064171123,168.807453379074,166.118471592802,167.224080267559,171.041356451791,171.908634068379,173.343132363875,177.498463054583,181.818181818182,178.044593017495,177.013853258081,179.093177746556,178.656679062845,177.713736791547,178.66874270144,178.200278273169,180.935639437961
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,1125,1133.23886639676,1148.67424242424,1149.50757575758,1146.4911021814,1145.83333333333,1163.57142857143,1159.45437441204,1158.33333333333,1136.13211669019,1159.45437441204,1180.8066759388,1190.1681759379,1186.00633327637,1235.85725595484,1280.99173553719,1318.67145421903,1314.91712707182,1318.67145421903,1253.61620057859,1243.94497400347,1279.71771678104,1285.71428571429,1300,1291.07981220657,1265.82278481013,1265.35186859554,1234.50292397661,1236.66429587482,1247.69201895081,1244.80369515012,1263.95286111457,1248.69383490073,1226.194790031,1250,1266.46010844307,1266.91989379373,1271.76517031356,1273.22404371585,1252.68817204301,1266.28075253256,1301.38632358231,1322.11538461538,1369.4627154207,1397.51552795031,1429.02901942644,1451.88400258621,1446.07162120197,1489.6134347275,1494.47167641099,1486.219035361,1476.13636363636,1516.36073423783,1488.51767247599,1500.42881646655,1495.56240528998,1555.55555555556,1567.59348034516,1577.31958762887,1573.86363636364,1559.93247045582,1565.07413509061,1577.84905139465,1597.86821705426,1603.35211311837,1637.86304289901,1676.00373482726,1697.5,1720.16873022435,1722.50316055626,1763.43137254902,1800.11678437515,1880.91664961307,1896.64711960506,1869.47477899116,1865.9217877095,1819.2868719611,1816.98041093511,1824.60317460317,1832.40223463687,1817.47269890796,1813.58191277016,1816.69089490852,1813.50806451613,1806.35838150289,1818.46932321316,1819.82878803992,1821.24483370758,1819.17211328976,1807.10109004349,1801.84549002364,1813.65576102418,1816.60899653979,1791.0447761194,1810.80605011827,1815.58441558442,1820.38990412935,1518.42439644219,1395.78163771712,1471.88612746167,1504.42477876106,1512.85431773237,1540.90909090909,1562.63528138528,1547.76674937965,1564.30064188685,1578.64813644978,1622.96983758701,1637.55458515284,1574.06920440326,1555.78947368421,1536.88524590164
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185.79819836553,1225.13702887495,1205.5842537214,1200,1204.2818911686,1230.89983022071,1224.12377441115,1207.31707317073,1223.8317831742,1214.28571428571,1221.75472675473,1246.66696175637,1243.83431085044
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,116.636723286876,116.085946573751,116.085946573751,114.81389690909,112.371933899264,110.303211986247,101.899485555995,104.895497932821,105.479452054795,97.8473581213307,99.1529646238166,89.555575618978,91.6388017697628,89.9427636958299,87.3147896210418,81.693862558876,77.5387870239774,81.2102639603425,79.219116633552,79.3629535147392,80.0032406980438,85.743106926698,83.1337325349301,82.4099105270168,77.1426408828198,77.128151883714,79.5487416835406,78.2111899133176,79.2293849406886,76.9393810936838,77.720207253886,80.9661556262655,77.0171149144254,78.5223227629684,82.0535322509873,82.2437789962041,82.1921597683723,82.9108055535218,88.9522000633112,92.4598001351842,92.1899529042386,93.8716428793878,97.6339691189827,98.116169544741,101.196953210011,97.6577324801428,96.8570813603099,104.093135221379,101.544207253754,101.805841217606,103.300419432392,102.639296187683,105.944673337257,107.132607161229,109.246745784483,110.091743119266,110.791546983997,110.725864732385,109.572524662039,112.404981400615,114.937580714593,114.888994371775,108.728480821504,110.051357300073,109.743040685225,111.419847328244,113.641539512639,115.82969662932,114.824175824176,116.279069767442,116.279069767442,116.279069767442,116.519937856033,117.881755531375,122.254942744245,121.381512605042,122.353116237182,120.539778206365,118.898978433598,119.59395245862,119.761182140841,118.590761078923,119.379871767055,122.095447839922,120.862774265526,122.143444232963,124.498909090909,122.249388753056,122.857546362088,120.939334637965,119.97037037037,126.322330888346,131.13710658558,131.4307172362,125.588235294118,127.949119270084,139.802444528686,143.763213530655,146.229739252995,146.910751258728,148.653169912559,146.910751258728,146.699266503667,150.537996183993,152.473252317715,154.876778579939,149.217481561493,146.784791728295,147.504525517776,148.011844331641,149.093904448105,149.402390438247
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,120.169535303406,118.585841532977,113.378231292517,111.826418693371,111.172925359295,109.418449803596,107.804858730442,104.570383912249,107.290895165839,105.112936247654,104.197652542048,99.7136038186158,99.6203554119548,99.7146667222142,97.7630910015252,94.8042893708503,94.6483765170562,95.3505007153076,94.2728281909297,92.8888888888889,93.4256167222156,91.3511749347258,89.1655162570456,89.9601959477287,90.001318319995,90.3861830997494,94.848954298993,96.7102080309627,96.0443037974684,99.0013774104683,99.2885518941165,103.884817459616,105.177219296908,105.075975703029,107.530737704918,106.717350746269,108.175577283129,109.682414456302,112.128731010838,112.669349275696,116.55223880597,120.491150602219,123.775894538606,124.541607898449,125.572324943757,127.869830862703,127.045671927308,127.242793799011,128.371089536138,127.505339598462,130.573607628435,132.758656330749,132.781124497992,132.869991823385,131.806196440343,132.958019419337,134.336378291241,134.156729131175,134.156729131175,135.106660205653,135.251097025841,135.629774274622,134.156729131175,135.115864656112,135.564217427251,135.481095735171,136.752457294882,136.668219633943,136.129172516254,135.04016064257,135.339860225013,134.745098039216,136.055819991346,138.196923076923,137.715754682336,138.724926878478,139.215931900148,139.854902685842,140.999711066166,141.381152047489,141.141601473233,142.294436238306,142.347343378271,141.632236095346,145.039215686275,144.809270883631,145.984423676012,147.312248350394,148.818737270876,152.390425081102,152.903705451971,153.452685421995,152.578737533476,152.929214429511,154.408776919951,155.683298287161,157.166806370495,158.69140625,161.013310433663,163.030674846626,168.514195724529,170.141971170975,169.28504233302,169.190111761621,170.769946432953,169.551416422112,170.193085276921,170.442727789663,169.041069771876,173.306451612903,174.212926166701,175.007068136839
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,159.210526315789,155.082987551867,153.163827927616,151.138838397695,149.638869941373,148.842140457094,147.134744450181,144.40930813423,144.270403957131,140.909090909091,140.6463878327,138.142696659629,139.080944350759,139.36170212766,139.254931470641,137.323390894819,136.055175792122,136.069194771106,136.292785026427,136.837532580365,135.724012709941,135.522959183673,136.540962288687,137.155924491977,138.089070871367,141.006976038823,144.549493058953,144.115784424675,145.97389807977,148.18520844282,147.854954034729,150.512910995714,150.931856899489,151.934287005307,153.15739868049,153.982365489847,156.25,160.093249432412,161.43291153523,164.514586322334,167.833766936669,169.409486931268,171.267893660532,171.405070732355,175.021516665841,177.491940172295,178.001148765078,177.466160773834,179.917751884853,180.12012012012,181.06008543534,181.494041849947,179.099933331974,177.777294625596,176.28101836932,175.327881529598,175.679498592574,176.036109971276,176.521445807008,178.602469476443,180.010438413361,183.305966064587,182.168881268753,182.628062360802,182.849936948298,183.351300992141,182.882882882883,183.011049723757,183.239365023118,183.260151399686,184.220629827941,185.841779522747,187.84655793657,188.980009429764,190.76812116841,189.544115394037,190.217391304348,190.457097032879,190.233231953181,191.232559428611,193.199712129348,195.037353255069,194.401244167963,195.961938826318,198.13262195122,198.681533399464,199.233520694941,201.389612781347,199.113261442105,197.906949749026,199.043704024232,199.302441454908,200.884955752212,202.552719200888,203.205518226549,204.400613574514,209.196563921172,210.799704062416,209.969828595098,209.686387234246,211.366838891498,212.408683010585,214.579673974243,214.810208690664,215.190397350993,216.323582520766,217.235888086162,217.647058823529,219.711236660389,224.719587846618,225.091112082581,226.579077980814
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.424892703863,708.287895310796,728.710462287105,746.25,727.081138040042,763.253968253968,765.555555555556,804.751258127464,796.810513447433,746.666666666667,743.478260869565,740.522325189553
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,118.637532133676,119.009777302793,118.293751439315,118.321488174052,115.701876302988,116.011037437873,112.523620526636,109.487464503502,110.02032647585,106.489133761861,105.015131863381,103.595760787282,105.338267081269,105.240732850447,104.85019572632,102.041510717931,100.386661936857,98.1762065095398,97.8939828080229,97.8939828080229,99.2590998177295,99.8677163564141,100.146777603971,100.251432208784,101.288883846831,103.169442620668,105.319832418863,106.661996283028,110.956618464961,114.010989010989,116.355615880556,115.530594779632,115.746815901196,117.647058823529,120.572925344386,122.195172344672,122.164013328397,121.039738286229,121.490280777538,125.733761836128,127.009196233871,127.899189963482,132.202602230483,129.87012987013,131.098572850979,131.25,131.339872637634,132.192846034215,132.192846034215,133.044387512494,133.539174064068,135.066442964333,134.558824664904,136.103151862464,138.193964524303,138.193964524303,138.556541875724,136.733995638603,136.663896967179,138.576724490114,137.637028014616,136.974738222871,137.099854113479,138.127610235585,137.403865461847,137.856525496975,138.879896406604,138.098571825738,140.664346436162,140.407635069557,140.688127456828,141.698699289505,141.167493323159,141.50171355641,140.36193650188,140.345816464238,140.967796536474,143.742686523506,143.591293833132,143.39111977639,141.144548057454,144.013903353967,146.227660724274,146.182302884464,145.667889638581,148.359099511232,149.121979445765,145.58693733451,144.429745996827,144.549763033175,147.540453074434,149.056043956044,150.839972824409,151.200519143413,150.933152358331,153.13567580186,154.55764075067,154.55764075067,154.365544921272,155.632201989965,157.337277127259,156.068474801153,156.09756097561,158.03564290473,159.82905982906,160.628019323672,161.795407098121,159.623072529983,161.488673139159,164.905768132496,162.519201228879,160.935287929007
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,168.270181282218,163.449228351157,159.372600215021,158.090650795181,154.35109351683,151.384083044983,151.311806256307,149.609912804039,145.008365867262,143.42453662842,142.359521993389,140.684716860562,144.456335616438,141.148556430446,140.989489874391,139.176266981265,138.690148596588,135.802469135802,134.68809073724,135.307663357503,136.645307553075,129.350568232645,127.210004312204,129.403040415276,131.444403184718,133.320204805041,132.582637123138,134.797387057757,141.975308641975,146.232269503546,144.96644295302,141.267123287671,147.362296353763,146.353591160221,145.826580226904,145.292686075296,154.493696624644,154.269862417742,156.887532693984,157.156298146426,159.128978224456,156.525958127814,159.55826351866,159.578947368421,157.502863688431,156.942078364566,157.622739018088,159.033078880407,160.636392212926,160.152806347341,164.100152609868,160.680529300567,160.58981233244,160.671462829736,159.818569903949,160.238637364926,164.292828685259,168.632075471698,168.15171628262,170.505375066653,173.992673992674,173.841961852861,173.596673596674,173.913043478261,171.64826980761,173.992673992674,170.086393088553,173.216828368475,173.864878291108,175.644028103044,176.636834667923,178.368121442125,179.540709812109,176.905626134301,177.175843694494,178.817056396149,179.079022171688,179.190815803797,180.175600739372,183.333333333333,182.135728542914,179.585152838428,178.93713985784,180.868609125893,181.657848324515,180.732635585157,185.809182755783,185.680453027589,189.052631578947,189.537528430629,188.616353351985,188.888888888889,193.02088639837,191.990090834021,193.341932879855,192.613636363636,193.508114856429,193.905817174515,194.528164062756,197.526501766784,193.322797547174,193.746702132625,193.556855235502,198.461469705504,198.462929475588,201.041365345675,202.524698133919,204.928299179176,206.014308426073,202.881493506494,199.61695308185,199.989046598052
