"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,329000,325000,319500,320000,324900,319000,315000,309000,309000,305000,307000,305000,302000,304900,304000,299900,3e+05,308615,310000,310000,299949.5,309000,309000,315000,315000,319000,324950,329900,329900,329250,327214,324900,319000,324900,325000,319900,319000,319900,325000,329000,339700,340000,340000,349925,349000,349900,359000,365000,364500,365000,363000,360500,365000,369900,375000,390000,387500,399000,399000,409000,405000,418000,424900,417000,424900,425000,420000,424900,419000,415000,424900,419000,435000,425000,427000,439900,449000,449000,449999,448400,439900,449900,450000,449900,450000,450000,470000,469000,460000,469000,459000,459000,450000,448000,435000,439900,449949.5,475000,473450,471450,475000,477000,480000,475000,474925,469900,469999,462000,473495,479000,499000,499000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,299900,298000,289450,279700,280000,268500,274900,265000,269900,269900,265000,250000,259900,259700,260000,249000,249950,249900,240000,246500,249990,249900,249000,243269,239900,235900,239900,239945,245000,247500,249000,252000,258900,265000,265000,265000,263450,275000,279000,279900,277450,285888,279945,299000,299900,309000,320000,317747,305000,315000,310000,323625,329000,324888,339000,339000,340000,345000,349900,349888,345990,345000,345000,350000,349000,348900,349000,349900,350507.5,349999,349944,355200,355000,359000,355000,359000,357495,355000,354990,354943.5,355000,355000,359450,359000,355000,364900,365000,364900,379000,389000,388888,385000,399694,402500,409700,409000,417000,410000,4e+05,405000,425000,420000,424894,430000,435900,434950,450000,442495,449894,446500,449000,449894
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,1299000,1295000,1299000,1349250,1275000,1245000,1299000,1349999.5,1400000,1380000,1349000,1325000,1295000,1295000,1300000,1281000,1277500,1300000,1299000,1262500,1295000,1280000,1265000,1234000,1250000,1218500,1295000,1250000,1295000,1250000,1295000,1395000,1437500,1500000,1499000,1412500,1499000,1550000,1550000,1635000,1495000,1500000,1650000,1695000,1750000,1675000,1770000,1770000,1770000,1785000,1842000,1880500,1916250,1949000,1895000,1997500,2085000,2295000,2295000,2150000,2232500,2040000,1999000,2e+06,2075000,1999999.5,1999999,2095000,2075000,1995000,2100000,2100000,2150000,2100000,2149500,2095000,2062500,2100000,2095000,2195000,2150000,2050000,1925000,1895000,1900000,1925000,1975000,1975000,1950000,1900000,1995000,1975000,2e+06,2130000,2010000,1995000,1995000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,1448670,1395000,1361500,1375000,1299000,1290000,1275000,1270000,1249000,1225000,1275000,1250000,1225000,1100000,1225000,1295000,1315160,1395000,1398500,1400000,1450000,1450000,1450000,1450000,1425000,1450000,1449500,1395000,1365000,1399500,1395000,1375000,1450000,1450000,1495000,1500000,1499500,1495000,1500000,1500000,1499000,1625000,1582500,1595000,1650000,1650000,1800000,1799000,1850000,1850000,1900000,1845000,1800000,1795000,1900000,1750000,1895000,1975000,1999000,2074500,2097500,2070000,2100000,2077500,2050000,1987500,1975000,1995000,2125000,2145000,2100000,2150000,2375000,2365000,2150000,2200000,2150000,1999000,1995000,1990000,1995000,1995000,2095000,2100000,1999999.5,2190000,2e+06,2100000,2095000,2100000,2060000,2e+06,2100000,2115000,2150000,2200000,2150000,1925000,1899999,1950000,1900000,1875000,1850000,1795000,1799500,1785000,1750000,1795000,1795000,1800000,1850000,1865000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,279950,275000,274700,267000,265000,262000,256756,257500,251500,249990,250000,249999.5,248750,239945,236500,230000,234950,234900,235000,239000,230682.5,235000,229900,224000,206000,219949.5,229900,235000,237000,230000,230000,245879.5,249000,249999,246000,249999.5,249500,248000,249777,250000,250000,259900,259900,277900,279000,290450,273000,265000,279995,289900,299900,305000,308000,307500,319000,314000,326000,326000,332999,340000,327450,325000,325000,330000,320000,326000,326000,326000,327250,329000,329000,349888,339000,345000,348500,348750,349900,345000,347000,349000,349000,349600,349900,359950,356500,350000,354500,349999,360000,362000,362500,369950,370000,379000,379000,390000,379000,382000,394000,387500,399000,399900,399949.5,415000,417949.5,407949.5,424944,418700,412450,421000,424888,427000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,287375,289900,289000,287950,280000,280000,279999,275000,275000,274000,269900,254900,249997,250000,249900,244900,240000,240000,239970,239000,239900,239000,238900,239900,240999,244945,249000,256900,259999.5,269968,262250,275000,278998.5,285000,284900,279950,279000,285000,298820,285100,285500,295000,299000,3e+05,308694,319450,319000,320000,320000,319990,328000,330000,336495,324950,329850,341995,339900,349900,340495,340000,340000,338315,340000,349000,346526,340000,340000,340000,339900,334995,339400,339000,335000,339500,339894,354999.5,359000,359900,365236,361760,359990,360000,364900,363990,365000,370000,374894,378717,388444,398000,4e+05,415000,4e+05,422888,422990,419999,419430,423556.5,425000,429949.5,430000,429900,430000,430000,425000,429950,447500,449900,449000,449000,457500,464000
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,,,,,,,548000,554350,562350,525000,509000,521400,525000,529000,539000,549000,549000,549000,529000,524000,529000,499999,499000,519000,519000,539000,529000,519000,519000,519995,529000,519492.5,525000,525000,549000,560000,560000,560000,560000,569000,599000,625000,714000,639000,625000,602500,575000,580000,625000,649000,650000,609950,625000,599000,597000,587000,629000,649000,627000,649000,659000,659000,649499.5,650000,649500,650000,650000,699000,675000,697000,699000,677000,729000,739000,739000,729000,739000,739000,749000,739000,739000,729000,7e+05,749000,749000,734000,749000,730000,772000,739000,749000,739000,749000,749000,799000,749000,749000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,340000,339000,339900,339000,335000,334500,334000,325000,325000,315000,325000,322900,320000,325000,324900,322000,3e+05,3e+05,310000,309000,304900,304900,310000,315000,319900,324900,324950,324900,319900,324900,325000,325000,325000,338900,349000,350000,349000,350000,354900,358750,375000,375000,390000,389000,390000,395000,395000,390000,399900,4e+05,399900,399900,399000,399900,399999,399000,399900,396750,399000,411250,4e+05,410000,409900,415000,419900,422000,420000,415000,415000,414990,418996.5,424900,425000,425000,425000,425000,435000,425000,426900,429400,429250,429900,430000,445000,450000,450000,449000,450000,452500,457500,450000,458900,455000,451000,450000,450000,459000,465000,469900,464900,464750,469900,475000,480000,479500,478950,479000,480000,482000,495000,495000,505000
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000,725000,665000,642000,750000,699000,699000,699000,667000,655000,667000,649000,637500,628000,598000,626500,628000,638500,667000,699000,672000,649500,744000,735000,735000,699000,695000,691000,695000,693000,699000,699999,724900,699999,693000,675000,649000,697000,709000,738000,738000,695000,7e+05,692500,699999,695000,695000,675000,722178,749000,745000,750000,777000,749000,775000,764000,782500,799000,835000,799000,825000,8e+05,825000,845000,845000,831500,799000,829000,839500,848000,849000,848000,848000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,3e+05,307000,310000,3e+05,299900,299900,298900,290000,295000,286945,289900,298900,298900,295000,289950,289800,283945,269450,266950,265000,265000,283495,278200,274970,289900,293000,299990,299900,310000,334000,330000,325000,324990,324990,349900,360645,350247,337900,335332.5,353495,372445,349900,365000,365000,379000,379900,373450,374950,374975,359000,349900,349000,364450,365000,375000,368000,379900,384950,389900,389950,375000,369949.5,365000,375000,369450,385000,386473,385000,399700,398000,395000,395000,399000,397560,399900,399000,399949.5,399900,410000,419900,405000,407000,409945,399950,399900,410000,416950,410000,416950,412250,410000,419950,425000,425000,420000,434000,436750,429900,429921.5,429000,429000,435000,445000,439000,445000,445000,439700,434950,449900,469000,459900,455000
