"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,0.928571428571429,0.959944751381215,0.974325238385025,0.983741526350317,0.986153846153846,1.06468063137955,1.06109324758842,0.971107544141252,0.9,0.882813911472448,0.948515248796148,0.89092032967033,0.873650793650794,0.90636927480916,0.888157894736842,0.950044563279857,1,1.05651875303617,0.936862264609135,1.03099173553719,0.981873111782477,1.01851851851852,1.03558001366576,1.03988035892323,1.03174603174603,0.995575221238938,0.972817167241096,0.96216804029304,0.995575221238938,0.992766726943942,0.940850424892978,1.08940197263265,1.14567011674354,1.15384615384615,1.28887386517288,1.13636363636364,1.14210526315789,1.14210526315789,1.16220735785953,1.11576011157601,1.16057436891258,1.03719008264463,1.02272727272727,1.12574850299401,1.16888244687528,1.2725988700565,1.14035087719298,0.997711670480549,1.03059581320451,1.02097183098592,1.13430282292558,1.1566804397988,1.15520963526872,1.14035087719298,1.26762934298968,1.20854947477629,1.13561602870813,1.11413043478261,1.16995779700359,1.15687262808349,1.20392002875459,1.31901840490798,1.20457394041242,1.21515828906071,1.22,1.2792157384612,1.21951219512195,1.27857142857143,1.27819132692014,1.28550074738416,1.32584355828221,1.28470841565012,1.35755411940164,1.35524377457405,1.40095846645367,1.44952710112395,1.44707660015679,1.46428571428571,1.70472440944882,1.6694021101993,1.6769862774233,1.68491485845123,1.6962962962963,1.7258064516129,1.73927578622596,1.61134163208852,1.59987452948557,1.58945908460472,1.55119047619048,1.54585248112684,1.49285714285714,1.46153846153846,1.495,1.57299209321681,1.58333333333333,1.57950324217444,1.58456486042693,1.58456486042693,1.70244648318043
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05029585798817,1.06818181818182,1.09837278106509,1.11861713784791,1.12848415425735,1.09467455621302,1.10357787583994,1.09695068016836,1.02810650887574,0.998449612403101,1.02033898305085,1.03220338983051,1.04166666666667,1.04166666666667,1.03526093088858,1.03526093088858,1.04476224839002,1.03526093088858,1.08527131782946,1.03526093088858,1.05009799791182,1.06493506493506,1.06493506493506,1.03246753246753,1.08527131782946,1.13899613899614,1.17899103682171
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,0.953018664510478,0.949519230769231,0.944530857214681,0.934278350515464,0.934278350515464,0.92253136933988,0.879249706916764,0.863874345549738,0.875398089171975,0.873860182370821,0.875,0.915,0.901442307692308,0.901442307692308,0.921985815602837,0.903954802259887,0.930952380952381,0.924482338611449,0.880952380952381,0.873860182370821,0.850958051257253,0.92,0.955882352941177,0.969496124031008,1,1,1,1.00174520069808,0.998333333333333,1.01035798122066,1,0.986394557823129,0.980392156862745,0.980392156862745,0.946457821457821,0.952178970223325,0.935897435897436,0.966503477110798,0.974025974025974,0.983608058608059,0.938767588794364,1.01705237515225,0.967948717948718,1,0.995,1.03789531079607,1.09444444444444,1.15424209203455,1.30057803468208,1.24942136217037,1.10887096774194,1.10294117647059,1.07863849765258,1.05516431924883,1.07,1.10840438489647,1.17209677419355,1.15301947763185,1.17459677419355,1.24926470588235,1.1,1.26201923076923,1.16821641107805,1.06802721088435,1.1938202247191,1.26181681115718,1.27173679978558,1.39086859688196,1.3744019138756,1.33815861627398,1.32815446650124,1.3728323699422,1.31459330143541,1.34147940074906,1.2965367965368,1.25714285714286,1.19463087248322,1.3,1.3,1.3,1.36407740179797,1.36520584329349,1.36872863978127,1.39086859688196,1.375,1.38193548387097,1.39277389277389,1.39086859688196,1.35555555555556,1.35218179283424,1.42065868263473,1.39,1.39,1.42811152394169
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09090909090909,5.06229508196721,5.06106028078784,5.05499395196129,5.00569476082005,4.97377222005486,4.98480116786163,4.98929223744292,5.05540166204986,5.10220735178344,5,5.01941947040268,5.11689691817216,5.11627906976744,5.14705882352941,5.0991124260355,5.08396502792273,5.05984766050054,4.99342059729384,5.024845017564,5.07605552342394,5.06675567423231,5.06229508196721,5,4.58333333333333,5.00643418098391,5,4.92264171472092,4.9147123649989,4.91758535582065,4.90502793296089,4.99359795134443,5.02308931892721,4.98307692307692,5,5,5,5,5,4.99258160237389,4.99212413452028,4.98109277908721,4.95662613755652,4.98307692307692,5,5.06218905472637,5.17069701280228,5.09398496240602,5.0581759265055,5.1499415520187,5.05443234836703,5.05443234836703,5.05376344086022,5.06229508196721,5.10166515828543,5.04353233830846,5.06246872549386,5.14090346390115
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31291759465479,1.2488038277512,1.26459143968872,1.22835929553025,1.2488038277512,1.25229571984436,1.11764705882353,1.12288108539505,1.17424242424242,1.1439794344473,1.12714285714286,1.11764705882353,1.23635026965818,1.27798626597636,1.23022847100176,1.2730303030303,1.27688172043011,1.27951002227171,1.33518930957684,1.33518930957684,1.28859060402685,1.27545691906005,1.295096133663,1.27951002227171,1.28039430449069,1.32998745294856,1.3744019138756,1.39086859688196,1.42963496765806,1.44654788418708,1.42494677414518,1.43421052631579,1.43421052631579,1.41982182628062,1.40167364016736,1.475,1.44654788418708,1.4377990430622,1.44095947232422,1.45
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10181311018131,1.1657800066313,1.20831417624521,1.1877292215507,1.23735408560311,1.26657877389585,1.28793774319066,1.29405043766385,1.26526648599819,1.23619117492925,1.20864197530864,1.23359580052493,1.27243066884176,1.25148215099275,1.25103607384765,1.29898959929115,1.24666666666667,1.23833333333333,1.25,1.24595469255663,1.24595469255663,1.25093144560358,1.27960109508459,1.26,1.27019089574156,1.31442722148541,1.31217460633845,1.33627019089574,1.37687861271676
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,0.8,0.751506024096386,0.674718196457327,0.6703125,0.75,0.727142857142857,0.712857142857143,0.7,0.79255710414247,0.793884220354809,0.812859097127223,0.830882352941177,0.831181917211329,0.803549695740365,0.771960784313726,0.794117647058823,0.8304,0.831666666666667,0.837837837837838,0.815261482492042,0.824159021406728,0.862068965517241,0.861248761149653,0.872689938398357,0.840978593272171,0.839920948616601,0.838224308048776,0.832107843137255,0.824159021406728,0.824159021406728,0.857142857142857,0.91991341991342,0.904837861745133,0.911858974358974,0.911858974358974,0.888745148771022,0.890119047619048,0.868571428571429,0.949393440451182,0.990079365079365,0.938178505112144,0.941605839416058,0.929542645241038,0.916666666666667,0.937560916179337,0.931914179763376,0.98323733009954,1,0.981481481481482,0.98644578313253,0.979680696661829,0.992792792792793,1,1.04166666666667,1.04453995843567,1.06297527904519,1.05225225225225,1.03559870550162,0.991585451106177,1.04142857142857,0.986951447245565,1.03915662650602,0.955983493810179,0.992275496168206,1.0140625,1.04628453227212,1.05,1.10042053413238,1.09738372093023,1.11389236545682,1.13141426783479,1.10759493670886,1.13892709766162,1.098,1.098,1.12765957446809,1.16039279869067,1.16039279869067,1.16039279869067,1.16039279869067,1.20027285129604,1.23965517241379,1.24147339699864,1.24029202742605,1.27495908346972,1.27495908346972,1.268758526603,1.27495908346972,1.28314238952537,1.28620689655172,1.29185185185185
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.85895806861499,3.00936599423631,3.07692307692308,2.8,3,2.97640828117477,2.94540837917901,2.91666666666667,2.85895806861499,3,2.95833333333333,2.85895806861499,2.85642857142857,2.86744186046512,2.8,2.82403846153846,2.84615384615385,2.78571428571429,2.84615384615385,2.88181818181818,2.83333333333333,2.85895806861499,2.92307692307692,2.94677871148459,2.85895806861499,2.77857142857143,2.83333333333333,2.85,2.85895806861499,2.84615384615385,2.85714285714286,3
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,,1.06811989100817,1.06837606837607,1.01906023632984,1.01451010439613,1.00991501416431,0.98147036041554,0.986244467143344,1.00710900473934,0.992857142857143,0.972027972027972,0.954782608695652,0.95573499776086,0.972024456521739,0.973076923076923,0.973076923076923,0.978728377746611,1.008,1.01044117830152,1.0035799522673,1.01550480769231,1.01071975497703,1.01866251944012,1.05,1.08606557377049,1.03596153846154,1.03311403508772,1.04166666666667,1.04833333333333,1.06431852986217,1.05580693815988,1.06253031802394,1.13238388969521,1.11904761904762,1.12282229965157,1.12477079394411,1.12529550827423,1.09070034443169,1.0917537746806,1.09230769230769,1.09807626245277,1.11817780881326,1.12165330057375,1.12284069097889,1.15151515151515,1.15781710914454,1.16025641025641,1.14652956298201,1.14284274193548,1.16923076923077,1.12878787878788,1.14583333333333,1.14652956298201,1.15880893300248,1.189453125,1.18449982365698,1.17603550295858,1.2032546705998,1.1952380952381,1.22526636225266,1.22861586314152,1.26219108369061,1.29848484848485,1.28104575163399,1.28571428571429,1.28328611898017,1.25203805906128,1.33048128342246,1.44018558043628,1.34097421203438,1.30426777048244,1.28133704735376,1.30662020905923,1.33432720671659,1.35962524764391,1.3489932885906,1.36391912908243,1.36170486737059,1.36107986501687,1.371875,1.38083096193286,1.39950274633822,1.37110016420361,1.38211382113821,1.3844049247606,1.37110016420361,1.36879432624113,1.38255977496484,1.40179910044978,1.42187077039684,1.41384388807069,1.42857142857143,1.39911634756996,1.40117994100295,1.38207547169811,1.38729006485976,1.40479041916168,1.421854912764,1.40695652173913,1.4094387755102
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08116883116883,4,4.09597874245578,4.14323258869908,4.14814814814815,4.125,4.25,4.42857142857143,4.3814200914108,4.36111111111111,4.16444325862682,4.2,4.07142857142857,4.03448275862069,4,4.125,4.08073270013569,4.09529377375036,4.15538686665447,4.27315949237465,4.21428571428571,4.07935897435897,3.92938496583144,4,4.19285714285714,4.24422086774672,4.29477958804247,4.54545454545455
