"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,0.796734104046243,0.81397109726549,0.833333333333333,0.840023834911874,0.811223805813203,0.814144736842105,0.812586428083504,0.777110579862993,0.813450969244098,0.816582914572864,0.82145536384096,0.828970331588133,0.842696629213483,0.87804884369396,0.8274231678487,0.823529411764706,0.831069596851145,0.844371880556091,0.835,0.829136167867321,0.810878952783193,0.797510233424786,0.8274231678487,0.8274231678487,0.835,0.841584158415842,0.869208498095338,0.895669980869237,0.85786657072265,0.886931782849325,0.913307051854589,0.961538461538462,0.922702492211838,0.918648174118833,0.969411277650756,0.963718820861678,0.946704067321178,0.975103734439834,0.966703467859152,1.0054844606947,1.02701422165328,0.988529014844804,1.0054844606947,0.952380952380952,0.977620730270907,0.972472100325966,0.973451327433628,0.995575221238938,0.996612688553682,1.0054844606947,1.01435764833968,1.04044346031959,1.04066432565736,1.04458323453145,1.00183478933102,1.02118003025719,1.12589559877175,1.11094446991674,1.03734439834025,1.127681716809,1.23628880613524,1.10217954251187,1.11778563015312,1.03734439834025,1.11863615133115,1.19261477045908,1.21443442054129,1.21023513139696,1.21683279032525,1.22036384976526,1.16419889303529,1.22477523564882,1.32283464566929,1.28147588736649,1.30441433566434,1.38447958550881,1.34978597992794,1.25570776255708,1.24045801526718,1.27986348122867,1.32413793103448,1.3098373223635,1.27986348122867,1.30824607329843,1.31142857142857,1.30424123995891,1.38260241029892,1.4153627311522,1.36585365853659,1.36116152450091,1.37607854111282,1.32488479262673,1.30824607329843,1.3353115727003,1.36511869216272,1.39277389277389,1.43187695805743,1.32978723404255,1.32978723404255
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788690476190476,0.722195333996576,0.767847033514493,0.764964788732394,0.763273900157703,0.822998731644943,0.79265873015873,0.806214043113606,0.820044658967882,0.832975235548765,0.883709016393443,0.870901639344262,0.873161764705882,0.812577620466965,0.822610294117647,0.823305889803673,0.857181286737545,0.820139328689044,0.864734299516908,0.920099371625058,0.937785749454878,0.942460317460317,0.919734808148123,0.882043982587461,0.881410256410256,0.916279069767442,0.907258064516129,0.881410256410256,0.929588607594937,0.92638957706187
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48870636550308,1.43737166324435,1.40449438202247,1.3623595505618,1.28336755646817,1.27578718783931,1.22641509433962,1.23261205564142,1.25,1.2493213897937,1.38603696098563,1.4185393258427,1.30669546436285,1.54004106776181,1.50280898876405,1.56340527230591,1.61059907834101,1.46963537034684,1.45494028230185,1.56765676567657,1.59137577002053,1.53864177001403,1.43258426966292
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88941486610022,5.02674761195348,5.06119289161008,5.01748529160462,5.03426104097245,5.08146277590722,5.15873015873016,5.18018018018018,5.27988202735188,5.30337874307436,5.31737086355519,5.34943917169974,5.39084537101113,5.37010159651669,5.33333333333333,5.30165440292406,5.27629799274767,5.28650083769226,5.35152291688606,5.35390199637024,5.33333333333333,5.34441805225653,5.27240773286468,5.27225828820105,5.28005464480874,5.34533073929961,5.39392744902447,5.37525354969574,5.36519871106337,5.37219053323713,5.3866203301477,5.36185383244207,5.36185383244207,5.23012552301255,5.22875816993464,5.15151515151515,5.1413881748072,5.18774830193515,5,5.21219529995621,5.22922636103152,5.23076923076923,5.2518756698821,5.20385050962627,5.24842547235829,5.24910941905421,5.20833333333333,5.1792828685259,5.19262981574539,5.18053375196232,5.15288323414734,5.2040069201454,4.91890944157097,4.85355040439786,4.99833333333333,5,5.05689001264223,4.99679897567222,4.966455922848,5,5.09530948811309,5.11163337250294,5.1129110261985,5.07659186722251,5.04731861198738,5.14623850444746,5.18822100789314
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66285439113947,4.86189014032141,4.77207977207977,4.70699014068904,4.71014492753623,4.74978411053541,4.74320516316698,4.79473684210526,4.915947754303,5.09078229998732,5.22454915648633,5.14563106796117,5.06108202443281,5.05780346820809,5.11361256046007,5.11049723756906,5.14836164107337,5.21837795172006,5.25615435795077,5.25615435795077,5.23212361386311,5.29411764705882,5.27035360173961,5.29122541603631,5.20833333333333,5.11768440932575,5.13928571428571,5.16569200779727,5.16261055869912,5.19403372243839,5.20833333333333,5.25257246834281,5.20794025157233,5.16962843295638,5.09090909090909,5.06777277267076,5.09090909090909,5.06446619291028,4.84619933585043,5.12167268215655,5.16039051603905,5.18453427065026,5.23721147800414,5.3177691309987,5.29131355932203,5.3177691309987,5.23903077930583,5.18793157564344,5.17756724647394,5.20488667383572,5.14492019470229,5.08155949741316,4.77123205741627,4.67771135336485,4.78765684802171,4.78065241844769,4.85484021896786,4.89457831325301,4.79104777885266,4.79115479115479,4.79511769834351,4.76190476190476,4.80769230769231,4.82536866614924,4.91510277033065,4.89811279076664,4.85714285714286
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,0.658899134348909,0.653432722185558,0.64734993614304,0.643720117899331,0.647042306653578,0.664715719063545,0.656027905518395,0.660569105691057,0.66735112936345,0.666059230398724,0.663801337153773,0.66735112936345,0.658051318716238,0.647716682199441,0.658051318716238,0.65217577687945,0.6640625,0.66735112936345,0.664767331433998,0.66735112936345,0.665399239543726,0.663158831908832,0.649556400506971,0.657806699473366,0.64983888292159,0.646551724137931,0.64683265908945,0.636574074074074,0.651215342813206,0.66344652395377,0.661936753890777,0.661696178937558,0.654349499615088,0.662535748331745,0.642601148376302,0.643153526970954,0.661277370842036,0.665112425128017,0.666324435318275,0.666837782340862,0.681945448239381,0.690464274427947,0.704592901878914,0.708421807064813,0.692058702973602,0.675675675675676,0.69864942962612,0.717659137577002,0.731605351170569,0.728079331941545,0.712250712250712,0.714921652421652,0.716826233256274,0.730536454285326,0.719729043183743,0.732899022801303,0.718965931684104,0.733394833948339,0.702511968180836,0.755767700875099,0.720056624046514,0.71611909650924,0.719729043183743,0.72992700729927,0.747065101387407,0.76074939947489,0.75879936302561,0.791433891992551,0.794314381270903,0.795687885010267,0.815217391304348,0.832438238453276,0.817379516284979,0.808097254687373,0.810295519542421,0.809151785714286,0.809581110337895,0.810222885752202,0.810185185185185,0.842696629213483,0.872689938398357,0.877926421404682,0.886143931256713,0.873961356536236,0.868055555555556,0.834127740705434,0.862068965517241,0.844314583923762,0.882045929018789,0.8860338170683,0.912996777658432,0.944919278252612
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,0.800323822447763,0.812274368231047,0.82046332046332,0.797195174528801,0.806184782706557,0.796178343949045,0.79337899543379,0.79337899543379,0.822349851027129,0.804225075556758,0.79656862745098,0.802997858672377,0.807537012113055,0.801282051282051,0.797368900434821,0.80042689434365,0.813745879767697,0.805195022484742,0.8,0.796761471085896,0.795334040296925,0.8,0.781350171820026,0.770934641964524,0.75801749271137,0.781738586616635,0.790921595598349,0.795363709032774,0.805532799027223,0.802139954977214,0.80042689434365,0.81004554364824,0.821720709552472,0.827814569536424,0.821428571428571,0.818094321462945,0.815217391304348,0.808133472367049,0.810363836824697,0.815217391304348,0.82579806312769,0.821995464852608,0.820135746606335,0.830140485312899,0.827814569536424,0.83287598007912,0.81799591002045,0.820135746606335,0.837988826815642,0.850340136054422,0.84841628959276,0.857427526464298,0.867410161090459,0.870940826087304,0.882478037267006,0.870322019147084,0.873823680706851,0.881898454746137,0.871459694989107,0.872667398463227,0.877181949871935,0.889513108614232,0.891356931236663,0.903342366757001,0.8915770609319,0.925925925925926,0.925147182506308,0.923913043478261,0.938246593688464,0.910493827160494,0.885499712200705,0.8624710499228,0.901183020180933,0.894495412844037,0.91792656587473,0.930026572187777,0.971093044263776,0.996747135842881,0.998080614203455,1.01244343891403,1.00287907869482,1.01611586856309,1.02956705385428,1.04004413291796,1.03309923431875,1.04166666666667,1.04285714285714,1.06382978723404,1.07025246981339,1.07642626480086,1.09114249037227,1.07851985559567,1.09607420554429,1.06837606837607,1.09854771784232,1.09854771784232,1.08955847856763,1.12570356472795,1.14503816793893,1.15715823466093
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1450417212606,1.10036832412523,1.13211326754247,1.16380906305998,1.14610319516408,1.16518436785695,1.13636363636364,1.17647058823529,1.15101289134438,1.16293680134964,1.17941712204007,1.17941712204007,1.04538087520259,1.05024509803922,1.05882352941176,1.1450417212606,1.04019121813031,1.13554743730485,1.09706546275395,0.996515749937497,1.09140551368958,1.13739857592317,1.1326194398682,1.13341968911917,1.15441176470588,1.15718655833795,1.17340541612935,1.17647058823529,1.17647058823529,1.17672513560567,1.15885155597783,1.183970856102,1.20029250275558,1.19036935575288,1.2039555802784,1.24087591240876,1.25394399051514,1.25131995776135,1.225,1.20817843866171,1.20857972019441,1.26582551535879,1.22221411077282,1.24465811965812,1.26910016977929,1.23663101604278,1.27737226277372,1.29447322970639
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14285714285714,2.07713178294574,2.28313253012048,2.24375,2.23649038461538,2.22923076923077,2.30333097094259,2.30333097094259,2.26344126506024,2.26344126506024,2.23649038461538,2.18181818181818,2.28313253012048,2.26344126506024,2.38353196099675
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,0.793836450339927,0.776778413736713,0.775855514145985,0.771916214119472,0.770842641699344,0.796626054358013,0.833736575924076,0.77271710596807,0.785839160839161,0.762820512820513,0.754884547069272,0.742983954537066,0.758928571428571,0.756172839506173,0.745833333333333,0.738500851788756,0.750294495398386,0.756172839506173,0.74265399301058,0.762257169287697,0.759215004396935,0.780464034205231,0.782778864970646,0.786713286713287,0.799536500579374,0.815032018387083,0.859598853868195,0.851232762856952,0.814685314685315,0.786579491936635,0.792825509443481,0.820755820755821,0.79676712692512,0.804200201207244,0.78996282527881,0.834151128557409,0.814905814905815,0.823723228995058,0.832702975289965,0.804828973843058,0.804828973843058,0.803968891066607,0.804828973843058,0.785714285714286,0.777663863510521,0.834459459459459,0.851190476190476,0.841796134899583,0.846153846153846,0.895368782161235,0.895368782161235,0.904826143734477,0.905797101449275,0.87073007367716,0.895368782161235,0.905797101449275,0.909117291159545,0.905797101449275,0.886387728378126,0.897932816537468,0.913450126329316,0.900900900900901,0.921331624456624,0.944108761329305,0.91377694470478,0.939685314685315,0.887897331293558,0.89974293059126,0.945186672069418,1.00524475524476,0.963384744141559,0.982800982800983,0.991903509509143,1.02245736797941,1.00117785630153,0.984771583901331,0.982800982800983,0.945539229149501,1.01139240506329,0.977601077534565,0.994318181818182,1.04166666666667,1.04651162790698,1.02193296127437,1.00685518423308,1.01857379767828,1.02399314481577,1.05623100303951,1.07113438456107,1.05623100303951,1.04166666666667,1.0552239352547,1.05421686746988,1.05477424130274,1.125
