"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19879310344828,1.3125,1.35155993431855,1.26923076923077,1.24375,1.26076388888889,1.33390705679862,1.28935135314297,1.28995433789954,1.27272727272727,1.1875,1.24140852769679,1.33156028368794,1.33333333333333,1.33333333333333,1.39262295081967,1.33333333333333,1.4,1.35716322684315,1.39291666666667,1.37692307692308,1.31098901098901,1.30220255523024,1.375,1.45454545454545,1.38888888888889,1.35454545454545,1.35454545454545,1.32440476190476
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897683397683398,0.935238437574886,0.88144726712856,0.889192886456908,0.910493827160494,0.929645024378267,0.904821103699212,0.972687712849343,0.952210219159372,0.947565024903154,1.08811881188119,1.04485219164118,0.980493656740945,0.983902747650036
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06337135614702,5.04658385093168,5,4.98974789915966,4.97018110913978,4.92633228840125,4.93333333333333,4.92983281086729,5.01605584911879,5.06556140350877,4.87866108786611,4.92470460573909,4.99285714285714,4.9875,4.99349662162162,4.95500809622947,4.99053043252335,5,5,5.01941947040268,5,5,4.98958333333333,4.85208113804004,4.73333333333333,4.79081632653061,4.875,4.87145682267633,4.73684210526316,4.7318957771788,4.74879763962161,4.77777777777778,4.78260869565217,4.7494769874477,4.8,4.75,4.75,4.66762728146013,4.67074254625764,4.7045101088647,4.74653581097711,4.72727272727273,4.7494769874477,4.85714285714286,4.71818181818182,4.75641877856253,4.7432269874477,4.72222222222222,4.66666666666667,4.81481481481481,4.81323372465315,4.81927710843374,4.85097636176773,4.81753871328225,4.81818181818182,4.83383685800604,4.90909090909091,4.92264171472092
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77372262773723,2.77777777777778,2.72,2.76923076923077,2.8,2.82198886639676,2.75,2.75,2.73684210526316,2.72727272727273,2.68917541229385,2.63961038961039,2.75,2.71875,2.6,2.67857142857143,2.66666666666667,2.61538461538462,2.73333333333333,2.66666666666667,2.63157894736842,2.77777777777778,2.85,2.84615384615385,2.875,2.80860805860806,2.85895806861499,2.8,2.82352941176471,2.75,2.75612193903048,2.74074074074074,2.76923076923077,2.77777777777778,2.71,2.76076923076923,2.79761904761905,2.73684210526316,2.76923076923077,2.78571428571429,2.81079545454545,2.81818181818182,2.72727272727273,2.75,2.76153846153846,2.77777777777778,2.73578947368421,2.83291666666667,2.85895806861499
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74033029878618,3.72022727272727,3.8,3.85,3.95454545454545,3.89979591836735,3.899,3.88888888888889,3.83291666666667,3.7260991353063,3.59545454545455,3.68421052631579,3.68375,3.75,3.7037037037037,3.7975,3.68,3.69180769230769,3.75,3.74375,3.6625,3.6,3.56444444444444,3.54,3.63636363636364,3.699,3.68913461538462,3.71357142857143
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6,,,,,,,,,,,,,,,,,,,,,,1.68552025782689,1.85322859116022,1.85,1.75422794117647,1.87129815185927,2.12163729809104,1.89408866995074,1.98237885462555,2.05128205128205,2.29599033816425,2.24930362116992,2.2375,2.13571428571429,2.20878136200717,2.09821428571429,2.125,2.21335125448029,2.23076923076923,2.2530487804878,2.28638888888889,2.26,2.26,2.27857142857143,2.30582524271845,2.06922498118886,2.24375,2.13087916259898,2.2,2.27954267360049,2.03636363636364,2.15833333333333,2.13571428571429,2.17291666666667,2.30560549973559,2.35537190082645,2.51333333333333,2.38188244047619,2.25416666666667,2.36394557823129,2.44186046511628,2.58318014705882,2.6625,2.5448063840921,2.58620689655172,2.56666666666667,2.54387685067163,2.57752403846154,2.60690476190476,2.5890625,2.7,2.4,2.45942275042445,2.52105263157895,2.53194915254237,2.56776034236805,2.57043650793651,2.60769230769231,2.70294117647059,2.7337037037037,2.66889383815887,2.70357142857143,2.66889383815887,2.60769230769231,2.53846153846154,2.63603740756851,2.595,2.63157894736842,2.63730158730159,2.69230769230769,2.7,2.71818181818182,2.7,2.72272727272727,2.91666666666667,2.66547619047619,2.63430259013731,2.7116368286445,2.7
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991468253968254,0.949982993197279,1.02898263888889,1.04166666666667,1.09375,1.11875,1.05869932432432,1.1224358974359,1.145,1.18556701030928,1.13736926790024,1.125,1.09,1.090625,1.1474358974359,1.17868983957219,1.24375,1.21666666666667,1.1766393442623,1.12972027972028,1.26410256410256,1.29621621621622,1.25,1.192984437751,1.25,1.24625,1.25,1.25570776255708,1.25682213524679
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967204301075269,0.91304347826087,0.919331541628545,1.01973684210526,1.11538461538462,1.02457430340557,1,1.03052178318136,0.944444444444444,1.07779886148008,1.05882352941176,1.06711409395973,1.1,1.02903091060986,1.0942032967033,1.14095222513089,1.12126245847176,1.21794871794872,1.20111731843575,1.15,1.12313122923588,1.18589743589744,1.18054698110878,1.125,1.18131868131868,1.15,1.21061717738455,1.20134228187919
"East Harlem","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.75,3.76470588235294,3.83333333333333,3.85122950819672,3.85714285714286,3.85714285714286,4,3.94912985274431,4.03333333333333,4.01666666666667,4.295,4.17664670658683,4.496875,4.5719246031746,4.48463687150838,5.02599653379549,5.03473739733253,5.1698670605613,5.1698670605613,4.42825431034483,4.17272727272727,4.07298985167838,3.97222532588454,3.84615384615385,3.82,3.90833333333333,4,4.09090909090909,3.95833333333333,4.22115384615385,4.36046511627907,4.36181818181818,4.3125,4.25500770416025,4.062,4.125,4.04761904761905,4.09,4.07216494845361,4.11239495798319,3.89473684210526,3.8150289017341,3.74583333333333,3.95161290322581,4,4.19354838709677,4.02092127220968
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.17647058823529,2.24007936507937,2.1,2.11111111111111,2.1,2.26470588235294,2.32236111111111,2.28235294117647,2.21428571428571,2.11239495798319,2.08482142857143,2.09943181818182,2.28241758241758,2.21825396825397,2.04861111111111
"Corona","New York","NY","New York-Newark-Jersey City","Queens County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16015625,2.26398500576701,2.32283464566929,2.23532607638416,2.06084959816303,2.25591274397245,2.39831697054698,2.36363636363636,2.33639494833525,2.35361653272101,2.4,2.28301886792453,2.50175315568022,2.43711133478461,2.47198879551821,2.5,2.30769941248558,2.34389561975769,2.171875,2.20754716981132,2.2932912628653,2.30137101715686,2.24137931034483,2.20465014048724,2.31197771587744,2.39015356820235,2.34351679104478,2.26333333333333,2.27569262052021,2.255,2.19207493582391,2.21762907608696,2.2155974516065
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416666666666667,0.410513361462729,0.416666666666667,0.416666666666667,0.444444444444444,0.444444444444444,0.444444444444444,0.455987311657415,0.459183231280578,0.5,0.441595441595442,0.500556792873051,0.491531724031293,0.541666666666667,0.510324483775811,0.451713395638629,0.434556827569928,0.455987311657415
"Sunset Park","New York","NY","New York-Newark-Jersey City","Kings County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1809174802107,2.21717171717172,2.15982721382289,2.13634881825591,2.16992665036675,2.08333333333333,2.09261106074343,2.125,2.16992665036675,2.2015911872705,2.22222222222222,2.16230486685032,2.21944783493895,2.41758241758242,2.11111111111111,2.3,2.1618062692703,2.08333333333333,2.41666666666667,2.44722222222222,2.48333333333333,2.46153846153846,2.45,2.38732394366197,2.5,2.36842105263158,2.33990147783251,2.44741532976827,2.3494966442953,2.33333333333333,2.32558139534884,2.44452286843591,2.4,2.45454545454545,2.5098814229249,2.54591836734694,2.5,2.55992063492064,2.4995,2.45227272727273,2.499,2.38511391625616,2.43650793650794,2.5,2.4218237704918,2.41842105263158
"Bensonhurst","New York","NY","New York-Newark-Jersey City","Kings County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.02871410736579,2.04166666666667,2,2.08333333333333,2.02479338842975,2,1.98267045454545,1.99375,2.02994011976048,2.04493260669672,2.124343832021,2.21240601503759,2.03282720273738,1.99857142857143,2,2.0671679197995,2.09545454545455,2.05479452054795,2.2,2.08333333333333,2.08333333333333,2.08333333333333
"Elmhurst","New York","NY","New York-Newark-Jersey City","Queens County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21793635486982,2.52722222222222,2.41860465116279,2.5,2.532,2.4,2.35423197492163,2.61111111111111,2.38166218279648,2.42856557804286,2.72641509433962,2.68011971703247,2.64,2.64,2.6,2.4192,2.4,2.39333333333333,2.39130434782609,2.52783970058901,2.70061728395062,2.68,2.54318181818182,2.50598086124402,2.43770616319444,2.5,2.44279411764706,2.52816901408451
