"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61226922296612,1.61406537903637,1.66283363948128,1.64398645818791,1.65070189925681,1.66539196940727,1.55778894472362,1.54457831325301,1.54761904761905,1.5011565150347,1.46277257215571,1.44258241758242,1.43491124260355,1.45353598014888,1.50263946487053,1.5,1.49826700183994,1.49257381069784,1.49777777777778,1.60021551724138
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.803225518682775,0.805168986083499,0.909763313609467,0.925925925925926,0.893844867507075,0.934394632717168,0.947745901639344,0.867765799699105,0.973581213307241,0.868392664509169,0.901286312611099,0.747816593886463,0.843971631205674,0.916719416540526,0.843253968253968,0.914127423822715,0.944196428571429,0.938511326860841,0.954268292682927,0.954692556634304,0.961977186311787,0.915831842576029,0.898605830164765,0.896767981386103,0.896846906398731,0.898701298701299,0.898701298701299,0.905263157894737,0.93951093951094,0.902631578947368,0.9,0.926640926640927,0.923190546528804,0.942105263157895,0.961977186311787,0.961977186311787,0.942105263157895,1.003861003861,1.03246753246753,1.05216535433071
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,0.747946859903382,0.73190980267442,0.713512703433498,0.719362745098039,0.73468137254902,0.751173708920188,0.74718045112782,0.806591500433651,0.78125,0.780729166666667,0.852564102564103,0.854602988190774,0.840909090909091,0.820707070707071,0.78125,0.771886973180077,0.76987037352891,0.782362891737892,0.7996632996633,0.75977346387009,0.780370466023875,0.797905926891736,0.781659388646288,0.777777777777778,0.78804347826087,0.777777777777778,0.786463298379409,0.8,0.798990748528175,0.783333333333333,0.784883720930233,0.804979253112033,0.800165152766309,0.788758581235698,0.795353441894893,0.795454545454545,0.783699059561129,0.777777777777778,0.785024154589372,0.78125,0.776858228227104,0.772946859903382,0.777063236870311,0.782711975741466,0.784167323608535,0.777670786226262,0.801533494753834,0.828125,0.833333333333333,0.819672131147541,0.833333333333333,0.839748075577327,0.833333333333333,0.839920948616601,0.87772397094431,0.910999160369437,0.915347330154632,0.904224666966023,0.956521739130435,0.952953296703297,0.921286886479976,0.935897435897436,0.957894736842105,0.960336538461538,0.975584415584416,0.975429827103255,1.02461033634126,0.973575557390586,1.01520086862106,1.04375,0.909090909090909,0.993647912885662,0.987955729166667,0.925925925925926,1.01455133387227,1.00733216044734,1.04166666666667,1.09663409337676,1.10815602836879,1.1012715340443,1.11875,1.15008650519031,1.14766201804758,1.18452380952381,1.15571076894494,1.14642262895175,1.12068965517241,1.15481781376518,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.28501827040195,1.23571428571429,1.24669187145558,1.27095808383234,1.26918247767857,1.36428571428571
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06666666666667,5.22590361445783,5.21705426356589,5.20156046814044,5.20111731843575,5.20111731843575,5.1285930408472,5.15914602683179,5.17490173943853,5.23116506135374,5.29725609756098,5.2414605418139,5.24044389642417,5.23993808049536,5.21064301552106,5.22546586165772,5.22222222222222,5.25,5.25846702317291,5.25164113785558,5.2495704467354,5.27256750279597,5.27272727272727,5.27240773286468,5.19667426142246,4.72308064410337,5.15151515151515,5.10034843205575,5.06958041958042,4.99444444444444,4.98595374220374,5.01790510295434,5.15890400250156,5.18888096935139,5.15614317507418,5.18273135807294,5.15358974358974,5.15868470425595,5.12618296529968,5.08675078864353,5.10034843205575,5.11851851851852,5.09581881533101,5.07692307692308,5.05443234836703,5.02225519287834,5.13686311697876,5.20385050962627,5.14135471509765,5.08445847970818,5.15964240102171,5.08308157099698,5.10302107440168,5.15230929989551,5.15332197614991,5.18061269313776,5.15151515151515,5.21007525083612,5.26315789473684
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73324564429877,4.78973684210526,4.875,4.96141124586549,4.99392857142857,5,4.98913356056213,4.93150684931507,4.99,4.91351351351351,4.88235294117647,4.92581869986304,4.8739837398374,4.77909090909091,4.75808349365458,4.79166666666667,4.82052408139365,4.91542293423849,4.94285714285714,4.92724867724868,4.88615894983737,4.85553997194951,4.85714285714286,4.91137370753323,4.92333812197989,4.9544625964951,4.94054054054054,5
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,0.622353937341236,0.635055038103302,0.653782894736842,0.648148148148148,0.63139436789141,0.652400835073069,0.68317911741041,0.68,0.671813193067663,0.66735112936345,0.66735112936345,0.674376299376299,0.677392040643522,0.657769304099142,0.645342312008979,0.654429369513168,0.65891472868217,0.675675675675676,0.670840787119857,0.670330109811003,0.675,0.675,0.668906536346976,0.648148148148148,0.65206299494009,0.640279394644936,0.635454545454545,0.635055038103302,0.635055038103302,0.644468313641246,0.648479427549195,0.643462469733656,0.641592920353982,0.654450261780105,0.649350649350649,0.640394088669951,0.64241865260252,0.641683778234086,0.644067796610169,0.651086956521739,0.657894736842105,0.658316716931283,0.654890105612788,0.666879705468685,0.671296296296296,0.670676947850861,0.666453342459503,0.665555555555556,0.694315004659832,0.704148302791309,0.692204301075269,0.678496868475992,0.685490877497828,0.689655172413793,0.722222222222222,0.73179397904157,0.732899022801303,0.742521367521368,0.748735648838108,0.720975632702982,0.719729043183743,0.739460353597012,0.723307876609763,0.719729043183743,0.736961451247165,0.734536082474227,0.770020533880904,0.782103514202476,0.806730036557906,0.810295519542421,0.818619655891554,0.807111111111111,0.833333333333333,0.875892857142857,0.875892857142857,0.840178571428571,0.843644544431946,0.840614115630309,0.853051058530511,0.872689938398357,0.87715509262116,0.912996777658432,0.878885316184352,0.876891522010438,0.871394230769231,0.881410256410256,0.868237347294939,0.886143931256713,0.891978869907658,0.949691991786448,0.964285714285714,1.00189035916824,1.01351598045273
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10664479081214,1,1.04247104247104,1.02676864244742,1.07913669064748,1.02313167259786,0.963499468701811,0.974264705882353,1.03509852216749,0.993377483443709,0.952554348514801,0.956848030018762,1.02642276422764,1.01245173896666,1.06241887239686,1.04516445103543,1.08921161825726,1.09602591036415,1.11219946571683,1.12059765208111,1.12372435831358,1.13082825103285,1.13636363636364,1.12492311507937,1.11161048689139,1.13825363825364,1.1681706316653,1.21117368517562,1.21107180918587,1.20918785890074,1.21015138023152,1.22863247863248,1.22492080253432,1.23418410764538,1.22853632853633,1.26639232860163,1.24364232977851,1.25871209328291,1.24681018142432,1.25179856115108
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46341463414634,1.57222222222222,1.65331325301205,1.64318181818182,1.6900826446281,1.41083521444695,1.45817912657291,1.50234741784038,1.66073546856465,1.6328125,1.640625,1.64184224504249
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54157342657343,1.46664405684755,1.66666666666667,1.5,1.73852996254682,1.79166666666667,1.7859262125903,1.72913043478261,1.85333165997323,1.90909090909091,1.75,1.85511444685847,1.80191256830601,1.94117647058824,2.05882352941176,1.99888888888889,2.08608695652174,1.86666666666667,1.86666666666667,1.87416331994645,2.0061919504644,2,1.93333333333333,2,1.99,1.999,2,2.08114035087719
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,1.01905767216549,1.00520833333333,1.02941176470588,1.01289134438306,0.973654066437572,0.997267759562842,0.988054737887608,0.887646129541864,0.862559286662872,0.861791383219955,0.858024691358025,0.868878357030016,0.929394812680115,0.925925925925926,0.887423043095866,0.928057553956835,0.94272076372315,0.91164095371669,0.924821002386635,0.934131736526946,0.942609312348272,0.930715935334873,0.935509554140127,0.934057616200457,0.931111111111111,0.933409658384745,0.918390804597701,0.909607731665719,0.914963049613785,0.930912091661168,0.946666666666667,0.903242218388598,0.882352941176471,0.935294117647059,0.988467874794069,0.988467874794069,0.984349258649094,0.995713931761322,0.96542080525823,0.988467874794069,0.984394226825267,0.990384615384615,0.957357859531773,0.946875937593759,0.946875937593759,0.949301557834669,0.957357859531773,1.01981946624804,0.989672977624785,1.08746700296521,1.06728038876425,1.03835978835979,1.04520833333333,1.05607780197944,1.05607780197944,1.08880778588808,1.03746397694524,1.1294199751861,1.13944905452336,1.15945346995383,1.16038646125074,1.16525423728814,1.08540579170918,1.09834558823529,1.09536454929539,1.13484486873508,1.1348916627414,1.12046607071711,1.15258511979823,1.03050288540808,1.14015813333952,1.18438761776581,1.17300724637681,1.16835732672323,1.18677673733876,1.18670886075949,1.20112539232491,1.19951812949281,1.29759295456832,1.38449367088608,1.22035928143713,1.36128048780488,1.31118881118881,1.29581654193053,1.29640542133176,1.33333333333333,1.34699215344377,1.28805704099822,1.29533678756477,1.29839471199245,1.31021437578815,1.35313185241682,1.36384769878842,1.36513157894737,1.36904761904762,1.39482564679415,1.41287284144427,1.41670238232127
