"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188.5,1200,1195,1190,1195,1200,1085,1082.5,1080,1050,1045,999,985,1025,1065,1050,1080,1070,1050,1159
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,695,795,742.5,725,721,710,700,730,687,693.5,699,692,692,699,724,724,705,715,724,734,735,710,705,724,755,767.5,795
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1075,943,1000,926,970,910,885,821,727.5,740,850,940,950,915,974,949,961,1006,983.5,950,950,979,925,922,918.5
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,2900,2775,2800,2800,2650,2597.5,2700,2800,2850,2750,2800,2825,2850,2875,2950,3000,2900,2950,2950,2975,2990,2900,2900,2927.5,2995,3000,3000,3000,3000,2990,3000,3000,2998,3000,3000,3000,3100,3095,3000,3043,3000,3000,3000,3000,3000,2950,3277.5,3295,3250,3250,3300,3250,3212.5,3250,3295,3300,3200,3200,3250,3295,3300,3300,3275,3250,3250,3249,3270,3250,3292.5,3225,3070,3200,3247.5,3250,3225,3185,3160,3200,3195,3182.5,3150,3153,3195,3200,3200,3195,3200,3212.5,3200,3200,3177.5,3195,3250,3237,3200,3204,3225,3250,3200,3282.5,3295,3250,3300,3350
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1400,1400,1450,1450,1498.5,1412,1400,1412,1412,1450,1495,1475,1499,1472.5,1525,1550,1500,1550,1500
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,2485,2500,2525,2675,2500,2400,2300,2197.5,2150,2200,2300,2450,2450,2400,2400,2450,2400,2475,2500,2500,2450,2495,2495,2495,2450,2495,2495,2495,2500,2537,2560,2550,2525,2500,2500,2500,2450,2450,2350,2450,2550,2575,2550,2550,2550,2595,2600,2595,2550,2550,2700,2695,2700,2700,2775,2795,2725,2800,2800,2787,2700,2725,2750,2795,2797,2750,2775,2795,2795,2800,2800,2799,2795,2700,2695,2700,2700,2700,2695,2700,2700,2725,2740,2700,2695,2700,2700,2695,2750,2695,2703.5,2700,2700,2695,2650,2600,2650,2695,2695,2695,2700,2750,2700,2750,2750,2795,2725,2719
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,985,905,975,990,835.5,850,890,885,850,850,900,922.5,935,950,947.5,950,990,997,940,940,976,949,950,999,1054,1099,1135,1135,1125,1134,1114,1105,1087,1166.5,1132,1128,1089,1100
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,1295,1295,1275,1290,1300,1300,1300,1300,1325,1350,1325,1325,1300,1325,1325,1350,1350,1350,1350,1350,1380,1398,1400,1400,1400,1400,1400,1450,1450,1450,1450,1450,1450,1495,1495,1490,1495,1495,1500,1500,1500,1500,1500,1501,1575,1595,1595,1575,1550,1595,1595,1600,1600,1612.5,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1595,1595,1600,1675,1675,1650,1650,1675,1700,1700,1675,1650,1675,1650,1650,1695,1675,1700,1700,1700,1700,1700,1700,1712.5,1700,1695,1695,1700,1700,1736,1700
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.5,700,724,724,735,729.5,725,688,772,741,768.5,782,821,880,870,875,805,835,841,848,808,846,918,812,892.5,845,899,801.5,856,804.5,880,825,807,820,817,825,815,846.5,847,825,831.5,842.5,800,815,882,824,845,879.5,887,885,907,939.5,925,945,971
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,605,600,580,509.5,469,469,484.5,489,492.5,494,557.5,544.5,533.5,539,509,505,519,542.5,539,529,529,529,535,545,549,550,580,539,535,529,514,519,539,622,578,529,616.5,585,570,534,559.5,569,569,611,580,569,585,585,611,631.5,610,679.5,622,625,623.5,625,642,636,639.5,636.5,617.5,684,622,658,666,699,669,682.5,700,775,785,808.5,785,756,739,715,687,700,711,743,751.5,729,788,770,769,768.5,779,779,769.5,779,784,785,795
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",11,,,,,,,,,,,,,1549,1525,1500,1495,1525,1550,1575,1575,1595,1600,1600,1650,1635,1642.5,1650,1695,1650,1700,1750,1800,1895,1850,1800,1850,1825,1825,1825,1825,1850,1925,2000,2000,2000,1995,1950,1999,2000,2000,2000,2024,2000,2025,2100,2000,2075,2050,2050,2000,2000,1990,1950,2000,1950,1950,2000,2000,1950,2000,1950,1925,1950,1925,1945,1950,1975,2000,2050,2000,2090,2100,2000,2000,2000,1977.5,1925,1900,2000,2000,2000,2000,1995,1900,1900,1900,1900,1950,1950,1950,1900,1901,1995,1999,1950,1950,1975,1910,1950,1975,2000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",12,,,,,,,,,,,,,800,784,748.5,747,746.5,725,725,734,690,665,653,670.5,685,686.5,685,688,699,704,710.5,720,707,718,739.5,750,710,710,716,730,717.5,725,747,824,825,805,825,845,829,833,825,774,830,830,842,873,865,875,860,854,875,849,849,860,866.5,855.5,859.5,851,872,872,889,881.5,890,919,910.5,919,906,924,971,1057,974,958,925,955,951,995,960,960,952,950,942.5,938,945,930.5,925.5,944,950,964,964,980,980,969.5,1010,990,1000,950,941,954.5,975,971,950
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",13,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1425,1400,1400,1375,1400,1400,1400,1450,1450,1450,1450,1500,1500,1550,1500,1500,1500,1575,1600,1650,1650,1700,1700,1700,1700,1750,1700,1700,1749,1750,1750,1750,1800,1800,1850,1850,1800,1800,1850,1900,1850,1850,1900,1900,1900,1908,1950,1900,1900,1900,1900,1950,1995,2000,2000,2000,2050,2100,2100,2150,2100,2100,1995,1999,1999,2000,2061,2100,2100,2095,2100,2099,2083,2007.5,2000,2000,2000,2095,2100,2100,2150,2149.5,2150,2150,2150,2100,2100,2100,2100,2150,2165
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",14,,,,,,,,,,,,,,,,,,,,,,,,2500,2450,2495,2500,2550,2500,2500,2500,2750,2800,2795,2800,2700,2700,2699.5,2700,2750,3000,2967,3000,3000,3000,2950,2887,2875,2864,2864,2864,3000,3000,3000,3000,3000,2900,2900,2800,2700,2700,2699,2775,3000,2950,2850,3000,2900,2758.5,2900,2917,2850,2850,2750,2800,2797,2798,2800,2795,2800,2900,2950,2900,2900,2849,2864,2788,2700,2700,2800,2875,2933,2850,2816,2800,2795,2795,2700,2745,2750,2750,2750,2739.5,2749,2750,2750,2700,2719,2700,2811,2875
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",15,,,,,,,,,,,,1622,1622,1680,1483.5,1567,1495,1295,1300,1262.5,1397.5,1400,1395,1450,1500,1500,1450,1450,1349,1295,1350,1495,1582.5,1727,1574,1550,1712.5,1695,1600,1625,1600,1595,1595,1495,1565,1450,1525,1500,1495,1495,1495,1495,1498.5,1695,1695,1595,1650,1610,1792,1725,1645,1695,1595,1585,1690,1695,1695,1695,1695,1695,1695,1695,1750,1850,1970,1891,1850,1895,1850,2026.5,1900,2124.5,1837.5,2020,2095,2027.5,2060,2100,2178,2246,2092,2097.5,2177.5,2095,2095,1997,1997,2050,2125,2153,2150,2105,2195,2150,2194,2250,2205.5,2195,2233,2200,2250
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1185,1174,1100,1050,1000,1000,991,970,992,985,990,1005,1042,1038,1069,1056,1082,1084,1028,1063,1060,1042,1072
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",17,,,,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1275,1275,1250,1250,1250,1250,1295,1295,1299,1300,1300,1300,1300,1300,1325,1325,1350,1350,1375,1385,1400,1450,1400,1400,1450,1450,1450,1450,1450,1450,1499,1500,1500,1500,1500,1500,1500,1500,1525,1535,1550,1650,1599,1600,1625,1625,1650,1650,1635,1600,1600,1649,1600,1600,1600,1650,1650,1750,1750,1700,1627,1650,1600,1695,1700,1700,1700,1695,1650,1650,1695,1675,1650,1700,1700,1700,1700,1700,1700,1750,1750,1749,1700,1700,1749.5,1750,1795,1795,1750
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,670.5,696,750,766,745,739,798,820,815,795,775,750,800,884,855,950,970,980,925,900,900,925,900,945,931,950
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",19,,,,,,,,,,,,,,,,,1400,1400,1375,1352,1350,1475,1550,1575,1585,1600,1600,1540,1512.5,1550,1600,1550,1495,1500,1496.5,1500,1500,1500,1550,1600,1597,1600,1650,1650,1650,1600,1600,1600,1550,1575,1600,1700,1750,1675,1675,1799,1795,1700,1750,1797,1750,1750,1800,1800,1900,1900,2000,2050,1999,1950,1950,1950,1999,1995,1975,2000,1950,1995,1950,1950,2045,2000,1950,1900,1850,1850,1970,1950,1950,1975,1950,1999,2050,1900,1874.5,1885,1875,1950,2050,2000,2000,2050,2000,2062,2082,1948,2044,1999,1999,1999,2025
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",20,,,,,,,,,,,,,,,,,,,,,,,,1237.5,1290,1250,1260,1250,1250,1275,1250,1300,1325,1325,1325,1277.5,1289.5,1277.5,1325,1350,1300,1350,1350,1350,1363,1375,1375,1425,1439,1450,1488,1402.5,1450,1466,1450,1457,1503,1457,1457,1450,1500,1649,1655,1676,1670.5,1600,1550,1522,1500,1500,1561,1600,1575,1585,1599,1500,1519.5,1599,1650,1625,1679.5,1727,1699,1637,1629,1649,1649,1650,1659,1650,1702,1700,1729,1750,1809,1759,1750,1750,1750,1759,1750,1769,1799,1730,1712.5,1750,1750,1825,1825,1825,1850
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",21,,,,,,,,,,,,1550,1567.5,1450,1435,1450,1475,1495,1495,1595,1525,1550,1500,1550,1600,1605,1625,1620,1625,1640,1625,1625,1600,1600,1595,1590,1600,1600,1600,1650,1695,1600,1600,1665,1600,1650,1642.5,1625,1600,1600,1650,1700,1725,1762.5,1750,1795,1800,1800,1797,1825,1880,1918.5,1926.5,1895,1900,1925,1925,1895,1900,1900,1895,1900,1900,1930,1960,1900,1877.5,1900,1950,1900,1850,1897.5,1850,2000,1990,1970,1950,1950,1992.5,2000,1970,2000,1950,1950,1950,1950,1950,1950,2000,2100,2000,2050,2000,2000,1995,1975,1950,1998.5,1975,1973,1999.5
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1005,995,1002.5,1000,1000,1025,1020,997.5,1000.5,1020,992.5,1087.5,1100,1100,1107.5,1120.5,1110,1126.5,1120,1100,1100,1100,1223,1155,1140,1180,1273
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",23,,,,,,,,,,,,,,,,,,1100,1100,1050,1000,1000,1000,1000,1000,1017.5,1000,1062.5,1087.5,1100,1095,1095,1050,1050,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1175,1175,1200,1200,1200,1200,1200,1250,1250,1250,1250,1250,1252,1300,1300,1272.5,1299.5,1300,1300,1300,1350,1350,1300,1350,1350,1400,1395,1300,1350,1350,1375,1375,1400,1400,1400,1400,1400,1450,1450,1450,1425,1450,1425,1450,1495,1450,1416,1425,1450,1500,1500,1500,1500,1500,1550,1500,1450,1495
"East Harlem","New York","NY","New York-Newark-Jersey City","New York County",24,,,,,,,,,,,,,1690,1750,1797.5,1950,1800,1797.5,1795,1645,1650,1787.5,1795,1795,1750,1800,1795,1850,1850,1900,1995,2050,2070,2100,2000,2041.5,2038,1965,1950,2038,2224,2050,2175,2150,2150,2123,2150,2250,2234,2195,2150,2075,2050,2300,2215,2100,2100,2300,2300,1995,2095,1900,2195,2300,2324.5,2295,2295,2300,2350,2300,2325,2325,2350,2410,2550,2600,2600,2500,2550,2622.5,2575,2525,2797.5,2496.5,2437,2495,2411.5,2399,2411.5,2400,2400,2395,2354,2450,2400,2347.5,2350,2300,2295,2300,2354,2396,2300,2312.5,2250,2280,2200,2247.5,2400,2400,2447.5
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,1219.5,1159.5,1255,1290,1249.5,1167,1192.5,1135,1150,1060,1117,1189,1114,1294.5,1264,1267.5,1235,1200,1247,1272.5,1200,1207.5,1220,1209.5,1209,1195,1219,1239,1195,1194,1244.5,1285,1359,1389,1365,1384.5,1402.5,1399,1350,1530
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings County",26,,,,,,,,,,,,,,,,,,1350,1495,1495,1495,1375,1400,1400,1399.5,1400,1425,1400,1500,1525,1600,1650,1600,1600,1437.5,1437.5,1499,1550,1600,1600,1650,1650,1750,1799,1800,1850,1850,1837.5,1800,1750,1750,1750,1750,1850,1850,1850,1850,1850,1812.5,1850,1800,1850,1875,1970,1975,1950,2000,2000,2000,1975,1925,1975,2000,2000,2000,2000,2000,2000,2050,2200,2100,2050,1899,2000,2100,2097,2000,2100,2100,2050,2196,2100,2090,2050,1999,2095,2000,2125,2150,2100,2200,2200,2200,2291,2291,2208,2200,2300,2350,2400,2350
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",27,,,,,,,,,,,,,,,,,,1200,1225,1208,1200,1200,1200,1195,1225,1175,1200,1250,1250,1235,1200,1200,1200,1200,1200,1200,1250,1225,1250,1295,1300,1300,1300,1295,1300,1295,1295,1295,1275,1295,1295,1350,1350,1300,1295,1300,1300,1300,1300,1300,1300,1300,1350,1392.5,1392.5,1400,1400,1362.5,1399,1399,1399,1400,1497,1450,1450,1497.5,1437.5,1500,1450,1500,1495,1500,1500,1500,1500,1450,1500,1500,1500,1512.5,1550,1500,1500,1499.5,1500,1500,1575,1550,1562.5,1625,1674,1600,1649,1650,1600,1595,1600,1600,1600,1650,1650
