"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587,1597.5,1658,1550,1530,1564,1500,1435,1399.5,1385,1390,1420,1420,1399,1399.5,1458.5,1490
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,789,737.5,799,799,827,860,786,759,762,790,765,759,759,759,788,789,790,799,790,799,799,809,825,885,895,920,955
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,750,741,744,795,780,765,900,950,850,900,895,882.5,825,795,795,795,825,795,750,750,795,775,750,775,772,795,750,750,750,775,795,775,750,750,790,795,795,795,795,800,800,825,815,837.5,850,850,839,850,875,900,900,897.5,875,925,950,950,925,995,995,900,925,925,925,945,969,995,940,950,995,980,1000,955,957.5,1002.5,1015,1005,1050,1100,1047.5,1050,1125,1150,1150,1103.5,1095,1075,1020,1100,1150,1155,1165,1164,1200,1250,1225,1249,1200,1175,1165,1150,1175,1240,1226
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4500,4500,4400,4425,4437.5,4485,4500,4375,4337.5,4320,4437.5,4600,4595,4595,4525,4595,4550,4500,4500,4500,4400,3995,4395,4400,4400,4367,4300,4200,4284.5,4250,4200,4242,4200,4197,4195,4395,4400,4365,4425,4450,4495,4372.5,4311,4417.5,4300,4250,4400,4400,4500,4442.5,4395,4400,4400,4297.5,4300
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1825,1800,1897,1900,1800,1842,1795,1795,1795,1995,1950,1950,1950,1995,1900,1850,1900,1900,1840,1912.5,2000,2150,1970,1900,1970,1970
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,2750,3000,3200,3000,2900,2950,3000,2995,3000,3295,3200,3200,3300,3200,3195,3195,3100,3199.5,3200,3199.5,3285,3300,3350,3295,3217.5,3200,3150,3095,3050,2900,2999,3200,3200,3199,3200,3295,3300,3395,3395,3300,3250,3447.5,3500,3425,3572.5,3695,3750,3595,3800,3700,3650,3395,3450,3400,3500,3600,3497.5,3450,3500,3550,3650,3695,3700,3500,3395,3500,3300,3595,3450,3495,3495,3372.5,3450,3300,3300,3295,3300,3300,3450,3495,3397.5,3516,3595,3497.5,3600,3495,3300,3295,3250,3295,3300,3450,3495,3495,3650,3525,3495,3425,3495
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,650,662.5,695,650,650,650,650,650,655,650,650,650,650,650,650,625,630,650,650,650,650,650,650,650,649.5,650,650,600,600,600,625,650,650,650,650,675,665,650,650,650,650,650,650,650,650,650,675,650,675,650,675,695,675,695,675,700,700,697.5,695,700,750,725,695,750,726,700,740,750,785,800,800,800,800,800,795,835,820,795,800,800,825,837.5,825,850,850,850,850,850,850,850,850,900,925,930,950
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1000,1000,1050,995,990,1067.5,999,959.5,950,1050,1037.5,1122.5,1080,1065,1078.5,1095,1100,1093,1060,1120,1124,1100,1149,1180,1200,1232,1264,1250,1248,1236,1265,1276,1260,1250,1258,1250,1277.5
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1814.5,1795,1795,1700,1800,1800,1800,1885,1750,1785.5,1950
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,1400,1375,1375,1400,1400,1400,1400,1375,1400,1430,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1400,1500,1500,1500,1500,1500,1495,1500,1500,1500,1500,1500,1500,1514,1550,1507,1500,1500,1550,1550,1600,1600,1600,1600,1675,1600,1600,1600,1649.5,1650,1600,1625,1699,1700,1650,1675,1750,1800,1790,1750,1770,1875,1875,1800,1800,1800,1850,1850,1825,1799,1799,1800,1850,1850,1850,1850,1800,1800,1800,1850,1850,1850,1850,1850,1750,1800,1875,1862.5,1900,1912.5
