"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1325,1350,1297.5,1300,1200,1280.5,1350,1400,1400,1400,1400,1325,1395,1395,1400,1350,1350,1395,1400,1600,1590,1450,1550,1375,1450,1450,1495,1450,1495,1495,1500,1499,1580,1600,1662.5,1650,1700,1650,1695,1597.5,1595,1620,1650,1600,1600,1695,1775,1650,1650,1650,1600,1600,1650,1695,1695,1650,1700,1800
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,890,875,885,912.5,895,875,850,875,850,850,825,850,850,850,850,850,845,825,815,800,815,800,825,850,850,850,850,850,875,875,850,850,850,850,850,850,850,850,850,845,850,850,850,850,850,850,850,850,875,875,875,895,875,875,880,895,895,895,899,895,895,900,925,915,900,900,905,925,915,950,950,950,950,973.5,975,900,957.5,950,925,899,975,985,1000,1000,1050,1050,1065,1072.5,1050,1025,1000,1025,1050,1089.5,1095,1113.5,1112.5,1145,1150,1117.5,1150,1150,1172.5,1100,1150,1175,1100,1165
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,1100,1100,1100,1150,1175,1150,1150,1100,1100,1095,1100,1100,1100,1095,1050,1050,1095,1050,1050,1050,1000,1025,1000,1000,1000,1025,1050,1050,1095,1095,1100,1100,1150,1150,1135,1150,1150,1150,1150,1125,1100,1150,1150,1175,1195,1195,1195,1200,1150,1200,1250,1250,1250,1250,1275,1250,1245,1245,1250,1275,1295,1300,1300,1250,1300,1195,1250,1245,1250,1300,1200,1250,1295,1300,1350,1300,1350,1350,1350,1350,1350,1350,1325,1315,1300,1350,1395,1375,1375,1425,1400,1475,1450,1450,1450,1400,1400,1450,1472.5
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,2900,2850,3000,2975,3150,3400,3500,3500,3600,3600,3500,3500,3400,3295,3225,3210,3100,3240,3395,3500,3563,3500,3450,3250,3399.5,3200,3200,3319,3400,3368,3400,3400,3450,3400,3300,3300,3300,3300,3295,3299,3250,3200,3250,3495,3450,3500,3500,3500,3500,3500,3500,3500,3605,3600,3595,3600,3680,3600,3600,3650,3595,3592.5,3600,3600,3677.5,3695,3675,3700,3675,3680,3695,3698.5,3697,3695,3637,3600,3565,3500,3500,3500,3500,3550,3500,3512.5,3500,3500,3590,3595,3600,3600,3550,3500,3500,3522.5,3550,3500,3500,3500,3500,3500,3500,3505,3500,3500,3590,3600,3555,3515,3500,3500,3500
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,2200,2350,2325,2400,2495,2497.5,2500,2300,2300,2300,2332.5,2450,2600,2600,2600
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,2547.5,2681,3150,3175,3200,3500,3500,3600,3300,3292.5,3300,2997.5,2500,2550,2595,2595,2600,2700,2800,2895,2950,2925,2900,2775,2795,2700,2700,2750,2700,2700,2750,2795,2800,2800,2800,2800,2800,2750,2795,2700,2600,2500,2600,2800,2995,3100,3100,3050,3000,3000,3100,3000,3100,3000,3180,3165,3150,3100,3125,3150,3150,3150,3180,3165,3200,3200,3200,3200,3200,3200,3195,3195,3200,3195,3197.5,3185,3050,3095,3000,2995,3016.5,3095,2962.5,3095,3140,3195,3200,3200,3200,3200,3150,3150,3132.5,3100,3095,3050,3000,3020,3065,3100,3150,3140,3100,3095,3100,3100,3050,3060,3055,3095,3000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,900,900,912.5,900,925,950,900,900,900,895,895,895,890,870,850,895,895,895,875,867.5,875,875,875,875,875,850,850,875,850,875,850,850,855,850,875,862,899,900,900,900,925,900,900,900,900,900,900,900,925,950,950,925,949.5,900,950,995,950,950,950,950,950,987.5,992.5,995,950,960,995,950,950,950,975,995,995,995,1025,997.5,995,1050,1050,1025,1050,1012.5,1000,1050,1040,1000,1050,1050,1100,1100,1100,1100,1100,1100,1147.5,1100,1100,1135,1150,1100
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,1150,1250,1250,1225,1250,1150,1195,1197.5,1100,1100,1227.5,1195,1175,1112.5,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1100,1100,1100,1100,1150,1100,1150,1100,1150,1150,1100,1095,1059,1075,1050,1050,1095,1095,1125,1132.5,1150,1150,1100,1100,1125,1150,1150,1150,1195,1195,1199,1200,1199,1195,1195,1200,1200,1195,1150,1195,1200,1200,1200,1150,1100,1100,1200,1245,1150,1100,1150,1200,1200,1195,1245,1250,1275,1250,1200,1245,1250,1295,1295,1275,1295,1295,1295,1299,1300,1345,1340,1332.5,1350,1350,1380,1450,1400,1375,1350,1395,1376,1450
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2500,2487.5,2625,2486,2303,2250,2295,2325,2350,2200,2450,2625,2500,2600,2800,2800,2525,2395,2399.5,2700,3000,3000,2900,2900
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,1475,1500,1500,1485,1500,1625,1550,1395,1285,1250,1250,1200,1200,1200,1200,1200,1275,1250,1200,1200,1195,1250,1250,1237.5,1200,1250,1200,1200,1250,1225,1200,1200,1195,1200,1197.5,1200,1195,1195,1195,1195,1195,1195,1192.5,1195,1250,1250,1250,1275,1295,1300,1300,1350,1350,1319,1350,1300,1325,1350,1375,1450,1500,1495,1500,1495,1450,1450,1450,1450,1475,1475,1595,1550,1550,1500,1500,1450,1450,1462.5,1475,1412.5,1400,1425,1350,1495,1450,1500,1500,1500,1500,1525,1500,1500,1500,1500,1546.5,1559,1520,1547,1550,1550,1595,1600,1600,1550,1515,1592.5,1650,1600,1600,1600,1600
