"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.5,740,788,788,789,789,799,799,799,800,815,850,800,800,800,825,850,800,850,835,815,825,825,799,812.5,800,800,799.5,850,869
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1300,1300,1300,1300,1300,1250,1295,1200,1175,1195,1100,1115,1115,1175,1260,1200,1182.5,1295,1250,1275,1350,1297,1299,1265,1270,1300,1250
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,2900,3047.5,2950,3250,3250,3200,3450,3562.5,3750,3500,3600,3500,3300,3225,3215,3100,3262,3395,3500,3600,3497,3300,3100,3300,3095,3100,3250,3300,3295,3300,3300,3375,3365,3300,3299.5,3300,3300,3299,3299,3229,3200,3250,3500,3500,3600,3649,3595,3600,3650,3695,3600,3800,3750,3680,3695,3792.5,3700,3695,3750,3687.5,3695,3700,3700,3750,3795,3750,3800,3762.5,3790,3795,3800,3775,3792.5,3750,3750,3600,3550,3505,3500,3500,3600,3505,3637,3600,3600,3700,3700,3750,3695,3600,3600,3595,3649.5,3600,3600,3500,3500,3500,3515,3600,3600,3600,3600,3650,3650,3600,3600,3545,3522.5,3500
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,2625,2595,2595,2595,2600,2695,2797.5,2800,2900,2700,2700,2600,2695,2650,2650,2695,2695,2695,2700,2700,2795,2800,2850,2800,2800,2750,2795,2700,2600,2495,2600,2800,3000,3152.5,3170,3100,3100,3100,3150,3015,3100,3100,3200,3200,3185,3112.5,3200,3200,3200,3200,3200,3200,3230,3300,3210,3230,3250,3210,3200,3200,3250,3202.5,3207.5,3200,3100,3100,3080,3000,3100,3100,2999,3150,3200,3250,3300,3300,3300,3295,3200,3200,3200,3195,3100,3100,3070,3095,3100,3100,3200,3195,3150,3100,3100,3100,3100,3100,3100,3100,3080
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,650,650,625,650,627,650,650,650,650,665,655,695,650,650,650,650,700,650,700,700,700,695,695,690,655,650,650,650,650,650,650,675,695,695,675,657.5,650,650,675,697,700,730,700,695,675,695,715,725,750,723,725,725,750,750,750,695,699.5,750,700,750,750,787.5,775,800,785,809,850,850,795,795,800,800,800,800,850,832.5,800,850,850,850,850,875,850,875,850,875,875,850,887.5,875,920,945
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,800,800,795,750,795,795,795,750,765,750,750,750,750,750,750,765,775,750,785,790,795,795,825,850,890,850,860,850,847.5,825,850,850,800,795,795,795,795,795,795,795,800,800,800,799,800,800,800,800,825,800,825,850,850,850,850,850,850,825,850,850,850,850,850,850,875,900,850,895,900,975,992.5,950,1000,1100,1100,1050,995,975,975,975,995,975,950,950,995,995,995,995,1000,1000,1000,1012.5,1025,1042,1050,1059,1050,1100,1100,1100
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1124.5,1150,1147.5,1150,1175,1200,1295,1250,1250,1250,1250,1112,1150,1134.5,1100,1100,1150,1134.5,1075,1200,1195,1195,1195,1200,1200,1200,1200,1200,1250,1285,1250,1275,1250,1250,1250,1250,1285,1275,1300,1295,1275,1275,1272.5,1300,1295,1300,1323
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,1350,1390,1362.5,1350,1462.5,1450,1600,1400,1497.5,1500,1550,1500,1500,1495,1495,1550,1550,1600,1625,1595,1600,1650,1575,1650,1695,1695,1755,1750,1795,1760,1675,1750,1750,1675,1650,1632.5,1650,1675,1800,1837.5,1750,1795,1772.5,1750,1795,1795,1800,1797.5,1772.5,1750,1797.5,1850,1850,1850,1825,1850,1850,1797.5,1800,1812.5,1800,1675,1712.5,1795,1675,1712.5,1750,1675,1675,1712.5,1850,1897.5,1850,1850,1850,1940,1900,1850,1872.5,1850,1850,1850,1850,1895,1850,1900,1900,1900,1950,1950,1900,1850,1850,1895,1900,1850,1800,1800
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,762.5,775,772.5,795,800,795,775,745,750,747.5,761,775,750,775,780,795.5,799,799.5,799.5,795.5,800,844,875,795,834.5,800,800,797,825,837,849,849,850,850,850,850,850,825,850,885,870,872.5,870,870,850,850,850,850,850,850,895,850,885,950,870,850,860,895,900,885,895,925,900,895,850,870,860,975,935,1044,1047,995,975,960,1095,1095,1022,1050,1095,1095,1044,1050,1012.5,1099.5,1100,1034.5,1025,1025,1047,1075,1085,950,1025,1000,1095
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,780,765,765,795,799.5,795,775,795,795,775,795,725,697.5,750,725,675,700,695,695,750,700,700,725,725,750,725,730,750,725,750,695,695,725,749,788,795,789,776.5,795,800,800,812.5,850,850,800,800,825,795,795,795,795,800,825,850,825,850,800,850,800,850,850,850,862.5,850,875,800,850,875,850,850,880,800,850,850,872,877.5,892.5,895,895,895,950,915,950,920.5,950,985,932.5,950,925,999,980,992,995,1045,995,995,995,1050,1000,980,1020
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",11,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1700,1796,1785,1805,1875,1950,2100,2000,2100,2070,2100,2100,2050,2050,2097,2100,2000,2025,2105,2200,2100,2100,2100,2100,2100,2100,2100,2100,2150,2250,2250,2225,2250,2200,2175,2250,2200,2250,2150,2172.5,2200,2300,2300,2300,2300,2275,2287.5,2287.5,2300,2349,2300,2175,2400,2200,2150,2300,2300,2250,2100,2200,2200,2200,2150,2150,2300,2300,2150,2100,2150,2100,2100,2200,2200,2250,2150,2195,2225,2237.5,2175,2175,2250,2100,2100,2100,2195,2195,2250
