"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",1,2657.5,2495,2450,2525,2725,3212.5,3412.5,3200,3200,2825,2605,2690,2750,2800,2800,3000,2925,3097.5,3095,3095,3119.5,3000,3095,3000,3090,3100,3150,3050,3200,3250,3300,3300,3100,3095,3000,3150,3100,3200,3225,3200,3210,3299,3395,3295,3300,3300,3299.5,3300,3300,3300,3300,3300,3300,3300,3295,3300,3295,3250,3300,3300,3350,3200,3250,3300,3320,3375,3350,3350,3300,3295,3295,3300,3300,3295,3295,3250,3194.5,3250,3350,3300,3184,3199.5,3200,3170,3175,3199,3200,3250,3300,3300,3300,3250,3259,3290,3232.5,3194.5,3150,3250,3250,3250,3200,3300,3299.5,3295,3300,3300,3300,3350,3395
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.5,2197.5,2222.5,2245,2197.5,2195,1962.5,1795,1975,1900,1999,2200,2000,1950,1995,2097.5,2200,1950,1872.5,1850,1995,2100,2172.5,2100,2150,2125,2250
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,2350,2347.5,2300,2450,2495,2500,2450,2495,2499,2500,2550,2595,2600,2595,2595,2600,2595,2595,2600,2650,2600,2650,2695,2700,2750,2750,2700,2700,2750,2725,2750,2725,2700,2700,2750,2800,2750,2700,2695,2700,2750,2795,2795,2800,2725,2700,2700,2700,2725,2750,2700,2800,2800,2800,2700,2750,2750,2800,2850,2800,2750,2700,2750,2750,2800,2795,2750,2700,2699,2700,2700,2700,2700,2695,2700,2750,2750,2750,2750,2750,2750,2790,2799,2774,2775,2750,2730,2700,2699,2675,2700,2750,2750,2750,2750,2795,2750,2795,2795,2800,2766,2795
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2150,2200,2195,2200,2370,2225,2250,2325,2500,2397.5,2322.5,2300,2295
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",5,,,,,,,,,,,,,,1600,1600,1500,1483,1470,1450,1471,1500,1500,1500,1500,1600,1600,1592.5,1585,1600,1600,1600,1600,1550,1550,1600,1550,1550,1600,1600,1600,1525,1500,1500,1545,1550,1500,1548.5,1550,1550,1600,1600,1600,1650,1682.5,1675,1650,1700,1750,1750,1799.5,1774,1800,1800,1900,1850,1700,1697,1800,1800,1850,1900,1900,1900,1800,1800,1850,1850,2000,1800,1900,2000,1895,2000,2000,2095,2099,2099.5,2000,2000,1950,1938.5,1900,2000,2100,2108,2199,2150,2150,2150,2200,2200,2100,2165,2100,2100,2100,2100,2199,2200
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,1475,1450,1450,1469,1500,1575,1475,1550,1525,1525,1550,1525,1500,1480,1650,1650,1699.5,1650,1625,1595,1655,1646,1650,1650,1650,1694,1670,1695,1699.5,1750,1700,1700,1700,1700,1700,1700,1750,1799,1800,1800,1850,1895,1900,1850,1895,1900,1900,1925,1900,1925,1950,1950,1995,1995,1950,1950,1950,1900,1950,1995,1995,1995,1900,1925,2000,1937.5,1900,1995,1900,2100,2006,2000,2050,2100,2100,2195,2100,2000,2000,1995,1995,2000,2000,2012,2050,2095,2100,2100,2150,2150,2150,2165,2100,2050,2050,2031,2050
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,832,775,825,825,787.5,727.5,777.5,795,799,795,837.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",8,,,,,,,,,,,,1600,1600,1600,1700,1800,1885,1800,1800,1930,1800,1825,1800,1875,1805,1900,1987.5,2100,2150,2250,2240,2050,2000,1950,1950,1950,1950,2085,2095,2137.5,2125,2150,2200,2135.5,2100,2145,2155,2155,2200,2300,2260,2300,2400,2352.5,2382.5,2300,2300,2295,2299,2250,2295,2300,2300,2300,2350,2325,2300,2350,2300,2300,2295,2300,2300,2300,2300,2350,2400,2400,2347.5,2400,2200,2250,2200,2200,2200,2200,2300,2300,2350,2250,2200,2200,2200,2198,2200,2200,2200,2200,2200,2250,2295,2295,2208,2200,2195,2200,2200,2200,2250
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,1500,1500,1500,1500,1495,1500,1597.5,1600,1600,1600,1500,1600,1650,1650,1700,1687.5,1700,1700,1792.5,1875,1800,1800,1800,1750,1750,1799,1799,1800,1850,1975,2000,2200,2200,2199,2150,2199,2150,2100,2150,2150,2150,2200,2250,2300,2300,2200,2295,2299,2250,2291,2300,2395,2499,2500,2450,2475,2455,2450,2482.5,2400,2450,2400,2399,2400,2400,2450,2499,2500,2495.5,2482.5,2500,2350,2400,2350,2300,2395,2400,2450,2446,2499,2475,2475,2400,2350,2350,2300,2385,2446.5,2500,2516,2590,2575,2500,2499,2450,2450,2405.5,2450,2500,2500
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2986,2900,3085,2923,2999.5,2950,2950,2995,3000,3000,3099.5,3100,3049.5,3025,3000,3045,3000,2950,2950,2987,3000,3156,3195,3152.5,3150,3135,3100,3029,3000,2938.5,2922,2934,3000,3300,3300,3200,3250,3225,3100,3250,3300,3250,3245,3025,3150,3095,3095,3000,3000,3100,3200,3250,3400,3190,2995,3000,3025,3095,3095,3100,3100,3055,3000,2950,2899,2900,2950,2900,2999,3000,3000,3000,3000,2995,2977,2850,2800,2850,2935,2990,3125
