"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1329.5,1359,1362,1364,1325,1216,1200,1200,1160,1148,1100,1085,1100,1154.5,1139.5,1162,1174,1175,1225
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,625,650,650,650,625,599,600,625,650,728.5,650,649.5,625,625,641.5,639,618,594,589,599.5,611,650,698,695,725,657,656,667,667,672,725,707.5,700,700,715,788,750,750,765,775,762.5,750,769.5,757.5,750,767.5,750,750,747.5,750,777.5,777.5,757.5,847.5,750,672.5,695,755,785,787,802,769,795,832.5,787,802.5,750,780,787,800,831.5,822,814.5,826.5,808.5,790,780.5,795,799,788,775,788,789.5,775,799,800,790,799,795,820,820,822.5,877.5,880,900
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,697.5,670,660,730.5,749,699,725,847.5,799,895,850,800,750,725,700,725,715.5,700,667.5,660,700,695,695,700,725,730,700,685,685,700,711,739,750,755,795,850,850,825,850,900,909,925,922,899,900,875,850,864,900,900,995,950,895,950,950,950,975,962.5,975,909.5,900,917,899,909,950,967,925,915,1000,995,1095,980,995,1010,989,1045,1150,1150,1100,1050,1075,1048,1080,1011,1000,970.5,900,973,1032,1125,1119,1085,1135,1170,1150,1145,1150,1100,1065,1099,1100,1125,1010
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,2850,2800,2950,2995,2950,3095.5,3100,3255,3250,3200,3200,3095,3105,3025,3050,3149.5,3185,3125,3200,3200,3300,3300,3200,3200,3200,3200,3200,3200,3300,3250,3275,3390,3400,3300,3315,3300,3300,3300,3300,3300,3400,3437,3450,3495,3495,3480,3447.5,3445,3450,3475,3499,3450,3495,3500,3510,3577.5,3550,3535,3500,3500,3500,3500,3500,3500,3450,3250,3399.5,3400,3450,3440,3350,3395,3400,3365,3390,3400,3400,3440,3450,3450,3450,3445,3439.5,3412.5,3400,3350,3350,3450,3450,3450,3450,3483,3475,3490,3495,3483,3450,3475,3500
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.5,1475,1500,1500,1564,1695,1750,1600,1555,1597.5,1500,1350,1350,1495,1474.5,1737.5,2000,2000,1995,2099,1995,2000,1800,1695,1695,1650,1800,2060,2000,1995,2000,2077.5,2100,1950,1900,1850,1995,2100,2150,1975,1975,1925,1970
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,2300,2400,2500,2495,2500,2500,2575,2600,2600,2600,2550,2550,2550,2550,2575,2600,2600,2625,2650,2650,2700,2700,2750,2700,2695,2695,2699,2695,2695,2600,2675,2750,2795,2750,2750,2700,2700,2750,2750,2750,2950,2800,2800,2800,2800,2800,2850,2800,2895,2900,2900,2800,2875,2895,2928,2944.5,2895,2875,2850,2860,2895,2900,2900,2850,2800,2795,2800,2800,2800,2800,2750,2795,2847,2843,2825,2850,2850,2850,2835,2888.5,2837,2850,2800,2800,2800,2792.5,2750,2799,2800,2825,2800,2825,2888,2850,2850,2875,2895,2850,2875
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,647.5,600,610.5,625,626.5,599,600,600,650,620,599,625,650,625,625,595,600,630,625,640,641,650,650,625,650,650,650,675,660,650,695,742.5,750,750,750,750,700,675,650,650,650,650,650,650,650,650,650,650,650,625,660.5,650,650,657.5,650,659,676,675,675,700,750,760,750,785,755.5,737,750,750,800,800,800,795,800,800,795,825,800,775,790,795,810,815,815,845,850,850,850,863,863,850,850,900,901.5,925,925
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,985,1002,1000,1050,1149,1100,1050,1099,1075,1065,1000,1152.5,1149,1150,1145,1099,1080,1097,1100,1090,1062,1149,1125,1100,1149,1170,1180,1200,1236,1200,1215,1209,1225,1229,1240.5,1224,1225,1216,1229
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095,1950,1772.5,1687.5,1750,1950,1925,1887.5,1950,1800,1829,1950,1850,2000,2000,1925,2050,2000,1970,2100,2197.5,2000,1950,2000
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,1600,1600,1491.5,1470,1470,1450,1450,1495,1500,1486.5,1400,1450,1500,1500,1488,1460,1500,1500,1500,1500,1500,1545,1550,1550,1550,1550,1600,1545,1500,1500,1500,1500,1500,1545,1550,1550,1600,1700,1597.5,1600,1650,1650,1600,1600,1650,1700,1775,1724.5,1800,1749,1800,1800,1750,1700,1800,1800,1800,1850,1900,1895,1800,1800,1825,1900,1927,1800,1899,1995,1825,1956,2000,2050,2050,2000,2000,2000,1950,1950,1900,2000,2000,2100,2150,2150,2100,2100,2100,2200,2100,2150,2074.5,2100,2000,2100,2199,2299
