"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",1,,,,895,895,895,900,895,862.5,850,875,850,850,825,850,850,850,850,850,850,845,825,800,800,800,825,850,850,850,850,875,875,875,875,850,850,850,850,850,850,850,850,840,850,850,850,850,850,850,850,850,887,875,875,900,877.5,875,895,895,895,895,900,902.5,900,920,930,930,925,900,925,925,925,950,950,975,960,990,993,950,975,975,950,942.5,995,997,1021,1043,1063,1077.5,1095,1095,1095,1027.5,1025,1050,1063,1095,1095,1135,1150,1150,1166,1150,1155,1164.5,1195,1150,1195,1200,1180,1195
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,3500,3300,3150,2900,2515,2250,2250,2250,2200,2220,2250,2295,2253.5,2200,2195,2100,2150,2100,2150,2175,2145,2195,2200,2250,2300,2299,2203,2200,2200,2200,2195,2200,2225,2200,2200,2300,2299,2300,2310,2300,2300,2300,2299,2299,2300,2550,2500,2616.5,2650,2649,2657.5,2635,2610,2655,2750,2775,2795,2760,2750,2800,2780,2795,2777,2730,2797.5,2755,2710,2710,2655,2585,2575,2581.5,2648,2668.5,2500,2650,2700,2680,2650,2700,2699,2750,2700,2695,2650,2692.5,2715,2700,2735,2747.5,2715,2750,2724,2707.5,2690,2650,2671.5,2692.5,2700,2700,2750,2800,2750
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,1900,1900,1895,1850,1895,1895,1875,1899,1899,1879.5,1890,1895,1900,1895,1899,1895,1850,1895,1885,1875,1895,1895,1895,1900,1927,1950,1950,1900,1925,1949,1950,1950,1959,2075,2095,2050,2050,2095,2100,2150,2192.5,2185,2200,2200,2200,2195,2200,2250,2292.5,2250,2200,2250,2250,2290,2200,2190,2100,2099.5,2099,2095,2100,2150,2050,2124.5,2190,2275,2250,2280,2291,2250,2190,2195,2150,2150,2150,2150,2175,2195,2199,2200,2249,2200,2195,2200,2225,2200,2200,2200,2250,2295,2295
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1425,1400,1400,1475,1575,1525,1500,1550,1562.5,1600,1550,1575,1600,1625,1600,1600,1575,1500,1600,1625,1675,1650,1625,1600,1650,1700,1550,1550,1700,1650,1650,1700,1800,1800,1850,1900,1900,1927,1950,1927,1700,1649,1800,1800,1900,1963.5,2000,2000,1800,2100,1900,1997.5,2100,1900,1900,1963.5,1697.5,1850.5,1938.5,2000,2000,1927,2000,1951,2000,2050,2050,2100,2100,2100,2100,2100,2125,2095,2300,2200,2200,2250,2225,2195,2000,2125,2100,2087.5
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",5,1400,1400,1485,1485,1500,1600,1550,1395,1295,1250,1250,1250,1262.5,1250,1200,1250,1300,1251,1250,1200,1200,1250,1250,1250,1250,1250,1200,1250,1250,1250,1200,1200,1200,1200,1200,1195,1200,1200,1229.5,1250,1200,1250,1200,1250,1250,1250,1250,1295,1299.5,1300,1350,1350,1389.5,1350,1375,1337.5,1374,1395,1375,1459,1595,1500,1500,1495,1495,1495,1495,1495,1495,1495,1600,1595,1550,1500,1500,1450,1475,1495,1495,1450,1402.5,1450,1350,1495,1450,1500,1500,1500,1500,1525,1500,1500,1500,1500,1550,1575,1500,1547,1550,1550,1575,1600,1595,1550,1515,1550,1600,1600,1650,1600,1606
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,1140,1195,1185,1175,1197.5,1150,1195,1175,1162.5,1150,1150,1195,1195,1200,1225,1297.5,1275,1275,1250,1250,1250,1250,1250,1275,1295,1295,1295,1275,1295,1325,1395,1395,1350,1350,1350,1375,1395,1395,1395,1395,1350,1385,1375,1350,1350,1371,1400,1450,1450,1400,1424.5,1450,1450,1450,1485,1495,1449,1400,1449,1450,1450,1400,1399,1400,1450,1449.5,1449,1399,1450,1400,1525,1500,1500,1550,1600,1600,1600,1595,1595,1625,1585,1647.5,1647.5,1600,1600,1675,1695,1650,1645,1600,1595,1589,1597.5,1650,1604,1655,1615,1612.5
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,1100,1100,1149.5,1099.5,1095,1000,1000,1100,1100,1195,1150,1150,1150,1125,1147.5,1150,1150,1112.5,1100,1095,1100,1099.5,1095,1100,1150,1175,1150,1100,1150,1150,1150,1100,1150,1150,1175,1177.5,1150,1145,1150,1150,1100,1150,1100,1144.5,1150,1150,1150,1150,1150,1200,1200,1199,1200,1200,1200,1197,1197,1199.5,1200,1225,1225,1225,1200,1220,1250,1250,1250,1245,1225,1277.5,1250,1250,1250,1200,1225,1225,1225,1250,1250,1222,1250,1295,1295,1300,1340,1350,1350,1350,1345,1350,1300,1300,1300,1300,1325,1325,1350,1400,1395,1400,1395,1400,1395,1395,1399,1399,1450,1450,1440
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,999,1050,950,972.5,997,1050,899,899,950,899,899,900,995,950,950,950,950,900,900,900,899.5,900,895,949,950,975,950,950,950,900,900,900,950,900,950,925,950,950,950,975,975,972.5,960,950,950,950,950,950,950,975,995,995,995,995,1000,995,995,995,997,995,997,1045,1050,1047.5,1000,1025,1050,975,1025,1047.5,1050,1062.5,1095,1035,1050,1050,1035,1095,1095,1045,1050,1069,1147.5,1135,1150,1150,1147.5,1145,1145,1150,1175,1175,1125,1117.5,1140,1142.5,1100,1175,1195,1295,1250,1295,1295,1305,1295,1276,1227,1250,1235
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",9,,,,,,,,,,,,,,,,,,,,,,,1361.5,1550,1600,1550,1550,1600,1600,1550,1650,1795,1800,1800,1800,1800,1800,1650,1700,1800,1787,1800,1800,1910,1900,1837.5,1800,1800,1800,1800,1850,2000,2000,1985,2000,2000,2000,2000,1995,1950,2000,2037.5,2097.5,2100,2175,2145,2150,2100,2150,2150,2100,2050,2000,2025,2100,2062,2150,2100,2050,2100,2095,2100,1950,2000,2000,1900,1800,1937.5,1900,2000,1897.5,1900,1825,1950,2000,2000,1984,2000,1999,2044,2085.5,2000,2100,2100,2000,1999,1982.5,1887.5,1950,1900,2050
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1800,1750,1750,1895,2000,1999.5,1950,1950,1950,1897.5,2000,1985,1937.5,1800,1850,1903,2000,2050,2169,2000,2000,2000,1900,1799.5,1850,1980.5
