"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,332800,333500,334300,335000,335700,336400,336900,337300,337600,337800,337800,337600,337300,336900,336400,335700,335000,334200,333200,332200,331100,329900,328600,327300,326000,324700,323500,322400,321200,320200,319100,318100,317100,316100,315100,314100,313200,312300,311500,310900,310300,309800,309400,309100,308900,308700,308600,308600,308700,308900,309200,309700,310300,310900,311600,312300,313100,313900,314700,315300,316100,317100,318100,319300,320500,321800,323200,324600,326100,327500,328900,330100,331500,333000,334400,335800,337300,338800,340300,341700,342800,343400,343300,342400,341000,339500,338200,337300,336700,336400,336300,336800,338600,341600,345600,350000,353900,356800,358600,359500,359700,360000,360900,362200,363800,365200,366300,367700,369400,371200,372900,374100,374700,374700,373900,372800,371900,371800,372800,375200,378900,383300,388500,394700,401500,408600,415300,420900,425200,428000,429100,429400,429500,429100,429200,430300,431700,433100,433900,434100,433700,432500,430500,428900,428000,426500,424600,422800,420900,419200,417700,416200,415500,415200,414500,413800,413200,411600,409500,407800,406400,406100,406700,408100,407900,408300,411200,410700,406300,404200,403500,400500,397900,396000,394600,394000,395200,395700,394100,391600,391400,394000,397000,399200,401100,402800,403600,404300,404900,406200,409100,413700,418200,421400,424200,427800,430700,431400,431700,431800,430900,429700,430600,433500,436800,437800,437900,439200,441400,442500,442600,443100,444400,444300,442900,442700,444200,446200,448400,450500,452600,455000,456700,457100,457800,459100,460400,462500,464900,466200,466300,465600,464700,465100,466000,467100,468400,469200,469000,470900,474600,478700,483500,489500,495500,501800,509200,517100,524600,532200,537100,538700,537500,537600,539000,542800,546300,550400,557000,561600,560500,561500,569700,574600,577000,582400,590900,596500,599800,602700,606500,613200,625900,639600,649400,658900,666700
192689,"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,192300,192400,192400,192400,192400,192500,192600,192900,193400,193900,194300,194600,194800,195000,195100,195100,195100,195200,195300,195600,196100,196500,196900,197000,197200,197300,197400,197400,197500,197600,197900,198400,199000,199800,200500,201100,201600,202200,202700,203300,203900,204600,205500,206600,207800,209200,210400,211500,212500,213500,214500,215400,216400,217400,218600,220000,221500,223100,224600,225900,227200,228400,229500,230500,231500,232600,234000,235400,237100,238700,240200,241500,242600,243600,244500,245200,246000,247000,248300,249700,251200,253000,255000,257200,259700,262700,266300,270600,275600,281200,287700,295000,303100,311900,321200,331500,343000,355800,370200,385500,400200,413500,424600,433500,440900,447600,453900,460200,466000,470500,473900,476600,479000,481300,484100,487300,490900,494600,498100,501700,505300,508000,509700,510000,508600,505700,501800,497000,492200,487900,483400,478800,474700,470800,466600,462200,457600,452400,446300,439000,430100,420000,408800,397300,386200,375400,364800,355200,346800,338900,330900,322900,315000,307300,299300,290900,282600,274700,266800,259700,254200,250400,248100,247200,247400,247900,248200,248300,246200,243700,242200,240600,238100,236400,234300,231900,229000,225400,222400,219900,218600,217000,214300,211200,208700,206300,205100,204300,203300,203800,205600,208300,210200,212300,215500,219800,223500,226300,229000,232800,237800,242400,245900,249000,253700,259500,265100,270000,275100,279900,283600,285400,286800,288200,291000,294400,297100,298600,299800,300500,301300,302100,302700,303500,304900,306300,307300,308200,309600,311700,314200,317100,319500,320700,320900,321900,323400,324700,324900,324800,326100,327800,328600,329300,331100,333000,335300,337200,338100,338700,340300,342500,344900,347700,351500,354800,356900,359400,362100,364100,366500,370800,375100,377600,379600,383300,386900,389900,393800,398600,403200,406700,407700,407100,406600,406400,405700
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,138100,138000,138100,138100,138000,138100,138200,138400,138700,139100,139600,140000,140400,140800,141200,141600,142100,142600,143200,143800,144600,145500,146500,147300,148000,148800,149400,150000,150500,151100,151700,152200,152900,153700,154500,155100,155700,156300,156900,157400,157900,158600,159300,160100,161000,162200,163300,164400,165400,166300,167200,168000,168800,169700,170700,171600,172600,173800,175200,176400,177600,178700,179900,181000,182300,183600,185200,186900,188700,190900,193200,195600,198000,200400,202700,205100,207500,210000,212500,216300,221000,225100,228200,232000,236100,240700,245800,251300,256900,262400,267900,273000,278000,283300,288900,294700,300700,306800,313000,319400,326100,333100,340200,347000,353700,360800,368000,375400,383400,391600,400500,410000,419700,429300,438300,446300,453500,460300,467100,474400,482200,489700,497400,505100,512100,518200,523600,528100,531500,533800,534800,535100,534600,533100,531300,529500,526700,522500,517500,511900,505700,499200,491900,484000,474700,464000,453100,443000,433000,423000,413000,402800,392500,382500,372400,362000,350700,339100,327400,315800,304900,295800,289200,285100,282800,282200,282900,281500,279400,278600,278300,276400,275300,275200,274900,273800,273000,272300,270600,269300,269600,270800,271700,272700,274100,276000,278400,280100,280000,279000,279600,281800,285500,290300,295300,299700,302500,304500,307800,312800,316600,318500,320100,324100,329300,334000,337700,340500,343000,345000,343500,341600,343300,347100,351200,355600,358500,360100,362900,368300,374900,380400,385000,388600,391400,395000,399500,402700,404800,406800,408300,408600,409500,412100,414300,416200,418700,420700,421600,423300,426800,431600,438900,448500,456200,461700,467700,473100,478400,483500,488100,492700,498800,502900,504900,506600,511800,519200,526100,532700,538900,545400,552800,558500,560600,562800,567400,574800,581500,586500,592600,599100,603100,608000,613500,616500,616900
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,171200,171400,171500,171700,171900,172200,172400,172800,173300,173800,174100,174300,174400,174500,174600,174700,174700,174800,175000,175300,175800,176200,176600,176800,177000,177200,177300,177500,177900,178300,178800,179500,180400,181200,182100,182700,183400,184100,184800,185400,186200,187100,188000,189000,190200,191400,192300,193200,193900,194600,195200,195900,196600,197300,198200,199200,200300,201300,202200,202900,203500,204100,204600,205200,205800,206700,207700,208900,210100,211400,212600,213500,214200,215000,215700,216400,217200,218200,219500,220800,222100,223500,224900,226600,228500,230900,233900,237500,241800,246600,252000,257900,264400,271500,279400,288200,298200,309000,320700,332300,343000,352300,360300,367300,374100,380900,387100,392600,397500,401300,404700,407900,410600,413400,416200,419100,422400,426100,430200,435000,440500,445600,449600,451900,452300,451400,450100,448200,446600,444600,441000,436300,431700,427000,422800,418400,413500,408100,402100,394800,386400,376400,365400,354200,343500,332600,321800,311300,301300,291700,282700,273900,265200,256400,247000,236900,226800,216800,207700,200400,194900,190500,187200,184800,181700,179700,179600,180400,179800,179200,177800,176200,175300,174900,173700,172800,171900,170500,169100,168400,168200,168900,169200,168100,166100,164000,162800,162000,161000,160600,160500,160300,160100,160300,161200,163200,165700,168100,170000,171700,174900,178600,182600,186400,190400,193500,196600,199300,201700,204000,206900,208800,211000,213100,214500,216300,219300,222000,225300,229400,232800,235500,236700,236400,236500,237600,238900,239900,240800,242700,245200,247500,249800,251900,253400,256200,258900,260400,261300,262500,264500,267200,269300,271100,273400,275800,278400,281100,283300,285000,286400,288100,290400,293000,295100,296900,298500,301200,305100,309000,312500,316800,321600,325500,328400,331200,334000,336400,339000,342000,345700,349100,350400,350200,350500,350300,348700
192796,"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,233000,232500,232000,231600,231300,231000,230700,230700,230900,231100,231200,231300,231200,231200,231200,231200,231200,231100,231100,231200,231500,231700,232000,232000,232000,232100,232200,232200,232300,232500,232800,233300,234000,234800,235500,236100,236700,237500,238300,239200,240000,241000,242200,243600,245100,246700,248000,249300,250500,251600,252700,253600,254500,255300,256200,257200,258300,259300,260100,260700,261200,261700,262100,262600,263100,263600,264300,265200,266400,267500,268500,269400,270100,270800,271500,272100,272700,273500,274500,275300,276200,278000,280500,282900,285700,288900,292800,297600,303500,310500,318700,328100,338600,349700,361500,374500,388800,404100,420600,437700,454100,469100,482200,493400,503000,511400,518400,524400,529500,533000,535500,537200,538300,539300,540500,542000,543700,545700,548200,550800,553600,555900,557000,556400,554100,550900,547700,544500,541800,539700,537400,534400,531100,527600,523400,517700,510900,503300,494700,484300,472000,458300,444100,430100,417200,405900,395100,384800,375700,367500,359900,352400,345000,337900,330500,322100,313500,305100,297500,291500,288000,286200,285600,285300,285500,284700,283900,285100,285400,283500,281300,279100,276300,274000,270400,266300,262500,259100,256800,254700,252900,250600,248500,247000,245200,242300,240600,239900,239300,240600,242100,243200,244200,246400,249100,253000,256400,258900,261400,265700,270000,273100,276000,278800,282500,287900,294000,298800,303600,308200,311900,314000,316000,318900,323500,329000,334200,338700,341800,343900,345900,347100,347600,348100,349600,350400,350100,349000,347900,347100,347300,347400,347000,347300,348100,349500,351000,352400,353300,355200,358500,361600,363400,365000,367000,369000,371600,374500,377000,379000,380900,383300,386800,390300,392600,393900,396100,399700,403800,406700,408800,411400,413900,415100,415300,416400,419300,423700,428600,434200,439200,442000,442800,444000,445400,445300,444000
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6,127700,127800,127900,128000,128200,128300,128600,128900,129400,130000,130500,131000,131500,132000,132500,132900,133400,133900,134400,135000,135600,136300,137000,137400,137800,138100,138400,138500,138700,138800,139000,139100,139400,139700,140000,140200,140300,140400,140400,140400,140500,140700,140900,141200,141600,142200,142800,143200,143600,144100,144500,144800,145200,145700,146200,146900,147600,148400,149200,149900,150600,151300,151900,152500,153200,154000,154900,156000,157200,158700,160100,161500,162900,164100,165400,166600,167900,169300,170800,172900,175500,178200,180700,183500,186200,189000,192100,195700,199800,204400,209700,215100,220500,225900,231400,237400,244000,251100,258600,266100,273400,280300,286700,292600,298500,304700,311300,318600,326900,335900,345500,355700,365500,374300,382000,388700,394900,400700,406300,412900,420100,426700,432700,438500,443600,448300,452600,456800,461300,465500,467900,470000,472100,472600,471500,470500,468600,465600,461400,456600,452100,447000,440000,433200,426100,417000,405900,394900,383500,372000,360100,348600,337900,327900,317000,306200,295700,284000,272700,264800,259600,255800,252700,250900,248400,247300,249000,246000,240100,238100,239200,236500,234000,233300,235200,236300,235900,234100,233000,232600,232200,231900,232100,232500,232300,231900,231300,230600,230200,230400,231200,233500,237400,241200,244200,247000,249400,252000,254200,256500,258100,259200,259400,261500,264500,268700,273600,279100,283100,285400,286300,287200,288400,289600,291900,296500,300400,301400,301500,303400,305500,306400,307000,308700,312100,316300,320500,324700,330600,335900,339400,342100,345600,349300,351700,354400,359300,365300,368700,370200,372100,375000,377100,378900,381700,384900,388900,393800,399300,403100,406500,409900,413600,416300,419500,423300,429600,437600,445500,451200,455500,458800,462100,463500,464600,468000,473000,476700,478600,480600,482800,482900,482000,483200,484200,484900,485700
273698,"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,383300,383200,383300,383500,383800,384200,384400,384600,384700,384600,384300,384000,383700,383500,383400,383500,383500,383500,383500,383400,383100,382800,382300,381900,381700,381700,382100,382600,383400,384300,385400,386400,387400,388300,389200,390100,391200,392600,394300,396200,398300,400400,402400,404300,406000,407400,408500,409500,410600,411900,413400,415000,416700,418200,419600,420900,421800,422400,422500,422400,422400,422700,423200,423900,424700,425500,426100,426500,426700,426600,426000,425300,424800,424600,424900,425400,426100,426800,427400,427500,427000,426900,427300,427200,426300,424600,422100,418800,415200,411900,409500,409000,410800,414400,419400,424900,430000,434200,437200,439500,441700,444200,447100,450300,453600,456800,459800,462700,465600,468700,472000,475000,477200,478600,479300,479700,480000,480700,482400,485800,490700,496300,502100,507900,513700,519300,524300,528400,531100,532300,531700,530200,528600,527300,526600,526200,525600,524700,523500,521700,519300,516200,512000,506700,500200,492900,485600,480100,476800,474600,472300,470000,468100,466800,465200,463300,461300,459100,457100,455700,454700,453900,453500,453400,452800,452500,453400,453300,453300,454600,456200,455900,455700,455100,454800,453900,452900,451700,450200,448700,448100,448600,449100,449100,448700,448500,448900,449700,450200,450300,451000,452800,453300,452200,451400,451700,450800,449700,448400,447800,447600,447600,446900,448100,450400,453600,457100,460300,461700,462000,462200,463300,463500,463500,463900,463200,461100,459400,459000,460100,462200,464700,467600,470100,472400,474000,474800,475800,477900,481200,485000,488300,492200,496000,498700,500800,505400,508900,510200,513300,521600,528200,531200,534900,539000,542500,548500,555400,559500,562600,567500,571000,573700,577900,582200,584800,591700,601500,605100,601200,597600,602700,615300,629000,636800,639900,639800,640400,639600,637100,635500,640200,650700,660500,664600,666500,667600
32059,"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,289300,293300,297100,300800,304400,307800,311400,315100,319500,324200,328500,331900,335300,338500,341600,344200,346500,348700,351000,353300,356100,359500,362300,364200,366000,367800,369400,370900,372300,373800,375800,378300,381800,386200,390600,394600,399000,403700,408700,413800,419100,424600,430800,437600,445400,454000,462300,469900,477400,484500,491300,497500,503100,508400,514000,519700,525900,532600,539100,544800,550300,555500,560500,565200,569500,574100,579800,586400,594200,602900,612300,621600,631000,640200,649300,658100,666400,675000,683900,697700,716400,734300,747700,759000,766900,772100,777300,784900,795900,809400,822600,832600,839600,847000,858200,874300,896200,922900,952600,983700,1014600,1044100,1071200,1094000,1113400,1131800,1150800,1170900,1193100,1217600,1243400,1268100,1290300,1310600,1328700,1342500,1351100,1355500,1356800,1356300,1355600,1355900,1356600,1356600,1356100,1356500,1356300,1353800,1350800,1349400,1349400,1347700,1342700,1334700,1324100,1309500,1294100,1281600,1271700,1263500,1258500,1257600,1259500,1258900,1253800,1246100,1237500,1226700,1216900,1211000,1206500,1200300,1193500,1188300,1184800,1178200,1169300,1160100,1156800,1160900,1171700,1183900,1194000,1197400,1200600,1201400,1200500,1197600,1205700,1216300,1221900,1218300,1215400,1204000,1197600,1200100,1194400,1184800,1181400,1185600,1183000,1177700,1182800,1201000,1205900,1194200,1181700,1176400,1191100,1217800,1218100,1195000,1177900,1185800,1186500,1173600,1174400,1211200,1233200,1233100,1233500,1246500,1267000,1288300,1307700,1322900,1325700,1318400,1315300,1308900,1298100,1289900,1289300,1290100,1298400,1328700,1360100,1361200,1355400,1375900,1393700,1385800,1393500,1441800,1473900,1447600,1433200,1466500,1513600,1538700,1566200,1591600,1582300,1558000,1570000,1599400,1618100,1645300,1673400,1674600,1658300,1665900,1683100,1698900,1723800,1782600,1823800,1828200,1814900,1825000,1838600,1859300,1893300,1912700,1908600,1897600,1914900,1954800,1984000,1983300,1975000,1978200,1991400,1997100,1972600,1953400,1985900,2039500,2067900,2057100,2039800,2029700,2044700,2053800,2044700,1996100,1951600
275473,"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,78700,78800,78900,79000,79200,79400,79600,79700,79800,79900,80000,80100,80200,80400,80600,81000,81300,81700,82100,82400,82700,83000,83300,83600,83900,84200,84600,85100,85700,86300,86800,87400,87900,88300,88700,89100,89400,89900,90400,91000,91600,92200,92800,93200,93500,93800,94000,94100,94300,94500,94800,95100,95500,95900,96300,96600,96800,96800,96900,96900,96900,97000,97300,97600,98000,98500,98900,99100,99300,99400,99400,99400,99500,99700,100100,100600,101300,102100,102700,103500,104500,105600,106600,107700,108900,109900,110700,111200,111400,111300,111000,110800,110900,111400,112500,113800,114900,115700,116100,116200,116200,116300,117000,118500,120400,122100,123200,123900,124100,123700,123000,122300,122000,122100,122500,122800,123000,123300,123700,124500,125600,127000,128600,130300,131600,132100,132200,131900,131300,130700,130400,130700,131400,132500,133600,134400,134700,134300,133600,132600,131300,129800,128100,126200,124100,121800,119300,117600,116800,116300,115800,115400,115000,114600,114200,113800,113500,113100,112300,111400,110600,109900,109800,110100,110500,110900,111500,111200,110700,110700,110500,108300,106600,107000,107500,106400,105100,103700,102400,101600,100800,100200,101100,103200,104200,103800,103200,102900,102700,102800,102900,102500,101900,101100,101100,100900,100600,100600,101300,102200,103700,105500,105600,105600,104300,103100,102300,102700,102000,100700,99100,98300,98100,97800,97800,98000,100300,102700,103800,105300,109000,112000,113500,114600,115000,115100,116600,118900,120500,121600,122300,122500,122400,122500,123400,124400,124500,124100,124000,124600,126500,128500,130000,131700,133700,135500,137100,139000,140100,141200,142900,144600,146900,150400,153200,154800,156000,157100,158600,159600,159900,160900,164600,169300,172500,174100,176700,179500,181600,183900,187100,191400,197500,204200,208300,208600,207500
275237,"Roosevelt","Fresno","CA","Fresno","Fresno County",10,126000,125800,125500,125300,125000,124800,124700,124600,124500,124600,124600,124400,124100,123800,123400,123100,122900,122700,122600,122500,122700,122900,123100,123200,123200,123300,123400,123500,123700,124000,124400,125000,125600,126400,127300,127900,128500,129100,129700,130300,131000,131800,132600,133500,134600,135700,136800,137600,138400,139100,139800,140500,141300,142200,143300,144400,145700,147100,148500,149700,150900,151900,153000,154200,155400,156800,158400,160100,161900,163900,165900,167700,169200,170600,172000,173500,175100,176900,178800,181400,184600,187400,189900,192700,195700,198400,200500,201900,203100,204500,206500,208600,210800,213200,216100,220000,225300,232000,240600,250900,261900,272700,282600,291200,298800,305800,312500,319000,325200,330700,335600,340000,344100,348100,352100,355500,358500,361600,365000,368600,372100,375000,376300,375300,372200,367800,363000,358400,354300,351000,347800,343500,338100,332300,326600,321100,315700,309800,303100,295500,286800,278600,271500,265300,259800,255200,250900,247000,243800,241100,238800,236500,233900,231600,229600,227300,224600,221600,218400,215800,214300,214000,214800,215800,217900,219500,219300,218600,218400,217000,215500,215000,214100,211700,208700,206600,205000,202900,200200,196200,191300,188300,187700,186800,185100,183900,182800,182000,181900,182100,182800,184000,185600,187500,189600,190600,191400,193600,196300,197800,198700,200300,202500,204900,207700,210000,211800,214400,217800,220400,222600,225000,226400,228300,230800,235000,238900,242000,242600,243400,244300,244200,244100,245300,246900,247400,247500,248100,249800,251800,253400,255000,256700,258400,260000,261300,262500,263200,263400,264500,267100,269700,271100,271900,272800,274800,276500,277900,278900,280400,282200,284100,285000,285800,287300,288900,290500,292200,293100,292800,293200,295800,298500,299000,298700,299200,300500,301400,301700,301900,303300,305400,306400,306600,308300,310200,310100
