"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,274772,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,335800,-0.0135135135135135,-0.000892591490627789,0.0711323763955343,0.120284637975586,0.0655908296917089,"2019-02","2019-Q1",340800,-0.0146713615023474,"2019-01"
2019-04-30,192689,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",1,263200,-0.00303030303030303,0.00228484386900229,0.107278081615482,0.108438067399971,0.0502485358165228,"2006-07","2006-Q3",299100,-0.120026746907389,"2005-02"
2019-04-30,270958,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",2,1294700,-0.0108488043395217,-0.0196122974405573,-0.0783085356303837,0.00120928711171264,0.0262464605117478,"2017-07","2017-Q3",1473600,-0.121403365906623,"2014-05"
2019-04-30,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,483600,0.000206825232678387,0.00540540540540541,0.0522193211488251,0.109762724265661,0.0603695782687859,"2019-04","2019-Q2",483600,0,"2019-04"
2019-04-30,270957,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,1255000,-0.00743435621638722,-0.0236502256107048,-0.0824011113548293,0.00455562933629383,0.0193520606892656,"2017-06","2017-Q2",1396900,-0.101582074593743,"2014-06"
2019-04-30,192820,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,225500,-0.00132860938883968,0.00804649083594099,0.152273888605008,0.126147919825327,0.060015172593771,"2006-09","2006-Q3",259400,-0.130686198920586,"2005-07"
2019-04-30,192796,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,276500,-0.0046796256299496,-0.00396253602305476,0.078393135725429,0.101524472944498,0.0527911565430681,"2006-06","2006-Q2",315400,-0.123335447051363,"2004-12"
2019-04-30,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",7,396000,0.00558659217877095,0.0190427174472465,0.0882110469909316,0.105434431385914,0.05891524721899,"2007-04","2007-Q2",400300,-0.0107419435423432,"2007-01"
2019-04-30,194430,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",8,434200,-0.00776965265082267,-0.0176470588235294,0.0623929532664546,0.0803725984697188,0.0295184413419747,"2018-12","2018-Q4",443800,-0.0216313654799459,"2018-10"
2019-04-30,112547,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",9,342800,-0.0017472335468841,0.00498387569627675,0.0570459451125501,0.0581559072856401,0.0432357153602476,"2006-05","2006-Q2",363600,-0.0572057205720572,"2005-11"
2019-04-30,198687,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",10,660600,-0.00736288504883546,-0.000453926463912846,0.0552715654952077,0.0519162740173524,,"2018-11","2018-Q4",671300,-0.0159392224042902,"2018-10"
2019-04-30,111818,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,253000,-0.0019723865877712,0.000791139240506329,0.0454545454545455,0.0745483568235243,0.043103526156822,"2006-05","2006-Q2",268000,-0.0559701492537313,"2005-11"
2019-04-30,267955,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",12,216500,-0.00184416781927155,-0.00138376383763838,0.0628375061364752,0.0840714862233525,0.0513623160706569,"2006-06","2006-Q2",223300,-0.0304523063143753,"2006-02"
2019-04-30,272816,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",13,852600,0.00246913580246914,0.00211565585331453,0.0668168168168168,0.0861200869679053,0.0503461530694196,"2019-04","2019-Q2",852600,0,"2019-04"
2019-04-30,273698,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",14,394600,-0.00579491055681532,0.00050709939148073,0.0533902829684997,0.0938337215916087,0.0534646022851215,"2019-02","2019-Q1",397100,-0.00629564341475699,"2019-02"
2019-04-30,272902,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",15,797300,0.00100439422473321,-0.0147058823529412,-0.000125407574617507,0.0940800063842704,0.0652114713681731,"2018-10","2018-Q4",839700,-0.0504942241276646,"2018-04"
2019-04-30,199001,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",16,905400,0.00510657193605684,0.0181041268413359,0.0158195893638506,0.0415646633241817,0.0517610567506874,"2019-04","2019-Q2",905400,0,"2019-04"
2019-04-30,32059,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",17,878900,-0.00261007716749887,-0.00588168759190137,0.0652042176705854,0.0910812159920713,0.0559343766035316,"2019-02","2019-Q1",885200,-0.00711703569814731,"2019-01"
2019-04-30,267908,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",18,336300,-0.00649926144756278,-0.00355555555555556,0.0509375,0.0867106243645126,0.0553114659511089,"2019-02","2019-Q1",339200,-0.00854952830188679,"2019-01"
2019-04-30,194737,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",19,991700,0.00496554519659505,0.00191957971307335,0.0279879755364362,0.0900801626031857,0.0569034365562959,"2018-10","2018-Q4",1081800,-0.083287114069144,"2018-06"
2019-04-30,275473,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",20,135300,-0.00806451612903226,0.0112107623318386,0.142736486486486,0.157915554661645,0.0658575735846119,"2019-03","2019-Q1",136400,-0.00806451612903226,"2019-02"
2019-04-30,272734,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",21,188900,-0.00369198312236287,0.00692963752665245,0.0582633053221288,0.113403486467944,0.0599806806533254,"2007-06","2007-Q2",204500,-0.0762836185819071,"2006-02"
2019-04-30,403222,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",22,962100,-0.00506721820062048,-0.0100833419076037,-0.0293583535108959,0.0876787086183792,0.0646755018459035,"2017-03","2017-Q1",1007200,-0.0447776012708499,"2016-09"
2019-04-30,25294,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",23,461300,-0.000649913344887348,0.0067656045395024,0.0866902237926973,0.0670961962317598,0.0280256510644714,"2019-03","2019-Q1",461600,-0.000649913344887348,"2019-03"
2019-04-30,275237,"Roosevelt","CA","Fresno","Fresno County","Fresno",24,188100,0.00106439595529537,0.0118343195266272,0.113676731793961,0.0846448160080413,0.0437340037119065,"2006-07","2006-Q3",242300,-0.223689640940982,"2005-03"
2019-04-30,273566,"East Side","TX","El Paso","El Paso County","El Paso",25,133600,-0.00372856077554064,0.00375657400450789,0.0636942675159236,0.025666094032478,0.00643455328008646,"2007-11","2007-Q4",137100,-0.025528811086798,"2007-06"
2019-04-30,35521,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",26,306900,-0.00195121951219512,0.003269042170644,0.0917822838847385,0.0845778112673119,0.0448000141602642,"2006-06","2006-Q2",359100,-0.145363408521303,"2004-11"
2019-04-30,343222,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx County","New York",27,440800,0.0022737608003638,0.00639269406392694,0.081187147412313,0.0659502344198104,0.0307873004397121,"2019-04","2019-Q2",440800,0,"2019-04"
2019-04-30,270828,"East Harlem","NY","New York-Newark-Jersey City","New York County","New York",28,806100,-0.0054287476866132,-0.01128418986876,-0.0353039731929153,0.0435058791058009,0.035573972285126,"2018-05","2018-Q2",835900,-0.0356501973920325,"2017-05"
2019-04-30,274742,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",29,568700,-0.0024557095246448,-0.000702864171498858,0.0324981844589688,0.0357061585029346,0.0228713589034162,"2006-03","2006-Q1",667000,-0.147376311844078,"2005-07"
2019-04-30,267971,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",30,196600,-0.00405268490374873,0.00152827305145186,0.0970982142857143,0.118911094726647,0.0606592316738659,"2007-01","2007-Q1",207200,-0.0511583011583012,"2006-04"
2019-04-30,273565,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",31,742300,-0.0130301821566281,-0.0387205387205387,-0.0092098238120662,0.0918822749485306,0.0735657793508835,"2018-10","2018-Q4",785200,-0.054635761589404,"2018-03"
2019-04-30,193587,"Bushwick","NY","New York-Newark-Jersey City","Kings County","New York",32,758300,-0.00276170436612309,0.0145838908215146,-0.0408550467998988,0.118021754196795,0.0726965232695431,"2018-03","2018-Q1",790800,-0.0410976226605969,"2017-09"
2019-04-30,194379,"East Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",33,522000,-0.00381679389312977,-0.00835866261398176,0.0404624277456647,0.0770837564538307,0.0322861985297875,"2018-11","2018-Q4",534500,-0.0233863423760524,"2018-09"
2019-04-30,275456,"South Side","TX","Corpus Christi","Nueces County","Corpus Christi",34,183400,0.000545553737043099,-0.00163309744148067,0.0138197899391929,0.0426997754767513,0.0252663653747514,"2018-10","2018-Q4",184800,-0.00757575757575758,"2018-08"
2019-04-30,28380,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",35,143500,-0.0117079889807163,-0.0103448275862069,0.058259587020649,0.107823797098342,0.0443279350866685,"2019-02","2019-Q1",145800,-0.0157750342935528,"2018-11"
2019-04-30,10957,"Corona","NY","New York-Newark-Jersey City","Queens County","New York",36,533900,0.00187652467629949,0.00319428786170613,-0.000561587420441782,0.0749379513577781,0.0445127815880133,"2018-10","2018-Q4",542200,-0.0153080044264109,"2018-04"
2019-04-30,273555,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby County","Memphis",37,128200,-0.00155763239875389,0.0190779014308426,0.108996539792388,0.0967189127632146,0.0278574944869159,"2019-03","2019-Q1",128400,-0.00155763239875389,"2019-03"
2019-04-30,270945,"Sunset Park","NY","New York-Newark-Jersey City","Kings County","New York",38,525000,-0.00868580060422961,-0.0265158538846653,-0.0445859872611465,0.0787987069629534,0.0432426727330277,"2018-06","2018-Q2",551900,-0.0487407138974452,"2018-03"
2019-04-30,273088,"Bullard","CA","Fresno","Fresno County","Fresno",39,290300,0.000689417442261289,0.00833622785689475,0.0382689556509299,0.0519100994685995,0.0294819138297,"2006-04","2006-Q2",351800,-0.174815235929505,"2004-12"
2019-04-30,275501,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",40,195000,-0.00408580183861083,0.015625,0.126516464471404,0.161359246556275,0.0728789631706992,"2019-03","2019-Q1",195800,-0.00408580183861083,"2019-03"
2019-04-30,193406,"Borough Park","NY","New York-Newark-Jersey City","Kings County","New York",41,904900,0.00488617434758468,0.0244537529718103,0.0674767016633243,0.0833487314360333,0.0556306061748912,"2019-04","2019-Q2",904900,0,"2019-04"
2019-04-30,193285,"Bensonhurst","NY","New York-Newark-Jersey City","Kings County","New York",42,812700,0.00320948031107271,0.0135944125717136,0.0202108963093146,0.060068684925809,0.0505968716409082,"2019-04","2019-Q2",812700,0,"2019-04"
2019-04-30,276246,"Central City","TX","Corpus Christi","Nueces County","Corpus Christi",43,76700,-0.0038961038961039,-0.0166666666666667,-0.0303413400758533,0.0388221979176044,0.0118149661267908,"2018-05","2018-Q2",79700,-0.0376411543287327,"2017-12"
