SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,CA,27515,30982,30149,28690,33424,33496,37653,35633,28511,34791,26573,16972,28755,28594,32625,38772,37994,34363,39388,33805,28146,32368,25182,18731,27640,28050,31210,38187,33951,32050,37264,31362,33920,29422,22628,17716,23618,26485,35731,34888,32863,37998,33714,37042,31287,26566,24460,15932,20743,21879,31996,33122,40394,35771,29790,34820,29477,25586,23889,15279,28563,32635,32910,33792,41676,36981,32301,36197,30644,34926,24301,14861,28911,28075,31722,32921
2,54,Texas,State,TX,28210,31203,33036,30415,34863,32563,37157,33472,24472,31166,24685,15888,26249,25658,30981,38852,34120,31792,38144,33623,22744,27585,22496,19736,25800,28101,28393,36025,32316,28663,37932,29269,30493,26269,22161,19977,22948,25222,34398,30006,29171,34740,31406,33586,26705,23740,24385,17830,23090,22962,32150,33351,40037,35570,31734,33536,29389,24988,25358,18279,28853,30941,36687,35400,41789,38829,34002,34199,25565,31152,24049,17739,29768,29127,33812,32975
3,43,New York,State,NY,18015,18211,22706,23570,23759,20596,21453,19654,15851,20821,17318,9632,16208,22612,20727,25080,23434,21627,21733,18463,17556,18305,14654,11598,14952,14252,17781,27277,23886,23509,21661,16616,19342,16516,12774,11198,13913,14542,21718,21918,21243,21267,17246,18690,19068,13727,14506,11202,13371,12212,17699,20770,23049,19401,16230,17006,15720,13340,11632,7326,13325,19512,17094,19189,23008,19676,17076,16294,15490,16837,11163,6957,13687,13281,16416,17842
4,14,Florida,State,FL,47517,47539,43675,38931,40784,39163,44978,46452,36625,48294,45237,32225,47020,42594,46344,49887,44958,45498,46112,41615,34441,43369,38462,36546,46006,39978,39385,46323,38520,37199,43146,36058,42082,39352,36244,35068,41404,43939,47292,42301,37978,39484,35391,41584,36027,32213,38823,30461,37654,34884,42204,42480,43405,37535,33428,39753,22254,32612,38094,29862,46862,44615,45931,40433,44042,38057,33559,38272,32797,43385,36080,27625,46995,41559,41548,36609
5,21,Illinois,State,IL,12822,14835,15605,16001,18084,16345,18027,17427,12810,14701,11476,7917,10705,11949,16394,21649,19453,18077,20110,16204,13080,14022,10969,9073,12795,13350,16781,23473,19037,18340,19468,15357,16110,14260,10784,8647,10964,14044,20235,20245,17931,19963,16699,17276,14754,11974,11007,7308,10076,13159,18747,19422,20798,19029,15484,17365,14363,11814,10375,6767,12128,15151,19873,17944,20800,19192,15535,16628,13369,14632,9283,6238,11327,13584,17173,18946
6,47,Pennsylvania,State,PA,12731,12676,15356,16313,18239,17034,16669,15256,12426,14785,11870,8069,10849,10095,14214,20857,18646,16460,17489,15126,12732,14585,10763,8589,10532,10670,14226,19218,18884,16010,17882,14205,15591,13303,10321,9389,10969,11006,18037,17522,16171,16665,14124,16017,13698,11950,10945,7384,9335,9633,14489,16629,19105,16314,13502,15565,13212,11578,10857,6895,10686,12122,14133,15512,18782,17031,13866,14522,11940,14152,9367,6344,10379,10190,12954,14236
7,44,Ohio,State,OH,11301,12043,13700,13258,16143,14549,15345,14125,11147,13201,9883,6334,9344,10198,12519,16222,16089,14544,16507,14163,10587,12222,9377,7330,9418,9381,11653,15754,15324,15274,16122,12907,14226,12430,9205,8421,9223,10185,14287,13809,13924,15663,13839,14792,11796,10395,9689,6334,8001,8249,12516,12958,16054,15245,12853,14954,11794,10391,9272,6296,9523,10479,12266,12687,16132,14870,13427,14464,10830,13220,8738,5779,9037,8947,11074,11775
8,30,Michigan,State,MI,12514,12822,14377,15278,19410,17402,18794,18445,12923,15076,12185,8326,9772,9773,12335,18087,19946,18051,20263,16339,13088,13981,10135,8687,9795,10845,12776,19563,17947,16828,19232,17334,14552,12646,9542,8191,9409,9935,14670,15222,16341,18346,15250,16922,12716,11002,9548,6382,7487,7879,12023,14454,17997,16716,13892,16284,11939,10533,9137,6151,8856,9167,11721,12529,17742,17426,14842,16497,12161,13690,9161,6025,9192,8253,11666,12844
9,16,Georgia,State,GA,12882,13070,14899,13081,15106,13967,16645,14411,12816,16249,13666,7919,12199,11651,16712,17869,17006,14723,16868,14199,11496,13934,11480,10258,13134,12806,18561,19115,16507,15802,18356,16320,15609,14382,10718,10236,11926,13143,18541,17058,17713,18457,15310,16984,14344,11956,12183,8716,11059,11877,16795,16576,19025,16555,14181,15964,11719,11740,11680,8542,13409,14744,15995,15765,17794,16378,14046,15708,12226,15223,10539,7969,13339,17151,15510,14671
10,36,North Carolina,State,NC,14464,15223,16663,16094,17134,15982,18101,15823,13168,17598,14774,7781,13483,12259,15777,19878,18918,15067,16339,14022,11734,12556,10363,8677,12110,12620,15587,16665,15121,13354,15512,12560,13251,11449,8919,9728,11164,12154,17303,15536,14981,15673,12893,14252,12114,9668,9961,7246,9026,10065,13870,13629,15899,14658,12139,13985,11245,10032,10242,6928,11185,13144,15358,15108,17015,14853,13145,13218,8581,11784,8666,6022,10595,11586,13579,12815
11,40,New Jersey,State,NJ,10229,11330,12998,13163,14386,12950,12804,12304,10071,12082,9360,5928,9848,9682,13848,17845,15594,13165,14498,11773,10758,12601,8665,7476,10705,11156,14372,18171,19546,14153,14752,11360,13902,12441,9139,7872,9762,11496,17404,16558,14865,15100,12185,14323,12263,10017,9748,7130,9409,10630,15046,15812,17517,14910,11643,13543,12317,10234,9744,6824,11470,13593,14592,15317,17674,15211,12621,12864,11159,13179,8995,6278,12002,12328,14689,14648
12,56,Virginia,State,VA,9074,9780,10774,12643,12815,10626,12739,11444,10112,11610,9580,5762,9033,10311,12218,16342,14138,11935,13328,11201,9631,10337,7626,7004,9448,9264,11517,18224,14307,12132,13284,10813,12020,9622,7481,6489,8142,13763,15287,14897,12776,13143,12036,12157,10346,8463,8287,5886,7425,8772,13481,13472,15301,13214,10567,12033,10219,8424,8177,5812,9222,11296,14149,14060,15555,12979,10951,11192,8470,10249,6983,4626,7876,8626,11155,11667
13,59,Washington,State,WA,7808,8560,9176,9197,11539,10968,11752,11440,7956,9064,7113,4585,7189,7271,9313,12183,13180,10362,12128,10063,7956,8062,5880,4913,6333,7578,9118,12240,11207,10142,11702,9977,9407,7835,5448,4628,5833,6475,10085,10735,11204,12810,11108,12062,9481,6970,5974,3961,4815,4841,7661,8957,12693,11586,10373,11015,8884,6724,5850,3693,5979,6539,8158,9079,12983,11381,10086,10996,8723,8660,5476,3296,6057,5124,7614,8596
