SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
1,9,California,State,CA,32513,32061,28543,26825,27653,29381,31738,31400,30701,32324,31642,30772,31930,31366,31471,33479,32706,31687,32546,30892,29617,30786,30951,31154,31498,30309,30489,31661,29708,28955,30357,30585,31172,30191,28896,29149,28697,29546,31576,30733,29587,30736,31542,31862,30550,28603,28827,28199,25720,25603,28114,30712,32245,30483,28450,29278,28821,27542,28213,29753,32173,33193,31443,31524,33261,32008,30345,30853,32067,32636,30731,29814,31136,30723,29495,28984
2,54,Texas,State,TX,31348,32280,29791,28005,28254,28933,30656,30191,29231,30798,29840,27992,28369,28201,29363,31510,29908,28886,31062,30031,27638,28093,28853,29337,29657,28537,27918,28902,27357,26795,29117,29747,30164,29368,28537,28767,27526,27781,28655,26518,25640,27388,28472,29320,28766,27767,28573,28394,26533,26124,27789,30299,32062,30589,28816,30014,30404,29326,29518,30331,31537,32700,32563,32861,34221,33219,30922,29929,30199,31148,30306,29995,31428,31316,30063,29313
3,43,New York,State,NY,20470,20171,19169,19088,18590,18283,19306,18871,18279,20122,20236,18840,20315,21345,19764,19251,18991,18830,19435,18798,18283,18671,18799,18805,17898,16081,16967,19795,20144,19839,19404,18285,18259,17763,17352,17833,17165,16928,17895,17515,16832,16926,17149,18127,17927,16735,17552,18143,16290,14647,15086,16407,16948,16169,15739,16172,15721,14993,15060,15456,17093,18161,16287,15477,16571,16488,16040,15951,16290,16575,15620,15235,15607,14985,14101,13807
4,14,Florida,State,FL,45310,44965,41356,39338,38787,39872,43495,44304,43154,45165,44484,42287,42818,42315,43742,46287,45441,44957,44800,41870,40134,40798,41072,42373,42136,38554,38439,40798,39116,38672,40133,40520,41927,40432,38816,39827,39872,40951,42130,40282,38262,37926,38441,40028,38787,36193,37300,37306,34490,34116,37268,40311,40455,37850,36562,35219,31642,32866,36948,39095,41257,42147,40982,40258,40335,38351,36446,37195,39339,40483,38134,37507,39936,39503,37004,35364
5,21,Illinois,State,IL,16306,15762,13662,12964,13563,13908,14981,15313,14800,15274,15180,14440,14129,13820,14625,16209,16032,15717,16219,15302,14521,14956,15179,15568,15809,15012,15493,16962,16211,15565,15805,15509,15916,15856,15190,15005,14959,15653,16464,15789,15122,15384,15349,15456,15161,14477,14522,14317,14007,14586,15237,15652,16055,15307,14533,15097,14949,14165,14088,14464,15417,16356,15882,15134,15675,15386,14424,14496,14976,15078,14171,13789,14516,14677,14353,14416
6,47,Pennsylvania,State,PA,15195,15074,13867,13443,13827,14246,14600,14095,13722,14510,14538,13924,13562,12941,13750,15503,15037,14349,14861,14286,13808,14221,14089,13861,13640,13139,13548,14746,14575,14272,14719,14615,14671,14175,13776,14281,14102,14367,15180,14179,12904,12974,13461,14083,13819,13167,13270,13068,12455,12398,12860,13578,14041,13372,12942,13559,13355,12834,13021,13150,13633,13905,13047,12850,13764,13739,13038,12791,13087,13429,12793,12439,12865,12575,11668,11503
7,44,Ohio,State,OH,13674,13722,12362,11723,12153,12404,12693,12494,12349,12923,12483,11744,11947,11924,12115,13045,12950,12706,13245,12590,11790,12105,12215,12161,12004,11343,11513,12529,12623,12737,12872,12702,13282,13018,12445,12617,12341,12387,12704,11998,11529,11970,12256,12397,11968,11461,11651,11426,10752,10706,11172,11688,12267,12028,11675,12197,11978,11337,11432,11693,12074,12175,11586,11536,12134,11984,11723,11823,12054,12361,11745,11194,11334,11013,10410,10412
8,30,Michigan,State,MI,16140,15864,14483,13837,14010,14194,15031,15116,14564,15053,14904,14058,13631,13082,13394,14863,15189,15127,15384,14344,13786,14029,13759,13795,13989,13761,14338,15264,14231,13725,14768,14867,14363,13547,13039,13333,13427,13722,14071,13229,12708,13061,13016,13129,12864,12237,12213,12010,11528,11575,12069,12610,12928,12306,11746,12236,12170,11700,11852,12154,12488,12509,11787,11522,12489,12821,12428,12598,13095,13336,12643,12206,12410,12137,11627,11370
9,16,Georgia,State,GA,14896,14261,12305,11537,12070,13015,14051,13995,14397,15572,14878,13917,13913,13604,13981,14852,14449,14057,14365,13622,13184,13637,13923,14802,15041,14684,15523,15853,14723,14816,15918,16089,15920,14797,13814,14334,14311,14365,15108,15165,15416,15649,15223,15333,14865,13710,13704,13803,13142,13030,13794,14810,15435,14711,13907,13865,13244,12860,13423,14203,14951,14814,13916,13902,14541,14255,13716,13814,14307,14484,13649,13645,15354,15857,14004,12918
10,36,North Carolina,State,NC,15812,15750,14372,13705,14026,14905,15917,15489,15453,16966,16286,14399,14077,13659,14087,15827,15685,14536,14373,13786,13113,13056,13066,13409,13634,13368,13288,13233,12499,12483,13142,13218,13286,12598,12396,13357,13236,13256,13762,13075,12671,12910,12805,13107,12741,11748,11904,11877,11025,10804,11043,11491,12376,12419,12088,12549,12340,11815,12083,12337,12789,13245,12928,12884,13333,13027,12430,11735,11264,11663,11534,11354,11879,11867,11076,10622
11,40,New Jersey,State,NJ,12319,12077,10789,9956,10140,11041,11957,11866,11536,12042,12136,11786,11634,11264,11917,12790,12e3,11947,12759,12188,11910,12370,12371,12599,12706,12246,12620,14089,14307,13501,13043,12834,13357,13241,12725,12681,12314,12845,13813,12890,11802,12166,12744,13259,12680,11805,12283,12400,11722,11712,12224,12591,12892,12595,12227,12737,12564,11944,12278,12763,13397,13577,12612,12274,12923,13028,12619,12343,12551,12957,12523,12441,13201,13089,12174,11771
12,56,Virginia,State,VA,11110,10542,9499,9418,9558,9811,10801,11035,11085,11882,11654,10910,11023,10965,11131,11883,11499,11055,11425,10977,10557,10717,10747,11209,11232,10254,10892,12601,12028,11180,11382,11401,11539,10995,10454,10651,11536,13019,12984,11414,10609,10982,11366,11364,10797,10254,10484,10431,9790,9869,10446,10847,11502,11269,10614,10901,10708,10204,10435,10842,11303,11728,11530,11342,11690,11302,10536,10139,10095,10410,10032,9640,9672,9293,8746,8662
13,59,Washington,State,WA,9795,9844,8574,8050,8450,8908,9482,9363,8930,9305,9277,8986,9216,9055,9139,10009,9832,9099,9114,8666,8283,8499,8562,8716,8978,9019,9265,9520,8712,8308,8758,8795,8865,8624,8262,8391,8402,8669,9240,9043,8918,9421,9590,9629,9147,8329,8189,7998,7359,7035,7216,7924,8880,8964,8622,8733,8497,8024,8020,8149,8325,8342,7961,8185,8974,8830,8391,8574,8870,8859,8241,7904,7936,7550,7245,7242
14,26,Massachusetts,State,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6908,6339,6068
15,8,Arizona,State,AZ,11023,10965,10185,9949,10022,10044,10562,10552,10445,11062,10713,10371,10974,10938,10762,10946,10607,10351,10300,9553,9266,9698,9741,9912,10105,10010,10267,10313,9444,9363,10020,10075,10328,10141,9690,9776,9742,10020,10391,10116,9936,10079,10152,10362,10187,9777,9974,9923,9256,9302,10221,10859,10761,9962,9414,9667,9482,9116,9386,9972,10933,11328,10554,10130,10380,9937,9401,9483,9639,9792,9468,9467,10007,9789,9274,9125
16,53,Tennessee,State,TN,10947,11138,10496,10192,10124,9991,10448,10389,9967,10149,9963,9717,9843,9612,9987,10744,10054,9410,9685,9306,9064,9287,9248,9553,9422,8138,7361,7798,7848,7660,8122,8415,8828,8859,8126,7845,7699,7875,8340,7932,7498,7730,7892,8161,8062,7623,7834,7824,7284,7106,7229,7580,8109,7992,7686,7963,7889,7630,8019,8323,8394,8527,8425,8453,8840,8790,8417,8353,8484,8531,8369,8503,8697,8397,7964,7769
17,32,Missouri,State,MO,9769,9396,8197,7898,8349,8730,9257,9103,8862,9338,8967,8409,8429,8110,8410,9202,8748,8397,9011,8653,7994,8123,8254,8577,8770,8145,8396,9436,9235,8929,8706,8584,9042,8577,8043,8210,8147,8401,8731,8128,7561,7620,7827,8155,8123,7890,7961,7708,7154,7182,7455,7688,8035,7875,7728,8092,7983,7537,7669,8022,8178,8201,7850,7701,8242,8361,8008,7736,7654,7765,7417,7115,7094,6742,6311,6254
18,27,Maryland,State,MD,6633,6612,5669,5222,5398,5662,6277,6420,6276,6761,6882,6636,6631,6394,6710,7690,7595,7122,7258,7106,7029,7186,7042,7170,7370,6879,7012,8028,7908,7443,7547,7708,8034,7738,7415,7381,6860,7150,7998,7634,7237,7616,7758,7710,7363,6981,7055,6909,6560,6669,6912,7090,7440,7268,6876,6987,6890,6824,7026,7128,7704,8199,7807,7533,7656,7264,6934,7037,7179,7294,6855,6542,6808,6779,6402,6180
19,60,Wisconsin,State,WI,7569,7292,6512,6333,6889,7291,7733,7836,7415,7420,7168,6795,6950,6759,6857,7505,7371,7434,7859,7237,6822,7070,6999,6999,7196,7375,7613,7996,7731,6889,6578,6560,6667,6584,6539,6727,6629,6771,7116,6920,6793,7038,7085,7110,6810,6368,6349,6197,5950,6120,6566,7005,7130,6638,6248,6515,6506,6125,6043,6208,6475,6667,6316,5884,6286,6830,6952,6860,6850,6912,6528,6290,6287,5732,5163,5170
20,31,Minnesota,State,MN,6404,5907,4895,4706,5258,5846,6348,6045,5671,6079,6161,5995,5980,5614,5600,6108,6205,6433,6820,6441,6081,6174,6145,6291,6694,6934,7309,7459,6573,6319,6890,7341,7787,7176,6523,6581,6577,7137,7871,7803,7558,7354,7116,7109,6648,6104,6208,6174,5850,5955,6380,6759,6931,6488,6140,6381,6204,5830,5880,6103,6495,6687,6182,6112,6974,7168,6860,6767,6609,6507,6185,5978,6019,5604,5184,5327
21,10,Colorado,State,CO,9815,9947,9169,8865,9371,9938,10272,9704,9373,9753,9111,8615,8927,8688,8786,9487,9248,8862,9008,8465,7948,7951,8115,8294,8122,7882,7928,7975,7266,7072,7716,7886,7985,7802,7547,7483,6925,6787,7225,6974,6836,7383,7676,7760,7500,7191,7379,7273,6710,6540,6715,7349,8248,7857,7141,7409,7271,6813,6971,7367,7797,7977,7720,7642,7802,7391,7011,7352,7870,8187,7788,7504,7941,7880,7485,7546
22,4,Alabama,State,AL,6099,6196,5254,4885,5314,5588,5834,5534,5247,5861,6042,5553,5383,5306,5339,5558,5284,5087,5871,6289,5813,5613,5756,6196,6425,6278,6269,6271,6056,6007,6166,5946,5817,5677,5537,5817,5896,6052,6289,5991,5846,5926,5773,6102,6421,5967,5779,5804,5531,5458,6036,6832,6759,6112,5848,6058,6151,5903,5698,5806,6231,6475,6301,6146,6276,6238,5898,5691,5763,5854,5568,5481,5794,5716,5252,5193
23,51,South Carolina,State,SC,7750,8126,7347,7344,7751,7318,7440,7675,7582,8018,7657,7022,7353,7469,7604,8164,7883,7506,7846,7762,7961,8441,7899,7451,7607,7395,7353,7594,7496,8033,8283,7716,7572,7180,6954,7186,7055,7186,7539,7322,7077,7134,7238,7552,7231,6590,6772,6912,6703,6736,7026,7335,7466,7175,6984,7212,7114,6987,7182,7303,7656,8014,7699,7472,7641,7337,7043,6966,7063,7485,7112,6779,7230,7352,7150,7083
24,25,Louisiana,State,LA,3817,3885,3569,3167,3020,3185,3514,3532,3450,3695,3666,3394,3377,3274,3218,3520,3464,3229,3360,3339,3299,3388,3403,3565,3536,3187,3213,3391,3212,3371,3713,3750,3760,3492,3358,3584,3481,3328,3402,3278,3215,3406,3565,3712,3773,3757,3722,3618,3722,4020,4121,4675,5307,4822,4281,4395,4346,4159,4213,4298,4482,4873,5072,4910,4860,4791,4461,4226,4265,4337,4118,4165,4516,4478,4250,4187
25,24,Kentucky,State,KY,5392,5660,5272,4766,4705,4942,5276,5226,5043,5136,4957,4735,4726,4555,4745,5262,5150,4953,5094,4868,4652,4675,4720,4948,4868,4510,4698,5012,4706,4617,4909,4965,4897,4552,4333,4406,4343,4520,4825,4624,4364,4426,4497,4663,4586,4313,4411,4444,4233,4134,4128,4246,4569,4584,4366,4487,4476,4324,4405,4459,4666,4845,4512,4341,4686,4741,4469,4348,4451,4624,4469,4345,4422,4231,3895,3774
26,46,Oregon,State,OR,5599,5660,5144,4880,4846,4874,5277,5361,5053,5082,4964,4805,4982,4958,5173,5954,6038,5581,5447,5066,4826,4929,4928,5120,5363,5330,5506,5929,5703,5326,5397,5531,5726,5560,5129,4971,4906,5019,5202,4971,4882,5264,5558,5696,5412,4979,4958,4743,4303,4350,4754,5223,5594,5442,5207,5369,5300,5003,4986,5157,5436,5578,5345,5236,5446,5342,5081,5092,5252,5349,5066,4911,5027,4839,4560,4536
27,45,Oklahoma,State,OK,5075,5152,4777,4474,4499,4793,5176,4979,4585,4678,4589,4494,4648,4448,4497,4983,4873,4575,4704,4598,4393,4472,4596,4735,4774,4536,4396,4520,4307,4239,4541,4690,4886,4866,4745,4730,4698,4928,5049,4662,4431,4583,4684,4823,4761,4564,4673,4682,4409,4659,5356,5507,5344,5077,4841,4973,4857,4612,4739,4951,5085,5039,4794,4762,4984,4878,4606,4501,4509,4566,4395,4307,4459,4335,4011,4004
28,11,Connecticut,State,CT,5170,5173,4769,4595,4570,4659,5075,5079,4892,5107,5033,4834,4840,4739,4893,5390,5481,5326,5273,4992,4806,5228,5636,5366,4882,4416,4532,5258,5382,5405,5500,5347,5419,5109,4740,4768,4661,4904,5269,4797,4422,4607,4605,4571,4470,4324,4579,4745,4372,4210,4295,4417,4753,4588,4486,4875,4698,4417,4510,4605,4848,5028,5148,5273,4876,4360,4206,4213,4403,4559,4349,4242,4459,4432,3947,3729
29,19,Iowa,State,IA,3934,3850,3370,3290,3503,3682,3832,3599,3429,3606,3442,3235,3250,3168,3408,3901,3848,3658,3718,3507,3371,3460,3434,3526,3694,3664,3444,3239,3086,3104,3223,3338,3529,3403,3268,3348,3225,3278,3565,3513,3382,3493,3562,3523,3371,3487,3794,3591,3257,3234,3333,3532,3691,3531,3380,3674,3788,3445,3361,3542,3675,3848,3802,3589,3710,3751,3643,3659,3645,3658,3472,3332,3346,3096,3013,3203
30,34,Mississippi,State,MS,2586,2743,2668,2514,2420,2494,2657,2520,2369,2462,2410,2354,2399,2283,2307,2553,2530,2431,2513,2452,2328,2293,2369,2553,2604,2522,2406,2191,2030,2181,2333,2324,2660,2877,2574,2413,2371,2457,2698,2697,2592,2545,2770,3089,2806,2403,2439,2472,2352,2320,2375,2472,2555,2512,2483,2524,2413,2338,2520,2657,2708,2677,2616,2803,3046,2929,2612,2438,2431,2398,2278,2364,2584,2598,2449,2399
31,6,Arkansas,State,AR,3816,3740,3499,3500,3684,3852,4149,4150,4101,4362,4068,3750,3835,3675,3750,4065,3864,3594,3731,3703,3517,3516,3597,3784,4156,4228,4063,3917,3269,3293,3983,4074,4152,4015,3696,3666,3658,3839,3945,3685,3636,3713,3596,3599,3548,3447,3585,3613,3344,3196,3338,3797,4207,3851,3427,3536,3473,3347,3541,3690,3686,3622,3595,3764,3937,3782,3529,3421,3435,3539,3508,3524,3615,3528,3394,3373
