SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
1,9,California,State,0.967741935483871,0.9660776967935865,0.9682804674457429,0.967741935483871,0.9706723891273248,0.9688531869214239,0.9690528290090653,0.9636411075443951,0.9578270192994996,0.953551912568306,0.9484218629715165,0.9431372549019608,0.941747572815534,0.9391588403429971,0.9436554302086131,0.9467940230321451,0.951417004048583,0.9534883720930233,0.9531772575250836,0.9528346831824679,0.950950950950951,0.9504741833508957,0.95,0.9501900380076015,0.9506531204644412,0.9531914893617022,0.960509605096051,0.967741935483871,0.9769923307769256,0.98125,0.9842271293375394,0.9859909924214011,0.9859154929577465,0.9882352941176471,0.9900662251655629,0.990990990990991,0.9984697781178271,1,1,1,1.0003077870113881,1.0004653327128896,1.0002000400080016,1,1,0.9922958397534669,0.9847951309375769,0.98,0.9772209567198178,0.9823321554770318,0.986644407345576,0.9897959183673469,0.9900990099009901,0.9894179894179894,0.987012987012987,0.9825396825396825,0.9785714285714285,0.9760533494998485,0.9735849056603774,0.970873786407767,0.9698996655518395,0.9763454516589934,0.9842632331902719,0.9892809289861545,0.9931818181818182,0.9931506849315068,0.9907425754492138,0.9892086330935251,0.9873417721518988,0.9836612204068023,0.9808917197452229,0.9799789251844047,0.9783845278725825,0.9826492223033297,0.9895805918166825,0.9944277753964852,0.9986436080027128,0.9975304878048781,0.9939959973315544,0.9899497487437185,0.9863636363636363,0.9846153846153847,0.9829424307036247,0.9807692307692307,0.9803273222221616,0.9854773635086955,0.9928057553956835,1,1,1,1,1,0.9925621954347269,0.9915966386554622,0.9904761904761905,0.9873835125448028,0.9865384615384616,0.9941089837997055,1,1,1,1,0.9974638171847245,0.9902475618904726,0.9846153846153847,0.9799875764171245,0.975,0.9699624530663329,0.9685230024213075,0.9752438109527382,0.981312820440464
2,54,Texas,State,0.9643421052631579,0.9616954314720813,0.9724757908327953,0.9747157765552263,0.9782129032258065,0.9726033357505439,0.9627571863087928,0.9589131832797427,0.9587637980096901,0.9518773466833542,0.9435549637869004,0.9402055900621118,0.9322863741339492,0.9411450174986185,0.9487087087087087,0.9547738693467337,0.9556546598056032,0.9530366574552445,0.9482586666666667,0.9488510007412898,0.9510473502665412,0.9452759248029109,0.9413594662218515,0.9473052180128664,0.9492660550458716,0.9581564584596726,0.959045036119711,0.9659341374169941,0.9682794117647059,0.9729579134558388,0.9718666666666667,0.9716138127389798,0.9734874195435927,0.9649241877256318,0.963979737335835,0.9654089280238716,0.9661438326737664,0.9652962738324411,0.9719016083254494,0.973176400476758,0.9753253253253253,0.9745381535775564,0.9725160829163688,0.9696333333333333,0.9717708035714285,0.9669384615384615,0.96086,0.9630176593268025,0.9591758224848429,0.9619246861924686,0.9653179190751445,0.9720775969962453,0.9759813291842632,0.9790131124913733,0.9764705882352941,0.9744287268770403,0.9709401709401709,0.9633600164227328,0.9617717492984097,0.969031224979984,0.9696960784313725,0.9734116437532128,0.9773962756123129,0.9797479614529281,0.9857142857142858,0.9973018867924528,0.9812880241161962,0.9790697674418605,0.9753824160114367,0.9698492462311558,0.9706576923076923,0.9636473187387026,0.967741935483871,0.9701471758852795,0.9768299104791995,0.9821428571428571,0.9836527621195039,0.9838497109826589,0.9829059829059829,0.9799196787148594,0.974593837535014,0.9710088137749306,0.9665064797881944,0.9669743405425331,0.9671038441468082,0.9697224344283168,0.9737902927010004,0.9772148423005567,0.9804902451225613,0.9795221843003413,0.9790794979079498,0.9742649287662928,0.9692307692307692,0.9682539682539683,0.9656716417910448,0.9647058823529412,0.9663172435126494,0.9692307692307692,0.9744794520547945,0.9815155131264917,0.9823176470588235,0.9804779339796714,0.9778633301251203,0.9726651480637813,0.9709230769230769,0.9661917808219178,0.9652941176470589,0.9634159292035398,0.964432,0.9720384615384615,0.9761811175337187
3,43,New York,State,0.9065545794297151,0.9032258064516129,0.9067357512953368,0.9175962576466354,0.9226151379051204,0.932733183295824,0.9270158917010006,0.926507414317981,0.9198325205920316,0.9177276390008058,0.915580493807588,0.9118541033434651,0.9080459770114943,0.906816760475297,0.9081081081081082,0.9157368218545594,0.9215376513954713,0.9281164695177434,0.9306122448979591,0.9302325581395349,0.9230769230769231,0.9175762166663721,0.908,0.903010033444816,0.9008284575617245,0.8983989168511315,0.9004502251125562,0.9110396570203644,0.9190672153635117,0.9304652326163082,0.9361702127659575,0.9326424870466321,0.9325671348314606,0.9246231155778895,0.918918918918919,0.9195844555598307,0.9142857142857143,0.9167446211412535,0.9139784946236559,0.9259259259259259,0.9365118010795173,0.9448109772457232,0.95,0.9520622568093385,0.9473709141339846,0.9393939393939394,0.9366754617414248,0.9328782707622298,0.9305688843261097,0.9290039494715714,0.9318181818181818,0.9302325581395349,0.9432835820895522,0.9509593464432173,0.9548699930037107,0.9538307074451653,0.9461844481813653,0.9418181818181818,0.9386733416770964,0.9333345777794371,0.933955970647098,0.9312337614629879,0.9288669737021646,0.9393571861734384,0.9464575446187128,0.9545454545454546,0.9587813620071685,0.9574478270721565,0.9532710280373832,0.9479305740987984,0.9398496240601504,0.9396984924623115,0.9378378378378378,0.9407845715538024,0.9413430290022325,0.9455587392550143,0.9546313799621928,0.961039703394633,0.9655172413793104,0.9673115410273516,0.961002277904328,0.9581239530988275,0.9566184649610678,0.9531772575250836,0.948316737790422,0.9504752376188094,0.9519038076152304,0.9576505639497765,0.9658580413297394,0.9711595055915244,0.972972972972973,0.9722222222222222,0.9689922480620154,0.9649749821300929,0.9603220241518113,0.958904109589041,0.955456570155902,0.9539170506912442,0.9558232931726908,0.962800875273523,0.97000097000194,0.9762142268914209,0.9785202863961814,0.974389755902361,0.9683544303797469,0.9639455782312926,0.9587328053355565,0.9534883720930233,0.95,0.9471766848816029,0.9483269879322105
4,14,Florida,State,0.8790697674418605,0.869656558275484,0.8735218508997429,0.88,0.8822836962919365,0.8872508872508873,0.8986899563318778,0.9012875536480687,0.8952959028831563,0.8888888888888888,0.8898178560764407,0.8888888888888888,0.896551724137931,0.89086859688196,0.8846153846153846,0.8848080133555927,0.8892405063291139,0.8933345244476207,0.8970588235294118,0.9030612244897959,0.9077436087439793,0.9027027027027027,0.9090909090909091,0.9107468123861566,0.9090909090909091,0.9107142857142857,0.912311780336581,0.9142857142857143,0.9203681472589036,0.9237875288683602,0.9273743016759777,0.9304347826086956,0.9302325581395349,0.9333333333333333,0.9326845093268451,0.9315687540348612,0.9348914858096828,0.9323144104803494,0.9343715239154616,0.9368421052631579,0.9398496240601504,0.9417304296645085,0.9459459459459459,0.9473684210526315,0.9473684210526315,0.9447236180904522,0.9430979978925185,0.9384615384615385,0.9354677338669335,0.9327731092436975,0.9348837209302325,0.933955970647098,0.936734693877551,0.943126607602172,0.9417487489688005,0.9422492401215805,0.9411418481459682,0.9402904787520172,0.9389671361502347,0.9398148148148148,0.9373354397051079,0.9370758887168722,0.9411764705882353,0.943126607602172,0.9468626342566422,0.9499263622974963,0.9504752376188094,0.9494163424124513,0.9491620111731843,0.9484536082474226,0.9473684210526315,0.9480705097665555,0.9473095296472994,0.9463321689425215,0.9496448730117244,0.9506790564689064,0.953405017921147,0.9553903345724907,0.9565217391304348,0.9569377990430622,0.9553571428571429,0.9545454545454546,0.9530864197530864,0.9515418502202643,0.95,0.94972067039106145,0.9515570934256056,0.9523809523809523,0.954775469705214,0.9563573944446921,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9547190398254228,0.9553493766309075,0.9550688643034545,0.9531772575250836,0.9536178107606679,0.9557109557109557,0.9569377990430622,0.958139534883721,0.9599332220367279,0.9590909090909091,0.9580607926125433,0.9568480300187617,0.9545454545454546,0.9545454545454546,0.9516129032258065,0.9493670886075949,0.9486931268151017,0.9516129032258065
5,21,Illinois,State,0.8827206801700425,0.8856682769726248,0.888030888030888,0.8996897621509824,0.9054878048780488,0.9135522838807097,0.9094865100087032,0.9067063492063492,0.9046778464254193,0.8933947284519068,0.8916965203029902,0.883367839889579,0.8773730118009235,0.8817354793561931,0.8863545418167267,0.885513153019637,0.8995215311004785,0.9038942479456948,0.900571797293469,0.9032795997776543,0.8895478131949592,0.8874070274429341,0.8794102159031069,0.8846153846153846,0.88,0.8787878787878788,0.8850574712643678,0.898947932328038,0.9132173517851703,0.9219015280135824,0.9233333333333333,0.9231762427372499,0.9218436873747495,0.9161976235146967,0.9166666666666666,0.9181850660950339,0.9123492994460737,0.9142276717695712,0.9213250517598344,0.9285714285714286,0.9403578379510731,0.948936170212766,0.9504752376188094,0.9483037156704361,0.9474303648489604,0.9436990379310297,0.9360877985797289,0.9342171085542771,0.932733183295824,0.9330877839165131,0.9323074386644152,0.944206008583691,0.9506172839506173,0.9558274505891059,0.9535020600353149,0.9502515371716043,0.9438886472379295,0.9383450513791238,0.9326424870466321,0.9272816007808687,0.9227467811158798,0.9233610341643582,0.9290138161029061,0.9422955784537059,0.9523809523809523,0.9565217391304348,0.9528346831824679,0.9502639622117255,0.9442972203153169,0.939737341310375,0.9353053841242818,0.9310344827586207,0.9264041316978696,0.9275689627359252,0.9382819015846539,0.9506790564689064,0.9578947368421052,0.9607791524085285,0.9599198396793587,0.9565217391304348,0.9513513513513514,0.9467455621301775,0.9436619718309859,0.9384615384615385,0.9358974358974359,0.9380913760475804,0.9482886353533857,0.9577193932827736,0.9638989169675091,0.9658536585365853,0.9638989169675091,0.96,0.9553171550249673,0.9518072289156626,0.9473684210526315,0.9443954104148279,0.9390125847047435,0.939963614311704,0.9523809523809523,0.9639178342189525,0.9666080843585237,0.9685230024213075,0.9655172413793104,0.96,0.9552816304687152,0.9505941213258287,0.9451445515196442,0.9380692167577414,0.933955970647098,0.9380863039399625,0.9486486486486486
6,47,Pennsylvania,State,0.9215082724124664,0.9166319299708212,0.9287054409005628,0.9365687526607067,0.9426229508196722,0.944073884043099,0.9382819015846539,0.9333333333333333,0.927277164026798,0.9205020920502092,0.9230374551051821,0.9123013537374927,0.9089610018446829,0.9035313668466971,0.9090081892629663,0.9121245828698554,0.9254627313656828,0.9292351679771265,0.9303030303030303,0.9231685527099464,0.916857678683059,0.9133637787926264,0.9090909090909091,0.9043250327653998,0.9018036072144289,0.9003601440576231,0.9057398630858347,0.9165971643035863,0.9285714285714286,0.9346938775510204,0.9393939393939394,0.9357142857142857,0.9302965766988573,0.9285203716940672,0.9266123054114158,0.9251370160939539,0.917686318131257,0.920828755096169,0.9254627313656828,0.9351621739181548,0.9454949944382648,0.9528346831824679,0.9521739130434783,0.9486029665401863,0.9428571428571428,0.9376089229696758,0.9306204136090727,0.9298998569384835,0.9261576971214017,0.9203681472589036,0.9294117647058824,0.9368053350269927,0.9469047956958726,0.9548148148148148,0.9538461538461539,0.9485945423960571,0.9418738686307346,0.9375,0.9333111037012337,0.9276729559748428,0.9233610341643582,0.919732441471572,0.9302325581395349,0.9411764705882353,0.9521322889469104,0.957431606598846,0.9574944071588367,0.9528851244044468,0.9454949944382648,0.9447170678723888,0.9393346379647749,0.9375,0.9302325581395349,0.9296,0.9334889148191365,0.9481012658227848,0.9585121602288984,0.9648274749362976,0.9629629629629629,0.9592711682743837,0.9553349875930521,0.9535020600353149,0.9473709141405453,0.9435310936383131,0.9436107321509777,0.9379591836734694,0.9472981987991995,0.9595753368721928,0.9653370551290998,0.970863309352518,0.9690528290090653,0.9654827413706853,0.962272796700779,0.9575757575757575,0.954524783992724,0.9503167722574192,0.9480612289092518,0.9479739869934968,0.9536859413537956,0.962278675904542,0.9722780233025311,0.9771573604060914,0.9742194192538327,0.9713338019891236,0.9663865546218487,0.9602194787379973,0.9568965517241379,0.9519575791818742,0.9478260869565217,0.9473285335354301,0.9519038076152304
7,44,Ohio,State,0.887522514795437,0.8921372730070791,0.9068399645308043,0.9175602512793313,0.9215376513954713,0.9232480533926585,0.9160892994611239,0.908256880733945,0.9045419553502695,0.8933333333333333,0.886558627264061,0.8936414644872304,0.8930131004366813,0.8916666666666667,0.8935879945429741,0.8988988988988988,0.9065420560747663,0.909739453899985,0.9134406263592867,0.9076023391812865,0.9024705882352941,0.9009009009009009,0.8965647414118535,0.8943396226415095,0.8863636363636364,0.8865845006042863,0.8979591836734694,0.9090909090909091,0.9250386715195633,0.9305555555555556,0.9285714285714286,0.9259259259259259,0.9190751445086706,0.9180070615927814,0.9168299832172313,0.9150943396226415,0.9148770285653773,0.9090909090909091,0.9174311926605505,0.9310344827586207,0.9428571428571428,0.9469823274424808,0.9474576271186441,0.9433962264150944,0.9401709401709402,0.9327731092436975,0.9322378518479748,0.9219301686936053,0.9234768011252577,0.9213483146067416,0.9337779895188185,0.9405532666274279,0.950792326939116,0.9565217391304348,0.955026455026455,0.9477413640389726,0.9449694274596998,0.9383033419023136,0.9370629370629371,0.9315429173249078,0.9288928090117194,0.9302325581395349,0.94,0.9481481481481482,0.9573542210617929,0.9603661228546181,0.9604802401200601,0.9556999291613875,0.9510086455331412,0.9462275948311797,0.940625,0.9351432880844646,0.9403457328877497,0.9363636363636364,0.9454727363681841,0.9557109557109557,0.9621802002224694,0.9680365296803652,0.9677079677079677,0.9636767976278725,0.9594345267777002,0.9548387096774194,0.9528346831824679,0.9483793517406963,0.9455587392550143,0.9431569373638735,0.9565217391304348,0.9649122807017544,0.9696969696969697,0.975,0.9745762711864406,0.9711595055915244,0.9666666666666667,0.9621212121212122,0.95703125,0.9522850219045111,0.9515859766277128,0.9534429861260529,0.9639869043288468,0.9729305610043154,0.9775557991231566,0.9833333333333333,0.9793510324483776,0.9740740740740741,0.9694415173867229,0.9635897435897436,0.9591326105087573,0.9537210756722951,0.9487179487179487,0.9514894709809965,0.9615384615384616
8,30,Michigan,State,0.8855696202531645,0.8803108808290155,0.8906875,0.8888888888888888,0.8946259220231823,0.9025787965616046,0.8997995991983968,0.9022556390977443,0.8974669524830297,0.8936170212765957,0.8823529411764706,0.8848080133555927,0.8923742563547864,0.8897647058823529,0.896,0.8955571063037916,0.9062170706006323,0.9099549774887443,0.9149164296686083,0.9136404049031801,0.9090495679854479,0.9118541033434651,0.9066666666666666,0.907859078590786,0.9047044632086851,0.9011264080100125,0.9102646868947708,0.9187656669988825,0.9331191942663727,0.94375,0.9443614300094401,0.9436478826275425,0.9398496240601504,0.9348051052086926,0.9338427055137599,0.9333333333333333,0.9340310715843456,0.9342285557687038,0.9380097879282219,0.9460191695525938,0.9523582658408766,0.9607686148919136,0.9636767976278725,0.9594010505810704,0.9558232931726908,0.9489302967563837,0.939183987682833,0.9368421052631579,0.9306204136090727,0.9298998569384835,0.9298998569384835,0.9410492157923201,0.9543355566957414,0.9607792207792207,0.9613899613899614,0.9566666666666667,0.9524603836530442,0.9428244711263579,0.9364548494983278,0.9331103678929766,0.9333333333333333,0.9242761692650334,0.9362101313320825,0.9474474474474475,0.96,0.963855421686747,0.9639869043288468,0.9590745019756901,0.9523809523809523,0.9473684210526315,0.94001880075203,0.9388597741103135,0.9354838709677419,0.9350240613754729,0.944206008583691,0.956140350877193,0.9655459849958322,0.9699769053117783,0.9719839908519153,0.967741935483871,0.9632387156817124,0.9563824521155737,0.9525880817746847,0.9502585266793309,0.9433962264150944,0.9463148316651502,0.9541825699745548,0.9667042606516291,0.9757207890743551,0.9809523809523809,0.9800532819722595,0.9734991887506761,0.9692997585374267,0.9619238476953907,0.9563318777292577,0.9538461538461539,0.9523809523809523,0.951188986232791,0.9619065941112883,0.9741969457609269,0.9833333333333333,0.9853687667960586,0.9836065573770492,0.9771528998242531,0.9693558474046279,0.9610885820559267,0.9554140127388535,0.949258656487612,0.9459459459459459,0.9481743227326266,0.9573048699132756
9,16,Georgia,State,0.8777777777777778,0.8814472671285605,0.8837209302325582,0.8921330089213301,0.897544420437841,0.9083910700538876,0.9066666666666666,0.9018036072144289,0.8903959385652729,0.8888157413503035,0.8769230769230769,0.8747283040873668,0.8716981132075472,0.8605129170886967,0.8780487804878049,0.8811011904761905,0.8923076923076924,0.8967173738991193,0.891449814126394,0.898551724137931,0.8888536043188314,0.8883553421368547,0.9,0.897744966442953,0.9006928406466512,0.8921568627450981,0.9081081081081082,0.9221311475409836,0.9296482412060302,0.931899641577061,0.9340369393139841,0.9345337593075704,0.9347826086956522,0.9388646288209607,0.9365375503435205,0.9414225941422594,0.9375,0.9438206377703684,0.9489795918367347,0.9523809523809523,0.9554730983302412,0.9560439560439561,0.9565028273162245,0.9560867148415787,0.950950950950951,0.9502879660503183,0.9464575446187128,0.9440061128091136,0.9435742592942065,0.9434801958166444,0.95,0.9568480300187617,0.9593878752207181,0.9613899613899614,0.9563492063492064,0.9515151515151515,0.9491733006736068,0.9468354430379747,0.9440175631174533,0.9435310936383131,0.9420158835742073,0.9449847137298499,0.9562569495922906,0.9598853868194842,0.9655252001634204,0.965359477124183,0.9635178938503272,0.96,0.9552538964303671,0.9530201342281879,0.9523809523809523,0.9502903672345724,0.949943117178612,0.9545454545454546,0.9615902768123559,0.9682808487992489,0.9730356896874939,0.9743366681165724,0.9726151116998902,0.9697138093914976,0.9666666666666667,0.9657142857142857,0.9640877319836105,0.9617850730956655,0.9626825310978907,0.963302752293578,0.9718548660562902,0.975,0.9782125389061805,0.9779338014042126,0.9760858955588092,0.9727626459143969,0.9710896960711638,0.9683873549419768,0.9680879831536311,0.967741935483871,0.9677315262988061,0.9723889555822329,0.9764705882352941,0.9824405423427428,0.9841534612176814,0.9826086956521739,0.9813049168068798,0.9767826882997994,0.9731543624161074,0.9693877551020408,0.9688311688311688,0.9674763277068753,0.9636767976278725,0.968421052631579,0.9747899159663865
10,36,North Carolina,State,0.9075507246079695,0.9090909090909091,0.92,0.9273182957393483,0.9322033898305084,0.9300367584202428,0.9253817667014839,0.9205451636721633,0.9119445940746441,0.9099181073703366,0.9035779260157671,0.899171549808042,0.8944467994913099,0.8943325119582548,0.9003601440576231,0.916972324108036,0.919047619047619,0.924334857728197,0.9175442486051066,0.9147447525265613,0.9099437148217636,0.9056603773584906,0.9022018793347751,0.9013308032890576,0.905511811023622,0.9050064184852374,0.9138381201044387,0.9223057644110275,0.9355316783994072,0.936923076923077,0.9348914858096828,0.932746196957566,0.9289031797070382,0.9288251849196623,0.925531914893617,0.925,0.9259259259259259,0.9288960342979635,0.9386733416770964,0.9452363090772693,0.9503784693019344,0.9542857142857143,0.9510869565217391,0.9519650655021834,0.9486112147208754,0.9433063363506432,0.9429347826086957,0.9375,0.9368157775065221,0.9371428571428572,0.9454949944382648,0.9511568123393316,0.9580838323353293,0.9598853868194842,0.9561814263322884,0.9555924673297445,0.9498697695871289,0.9455761629674673,0.9460635058721183,0.9433962264150944,0.9427609427609428,0.939963614311704,0.9533110899269146,0.9586491878027928,0.9649122807017544,0.9633197480548351,0.9616843971631206,0.9599636032757052,0.9572742022714981,0.953125,0.952513966480447,0.9511111111111111,0.9503167722574192,0.9547738693467337,0.9612403100775194,0.9674911451900796,0.9724919093851133,0.9729305610043154,0.9724950884086444,0.9689310163243813,0.967005967005967,0.964968152866242,0.9629629629629629,0.9631901840490797,0.9626168224299065,0.9643226473629782,0.9722083305549999,0.9771428571428571,0.9783950617283951,0.9797297297297297,0.9792709077912795,0.9772727272727273,0.9728183118741058,0.9705325763719924,0.9692307692307692,0.9681352415037425,0.9660377358490566,0.9701681084220133,0.978865406006674,0.9806138933764136,0.9832635983263598,0.9823818347598459,0.9802435317666247,0.9761904761904762,0.9756838905775076,0.9710610932475884,0.9701940388077616,0.9696969696969697,0.9663776110699708,0.9705882352941176,0.9759110562075355
